user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22580452_435072653556850_6544871852286672896_n.jpg,http://picbear.com/media/1628366227092869595_634737307,November 07 2017 - 05:47,October 18 2017 - 17:20,<p>At salon</p>,136,0
November 07 2017 - 05:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c164.0.752.752/22280488_120792621921287_1782311552670498816_n.jpg,http://picbear.com/media/1620899089637843981_634737307,November 07 2017 - 05:47,October 08 2017 - 10:04,<p>Ready for the flight. I like the energy with which my little friend flying around.</p>,144,22
November 07 2017 - 05:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827244_277200506111378_5460190033619189760_n.jpg,http://picbear.com/media/1605609723600437960_634737307,November 07 2017 - 05:47,September 17 2017 - 07:46,<p>Beautiful friend meet yesterday evening</p>,180,29
November 07 2017 - 05:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905754_129203931049379_7621084824375132160_n.jpg,http://picbear.com/media/1596158418897325898_634737307,November 07 2017 - 05:47,September 04 2017 - 06:48,<p>It's not what you see is what you believe but its what you believe in is guiding your vision and perspectives. 😊</p>,170,14
November 07 2017 - 05:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20969005_520373611642615_1261553339330461696_n.jpg,http://picbear.com/media/1587785561657961018_634737307,November 07 2017 - 05:47,August 23 2017 - 17:33,<p>Different yet simple</p>,201,19
November 07 2017 - 05:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21040939_316184435458799_3149709408913588224_n.jpg,http://picbear.com/media/1587784104707758211_634737307,November 07 2017 - 05:47,August 23 2017 - 17:30,<p>Almost a perfect camouflage..</p>,156,14
November 07 2017 - 05:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21042761_1915070742087355_9111148179247595520_n.jpg,http://picbear.com/media/1587783149622678641_634737307,November 07 2017 - 05:47,August 23 2017 - 17:28,<p>Complex yet simple</p>,98,9
November 07 2017 - 05:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/20686852_445609312488338_4904845518091321344_n.jpg,http://picbear.com/media/1575761851271016275_634737307,November 07 2017 - 05:47,August 07 2017 - 03:24,"<p>When we give up the negativity, we can see the beauty of life.. These little things are growing up on a rubble of sand and cement made me realize strongly that we forget looking at positive side of life  because we are focused on negativity so much.</p>",221,33
November 07 2017 - 05:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20347102_1934319036808234_5692127952754442240_n.jpg,http://picbear.com/media/1566079450190094035_634737307,November 07 2017 - 05:47,July 24 2017 - 18:47,<p>He is always there when I wait for.my bus alone at bus stop. I feel bad today. I was not having anything to feed him. I pray that he will get something to eat😞🙏🙏</p>,247,7
November 07 2017 - 05:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18252286_1878819432378067_8032867137456439296_n.jpg,http://picbear.com/media/1508686724431605872_634737307,November 07 2017 - 05:47,May 06 2017 - 14:18,"<p><a href=""http://picbear.com/tag/rose"" title=""posts tagged as rose"">#rose</a></p>",531,82
