user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22157203_527243860960260_3208782049800355840_n.jpg,http://picbear.com/media/1617686087618499362_3774926595,November 07 2017 - 02:50,October 03 2017 - 23:40,<p>💚🌞</p>,33,0
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980802_358675457903186_2769402402883764224_n.jpg,http://picbear.com/media/1612800711762154105_3774926595,November 07 2017 - 02:50,September 27 2017 - 05:54,<p>😆❄</p>,17,0
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576961_650692861767669_4868515510720921600_n.jpg,http://picbear.com/media/1601716653053586931_3774926595,November 07 2017 - 02:50,September 11 2017 - 22:52,<p>My other half👫❤💙</p>,18,1
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21372549_203407936864419_7468983488209747968_n.jpg,http://picbear.com/media/1597334559376427583_3774926595,November 07 2017 - 02:50,September 05 2017 - 21:45,<p>🐕terry</p>,26,0
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905157_735153580021204_2318424295568572416_n.jpg,http://picbear.com/media/1586457716658076995_3774926595,November 07 2017 - 02:50,August 21 2017 - 21:35,<p>😚❤</p>,29,3
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18380099_401926110206699_8364720139223957504_n.jpg,http://picbear.com/media/1511793143523538597_3774926595,November 07 2017 - 02:50,May 10 2017 - 21:10,<p>¡Por fin! 🙌❤</p>,28,2
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17663093_1835713380015533_6773174167505207296_n.jpg,http://picbear.com/media/1485845187976802517_3774926595,November 07 2017 - 02:50,April 05 2017 - 01:56,<p>❤😍</p>,34,1
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17587094_312333399183287_4667388763549204480_n.jpg,http://picbear.com/media/1484178326671397776_3774926595,November 07 2017 - 02:50,April 02 2017 - 18:44,<p>🌴🌅</p>,28,2
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16906157_414956335516264_2093404417695940608_n.jpg,http://picbear.com/media/1457388590527194217_3774926595,November 07 2017 - 02:50,February 24 2017 - 19:38,<p>🍂🍃</p>,18,2
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15876773_234341100355319_2191581756560244736_n.jpg,http://picbear.com/media/1426911707619662348_3774926595,November 07 2017 - 02:50,January 13 2017 - 18:25,,25,0
