user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 04:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164706_195569984347622_1015632333824327680_n.jpg,http://picbear.com/media/1638667690145343126_1819065534,November 07 2017 - 04:23,November 01 2017 - 22:27,"<p>Fique conosco por 2 noites nos feriados de novembro e ganhe um par de ingressos do Cinemark! 🍿🎬🎥✨ Válido para compra e check-in nos períodos de 01 a 05/11 e 14 a 20/11, em apartamento Luxo ou VIP. 🛎️✨🍿Reserve direto na recepção ou pela nossa Central: 0800 771 7714. 🍿A P R O V E I T E ! 🏃‍♀️🏃‍♂️#hbhotels <a href=""http://picbear.com/tag/hbninety"" title=""posts tagged as hbninety"">#hbninety</a> <a href=""http://picbear.com/tag/hbhotelsninety"" title=""posts tagged as hbhotelsninety"">#hbhotelsninety</a> <a href=""http://picbear.com/tag/promoção"" title=""posts tagged as promoção"">#promoção</a> <a href=""http://picbear.com/tag/feriado"" title=""posts tagged as feriado"">#feriado</a> <a href=""http://picbear.com/tag/cinema"" title=""posts tagged as cinema"">#cinema</a> <a href=""http://picbear.com/tag/cinemark"" title=""posts tagged as cinemark"">#cinemark</a> <a href=""http://picbear.com/tag/saopaulo"" title=""posts tagged as saopaulo"">#saopaulo</a> <a href=""http://picbear.com/tag/jardinssp"" title=""posts tagged as jardinssp"">#jardinssp</a> <a href=""http://picbear.com/tag/alamedalorena521"" title=""posts tagged as alamedalorena521"">#alamedalorena521</a> <a href=""http://picbear.com/tag/hotel"" title=""posts tagged as hotel"">#hotel</a> <a href=""http://picbear.com/tag/hospedagem"" title=""posts tagged as hospedagem"">#hospedagem</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/viagem"" title=""posts tagged as viagem"">#viagem</a></p>",29,0
November 07 2017 - 04:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857921_352524108530550_1253315488977518592_n.jpg,http://picbear.com/media/1635019353168688193_1819065534,November 07 2017 - 04:23,October 27 2017 - 21:38,"<p>Nessa semana aconteceu o Leilão Beneficente da <a href=""http://picbear.com/tag/elephantparadebrasil"" title=""posts tagged as elephantparadebrasil"">#elephantparadebrasil</a> 🐘 e estamos orgulhosos de anunciar que parte da renda dos nossos dois elefantinhos arrematados irão para as instituições Bom Jesus e Rainha da Paz!  Foi um prazer apoiar essa causa. Deixamos aqui nosso muito OBRIGADO a todos 🙏, em especial à <a href=""http://picbear.com/elephantparadebrasil"" title=""elephantparadebrasil instagram profile"">@elephantparadebrasil</a> aos artistas <a href=""http://picbear.com/reynaldoberto"" title=""reynaldoberto instagram profile"">@reynaldoberto</a> e <a href=""http://picbear.com/lucasksenhuk"" title=""lucasksenhuk instagram profile"">@lucasksenhuk</a>, e @pimentaroma. 💞 <a href=""http://picbear.com/tag/hbhotels"" title=""posts tagged as hbhotels"">#hbhotels</a> <a href=""http://picbear.com/tag/hbhotelsninety"" title=""posts tagged as hbhotelsninety"">#hbhotelsninety</a> <a href=""http://picbear.com/tag/hbninety"" title=""posts tagged as hbninety"">#hbninety</a> <a href=""http://picbear.com/tag/elephantparadebrasil"" title=""posts tagged as elephantparadebrasil"">#elephantparadebrasil</a></p>",27,0
November 07 2017 - 04:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22344741_181474242418517_6962216659117408256_n.jpg,http://picbear.com/media/1624789989982477693_1819065534,November 07 2017 - 04:23,October 13 2017 - 18:54,"<p>A musa do sertanejo, Isabela Crociolli, escolhe o <a href=""http://picbear.com/tag/hbninety"" title=""posts tagged as hbninety"">#hbninety</a> em São Paulo. 😍👍🏻🎉👏🏻👏🏻👏🏻 ・・・ Este hotel é especial demais, estaá marcando o início da minha carreira! Além dos lugares lindos que tem ali, ainda não consegui entrar na piscina, por conta do tempo, mas que piscina linda, um dos melhores lugares que conheci! ❤️😍 <a href=""http://picbear.com/hbhotels_ninety"" title=""hbhotels_ninety instagram profile"">@hbhotels_ninety</a></p>",40,5
November 07 2017 - 04:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22159397_288964071604323_3708019251466993664_n.jpg,http://picbear.com/media/1619147398087815615_1819065534,November 07 2017 - 04:23,October 06 2017 - 00:03,"<p>O amor é cultivado por gestos, surpreenda seu par com um dos nossos pacotes românticos! <a href=""http://picbear.com/tag/loveisintheair"" title=""posts tagged as loveisintheair"">#loveisintheair</a> <a href=""http://picbear.com/tag/romance"" title=""posts tagged as romance"">#romance</a> <a href=""http://picbear.com/tag/hbhotels"" title=""posts tagged as hbhotels"">#hbhotels</a> <a href=""http://picbear.com/tag/hbhotelsninety"" title=""posts tagged as hbhotelsninety"">#hbhotelsninety</a></p>",23,0
November 07 2017 - 04:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22159171_2027681347464919_441904782743961600_n.jpg,http://picbear.com/media/1617629252256364259_1819065534,November 07 2017 - 04:23,October 03 2017 - 21:47,"<p>Declare seu amor por você mesma, previna-se ;) <a href=""http://picbear.com/tag/outubrorosa"" title=""posts tagged as outubrorosa"">#outubrorosa</a> <a href=""http://picbear.com/tag/hbhotels"" title=""posts tagged as hbhotels"">#hbhotels</a> <a href=""http://picbear.com/tag/hbhotelsninety"" title=""posts tagged as hbhotelsninety"">#hbhotelsninety</a><a href=""http://picbear.com/tag/pinkoctober"" title=""posts tagged as pinkoctober"">#pinkoctober</a> <a href=""http://picbear.com/tag/thinkpink"" title=""posts tagged as thinkpink"">#thinkpink</a> <a href=""http://picbear.com/tag/cancerdemama"" title=""posts tagged as cancerdemama"">#cancerdemama</a> <a href=""http://picbear.com/tag/prevencaodocancerdemama"" title=""posts tagged as prevencaodocancerdemama"">#prevencaodocancerdemama</a> <a href=""http://picbear.com/tag/cuidese"" title=""posts tagged as cuidese"">#cuidese</a> <a href=""http://picbear.com/tag/breastcancer"" title=""posts tagged as breastcancer"">#breastcancer</a></p>",12,0
November 07 2017 - 04:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c163.0.640.640/21981072_1044866798988622_1429977595625078784_n.jpg,http://picbear.com/media/1611699221906768599_1819065534,November 07 2017 - 04:23,September 25 2017 - 17:25,"<p>Interior versátil: ajuste a TV para a sala ou para o quarto do seu apartamento no #hbninety. 🛎️✨ <a href=""http://picbear.com/tag/hbhotels"" title=""posts tagged as hbhotels"">#hbhotels</a> <a href=""http://picbear.com/tag/hbhotelsninety"" title=""posts tagged as hbhotelsninety"">#hbhotelsninety</a> <a href=""http://picbear.com/tag/alamedalorena521"" title=""posts tagged as alamedalorena521"">#alamedalorena521</a> <a href=""http://picbear.com/tag/jardinssp"" title=""posts tagged as jardinssp"">#jardinssp</a> <a href=""http://picbear.com/tag/saopaulo"" title=""posts tagged as saopaulo"">#saopaulo</a> <a href=""http://picbear.com/tag/brasil"" title=""posts tagged as brasil"">#brasil</a> <a href=""http://picbear.com/tag/hotel"" title=""posts tagged as hotel"">#hotel</a> <a href=""http://picbear.com/tag/hospedagem"" title=""posts tagged as hospedagem"">#hospedagem</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a></p>",34,2
November 07 2017 - 04:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.1077.1077/21480103_1486091591480376_6324187443251642368_n.jpg,http://picbear.com/media/1602432962941892019_1819065534,November 07 2017 - 04:23,September 12 2017 - 22:35,<p>Que calorão hein?! ☀️😎Nesses dias de sol não se esqueça de se hidratar. Em nossas recepções oferecemos água aromatizada para vc se refrescar 💦 Cuide do seu bem estar 😌🍉</p>,29,11
November 07 2017 - 04:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21435474_1752606828137475_7442859323862024192_n.jpg,http://picbear.com/media/1600773997472480508_1819065534,November 07 2017 - 04:23,September 10 2017 - 15:39,"<p>Que tal um café da manhã caprichado no domingo? Está de dieta? Não se preocupe, o HB Hotels Ninety e o Restaurante Pimenta Romã se preocupam com a saúde dos hóspedes, por isso sempre preparamos um café da manhã com um cardápio cheio de variedades! Faça com a hóspede <a href=""http://picbear.com/nutrimapinsetta"" title=""nutrimapinsetta instagram profile"">@nutrimapinsetta</a> e curta nossa página no Facebook HB Hotels Ninety  Jardins SP.</p>",15,0
November 07 2017 - 04:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21224255_494681184220282_5277398776712003584_n.jpg,http://picbear.com/media/1592402254844250738_1819065534,November 07 2017 - 04:23,August 30 2017 - 02:26,"<p><a href=""http://picbear.com/tag/hbninety"" title=""posts tagged as hbninety"">#hbninety</a> e <a href=""http://picbear.com/tag/pimentaromã"" title=""posts tagged as pimentaromã"">#pimentaromã</a> convidam para a exposição ""REVOADA E CONCRETO"", do artista plástico @reynaldoberto. De 01 a 30 de setembro no lobby do #hbninety. Venha prestigiar e se encantar. 🌼🐦🖌️🎨✨ Patrocínio: <a href=""http://picbear.com/hbhotels_ninety"" title=""hbhotels_ninety instagram profile"">@hbhotels_ninety</a> e <a href=""http://picbear.com/pimentaroma"" title=""pimentaroma instagram profile"">@pimentaroma</a> | Apoio: <a href=""http://picbear.com/tag/velhobarreiro"" title=""posts tagged as velhobarreiro"">#velhobarreiro</a> e #ofíciodasletras. 🛎️✨ <a href=""http://picbear.com/tag/exposição"" title=""posts tagged as exposição"">#exposição</a> <a href=""http://picbear.com/tag/hbhotels"" title=""posts tagged as hbhotels"">#hbhotels</a> <a href=""http://picbear.com/tag/hbhotelsninety"" title=""posts tagged as hbhotelsninety"">#hbhotelsninety</a> <a href=""http://picbear.com/tag/alamedalorena521"" title=""posts tagged as alamedalorena521"">#alamedalorena521</a> <a href=""http://picbear.com/tag/jardinssp"" title=""posts tagged as jardinssp"">#jardinssp</a> <a href=""http://picbear.com/tag/saopaulo"" title=""posts tagged as saopaulo"">#saopaulo</a> <a href=""http://picbear.com/tag/brasil"" title=""posts tagged as brasil"">#brasil</a> <a href=""http://picbear.com/tag/hotel"" title=""posts tagged as hotel"">#hotel</a> <a href=""http://picbear.com/tag/hospedagem"" title=""posts tagged as hospedagem"">#hospedagem</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/viagem"" title=""posts tagged as viagem"">#viagem</a></p>",29,2
November 07 2017 - 04:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c163.0.640.640/21149547_1908138242845120_2153293222628032512_n.jpg,http://picbear.com/media/1590961851251054712_1819065534,November 07 2017 - 04:23,August 28 2017 - 02:44,"<p>Amanhã começa tuuudo de novo... 🙌🏻😊 Durma bem! 🛎️✨ <a href=""http://picbear.com/tag/domingou"" title=""posts tagged as domingou"">#domingou</a> <a href=""http://picbear.com/tag/hbhotels"" title=""posts tagged as hbhotels"">#hbhotels</a> <a href=""http://picbear.com/tag/hbhotelsninety"" title=""posts tagged as hbhotelsninety"">#hbhotelsninety</a> <a href=""http://picbear.com/tag/alamedalorena521"" title=""posts tagged as alamedalorena521"">#alamedalorena521</a> <a href=""http://picbear.com/tag/jardinssp"" title=""posts tagged as jardinssp"">#jardinssp</a> <a href=""http://picbear.com/tag/saopaulo"" title=""posts tagged as saopaulo"">#saopaulo</a> <a href=""http://picbear.com/tag/brasil"" title=""posts tagged as brasil"">#brasil</a> <a href=""http://picbear.com/tag/hotel"" title=""posts tagged as hotel"">#hotel</a> <a href=""http://picbear.com/tag/hospedagem"" title=""posts tagged as hospedagem"">#hospedagem</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/viagem"" title=""posts tagged as viagem"">#viagem</a></p>",16,0
