user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.960.960/21911289_145263132741790_5885476896405192704_n.jpg,http://picbear.com/media/1611849355324357493_2462528305,November 07 2017 - 05:37,September 25 2017 - 22:23,,106,18
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21690471_304789033333176_3487096269883572224_n.jpg,http://picbear.com/media/1606057142515072205_2462528305,November 07 2017 - 05:37,September 17 2017 - 22:35,"<p>""La gente que dice estar ahí siempre, no lo hará, lo aprenderas de la peor forma""</p>",150,41
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18949910_783016061874190_3403222001043636224_n.jpg,http://picbear.com/media/1533568032743169349_2462528305,November 07 2017 - 05:37,June 09 2017 - 22:12,"<p>Ella llora con sonrisas, y nadie se da cuenta.✨🦄</p>",195,51
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18253240_1440946149281525_1268747542695247872_n.jpg,http://picbear.com/media/1505856469219540016_2462528305,November 07 2017 - 05:37,May 02 2017 - 16:35,"<p>Te prometerá el cielo como a todas, y acabarás en el suelo campeona.🔙🌸🌛✖🌿</p>",194,35
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17439205_1853162644953878_2831028101180293120_n.jpg,http://picbear.com/media/1478496978652119333_2462528305,November 07 2017 - 05:37,March 25 2017 - 22:36,<p>Que yo tus humos me los fumo🔞💸🔫</p>,176,24
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/17265319_226933201106724_434647181366919168_n.jpg,http://picbear.com/media/1468955967181716487_2462528305,November 07 2017 - 05:37,March 12 2017 - 18:40,<p>Desafían oceanos y se ahogan en charcos👀</p>,173,31
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16906552_369610583425683_5087787863358046208_n.jpg,http://picbear.com/media/1460369990141926806_2462528305,November 07 2017 - 05:37,February 28 2017 - 22:21,<p>+13🎂🎊🎉🎁🎈❤</p>,200,20
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c144.0.432.432/16583510_1268581793233917_6165462241018642432_n.jpg,http://picbear.com/media/1447964053678700347_2462528305,November 07 2017 - 05:37,February 11 2017 - 19:33,<p>Confio en 5 y me fallan 6🍃💯</p>,183,36
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.900.900/15877519_1835106676761061_8339785496133632000_n.jpg,http://picbear.com/media/1428204395736334441_2462528305,November 07 2017 - 05:37,January 15 2017 - 13:14,"<p>Y tranquilo, que esta vez las ganas de verte me las llevo yo.👅</p>",153,29
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.479.479/15338299_218433015273522_2937357335217045504_n.jpg,http://picbear.com/media/1407179428509238520_2462528305,November 07 2017 - 05:37,December 17 2016 - 13:01,"<p>Aprende de la luna, que aunque esté sola no deja de brillar.👣🐽🌵🌈 📷: @srta.wisal</p>",135,22
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.900.900/15259132_1808434582762331_1962051570321326080_n.jpg,http://picbear.com/media/1401620472973790147_2462528305,November 07 2017 - 05:38,December 09 2016 - 20:56,"<p>-Te desearía lo mejor, pero ya me tuviste. 🌈😈📢➰</p>",173,28
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.900.900/15259159_1274829295912133_1810757954295562240_n.jpg,http://picbear.com/media/1399288861368272933_2462528305,November 07 2017 - 05:38,December 06 2016 - 15:44,"<p>Entre mas dura sea tu historia, mas fuerte tiene que ser tu sonrisa</p>",173,41
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15035064_1191405244287049_3582794025343647744_n.jpg,http://picbear.com/media/1391539208052946952_2462528305,November 07 2017 - 05:38,November 25 2016 - 23:07,"<p>""Y cuando por fiin había encontrado la salida;me enamoré del laberinto.""😈🌿</p>",163,24
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14717562_1196609607076007_3235337407389761536_n.jpg,http://picbear.com/media/1376150473316607398_2462528305,November 07 2017 - 05:38,November 04 2016 - 17:32,<p>Los verdaderos que duren los demas que rulen...😘🍃🍥🌈</p>,147,24
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/14515599_1331378606926760_5403293287589085184_n.jpg,http://picbear.com/media/1361584558281563847_2462528305,November 07 2017 - 05:38,October 15 2016 - 15:12,<p>Me gustaba mas cuando te conocia menos🔑🍂👣</p>,165,8
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/14448304_339134113097739_4620521294436237312_n.jpg,http://picbear.com/media/1347004720330258717_2462528305,November 07 2017 - 05:38,September 25 2016 - 12:24,<p>+ nací débil pero la vida me hizo fuerte ahora soy una guerrera que no cree en la suerte.</p>,134,19
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/14350445_305141723190890_1214876477_n.jpg,http://picbear.com/media/1337761955943798598_2462528305,November 07 2017 - 05:38,September 12 2016 - 18:21,"<p>Y joder si el destino es aleatorio, he tenido la mejor suerte del mundo.👭💘🍀</p>",137,16
November 07 2017 - 05:37,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13696922_1032343293547016_1303530313_n.jpg,http://picbear.com/media/1314407410962412558_2462528305,November 07 2017 - 05:38,August 11 2016 - 12:59,<p>🍃💥We wanted to be so much that we forgot to be something🍃💥</p>,1587,9
