user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 04:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23348101_130516827647470_905662333320167424_n.jpg,http://picbear.com/media/1642282524019592123_864396655,November 07 2017 - 04:32,November 06 2017 - 22:09,"<p><a href=""http://picbear.com/tag/muac"" title=""posts tagged as muac"">#muac</a> <a href=""http://picbear.com/tag/contemporary"" title=""posts tagged as contemporary"">#contemporary</a> <a href=""http://picbear.com/tag/art"" title=""posts tagged as art"">#art</a> <a href=""http://picbear.com/tag/museum"" title=""posts tagged as museum"">#museum</a> <a href=""http://picbear.com/tag/surroundshot"" title=""posts tagged as surroundshot"">#surroundshot</a> favourite one. <a href=""http://picbear.com/tag/unam"" title=""posts tagged as unam"">#unam</a> <a href=""http://picbear.com/tag/architecture"" title=""posts tagged as architecture"">#architecture</a> <a href=""http://picbear.com/tag/design"" title=""posts tagged as design"">#design</a> <a href=""http://picbear.com/tag/tourism"" title=""posts tagged as tourism"">#tourism</a> <a href=""http://picbear.com/tag/tourisme"" title=""posts tagged as tourisme"">#tourisme</a> <a href=""http://picbear.com/tag/bonvivant"" title=""posts tagged as bonvivant"">#bonvivant</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/travelleisure"" title=""posts tagged as travelleisure"">#travelleisure</a> <a href=""http://picbear.com/tag/tripadvisor"" title=""posts tagged as tripadvisor"">#tripadvisor</a> <a href=""http://picbear.com/tag/ilovemyselfcondesa"" title=""posts tagged as ilovemyselfcondesa"">#ilovemyselfcondesa</a> <a href=""http://picbear.com/tag/alfredolugano"" title=""posts tagged as alfredolugano"">#alfredolugano</a> <a href=""http://picbear.com/tag/yolo"" title=""posts tagged as yolo"">#yolo</a> <a href=""http://picbear.com/tag/cdmx"" title=""posts tagged as cdmx"">#cdmx</a>🇲🇽</p>",12,0
November 07 2017 - 04:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164017_1504148572996887_3999752916477935616_n.jpg,http://picbear.com/media/1638882150806009686_864396655,November 07 2017 - 04:32,November 02 2017 - 05:33,"<p><a href=""http://picbear.com/tag/diadelosmuertos"" title=""posts tagged as diadelosmuertos"">#diadelosmuertos</a> <a href=""http://picbear.com/tag/dayofthedead"" title=""posts tagged as dayofthedead"">#dayofthedead</a> <a href=""http://picbear.com/tag/altar"" title=""posts tagged as altar"">#altar</a> <a href=""http://picbear.com/tag/ofrenda"" title=""posts tagged as ofrenda"">#ofrenda</a> <a href=""http://picbear.com/tag/mezcalponteloco"" title=""posts tagged as mezcalponteloco"">#mezcalponteloco</a> a <a href=""http://picbear.com/tag/tipsy"" title=""posts tagged as tipsy"">#tipsy</a> world awaits <a href=""http://picbear.com/tag/heritage"" title=""posts tagged as heritage"">#heritage</a> <a href=""http://picbear.com/tag/antropology"" title=""posts tagged as antropology"">#antropology</a> 100 % <a href=""http://picbear.com/tag/oaxaca"" title=""posts tagged as oaxaca"">#oaxaca</a> <a href=""http://picbear.com/tag/calavera"" title=""posts tagged as calavera"">#calavera</a> <a href=""http://picbear.com/tag/catrina"" title=""posts tagged as catrina"">#catrina</a> <a href=""http://picbear.com/tag/cempasuchil"" title=""posts tagged as cempasuchil"">#cempasuchil</a> <a href=""http://picbear.com/tag/colorful"" title=""posts tagged as colorful"">#colorful</a> <a href=""http://picbear.com/tag/agave"" title=""posts tagged as agave"">#agave</a> <a href=""http://picbear.com/tag/mezcal"" title=""posts tagged as mezcal"">#mezcal</a> <a href=""http://picbear.com/tag/mezcallier"" title=""posts tagged as mezcallier"">#mezcallier</a> <a href=""http://picbear.com/tag/bartender"" title=""posts tagged as bartender"">#bartender</a> <a href=""http://picbear.com/tag/tourism"" title=""posts tagged as tourism"">#tourism</a> <a href=""http://picbear.com/tag/tourisme"" title=""posts tagged as tourisme"">#tourisme</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/bonvivant"" title=""posts tagged as bonvivant"">#bonvivant</a> <a href=""http://picbear.com/tag/tripadvisor"" title=""posts tagged as tripadvisor"">#tripadvisor</a> <a href=""http://picbear.com/tag/cdmx"" title=""posts tagged as cdmx"">#cdmx</a>🇲🇽 <a href=""http://picbear.com/tag/ilovemyselfcondesa"" title=""posts tagged as ilovemyselfcondesa"">#ilovemyselfcondesa</a> <a href=""http://picbear.com/tag/alfredolugano"" title=""posts tagged as alfredolugano"">#alfredolugano</a> <a href=""http://picbear.com/tag/yolo"" title=""posts tagged as yolo"">#yolo</a></p>",23,1
November 07 2017 - 04:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794373_154439155160317_2040338572040470528_n.jpg,http://picbear.com/media/1634477511989840898_864396655,November 07 2017 - 04:32,October 27 2017 - 03:42,"<p><a href=""http://picbear.com/tag/mezcalponteloco"" title=""posts tagged as mezcalponteloco"">#mezcalponteloco</a> , a <a href=""http://picbear.com/tag/tipsy"" title=""posts tagged as tipsy"">#tipsy</a> world awaits <a href=""http://picbear.com/tag/2018"" title=""posts tagged as 2018"">#2018</a> <a href=""http://picbear.com/tag/advertising"" title=""posts tagged as advertising"">#advertising</a> campaign <a href=""http://picbear.com/tag/vignettes"" title=""posts tagged as vignettes"">#vignettes</a> <a href=""http://picbear.com/tag/collectibles"" title=""posts tagged as collectibles"">#collectibles</a>  100 % <a href=""http://picbear.com/tag/oaxaca"" title=""posts tagged as oaxaca"">#oaxaca</a> <a href=""http://picbear.com/tag/agave"" title=""posts tagged as agave"">#agave</a> <a href=""http://picbear.com/tag/organic"" title=""posts tagged as organic"">#organic</a> <a href=""http://picbear.com/tag/premium"" title=""posts tagged as premium"">#premium</a> <a href=""http://picbear.com/tag/liquor"" title=""posts tagged as liquor"">#liquor</a> <a href=""http://picbear.com/tag/mezcallier"" title=""posts tagged as mezcallier"">#mezcallier</a> <a href=""http://picbear.com/tag/bartender"" title=""posts tagged as bartender"">#bartender</a> <a href=""http://picbear.com/tag/sybarite"" title=""posts tagged as sybarite"">#sybarite</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/travelleisure"" title=""posts tagged as travelleisure"">#travelleisure</a> <a href=""http://picbear.com/tag/bonvivant"" title=""posts tagged as bonvivant"">#bonvivant</a> <a href=""http://picbear.com/tag/tourisme"" title=""posts tagged as tourisme"">#tourisme</a> <a href=""http://picbear.com/tag/tourism"" title=""posts tagged as tourism"">#tourism</a> <a href=""http://picbear.com/tag/tripadvisor"" title=""posts tagged as tripadvisor"">#tripadvisor</a> <a href=""http://picbear.com/tag/yolo"" title=""posts tagged as yolo"">#yolo</a> <a href=""http://picbear.com/tag/alfredolugano"" title=""posts tagged as alfredolugano"">#alfredolugano</a> <a href=""http://picbear.com/tag/mezcal"" title=""posts tagged as mezcal"">#mezcal</a> <a href=""http://picbear.com/tag/ilovemyselfcondesa"" title=""posts tagged as ilovemyselfcondesa"">#ilovemyselfcondesa</a> <a href=""http://picbear.com/tag/cdmx"" title=""posts tagged as cdmx"">#cdmx</a>🇲🇽</p>",23,0
November 07 2017 - 04:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793727_366210210469183_364513874411520_n.jpg,http://picbear.com/media/1633146015840623015_864396655,November 07 2017 - 04:32,October 25 2017 - 07:36,"<p>-I want Ponte Loco-... -I guess she wants Ponte Loco-. <a href=""http://picbear.com/tag/2018"" title=""posts tagged as 2018"">#2018</a> <a href=""http://picbear.com/tag/advertising"" title=""posts tagged as advertising"">#advertising</a> campaign  <a href=""http://picbear.com/tag/mezcal"" title=""posts tagged as mezcal"">#mezcal</a> <a href=""http://picbear.com/tag/ponteloco"" title=""posts tagged as ponteloco"">#ponteloco</a> a <a href=""http://picbear.com/tag/tipsy"" title=""posts tagged as tipsy"">#tipsy</a> world awaits 100 % <a href=""http://picbear.com/tag/oaxaca"" title=""posts tagged as oaxaca"">#oaxaca</a> <a href=""http://picbear.com/tag/agave"" title=""posts tagged as agave"">#agave</a> <a href=""http://picbear.com/tag/miniatures"" title=""posts tagged as miniatures"">#miniatures</a> <a href=""http://picbear.com/tag/collectibles"" title=""posts tagged as collectibles"">#collectibles</a> <a href=""http://picbear.com/tag/premium"" title=""posts tagged as premium"">#premium</a> <a href=""http://picbear.com/tag/liquor"" title=""posts tagged as liquor"">#liquor</a> <a href=""http://picbear.com/tag/mezcallier"" title=""posts tagged as mezcallier"">#mezcallier</a> <a href=""http://picbear.com/tag/bartender"" title=""posts tagged as bartender"">#bartender</a> <a href=""http://picbear.com/tag/organic"" title=""posts tagged as organic"">#organic</a> <a href=""http://picbear.com/tag/travelleisure"" title=""posts tagged as travelleisure"">#travelleisure</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/bonvivant"" title=""posts tagged as bonvivant"">#bonvivant</a> <a href=""http://picbear.com/tag/tourisme"" title=""posts tagged as tourisme"">#tourisme</a> <a href=""http://picbear.com/tag/tourism"" title=""posts tagged as tourism"">#tourism</a> <a href=""http://picbear.com/tag/alfredolugano"" title=""posts tagged as alfredolugano"">#alfredolugano</a> <a href=""http://picbear.com/tag/ilovemyselfcondesa"" title=""posts tagged as ilovemyselfcondesa"">#ilovemyselfcondesa</a> <a href=""http://picbear.com/tag/cdmx"" title=""posts tagged as cdmx"">#cdmx</a>🇲🇽 <a href=""http://picbear.com/tag/yolo"" title=""posts tagged as yolo"">#yolo</a></p>",35,0
November 07 2017 - 04:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794059_161153681137612_1187216071141097472_n.jpg,http://picbear.com/media/1632339111879034270_864396655,November 07 2017 - 04:32,October 24 2017 - 04:53,"<p>Miss you <a href=""http://picbear.com/tag/ponteloco"" title=""posts tagged as ponteloco"">#ponteloco</a>, a <a href=""http://picbear.com/tag/tipsy"" title=""posts tagged as tipsy"">#tipsy</a> world awaits <a href=""http://picbear.com/tag/advertising"" title=""posts tagged as advertising"">#advertising</a> campaign <a href=""http://picbear.com/tag/miniatures"" title=""posts tagged as miniatures"">#miniatures</a> <a href=""http://picbear.com/tag/collectibles"" title=""posts tagged as collectibles"">#collectibles</a> <a href=""http://picbear.com/tag/2018"" title=""posts tagged as 2018"">#2018</a> <a href=""http://picbear.com/tag/mezcal"" title=""posts tagged as mezcal"">#mezcal</a> 100 % <a href=""http://picbear.com/tag/oaxaca"" title=""posts tagged as oaxaca"">#oaxaca</a> <a href=""http://picbear.com/tag/mezcallier"" title=""posts tagged as mezcallier"">#mezcallier</a> <a href=""http://picbear.com/tag/bartender"" title=""posts tagged as bartender"">#bartender</a> <a href=""http://picbear.com/tag/premium"" title=""posts tagged as premium"">#premium</a> <a href=""http://picbear.com/tag/liquors"" title=""posts tagged as liquors"">#liquors</a> <a href=""http://picbear.com/tag/agave"" title=""posts tagged as agave"">#agave</a> <a href=""http://picbear.com/tag/organic"" title=""posts tagged as organic"">#organic</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/travelleisure"" title=""posts tagged as travelleisure"">#travelleisure</a> <a href=""http://picbear.com/tag/sybarite"" title=""posts tagged as sybarite"">#sybarite</a> <a href=""http://picbear.com/tag/tourisme"" title=""posts tagged as tourisme"">#tourisme</a> <a href=""http://picbear.com/tag/tourism"" title=""posts tagged as tourism"">#tourism</a> <a href=""http://picbear.com/tag/bonvivant"" title=""posts tagged as bonvivant"">#bonvivant</a> <a href=""http://picbear.com/tag/yolo"" title=""posts tagged as yolo"">#yolo</a> <a href=""http://picbear.com/tag/alfredolugano"" title=""posts tagged as alfredolugano"">#alfredolugano</a> <a href=""http://picbear.com/tag/ilovemyselfcondesa"" title=""posts tagged as ilovemyselfcondesa"">#ilovemyselfcondesa</a> <a href=""http://picbear.com/tag/cdmx"" title=""posts tagged as cdmx"">#cdmx</a>🇲🇽</p>",27,0
November 07 2017 - 04:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22708841_1920102788265928_1125132434841534464_n.jpg,http://picbear.com/media/1631402794789783829_864396655,November 07 2017 - 04:32,October 22 2017 - 21:53,"<p>To BE or not to BE, c'est la question.  2018 <a href=""http://picbear.com/tag/advertising"" title=""posts tagged as advertising"">#advertising</a> <a href=""http://picbear.com/tag/vignettes"" title=""posts tagged as vignettes"">#vignettes</a> <a href=""http://picbear.com/tag/mezcal"" title=""posts tagged as mezcal"">#mezcal</a> <a href=""http://picbear.com/tag/ponteloco"" title=""posts tagged as ponteloco"">#ponteloco</a> , a <a href=""http://picbear.com/tag/tipsy"" title=""posts tagged as tipsy"">#tipsy</a> world awaits. 100 % <a href=""http://picbear.com/tag/oaxaca"" title=""posts tagged as oaxaca"">#oaxaca</a> <a href=""http://picbear.com/tag/premium"" title=""posts tagged as premium"">#premium</a> <a href=""http://picbear.com/tag/agave"" title=""posts tagged as agave"">#agave</a> <a href=""http://picbear.com/tag/liquor"" title=""posts tagged as liquor"">#liquor</a> <a href=""http://picbear.com/tag/alfredolugano"" title=""posts tagged as alfredolugano"">#alfredolugano</a> <a href=""http://picbear.com/tag/mezcallier"" title=""posts tagged as mezcallier"">#mezcallier</a> <a href=""http://picbear.com/tag/bartender"" title=""posts tagged as bartender"">#bartender</a> <a href=""http://picbear.com/tag/organic"" title=""posts tagged as organic"">#organic</a> <a href=""http://picbear.com/tag/traditional"" title=""posts tagged as traditional"">#traditional</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/travelleisure"" title=""posts tagged as travelleisure"">#travelleisure</a> <a href=""http://picbear.com/tag/tourisme"" title=""posts tagged as tourisme"">#tourisme</a> <a href=""http://picbear.com/tag/tourism"" title=""posts tagged as tourism"">#tourism</a> <a href=""http://picbear.com/tag/bonvivant"" title=""posts tagged as bonvivant"">#bonvivant</a> <a href=""http://picbear.com/tag/sibarita"" title=""posts tagged as sibarita"">#sibarita</a> <a href=""http://picbear.com/tag/yolo"" title=""posts tagged as yolo"">#yolo</a> <a href=""http://picbear.com/tag/ilovemyselfcondesa"" title=""posts tagged as ilovemyselfcondesa"">#ilovemyselfcondesa</a> <a href=""http://picbear.com/tag/cdmx"" title=""posts tagged as cdmx"">#cdmx</a>🇲🇽</p>",16,2
November 07 2017 - 04:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c11.0.297.297/22636889_281614188910167_7822758707430686720_n.jpg,http://picbear.com/media/1630924277434280336_864396655,November 07 2017 - 04:32,October 22 2017 - 06:02,"<p><a href=""http://picbear.com/tag/skulls"" title=""posts tagged as skulls"">#skulls</a> r Us <a href=""http://picbear.com/tag/designs"" title=""posts tagged as designs"">#designs</a> 4 the <a href=""http://picbear.com/tag/young"" title=""posts tagged as young"">#young</a> <a href=""http://picbear.com/tag/modern"" title=""posts tagged as modern"">#modern</a> minded <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> oriented men &amp; women by <a href=""http://picbear.com/tag/alfredolugano"" title=""posts tagged as alfredolugano"">#alfredolugano</a> <a href=""http://picbear.com/tag/contemporary"" title=""posts tagged as contemporary"">#contemporary</a> <a href=""http://picbear.com/tag/studioart"" title=""posts tagged as studioart"">#studioart</a> <a href=""http://picbear.com/tag/graphicdesign"" title=""posts tagged as graphicdesign"">#graphicdesign</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/travelleisure"" title=""posts tagged as travelleisure"">#travelleisure</a> <a href=""http://picbear.com/tag/yolo"" title=""posts tagged as yolo"">#yolo</a> <a href=""http://picbear.com/tag/ilovemyselfcondesa"" title=""posts tagged as ilovemyselfcondesa"">#ilovemyselfcondesa</a> <a href=""http://picbear.com/tag/cdmx"" title=""posts tagged as cdmx"">#cdmx</a>🇲🇽 <a href=""http://picbear.com/tag/mexicocity"" title=""posts tagged as mexicocity"">#mexicocity</a></p>",23,0
November 07 2017 - 04:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580938_394086961010199_5476395924479541248_n.jpg,http://picbear.com/media/1628772492661240978_864396655,November 07 2017 - 04:32,October 19 2017 - 06:47,"<p><a href=""http://picbear.com/tag/designweek"" title=""posts tagged as designweek"">#designweek</a> <a href=""http://picbear.com/tag/mexico"" title=""posts tagged as mexico"">#mexico</a> <a href=""http://picbear.com/tag/artisanal"" title=""posts tagged as artisanal"">#artisanal</a> <a href=""http://picbear.com/tag/handcrafted"" title=""posts tagged as handcrafted"">#handcrafted</a> <a href=""http://picbear.com/tag/rebozo"" title=""posts tagged as rebozo"">#rebozo</a> <a href=""http://picbear.com/tag/sweden"" title=""posts tagged as sweden"">#sweden</a> &amp; <a href=""http://picbear.com/tag/mexican"" title=""posts tagged as mexican"">#mexican</a> hands <a href=""http://picbear.com/tag/tripadvisor"" title=""posts tagged as tripadvisor"">#tripadvisor</a> <a href=""http://picbear.com/tag/travelleisure"" title=""posts tagged as travelleisure"">#travelleisure</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/bonvivant"" title=""posts tagged as bonvivant"">#bonvivant</a> <a href=""http://picbear.com/tag/tourism"" title=""posts tagged as tourism"">#tourism</a> <a href=""http://picbear.com/tag/tourisme"" title=""posts tagged as tourisme"">#tourisme</a> <a href=""http://picbear.com/tag/yolo"" title=""posts tagged as yolo"">#yolo</a> <a href=""http://picbear.com/tag/alfredolugano"" title=""posts tagged as alfredolugano"">#alfredolugano</a> <a href=""http://picbear.com/tag/ilovemyselfcondesa"" title=""posts tagged as ilovemyselfcondesa"">#ilovemyselfcondesa</a> <a href=""http://picbear.com/tag/cdmx"" title=""posts tagged as cdmx"">#cdmx</a>🇲🇽</p>",33,0
November 07 2017 - 04:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22430447_1484419634999415_7194043158211067904_n.jpg,http://picbear.com/media/1626973009661375132_864396655,November 07 2017 - 04:32,October 16 2017 - 19:11,"<p><a href=""http://picbear.com/tag/pergola"" title=""posts tagged as pergola"">#pergola</a> <a href=""http://picbear.com/tag/designweek"" title=""posts tagged as designweek"">#designweek</a> <a href=""http://picbear.com/tag/museorufinotamayo"" title=""posts tagged as museorufinotamayo"">#museorufinotamayo</a> <a href=""http://picbear.com/tag/venue"" title=""posts tagged as venue"">#venue</a> <a href=""http://picbear.com/tag/architecture"" title=""posts tagged as architecture"">#architecture</a> <a href=""http://picbear.com/tag/design"" title=""posts tagged as design"">#design</a> <a href=""http://picbear.com/tag/shade"" title=""posts tagged as shade"">#shade</a> <a href=""http://picbear.com/tag/aesthetic"" title=""posts tagged as aesthetic"">#aesthetic</a> <a href=""http://picbear.com/tag/concept"" title=""posts tagged as concept"">#concept</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/travelleisure"" title=""posts tagged as travelleisure"">#travelleisure</a> <a href=""http://picbear.com/tag/voyage"" title=""posts tagged as voyage"">#voyage</a> <a href=""http://picbear.com/tag/bonvivant"" title=""posts tagged as bonvivant"">#bonvivant</a> <a href=""http://picbear.com/tag/tourism"" title=""posts tagged as tourism"">#tourism</a> <a href=""http://picbear.com/tag/tourisme"" title=""posts tagged as tourisme"">#tourisme</a> <a href=""http://picbear.com/tag/alfredolugano"" title=""posts tagged as alfredolugano"">#alfredolugano</a> <a href=""http://picbear.com/tag/cdmx"" title=""posts tagged as cdmx"">#cdmx</a>🇲🇽 <a href=""http://picbear.com/tag/yolo"" title=""posts tagged as yolo"">#yolo</a></p>",24,3
November 07 2017 - 04:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580464_1523661004394598_1004049232228777984_n.jpg,http://picbear.com/media/1625828051852125179_864396655,November 07 2017 - 04:32,October 15 2017 - 05:17,"<p><a href=""http://picbear.com/tag/virreinato"" title=""posts tagged as virreinato"">#virreinato</a> <a href=""http://picbear.com/tag/heritage"" title=""posts tagged as heritage"">#heritage</a>; a mixture of <a href=""http://picbear.com/tag/spaniard"" title=""posts tagged as spaniard"">#spaniard</a> &amp; <a href=""http://picbear.com/tag/moriskan"" title=""posts tagged as moriskan"">#moriskan</a> <a href=""http://picbear.com/tag/architecture"" title=""posts tagged as architecture"">#architecture</a> remains in <a href=""http://picbear.com/tag/mexicocity"" title=""posts tagged as mexicocity"">#mexicocity</a> <a href=""http://picbear.com/tag/design"" title=""posts tagged as design"">#design</a> <a href=""http://picbear.com/tag/travelleisure"" title=""posts tagged as travelleisure"">#travelleisure</a> <a href=""http://picbear.com/tag/tourism"" title=""posts tagged as tourism"">#tourism</a> <a href=""http://picbear.com/tag/tourisme"" title=""posts tagged as tourisme"">#tourisme</a> <a href=""http://picbear.com/tag/vonvivant"" title=""posts tagged as vonvivant"">#vonvivant</a> <a href=""http://picbear.com/tag/voyage"" title=""posts tagged as voyage"">#voyage</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/tripadvisor"" title=""posts tagged as tripadvisor"">#tripadvisor</a> <a href=""http://picbear.com/tag/ilovemyselfcondesa"" title=""posts tagged as ilovemyselfcondesa"">#ilovemyselfcondesa</a> <a href=""http://picbear.com/tag/alfredolugano"" title=""posts tagged as alfredolugano"">#alfredolugano</a> <a href=""http://picbear.com/tag/yolo"" title=""posts tagged as yolo"">#yolo</a> <a href=""http://picbear.com/tag/cdmx"" title=""posts tagged as cdmx"">#cdmx</a>🇲🇽</p>",32,2
