user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.1.1080.1080/23099201_241221026410118_6773923428844961792_n.jpg,http://picbear.com/media/1639623571162584289_1320744315,November 07 2017 - 03:05,November 03 2017 - 06:06,<p>Shenanigans. 👯</p>,59,5
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23101388_151842555429413_1016399887429795840_n.jpg,http://picbear.com/media/1639619580190113822_1320744315,November 07 2017 - 03:05,November 03 2017 - 05:58,"<p>My niece is 15. FIFTEEN. One, when did she get so hot? I’m getting Cara Delevingne vibes from her. Two, dang I feel old. Ugh... 😍</p>",51,1
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857499_142236789744152_3879055178590060544_n.jpg,http://picbear.com/media/1636770257085575475_1320744315,November 07 2017 - 03:05,October 30 2017 - 07:37,<p>Halloween party was lit last night. 🔥</p>,73,7
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794083_289448141571949_6646866205896343552_n.jpg,http://picbear.com/media/1635072944512227133_1320744315,November 07 2017 - 03:05,October 27 2017 - 23:25,"<p>We wanted to know what 200 nuggs would look, feel, &amp; taste like. So we did it. Then invited everyone to help us finish because 3 people trying to eat 200 nuggs is like impossible. <a href=""http://picbear.com/tag/moxiworks"" title=""posts tagged as moxiworks"">#moxiworks</a></p>",55,5
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22710539_292400731248265_4622540384331890688_n.jpg,http://picbear.com/media/1634673897792182757_1320744315,November 07 2017 - 03:05,October 27 2017 - 10:12,"<p>I miss him a little extra this week. ❤️ <a href=""http://picbear.com/tag/nikolayshimanskiy"" title=""posts tagged as nikolayshimanskiy"">#nikolayshimanskiy</a></p>",128,9
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.1.1080.1080/22709330_1342733862502450_2666165472285687808_n.jpg,http://picbear.com/media/1631328263039228371_1320744315,November 07 2017 - 03:05,October 22 2017 - 19:25,"<p>Went to Bellingham this weekend to hang out with da homieeez. Love y’all! 😘 <a href=""http://picbear.com/tag/bham"" title=""posts tagged as bham"">#bham</a></p>",68,2
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22581774_145404862860238_7448893508099768320_n.jpg,http://picbear.com/media/1628096618941228288_1320744315,November 07 2017 - 03:05,October 18 2017 - 08:24,"<p>Everyone is getting sick. I’m tryna stay alive. Plenty of soup, hydration, vitamins, sleep, and dank memes will save me.</p>",88,4
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.1.1080.1080/22499843_1947079748899486_2787059554603499520_n.jpg,http://picbear.com/media/1627366036548531456_1320744315,November 07 2017 - 03:05,October 17 2017 - 08:12,"<p>So I’ve been seeing someone special... and it’s his birthday today. So I wanted to post some hard to get pics of Adan and just say that he’s pretty cool and I really appreciate him. ❤️ <a href=""http://picbear.com/tag/endofgush"" title=""posts tagged as endofgush"">#endofgush</a></p>",102,9
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22430050_2022662611285800_226950843629305856_n.jpg,http://picbear.com/media/1624500466715048995_1320744315,November 07 2017 - 03:05,October 13 2017 - 09:19,<p>Thankful for co-workers that become friends and also enjoy good coffee as much as I do. ☕️</p>,84,3
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.132.1080.1080/22344422_1582003855170054_8344026127798370304_n.jpg,http://picbear.com/media/1622657496877506685_1320744315,November 07 2017 - 03:05,October 10 2017 - 20:17,"<p>HAPPY BIRTHDAY ABS! I miss you and love you and hope you’re having fun in Germany. <a href=""http://picbear.com/davidosach"" title=""davidosach instagram profile"">@davidosach</a> give her an extra tight hug from me!</p>",69,5
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344653_1505320319553410_8550445838046855168_n.jpg,http://picbear.com/media/1622313994905717692_1320744315,November 07 2017 - 03:05,October 10 2017 - 08:55,<p>My dad and his Romanian best friend who had a sweet ‘stache. 👨🏻</p>,103,4
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22280037_173585243194014_2254816560059252736_n.jpg,http://picbear.com/media/1621561395479048243_1320744315,November 07 2017 - 03:05,October 09 2017 - 08:00,<p>My sexy sexy weird friendz. 👯</p>,47,2
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22220803_140507323234348_7585572527238283264_n.jpg,http://picbear.com/media/1619704538762099464_1320744315,November 07 2017 - 03:05,October 06 2017 - 18:30,"<p>After being away for so long, then working from home all week, I’m finally going in to work today. Happy it’s a Friday!</p>",108,2
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22221341_1973625322926185_6510472256622166016_n.jpg,http://picbear.com/media/1618710425514362341_1320744315,November 07 2017 - 03:05,October 05 2017 - 09:35,<p>I miss my boo! 😭 Hope Ireland is treating you well Mads!</p>,78,8
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20214035_1538089259618824_5822376194670067712_n.jpg,http://picbear.com/media/1616577616301644336_1320744315,November 07 2017 - 03:05,October 02 2017 - 10:58,<p>Hyping myself to tackle life again. Time to get back on that daily grind...</p>,86,3
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22070060_1754184388215528_5551635329074593792_n.jpg,http://picbear.com/media/1615826866369746592_1320744315,November 07 2017 - 03:05,October 01 2017 - 10:06,<p>Got to catch up with these kool kids today. It’s been waaay too long! 😘 Love y’all.</p>,75,4
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980792_1516673631746736_6317249194167894016_n.jpg,http://picbear.com/media/1613737118339947221_1320744315,November 07 2017 - 03:05,September 28 2017 - 12:54,<p>That’s Riley and he only has three legs and he loves to bring out all the loose laundry socks into the yard.</p>,126,1
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21910580_1421736127940260_380753708398411776_n.jpg,http://picbear.com/media/1609844362148137587_1320744315,November 07 2017 - 03:05,September 23 2017 - 04:00,<p>Needed a break from the madness. This cafe is BOMB and played all the throwbacks. Breakfast at 4pm is always 👌🏽.</p>,102,5
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879385_131139337528600_6910646883715121152_n.jpg,http://picbear.com/media/1606321049648146428_1320744315,November 07 2017 - 03:05,September 18 2017 - 07:20,"<p>Last night, the best man in my life passed away. I love you Pops... <a href=""http://picbear.com/tag/nikolayshimanskiy"" title=""posts tagged as nikolayshimanskiy"">#nikolayshimanskiy</a></p>",139,39
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21688989_1013235448819644_6237352206777974784_n.jpg,http://picbear.com/media/1604876987581613462_1320744315,November 07 2017 - 03:06,September 16 2017 - 07:31,"<p>Last night and today has been the worst thus far in my dad's health decline and the whole fam was around all day. Although we're all dealing with things in our own way and feeling a lot of things, it's nice to have stupid silly moments during this crazy time. Like laughing hysterically while laying on the kitchen floor and drinking Rosé wine.  Can't tell if we're having a break down or just having fun. Why not both? 🥂</p>",94,9
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21690003_1967716500177884_6892054219398840320_n.jpg,http://picbear.com/media/1602772800811157539_1320744315,November 07 2017 - 03:06,September 13 2017 - 09:50,<p>She is not a snack that smiles back. ✋🏽</p>,80,4
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21435447_1960763810859116_1868713968109879296_n.jpg,http://picbear.com/media/1599919521739745272_1320744315,November 07 2017 - 03:06,September 09 2017 - 11:21,<p>You can find me sunset watching on the beach while eating bomb chips. ✌🏽</p>,82,6
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21227711_1396372567142661_2682884208010985472_n.jpg,http://picbear.com/media/1594825600651002153_1320744315,November 07 2017 - 03:06,September 02 2017 - 10:40,"<p>Said bye to this cool chick tonight. 😭 Goodbye Abs! Have an unforgettable time in Germany - <a href=""http://picbear.com/davidosach"" title=""davidosach instagram profile"">@davidosach</a> take good care of her! 😭</p>",96,2
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20987416_956047491203724_7457689455093088256_n.jpg,http://picbear.com/media/1587569744708482820_1320744315,November 07 2017 - 03:06,August 23 2017 - 10:24,"<p>Cleaning up the rest of my boxes... I ran into some super old letters from an ex. They were very painful to read (in that they made me laugh a lot and cringe and tear up). It's crazy how time flies and people change. Holy cow. Also, I miss writing and getting regular letters! That was definitely a different time...</p>",110,4
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041425_112154986123295_6530959473962385408_n.jpg,http://picbear.com/media/1586818430382871016_1320744315,November 07 2017 - 03:06,August 22 2017 - 09:31,<p>My weekend: Wild Waves with friends and fam. 2 Chainz concert with the boys. Midnight breakfast at Beth's. My first eclipse. I'm ready to sleep for a week now...</p>,84,3
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.132.1080.1080/20902052_1039585779512133_3550667605545058304_n.jpg,http://picbear.com/media/1583154368532780334_1320744315,November 07 2017 - 03:06,August 17 2017 - 08:12,"<p>I tried alligator for the first time today. Yes, it tasted just like chicken, but gamier! Also, this place has money taped to the ceiling...? Cool. 🐊💵</p>",80,6
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/20766375_179494152594112_1837400542670749696_n.jpg,http://picbear.com/media/1580987327298388135_1320744315,November 07 2017 - 03:06,August 14 2017 - 08:26,<p>Had an awesome 3-day weekend road-tripping to Idaho and going to Silverwood with the squad. Conquered my fear of crazy slides. Then ended the night playing Uno and eating yummy pizza at this awesome random pizza/skate shop we found. 10/10 vacay! 💦</p>,82,2
November 07 2017 - 03:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20634031_505078896494093_5867130776096604160_n.jpg,http://picbear.com/media/1578087348988618566_1320744315,November 07 2017 - 03:06,August 10 2017 - 08:24,"<p>Surround yourself with people that keep you going. Like this dude... Who distracts me with his silliness (i.e. letting me do all the rowing while he pretended to contribute). I'm not a violent person, but sometimes...</p>",88,1
