user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22582734_719150754962683_7091275796387463168_n.jpg,http://picbear.com/media/1627624668960531696_2723149018,November 06 2017 - 20:03,October 17 2017 - 16:46,"<p><a href=""http://picbear.com/tag/colours"" title=""posts tagged as colours"">#colours</a> <a href=""http://picbear.com/tag/peace"" title=""posts tagged as peace"">#peace</a> <a href=""http://picbear.com/tag/mylove"" title=""posts tagged as mylove"">#mylove</a> <a href=""http://picbear.com/tag/complete"" title=""posts tagged as complete"">#complete</a> <a href=""http://picbear.com/tag/amour"" title=""posts tagged as amour"">#amour</a> <a href=""http://picbear.com/tag/casual"" title=""posts tagged as casual"">#casual</a> <a href=""http://picbear.com/tag/dayoffwork"" title=""posts tagged as dayoffwork"">#dayoffwork</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> 🙀</p>",11,0
November 06 2017 - 20:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22427495_1957028794578093_3074440287439814656_n.jpg,http://picbear.com/media/1626021314752760949_2723149018,November 06 2017 - 20:03,October 15 2017 - 11:41,"<p><a href=""http://picbear.com/tag/sunrise"" title=""posts tagged as sunrise"">#sunrise</a> 💛🌅🌴 <a href=""http://picbear.com/tag/sunday"" title=""posts tagged as sunday"">#sunday</a> <a href=""http://picbear.com/tag/weekendvibes"" title=""posts tagged as weekendvibes"">#weekendvibes</a> <a href=""http://picbear.com/tag/sunnyday"" title=""posts tagged as sunnyday"">#sunnyday</a> <a href=""http://picbear.com/tag/relaxing"" title=""posts tagged as relaxing"">#relaxing</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/morning"" title=""posts tagged as morning"">#morning</a> <a href=""http://picbear.com/tag/enjoying"" title=""posts tagged as enjoying"">#enjoying</a> <a href=""http://picbear.com/tag/simple"" title=""posts tagged as simple"">#simple</a> <a href=""http://picbear.com/tag/things"" title=""posts tagged as things"">#things</a> <a href=""http://picbear.com/tag/positivevibes"" title=""posts tagged as positivevibes"">#positivevibes</a> <a href=""http://picbear.com/tag/purrrfect"" title=""posts tagged as purrrfect"">#purrrfect</a></p>",13,0
November 06 2017 - 20:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22157556_473787453020979_8883815246737702912_n.jpg,http://picbear.com/media/1616630808021098608_2723149018,November 06 2017 - 20:03,October 02 2017 - 12:43,"<p>😺 From box to bucket😼#playful <a href=""http://picbear.com/tag/crazyday"" title=""posts tagged as crazyday"">#crazyday</a> <a href=""http://picbear.com/tag/energized"" title=""posts tagged as energized"">#energized</a> <a href=""http://picbear.com/tag/infinite"" title=""posts tagged as infinite"">#infinite</a> <a href=""http://picbear.com/tag/fluff"" title=""posts tagged as fluff"">#fluff</a> <a href=""http://picbear.com/tag/mybaby"" title=""posts tagged as mybaby"">#mybaby</a> <a href=""http://picbear.com/tag/together"" title=""posts tagged as together"">#together</a> <a href=""http://picbear.com/tag/mylove"" title=""posts tagged as mylove"">#mylove</a> <a href=""http://picbear.com/tag/sammy"" title=""posts tagged as sammy"">#sammy</a> <a href=""http://picbear.com/tag/bigeyes"" title=""posts tagged as bigeyes"">#bigeyes</a> <a href=""http://picbear.com/tag/tigress"" title=""posts tagged as tigress"">#tigress</a> <a href=""http://picbear.com/tag/strongcat"" title=""posts tagged as strongcat"">#strongcat</a> <a href=""http://picbear.com/tag/purrrfect"" title=""posts tagged as purrrfect"">#purrrfect</a> <a href=""http://picbear.com/tag/day"" title=""posts tagged as day"">#day</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/meow"" title=""posts tagged as meow"">#meow</a> <a href=""http://picbear.com/tag/catsofinstagram"" title=""posts tagged as catsofinstagram"">#catsofinstagram</a> <a href=""http://picbear.com/tag/catlover"" title=""posts tagged as catlover"">#catlover</a> <a href=""http://picbear.com/tag/buburuză"" title=""posts tagged as buburuză"">#buburuză</a> <a href=""http://picbear.com/tag/instacat"" title=""posts tagged as instacat"">#instacat</a> <a href=""http://picbear.com/tag/monamour"" title=""posts tagged as monamour"">#monamour</a>💖 <a href=""http://picbear.com/tag/packoffluff"" title=""posts tagged as packoffluff"">#packoffluff</a></p>",26,1
November 06 2017 - 20:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22071207_1279156162211780_4964093625571999744_n.jpg,http://picbear.com/media/1616630696092001690_2723149018,November 06 2017 - 20:03,October 02 2017 - 12:43,"<p>Sammy love 💜😺😽 <a href=""http://picbear.com/tag/mybaby"" title=""posts tagged as mybaby"">#mybaby</a> <a href=""http://picbear.com/tag/catlover"" title=""posts tagged as catlover"">#catlover</a> <a href=""http://picbear.com/tag/pretty"" title=""posts tagged as pretty"">#pretty</a> <a href=""http://picbear.com/tag/purring"" title=""posts tagged as purring"">#purring</a> <a href=""http://picbear.com/tag/instacat"" title=""posts tagged as instacat"">#instacat</a> <a href=""http://picbear.com/tag/crazyeyes"" title=""posts tagged as crazyeyes"">#crazyeyes</a> <a href=""http://picbear.com/tag/relaxing"" title=""posts tagged as relaxing"">#relaxing</a> <a href=""http://picbear.com/tag/packoffluff"" title=""posts tagged as packoffluff"">#packoffluff</a> <a href=""http://picbear.com/tag/home"" title=""posts tagged as home"">#home</a> <a href=""http://picbear.com/tag/sweetness"" title=""posts tagged as sweetness"">#sweetness</a> <a href=""http://picbear.com/tag/catsofinstagram"" title=""posts tagged as catsofinstagram"">#catsofinstagram</a> <a href=""http://picbear.com/tag/moodboost"" title=""posts tagged as moodboost"">#moodboost</a> <a href=""http://picbear.com/tag/princess"" title=""posts tagged as princess"">#princess</a> <a href=""http://picbear.com/tag/addictive"" title=""posts tagged as addictive"">#addictive</a> <a href=""http://picbear.com/tag/moments"" title=""posts tagged as moments"">#moments</a> <a href=""http://picbear.com/tag/kitty"" title=""posts tagged as kitty"">#kitty</a> <a href=""http://picbear.com/tag/tigress"" title=""posts tagged as tigress"">#tigress</a> <a href=""http://picbear.com/tag/purrrfect"" title=""posts tagged as purrrfect"">#purrrfect</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/mylove"" title=""posts tagged as mylove"">#mylove</a> <a href=""http://picbear.com/tag/ilovemycats"" title=""posts tagged as ilovemycats"">#ilovemycats</a></p>",26,0
November 06 2017 - 20:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22220480_2053508041536799_365844055847862272_n.jpg,http://picbear.com/media/1616624160208818508_2723149018,November 06 2017 - 20:03,October 02 2017 - 12:30,"<p><a href=""http://picbear.com/tag/feeling"" title=""posts tagged as feeling"">#feeling</a><a href=""http://picbear.com/tag/crazy"" title=""posts tagged as crazy"">#crazy</a> <a href=""http://picbear.com/tag/playtime"" title=""posts tagged as playtime"">#playtime</a> <a href=""http://picbear.com/tag/together"" title=""posts tagged as together"">#together</a> <a href=""http://picbear.com/tag/purrrfect"" title=""posts tagged as purrrfect"">#purrrfect</a> <a href=""http://picbear.com/tag/quality"" title=""posts tagged as quality"">#quality</a> <a href=""http://picbear.com/tag/time"" title=""posts tagged as time"">#time</a> <a href=""http://picbear.com/tag/tigress"" title=""posts tagged as tigress"">#tigress</a> <a href=""http://picbear.com/tag/furrybabies"" title=""posts tagged as furrybabies"">#furrybabies</a> <a href=""http://picbear.com/tag/hiding"" title=""posts tagged as hiding"">#hiding</a> <a href=""http://picbear.com/tag/readyforattack"" title=""posts tagged as readyforattack"">#readyforattack</a> <a href=""http://picbear.com/tag/funny"" title=""posts tagged as funny"">#funny</a> <a href=""http://picbear.com/tag/moments"" title=""posts tagged as moments"">#moments</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a></p>",21,0
November 06 2017 - 20:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22157191_359414187847872_5505361291297947648_n.jpg,http://picbear.com/media/1616623887520157533_2723149018,November 06 2017 - 20:03,October 02 2017 - 12:30,"<p>Hungry cats😺 <a href=""http://picbear.com/tag/goodmorning"" title=""posts tagged as goodmorning"">#goodmorning</a> <a href=""http://picbear.com/tag/greeneyes"" title=""posts tagged as greeneyes"">#greeneyes</a> <a href=""http://picbear.com/tag/tigress"" title=""posts tagged as tigress"">#tigress</a> <a href=""http://picbear.com/tag/grouphunger"" title=""posts tagged as grouphunger"">#grouphunger</a> 😹 <a href=""http://picbear.com/tag/crazyeyes"" title=""posts tagged as crazyeyes"">#crazyeyes</a> <a href=""http://picbear.com/tag/thepowerofcats"" title=""posts tagged as thepowerofcats"">#thepowerofcats</a> <a href=""http://picbear.com/tag/speechless"" title=""posts tagged as speechless"">#speechless</a> <a href=""http://picbear.com/tag/shoutingsilence"" title=""posts tagged as shoutingsilence"">#shoutingsilence</a> <a href=""http://picbear.com/tag/pufi"" title=""posts tagged as pufi"">#pufi</a>🐾🐈😻😽 <a href=""http://picbear.com/tag/purrrfect"" title=""posts tagged as purrrfect"">#purrrfect</a> <a href=""http://picbear.com/tag/catlover"" title=""posts tagged as catlover"">#catlover</a> <a href=""http://picbear.com/tag/mybabies"" title=""posts tagged as mybabies"">#mybabies</a> <a href=""http://picbear.com/tag/proud"" title=""posts tagged as proud"">#proud</a> <a href=""http://picbear.com/tag/mama"" title=""posts tagged as mama"">#mama</a> <a href=""http://picbear.com/tag/furrybabies"" title=""posts tagged as furrybabies"">#furrybabies</a> <a href=""http://picbear.com/tag/mylove"" title=""posts tagged as mylove"">#mylove</a> 💟 <a href=""http://picbear.com/tag/feeling"" title=""posts tagged as feeling"">#feeling</a> <a href=""http://picbear.com/tag/complete"" title=""posts tagged as complete"">#complete</a></p>",14,0
November 06 2017 - 20:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21980971_1926668224257535_4245599881042853888_n.jpg,http://picbear.com/media/1612565973126037639_2723149018,November 06 2017 - 20:03,September 26 2017 - 22:07,"<p>Buy them a toy and will most likely ignore it, give them an empty bag and they'll go CRAZY 😼😼😼#playful <a href=""http://picbear.com/tag/cats"" title=""posts tagged as cats"">#cats</a> <a href=""http://picbear.com/tag/mimi"" title=""posts tagged as mimi"">#mimi</a> <a href=""http://picbear.com/tag/greeneyes"" title=""posts tagged as greeneyes"">#greeneyes</a> <a href=""http://picbear.com/tag/good"" title=""posts tagged as good"">#good</a> <a href=""http://picbear.com/tag/mood"" title=""posts tagged as mood"">#mood</a> <a href=""http://picbear.com/tag/perfectday"" title=""posts tagged as perfectday"">#perfectday</a> <a href=""http://picbear.com/tag/energized"" title=""posts tagged as energized"">#energized</a> <a href=""http://picbear.com/tag/active"" title=""posts tagged as active"">#active</a> <a href=""http://picbear.com/tag/crazycats"" title=""posts tagged as crazycats"">#crazycats</a> <a href=""http://picbear.com/tag/instacat"" title=""posts tagged as instacat"">#instacat</a></p>",21,0
November 06 2017 - 20:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/21911045_148562822413311_756066612355792896_n.jpg,http://picbear.com/media/1612559359195070472_2723149018,November 06 2017 - 20:04,September 26 2017 - 21:54,"<p>Crazy like good old days💛 <a href=""http://picbear.com/tag/sammy"" title=""posts tagged as sammy"">#sammy</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/fluffypack"" title=""posts tagged as fluffypack"">#fluffypack</a> <a href=""http://picbear.com/tag/bigeyes"" title=""posts tagged as bigeyes"">#bigeyes</a> <a href=""http://picbear.com/tag/furrybaby"" title=""posts tagged as furrybaby"">#furrybaby</a> <a href=""http://picbear.com/tag/inlove"" title=""posts tagged as inlove"">#inlove</a> 😻#goodvibes <a href=""http://picbear.com/tag/lovecats"" title=""posts tagged as lovecats"">#lovecats</a> <a href=""http://picbear.com/tag/mytigress"" title=""posts tagged as mytigress"">#mytigress</a> <a href=""http://picbear.com/tag/crazyinlove"" title=""posts tagged as crazyinlove"">#crazyinlove</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instacat"" title=""posts tagged as instacat"">#instacat</a> <a href=""http://picbear.com/tag/iloveyou"" title=""posts tagged as iloveyou"">#iloveyou</a> <a href=""http://picbear.com/tag/catsofinstagram"" title=""posts tagged as catsofinstagram"">#catsofinstagram</a> <a href=""http://picbear.com/tag/neverletgo"" title=""posts tagged as neverletgo"">#neverletgo</a> 😽💖😺</p>",14,0
November 06 2017 - 20:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21576692_1626606640732902_1554413509838635008_n.jpg,http://picbear.com/media/1604514595833073527_2723149018,November 06 2017 - 20:04,September 15 2017 - 19:31,"<p><a href=""http://picbear.com/tag/ayanapa"" title=""posts tagged as ayanapa"">#ayanapa</a> 🌴🌊🌅😻🌴</p>",14,0
November 06 2017 - 20:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21480606_340762196383324_5425002066642731008_n.jpg,http://picbear.com/media/1601001212995384489_2723149018,November 06 2017 - 20:04,September 10 2017 - 23:10,"<p><a href=""http://picbear.com/tag/feelingmyself"" title=""posts tagged as feelingmyself"">#feelingmyself</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/positivevibes"" title=""posts tagged as positivevibes"">#positivevibes</a> <a href=""http://picbear.com/tag/pink"" title=""posts tagged as pink"">#pink</a> <a href=""http://picbear.com/tag/mood"" title=""posts tagged as mood"">#mood</a> <a href=""http://picbear.com/tag/feeling"" title=""posts tagged as feeling"">#feeling</a> <a href=""http://picbear.com/tag/crazy"" title=""posts tagged as crazy"">#crazy</a> <a href=""http://picbear.com/tag/selfies"" title=""posts tagged as selfies"">#selfies</a> <a href=""http://picbear.com/tag/crazyhairdontcare"" title=""posts tagged as crazyhairdontcare"">#crazyhairdontcare</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/weekendvibes"" title=""posts tagged as weekendvibes"">#weekendvibes</a> <a href=""http://picbear.com/tag/hatersgonnahate"" title=""posts tagged as hatersgonnahate"">#hatersgonnahate</a> 😹#purrrfect <a href=""http://picbear.com/tag/jesuisunique"" title=""posts tagged as jesuisunique"">#jesuisunique</a> <a href=""http://picbear.com/tag/contente"" title=""posts tagged as contente"">#contente</a> <a href=""http://picbear.com/tag/sourire"" title=""posts tagged as sourire"">#sourire</a> <a href=""http://picbear.com/tag/promenade"" title=""posts tagged as promenade"">#promenade</a> <a href=""http://picbear.com/tag/avecamour"" title=""posts tagged as avecamour"">#avecamour</a> 💛😺🌷</p>",22,0
