user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23098984_127945414569985_2184352523442192384_n.jpg,http://picbear.com/media/1639610548905609607_1282003030,November 07 2017 - 03:17,November 03 2017 - 05:40,<p>El novio mas lindo del 🌎❤</p>,37,2
November 07 2017 - 03:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.721.721/23100971_364314380689849_3895893907111673856_n.jpg,http://picbear.com/media/1639353408081273673_1282003030,November 07 2017 - 03:17,November 02 2017 - 21:09,<p>Como tú no hay dos 🎶</p>,83,7
November 07 2017 - 03:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.126.1014.1014/23098810_363454734100874_3921008685425360896_n.jpg,http://picbear.com/media/1637177905284273476_1282003030,November 07 2017 - 03:17,October 30 2017 - 21:07,<p>La mejor abuu❤❤</p>,27,1
November 07 2017 - 03:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709528_1902400516443621_6442085949089251328_n.jpg,http://picbear.com/media/1633508282483506218_1282003030,November 07 2017 - 03:17,October 25 2017 - 19:36,"<p>Ella era una gran historia El era un Gran lector. 📷 <a href=""http://picbear.com/aleaoki56"" title=""aleaoki56 instagram profile"">@aleaoki56</a></p>",54,7
November 07 2017 - 03:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c147.0.786.786/22580968_137511733642421_2802010971416035328_n.jpg,http://picbear.com/media/1629303147993542685_1282003030,November 07 2017 - 03:17,October 20 2017 - 00:21,<p>😍 No pido más con tenerlo a usted mi compañero de vida ❤👫</p>,21,1
November 07 2017 - 03:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580946_1317008915078081_1707941217527922688_n.jpg,http://picbear.com/media/1627884462623949500_1282003030,November 07 2017 - 03:17,October 18 2017 - 01:22,"<p>Tuesday ☀ Let your light shine🌠 Gracias <a href=""http://picbear.com/aleaoki56"" title=""aleaoki56 instagram profile"">@aleaoki56</a> la mejor🌷😳</p>",56,11
November 07 2017 - 03:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344279_1647438481985273_3203716934738640896_n.jpg,http://picbear.com/media/1622007815731641297_1282003030,November 07 2017 - 03:17,October 09 2017 - 22:47,<p>❤🐈</p>,19,1
November 07 2017 - 03:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20065489_1431442136938076_517474723727147008_n.jpg,http://picbear.com/media/1560656552775797494_1282003030,November 07 2017 - 03:17,July 17 2017 - 07:13,"<p>Life is short: Break the rules, forgive fast, kiss slowly, really love, laugh hard and never regret something that made you happy.</p>",33,7
November 07 2017 - 03:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.24.527.527/19624845_445674432484330_6010946733800947712_n.jpg,http://picbear.com/media/1551877248201841205_1282003030,November 07 2017 - 03:17,July 05 2017 - 04:30,"<p>''La mente sbaglia, il coure non perdona''.</p>",24,4
November 07 2017 - 03:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.68.544.544/19931974_325513281223022_3181104597645131776_n.jpg,http://picbear.com/media/1551869914368987691_1282003030,November 07 2017 - 03:17,July 05 2017 - 04:15,,25,5
