user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857553_720950694760249_7719446898372771840_n.jpg,http://picbear.com/media/1637160099321653146_4752481462,November 07 2017 - 03:32,October 30 2017 - 20:31,"<p><a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a>🌷</p>",420,6
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22861081_139955603315738_2623518813563387904_n.jpg,http://picbear.com/media/1635493921754911674_4752481462,November 07 2017 - 03:32,October 28 2017 - 13:21,<p>🌷</p>,453,5
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802593_137460866901091_4297883806427250688_n.jpg,http://picbear.com/media/1623478050513874227_4752481462,November 07 2017 - 03:32,October 11 2017 - 23:28,<p>KALDIĞIMIZ YERDEN DEVAM EDİYORUZ 😉👍</p>,470,6
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22858059_124191781593880_2895533562163888128_n.jpg,http://picbear.com/media/1622820158689026647_4752481462,November 07 2017 - 03:32,October 11 2017 - 01:40,<p>KIRMIZIYA OLAN A AŞKIMIZ BAYRAKTAN DOLAYIDIR SAYGILAR SEVGİLER 😊❤👍</p>,477,0
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857634_933004940184135_3883052079450685440_n.jpg,http://picbear.com/media/1578526976262661032_4752481462,November 07 2017 - 03:32,August 10 2017 - 22:58,<p>👑</p>,429,3
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857692_301594040328006_989943129404604416_n.jpg,http://picbear.com/media/1577676340969297698_4752481462,November 07 2017 - 03:32,August 09 2017 - 18:48,<p>YENİ SAÇLAR STİL GİBİ 🙄🙄🌼🌙</p>,460,6
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794397_308075736375021_3470270460623585280_n.jpg,http://picbear.com/media/1571316318869688414_4752481462,November 07 2017 - 03:32,August 01 2017 - 00:12,<p>ÇAYIMA ŞEKER BİLE OLMADIN PİSLİK😂😂🌷🌷</p>,409,5
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802603_515153798839441_7977072312530763776_n.jpg,http://picbear.com/media/1566183799925212008_4752481462,November 07 2017 - 03:32,July 24 2017 - 22:14,<p>🐼</p>,302,0
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802773_350421508739543_8791627428746231808_n.jpg,http://picbear.com/media/1564798923514786898_4752481462,November 07 2017 - 03:32,July 23 2017 - 00:23,<p>YORUMLA😉💥💥</p>,461,14
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860736_289380798246110_1728193865229271040_n.jpg,http://picbear.com/media/1562334347883799953_4752481462,November 07 2017 - 03:32,July 19 2017 - 14:46,"<p>Ah eskiler 🌸✔ <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a></p>",524,2
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802221_330132627450665_4482028948695285760_n.jpg,http://picbear.com/media/1561857133723722637_4752481462,November 07 2017 - 03:32,July 18 2017 - 22:58,<p>🚔🌸</p>,481,4
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802272_149520205664509_1008781422900543488_n.jpg,http://picbear.com/media/1558038891456578725_4752481462,November 07 2017 - 03:33,July 13 2017 - 16:32,<p>❤️🇹🇷🇹🇷😊🤘</p>,388,2
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860239_124865878201959_7149511618731180032_n.jpg,http://picbear.com/media/1543208437910072958_4752481462,November 07 2017 - 03:33,June 23 2017 - 05:26,<p>🌹</p>,398,1
November 07 2017 - 03:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857611_457521034641785_4405991887068987392_n.jpg,http://picbear.com/media/1542214811956373846_4752481462,November 07 2017 - 03:33,June 21 2017 - 20:32,<p>🌼💫</p>,428,0
