user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.100.800.800/22280453_359957801108784_2276922086716866560_n.jpg,http://picbear.com/media/1621870986595011824_1990180051,October 25 2017 - 15:55,October 09 2017 - 18:15,"<p><a href=""http://picbear.com/amelyadube"" title=""amelyadube instagram profile"">@amelyadube</a> love you so much🔥🔥😘😍</p>",17,3
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c84.0.245.245/22344562_1996347003956858_2956184174035206144_n.jpg,http://picbear.com/media/1619928889650422558_1990180051,October 25 2017 - 15:55,October 07 2017 - 01:56,<p>Thinking about things...</p>,24,2
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c125.0.275.275/22157834_489504684766701_2432603973908168704_n.jpg,http://picbear.com/media/1615611957396764554_1990180051,October 25 2017 - 15:55,October 01 2017 - 02:59,<p>🔆</p>,18,0
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/21041178_271891206548338_4577471076291837952_n.jpg,http://picbear.com/media/1586750449279763269_1990180051,October 25 2017 - 15:55,August 22 2017 - 07:16,<p>🌑🌔</p>,28,4
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.100.800.800/19379290_231328264045498_3092929374324785152_n.jpg,http://picbear.com/media/1545043487785763850_1990180051,October 25 2017 - 15:55,June 25 2017 - 18:12,<p>♡Snapchat♡</p>,65,4
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.717.717/14073110_303046566727995_1031114917_n.jpg,http://picbear.com/media/1332698901752618264_1990180051,October 25 2017 - 15:56,September 05 2016 - 18:41,"<p>I don't care about problems, I just want to lives❤</p>",69,11
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c237.0.522.522/13712547_1797024257180454_1082206740_n.jpg,http://picbear.com/media/1321074413399375028_1990180051,October 25 2017 - 15:56,August 20 2016 - 17:46,<p>🌊in the waves🌊</p>,36,0
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13715067_274339966258744_803744655_n.jpg,http://picbear.com/media/1294978717655008929_1990180051,October 25 2017 - 15:56,July 15 2016 - 17:38,"<p><a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a><a href=""http://picbear.com/tag/wheniwaslittle"" title=""posts tagged as wheniwaslittle"">#wheniwaslittle</a>😜😜</p>",23,1
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13167361_1735090160105602_116986899_n.jpg,http://picbear.com/media/1254530921537785869_1990180051,October 25 2017 - 15:56,May 20 2016 - 22:16,"<p><a href=""http://picbear.com/tag/waw"" title=""posts tagged as waw"">#waw</a></p>",31,6
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c80.0.480.480/13116661_1192405047471456_717995988_n.jpg,http://picbear.com/media/1254523983336887068_1990180051,October 25 2017 - 15:56,May 20 2016 - 22:02,<p>I'm back.Again.</p>,27,1
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/12356468_163534424005305_1482594000_n.jpg,http://picbear.com/media/1144479387949781948_1990180051,October 25 2017 - 15:56,December 21 2015 - 01:03,"<p>Merci <a href=""http://picbear.com/tag/urbanplanet"" title=""posts tagged as urbanplanet"">#urbanplanet</a></p>",30,3
October 25 2017 - 15:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c76.0.167.167/11849122_998473270225513_771155026_n.jpg,http://picbear.com/media/1118189365764346051_1990180051,October 25 2017 - 15:56,November 14 2015 - 18:29,"<p><a href=""http://picbear.com/tag/prayforparis"" title=""posts tagged as prayforparis"">#prayforparis</a></p>",14,3
