user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.93.747.747/23099379_1695787943775466_7569190160466706432_n.jpg,http://picbear.com/media/1637455435684886534_361796191,November 07 2017 - 02:54,October 31 2017 - 06:18,"<p>Panca's wedding <a href=""http://picbear.com/tag/chill"" title=""posts tagged as chill"">#chill</a> <a href=""http://picbear.com/tag/famjam"" title=""posts tagged as famjam"">#famjam</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/wedding"" title=""posts tagged as wedding"">#wedding</a> <a href=""http://picbear.com/tag/vedic"" title=""posts tagged as vedic"">#vedic</a> <a href=""http://picbear.com/tag/insta"" title=""posts tagged as insta"">#insta</a> <a href=""http://picbear.com/tag/color"" title=""posts tagged as color"">#color</a></p>",36,1
November 07 2017 - 02:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/20214372_104537826887554_6424166104284790784_n.jpg,http://picbear.com/media/1562816227386408358_361796191,November 07 2017 - 02:54,July 20 2017 - 06:43,"<p>T dot <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/passport"" title=""posts tagged as passport"">#passport</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/trill"" title=""posts tagged as trill"">#trill</a> <a href=""http://picbear.com/tag/poppin"" title=""posts tagged as poppin"">#poppin</a> <a href=""http://picbear.com/tag/webstagram"" title=""posts tagged as webstagram"">#webstagram</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a></p>",41,5
November 07 2017 - 02:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/20067173_241293249713787_5229507314381225984_n.jpg,http://picbear.com/media/1562810267288865852_361796191,November 07 2017 - 02:54,July 20 2017 - 06:32,"<p>Dope Street Art <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/toronto"" title=""posts tagged as toronto"">#toronto</a> <a href=""http://picbear.com/tag/viewsfromthe6"" title=""posts tagged as viewsfromthe6"">#viewsfromthe6</a> <a href=""http://picbear.com/tag/hipster"" title=""posts tagged as hipster"">#hipster</a> <a href=""http://picbear.com/tag/art"" title=""posts tagged as art"">#art</a> <a href=""http://picbear.com/tag/trill"" title=""posts tagged as trill"">#trill</a> <a href=""http://picbear.com/tag/contrast"" title=""posts tagged as contrast"">#contrast</a> <a href=""http://picbear.com/tag/webstagram"" title=""posts tagged as webstagram"">#webstagram</a></p>",48,0
November 07 2017 - 02:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/20180975_260784977755536_6313639497493905408_n.jpg,http://picbear.com/media/1562797946269158092_361796191,November 07 2017 - 02:54,July 20 2017 - 06:07,"<p>Cabana party Toronto <a href=""http://picbear.com/tag/cabana"" title=""posts tagged as cabana"">#cabana</a> <a href=""http://picbear.com/tag/pool"" title=""posts tagged as pool"">#pool</a> <a href=""http://picbear.com/tag/party"" title=""posts tagged as party"">#party</a> <a href=""http://picbear.com/tag/turnt"" title=""posts tagged as turnt"">#turnt</a> <a href=""http://picbear.com/tag/lit"" title=""posts tagged as lit"">#lit</a> <a href=""http://picbear.com/tag/view"" title=""posts tagged as view"">#view</a> <a href=""http://picbear.com/tag/chill"" title=""posts tagged as chill"">#chill</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a></p>",18,1
November 07 2017 - 02:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20214421_1448364331908953_7167176144909762560_n.jpg,http://picbear.com/media/1562797072109087713_361796191,November 07 2017 - 02:54,July 20 2017 - 06:05,"<p>Views from the Six <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/toronto"" title=""posts tagged as toronto"">#toronto</a> <a href=""http://picbear.com/tag/canada"" title=""posts tagged as canada"">#canada</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/webstagram"" title=""posts tagged as webstagram"">#webstagram</a> <a href=""http://picbear.com/tag/chill"" title=""posts tagged as chill"">#chill</a> <a href=""http://picbear.com/tag/lit"" title=""posts tagged as lit"">#lit</a></p>",20,1
November 07 2017 - 02:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.78.1076.1076/20066540_249747338873287_6990509369632751616_n.jpg,http://picbear.com/media/1562732631971849736_361796191,November 07 2017 - 02:54,July 20 2017 - 03:57,"<p>With the fam <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/canada"" title=""posts tagged as canada"">#canada</a> <a href=""http://picbear.com/tag/montreal"" title=""posts tagged as montreal"">#montreal</a> <a href=""http://picbear.com/tag/family"" title=""posts tagged as family"">#family</a> <a href=""http://picbear.com/tag/chill"" title=""posts tagged as chill"">#chill</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a></p>",31,2
November 07 2017 - 02:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16584949_172100979949564_8609505435117944832_n.jpg,http://picbear.com/media/1446739028292688026_361796191,November 07 2017 - 02:54,February 10 2017 - 02:59,"<p>Fresh ninjas <a href=""http://picbear.com/tag/chill"" title=""posts tagged as chill"">#chill</a> <a href=""http://picbear.com/tag/college"" title=""posts tagged as college"">#college</a> <a href=""http://picbear.com/tag/library"" title=""posts tagged as library"">#library</a> <a href=""http://picbear.com/tag/grind"" title=""posts tagged as grind"">#grind</a> <a href=""http://picbear.com/tag/turnup"" title=""posts tagged as turnup"">#turnup</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/crisp"" title=""posts tagged as crisp"">#crisp</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a></p>",72,9
November 07 2017 - 02:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/16464080_1606241046058287_4049123041559445504_n.jpg,http://picbear.com/media/1445308522997166569_361796191,November 07 2017 - 02:54,February 08 2017 - 03:37,"<p>Good times with the crew <a href=""http://picbear.com/tag/squad"" title=""posts tagged as squad"">#squad</a> <a href=""http://picbear.com/tag/ninjas"" title=""posts tagged as ninjas"">#ninjas</a> <a href=""http://picbear.com/tag/college"" title=""posts tagged as college"">#college</a> <a href=""http://picbear.com/tag/coolkids"" title=""posts tagged as coolkids"">#coolkids</a> <a href=""http://picbear.com/tag/turnup"" title=""posts tagged as turnup"">#turnup</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a></p>",44,0
November 07 2017 - 02:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14574160_1376817585702116_7565174756886970368_n.jpg,http://picbear.com/media/1416333232605015718_361796191,November 07 2017 - 02:54,December 30 2016 - 04:08,"<p>Something about Cheryl Cole, Late WCW <a href=""http://picbear.com/tag/wcw"" title=""posts tagged as wcw"">#wcw</a> <a href=""http://picbear.com/tag/damn"" title=""posts tagged as damn"">#damn</a> <a href=""http://picbear.com/tag/sheisbad"" title=""posts tagged as sheisbad"">#sheisbad</a></p>",28,7
November 07 2017 - 02:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/14719351_539492842922740_1190667158967812096_n.jpg,http://picbear.com/media/1373545663261890156_361796191,November 07 2017 - 02:54,November 01 2016 - 03:17,"<p>Happy Halloween <a href=""http://picbear.com/tag/carvedpumpkin"" title=""posts tagged as carvedpumpkin"">#carvedpumpkin</a> <a href=""http://picbear.com/tag/halloween"" title=""posts tagged as halloween"">#halloween</a> <a href=""http://picbear.com/tag/lit"" title=""posts tagged as lit"">#lit</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/collegelife"" title=""posts tagged as collegelife"">#collegelife</a></p>",18,0
