user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22429603_2030839940526354_6226325990642024448_n.jpg,http://picbear.com/media/1624222735533938523_1096632946,October 18 2017 - 17:03,October 13 2017 - 00:07,"<p><a href=""http://picbear.com/tag/blessed"" title=""posts tagged as blessed"">#blessed</a> ❤️🙏🏼✨✨</p>",51,1
October 18 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22159117_293836151097742_4709832283203305472_n.jpg,http://picbear.com/media/1618509721216302961_1096632946,October 18 2017 - 17:03,October 05 2017 - 02:56,"<p>We love him 💙  <a href=""http://picbear.com/tag/chase"" title=""posts tagged as chase"">#chase</a> <a href=""http://picbear.com/tag/hermoso"" title=""posts tagged as hermoso"">#hermoso</a> <a href=""http://picbear.com/tag/babyboy"" title=""posts tagged as babyboy"">#babyboy</a> <a href=""http://picbear.com/tag/puppylove"" title=""posts tagged as puppylove"">#puppylove</a></p>",31,6
October 18 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21227525_1980477038841797_6382308096047316992_n.jpg,http://picbear.com/media/1611367967564259337_1096632946,October 18 2017 - 17:03,September 25 2017 - 06:27,"<p><a href=""http://picbear.com/tag/curlyhair"" title=""posts tagged as curlyhair"">#curlyhair</a> <a href=""http://picbear.com/tag/naturalcurlyhair"" title=""posts tagged as naturalcurlyhair"">#naturalcurlyhair</a> <a href=""http://picbear.com/tag/blackisbeautiful"" title=""posts tagged as blackisbeautiful"">#blackisbeautiful</a> <a href=""http://picbear.com/tag/hola"" title=""posts tagged as hola"">#hola</a> <a href=""http://picbear.com/tag/ark"" title=""posts tagged as ark"">#ark</a> <a href=""http://picbear.com/tag/rizosnaturales"" title=""posts tagged as rizosnaturales"">#rizosnaturales</a> <a href=""http://picbear.com/tag/snap"" title=""posts tagged as snap"">#snap</a> ⚡️🌸🌑</p>",83,0
October 18 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21879114_115153682512495_8001807806577508352_n.jpg,http://picbear.com/media/1607738085139726641_1096632946,October 18 2017 - 17:03,September 20 2017 - 06:15,"<p><a href=""http://picbear.com/tag/prayforpuertorico"" title=""posts tagged as prayforpuertorico"">#prayforpuertorico</a> <a href=""http://picbear.com/tag/oremosporpuertorico"" title=""posts tagged as oremosporpuertorico"">#oremosporpuertorico</a> <a href=""http://picbear.com/tag/prayfortheworld"" title=""posts tagged as prayfortheworld"">#prayfortheworld</a> <a href=""http://picbear.com/tag/pray"" title=""posts tagged as pray"">#pray</a> <a href=""http://picbear.com/tag/orar"" title=""posts tagged as orar"">#orar</a> <a href=""http://picbear.com/tag/prayformexico"" title=""posts tagged as prayformexico"">#prayformexico</a> <a href=""http://picbear.com/tag/oremospormexico"" title=""posts tagged as oremospormexico"">#oremospormexico</a></p>",29,2
October 18 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/e35/21827882_353317745120738_2578631259949367296_n.jpg,http://picbear.com/media/1607583099919311722_1096632946,October 18 2017 - 17:03,September 20 2017 - 01:07,"<p>🙏🏼💔🇲🇽 <a href=""http://picbear.com/tag/oremospormexico"" title=""posts tagged as oremospormexico"">#oremospormexico</a> <a href=""http://picbear.com/tag/prayformexico"" title=""posts tagged as prayformexico"">#prayformexico</a> <a href=""http://picbear.com/tag/diosesbueno"" title=""posts tagged as diosesbueno"">#diosesbueno</a></p>",21,0
October 18 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21689019_721295531399549_5192277034620944384_n.jpg,http://picbear.com/media/1603848315518855266_1096632946,October 18 2017 - 17:03,September 14 2017 - 21:27,"<p><a href=""http://picbear.com/tag/naturalcurlyhair"" title=""posts tagged as naturalcurlyhair"">#naturalcurlyhair</a> <a href=""http://picbear.com/tag/curlyhair"" title=""posts tagged as curlyhair"">#curlyhair</a> <a href=""http://picbear.com/tag/rizos"" title=""posts tagged as rizos"">#rizos</a> <a href=""http://picbear.com/tag/latina"" title=""posts tagged as latina"">#latina</a> <a href=""http://picbear.com/tag/black"" title=""posts tagged as black"">#black</a> <a href=""http://picbear.com/tag/glitter"" title=""posts tagged as glitter"">#glitter</a> <a href=""http://picbear.com/tag/cabellorizado"" title=""posts tagged as cabellorizado"">#cabellorizado</a> <a href=""http://picbear.com/tag/natural"" title=""posts tagged as natural"">#natural</a> <a href=""http://picbear.com/tag/ar"" title=""posts tagged as ar"">#ar</a> 🖤✨✨</p>",167,4
October 18 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21435866_130645817573556_8782496508663562240_n.jpg,http://picbear.com/media/1598835769875568331_1096632946,October 18 2017 - 17:03,September 07 2017 - 23:28,"<p>Wet hair...💦 dry hair ✨ <a href=""http://picbear.com/tag/naturalcurlyhair"" title=""posts tagged as naturalcurlyhair"">#naturalcurlyhair</a> <a href=""http://picbear.com/tag/curlyhair"" title=""posts tagged as curlyhair"">#curlyhair</a> <a href=""http://picbear.com/tag/curls"" title=""posts tagged as curls"">#curls</a> <a href=""http://picbear.com/tag/rizos"" title=""posts tagged as rizos"">#rizos</a> <a href=""http://picbear.com/tag/curlygirl"" title=""posts tagged as curlygirl"">#curlygirl</a> <a href=""http://picbear.com/tag/curlyhairstyles"" title=""posts tagged as curlyhairstyles"">#curlyhairstyles</a> <a href=""http://picbear.com/tag/snapchat"" title=""posts tagged as snapchat"">#snapchat</a> <a href=""http://picbear.com/tag/snapfilter"" title=""posts tagged as snapfilter"">#snapfilter</a></p>",65,4
October 18 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21296458_704443176409556_1098805891634823168_n.jpg,http://picbear.com/media/1595968179259939199_1096632946,October 18 2017 - 17:04,September 04 2017 - 00:30,"<p><a href=""http://picbear.com/tag/naturalcurlyhair"" title=""posts tagged as naturalcurlyhair"">#naturalcurlyhair</a> <a href=""http://picbear.com/tag/curlyhair"" title=""posts tagged as curlyhair"">#curlyhair</a> 🌸⚡️🌚✨✨</p>",87,6
October 18 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21149762_1817683941875455_387667458988703744_n.jpg,http://picbear.com/media/1594283462315996343_1096632946,October 18 2017 - 17:04,September 01 2017 - 16:43,"<p>My baby 💙 <a href=""http://picbear.com/tag/babyboy"" title=""posts tagged as babyboy"">#babyboy</a> <a href=""http://picbear.com/tag/chase"" title=""posts tagged as chase"">#chase</a> <a href=""http://picbear.com/tag/amercianbully"" title=""posts tagged as amercianbully"">#amercianbully</a> <a href=""http://picbear.com/tag/bebe"" title=""posts tagged as bebe"">#bebe</a> <a href=""http://picbear.com/tag/handsomeboy"" title=""posts tagged as handsomeboy"">#handsomeboy</a> <a href=""http://picbear.com/tag/ourbaby"" title=""posts tagged as ourbaby"">#ourbaby</a></p>",58,4
October 18 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/e35/21148943_119008472093001_1514112294101975040_n.jpg,http://picbear.com/media/1592949864886406638_1096632946,October 18 2017 - 17:04,August 30 2017 - 20:34,"<p>🙌🙌🏻🙌🏼🙌🏽🙌🏾🙌🏿❤️ <a href=""http://picbear.com/tag/equality"" title=""posts tagged as equality"">#equality</a> <a href=""http://picbear.com/tag/redblood"" title=""posts tagged as redblood"">#redblood</a> <a href=""http://picbear.com/tag/todossomosiguales"" title=""posts tagged as todossomosiguales"">#todossomosiguales</a> <a href=""http://picbear.com/tag/morelove"" title=""posts tagged as morelove"">#morelove</a> <a href=""http://picbear.com/tag/moregod"" title=""posts tagged as moregod"">#moregod</a></p>",31,0
