user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22794003_142646326369671_4908992601073385472_n.jpg,http://picbear.com/media/1634704455470188956_5474438277,November 06 2017 - 17:52,October 27 2017 - 11:12,<p>I wish someone like him would also b there for me...?heo joon jae...😘😘😘</p>,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22860427_851998791641362_4875632374609608704_n.jpg,http://picbear.com/media/1634703424703338315_5474438277,November 06 2017 - 17:52,October 27 2017 - 11:10,<p>Lv is in the air</p>,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22711018_197988600773512_5927184112635871232_n.jpg,http://picbear.com/media/1634702388961898821_5474438277,November 06 2017 - 17:52,October 27 2017 - 11:08,<p>Rain is the only way to show the shower of ur lv</p>,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793699_751702831699569_7561708525005570048_n.jpg,http://picbear.com/media/1634228237750923124_5474438277,November 06 2017 - 17:52,October 26 2017 - 19:26,<p>😘😘😘😘😘😘</p>,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710357_515543038781287_2803252393058238464_n.jpg,http://picbear.com/media/1634226560398350730_5474438277,November 06 2017 - 17:52,October 26 2017 - 19:23,<p>New phon</p>,4,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22802025_124208648268514_6182490124194938880_n.jpg,http://picbear.com/media/1632803551271818223_5474438277,November 06 2017 - 17:52,October 24 2017 - 20:16,<p>I hate love more than anything in this world</p>,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22794523_142395046402589_4472255578814545920_n.jpg,http://picbear.com/media/1632710132973223726_5474438277,November 06 2017 - 17:52,October 24 2017 - 17:10,<p>Part 3</p>,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22639446_286476528523234_23031817959374848_n.jpg,http://picbear.com/media/1632709186595701874_5474438277,November 06 2017 - 17:52,October 24 2017 - 17:08,<p>Story part 2</p>,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22708915_1944026595857733_8005172526906867712_n.jpg,http://picbear.com/media/1632708119422127579_5474438277,November 06 2017 - 17:52,October 24 2017 - 17:06,<p>True never leaves ur hand in between it follow u to the eternity..❤</p>,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22159032_707838346089576_3221221297291788288_n.jpg,http://picbear.com/media/1619353326830072513_5474438277,November 06 2017 - 17:52,October 06 2017 - 06:53,<p>I hope this tym my second love will last long</p>,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22279976_1529374443776135_7762334109623386112_n.jpg,http://picbear.com/media/1619352501416154247_5474438277,November 06 2017 - 17:52,October 06 2017 - 06:51,<p>Waiting for second lv</p>,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22071447_386222641792094_2655469865552314368_n.jpg,http://picbear.com/media/1616481538706040237_5474438277,November 06 2017 - 17:52,October 02 2017 - 07:47,<p>Those Who Need Love The Most Will Almost Never Find It</p>,3,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069620_268918343628671_3423321984132448256_n.jpg,http://picbear.com/media/1615411152828526497_5474438277,November 06 2017 - 17:52,September 30 2017 - 20:20,,4,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069494_1448377231948303_883354290364612608_n.jpg,http://picbear.com/media/1613564101622943182_5474438277,November 06 2017 - 17:52,September 28 2017 - 07:10,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827259_503137383386230_2463479428647223296_n.jpg,http://picbear.com/media/1608835150883129976_5474438277,November 06 2017 - 17:52,September 21 2017 - 18:35,<p>Something is missing....?</p>,3,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21479783_1959105904347041_6857311455847383040_n.jpg,http://picbear.com/media/1602360430423798892_5474438277,November 06 2017 - 17:52,September 12 2017 - 20:11,<p>Parrot</p>,4,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576489_997766770364950_5849956838262439936_n.jpg,http://picbear.com/media/1602359114175770904_5474438277,November 06 2017 - 17:52,September 12 2017 - 20:08,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21435677_1937484619838485_6500577373526687744_n.jpg,http://picbear.com/media/1599209754839510656_5474438277,November 06 2017 - 17:52,September 08 2017 - 11:51,<p>What is to be done and what is not its not in hamds of victim who actually got hurt by someone....the one who hurt the other person can move on easily but its not the same for other person who trusted and got hurted....parrot</p>,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21434035_779189878920704_7162703816939274240_n.jpg,http://picbear.com/media/1597126518323906479_5474438277,November 06 2017 - 17:53,September 05 2017 - 14:52,<p>Truly happening</p>,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041223_113569065982569_882024113223237632_n.jpg,http://picbear.com/media/1589219557418907918_5474438277,November 06 2017 - 17:53,August 25 2017 - 17:02,<p>Decided to meet... 💑</p>,3,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041501_169825666897166_7844019164913074176_n.jpg,http://picbear.com/media/1589218352890354637_5474438277,November 06 2017 - 17:53,August 25 2017 - 17:00,<p>They met fainally</p>,5,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041218_512963012385182_5975723011221749760_n.jpg,http://picbear.com/media/1589218119569628736_5474438277,November 06 2017 - 17:53,August 25 2017 - 16:59,<p>They enjoyed together food laugh😴😘</p>,4,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042173_189954264878009_707410280774107136_n.jpg,http://picbear.com/media/1589217725724415846_5474438277,November 06 2017 - 17:53,August 25 2017 - 16:58,<p>😢😢😔💔</p>,7,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c108.0.383.383/20987062_744918145678702_7744350149547130880_n.jpg,http://picbear.com/media/1588487971882737377_5474438277,November 06 2017 - 17:53,August 24 2017 - 16:49,<p>Journey is going to begin.....?</p>,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c190.0.493.493/21107201_302882203516910_1134908184134156288_n.jpg,http://picbear.com/media/1588487525046739169_5474438277,November 06 2017 - 17:53,August 24 2017 - 16:48,<p>To my parrot</p>,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20987024_1417475075038707_476741429985542144_n.jpg,http://picbear.com/media/1587084078086927782_5474438277,November 06 2017 - 17:53,August 22 2017 - 18:19,,3,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.623.623/20986895_1519372971456762_8725574929132552192_n.jpg,http://picbear.com/media/1587083962416525752_5474438277,November 06 2017 - 17:53,August 22 2017 - 18:19,,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041220_1074724232669053_3354585765613928448_n.jpg,http://picbear.com/media/1587083759194090408_5474438277,November 06 2017 - 17:53,August 22 2017 - 18:19,<p>Some people never leaves u lonely when ur alone.....but some people makes you more lonely when they r with u...?</p>,5,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20968554_339892136459396_3705999749254479872_n.jpg,http://picbear.com/media/1587082787818309445_5474438277,November 06 2017 - 17:53,August 22 2017 - 18:17,<p>.....</p>,3,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041667_1400411570043566_6156688894143234048_n.jpg,http://picbear.com/media/1587082573330111580_5474438277,November 06 2017 - 17:53,August 22 2017 - 18:16,<p>It's the ending</p>,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20968935_113587949369351_6531912561565106176_n.jpg,http://picbear.com/media/1586245201885589191_5474438277,November 06 2017 - 17:53,August 21 2017 - 14:33,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20987277_281926052286429_7423313232640606208_n.jpg,http://picbear.com/media/1586245096189016007_5474438277,November 06 2017 - 17:53,August 21 2017 - 14:32,<p>I have loved u....</p>,3,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20902727_1922830764606458_3409235255905746944_n.jpg,http://picbear.com/media/1586244881214254629_5474438277,November 06 2017 - 17:53,August 21 2017 - 14:32,,4,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20635483_1431461063617597_2376552949888319488_n.jpg,http://picbear.com/media/1576280253411366519_5474438277,November 06 2017 - 17:53,August 07 2017 - 20:34,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20686575_696117227249913_4670048615320780800_n.jpg,http://picbear.com/media/1576253407785570329_5474438277,November 06 2017 - 17:53,August 07 2017 - 19:41,<p>......................... . . . . . . . . . .  U Lost me</p>,4,1
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20687011_110688489604476_3887500660546994176_n.jpg,http://picbear.com/media/1576217391448112565_5474438277,November 06 2017 - 17:53,August 07 2017 - 18:29,<p>Ishq K  aage Hai jo jahan Aaee dil Lee chal mjhko waha... 😔❤</p>,3,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20590198_764982223685488_1641307209407135744_n.jpg,http://picbear.com/media/1574611522939548197_5474438277,November 06 2017 - 17:53,August 05 2017 - 13:19,<p>💔</p>,1,1
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20582439_325085064620599_8505894073565970432_n.jpg,http://picbear.com/media/1573271048530210069_5474438277,November 06 2017 - 17:53,August 03 2017 - 16:55,<p>Soon someone will loose me</p>,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/20633953_442968512769359_1570185742146076672_n.jpg,http://picbear.com/media/1573206952594326822_5474438277,November 06 2017 - 17:53,August 03 2017 - 14:48,<p>Someday you’ll miss her like she missed you. Someday you’ll need her like she needed you. Someday you’ll love her and she won’t love you. – Lamon Jordan</p>,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.40.320.320/20589482_295685534238890_8048994855617036288_n.jpg,http://picbear.com/media/1573205441998806618_5474438277,November 06 2017 - 17:53,August 03 2017 - 14:45,<p>Some guys will cheat on their girlfriends and sleep like a baby at night but feel guilty when they go to another barber.</p>,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c126.0.468.468/20633703_555943681196063_7036441442113290240_n.jpg,http://picbear.com/media/1573203571465222614_5474438277,November 06 2017 - 17:53,August 03 2017 - 14:41,,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c52.0.371.371/20589801_134478410486542_2812207631798632448_n.jpg,http://picbear.com/media/1573203317961429543_5474438277,November 06 2017 - 17:53,August 03 2017 - 14:41,"<p>If you cheat on a girl that’s willing to do anything for you, you actually cheated yourself out of true loyalty.</p>",3,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20398880_851419935011196_6187670138221756416_n.jpg,http://picbear.com/media/1570202641920484689_5474438277,November 06 2017 - 17:53,July 30 2017 - 11:19,,0,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20398430_321212911672209_2459179565088505856_n.jpg,http://picbear.com/media/1568535349373595816_5474438277,November 06 2017 - 17:53,July 28 2017 - 04:06,"<p>मेरा दिल यूँ ही पत्थर का ना बन गया होता, ये पिघल जाता जो तूने इसे छू लिया होता !!</p>",3,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20346989_100257787337109_6001556539427520512_n.jpg,http://picbear.com/media/1568294661545425149_5474438277,November 06 2017 - 17:53,July 27 2017 - 20:08,<p>Your more happy with yourself then someone else who doesn't gets affected by u</p>,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20346923_266665617154369_1446023026507251712_n.jpg,http://picbear.com/media/1568293983150287850_5474438277,November 06 2017 - 17:53,July 27 2017 - 20:07,<p>When someone broke your trust.. It just not trust which got broken it's you which actually gets break.😔😢💔</p>,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c97.0.720.720/20347307_901651689974907_6435957451664654336_n.jpg,http://picbear.com/media/1568108603855682913_5474438277,November 06 2017 - 17:53,July 27 2017 - 13:58,,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c62.0.720.720/20398104_907682906065944_8557019697810243584_n.jpg,http://picbear.com/media/1568108364101033861_5474438277,November 06 2017 - 17:53,July 27 2017 - 13:58,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c124.0.720.720/20347690_329910010800781_3107448395304796160_n.jpg,http://picbear.com/media/1568108166096189602_5474438277,November 06 2017 - 17:53,July 27 2017 - 13:58,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c177.0.720.720/20225762_1276469992458532_3008770035620511744_n.jpg,http://picbear.com/media/1568107505073819761_5474438277,November 06 2017 - 17:53,July 27 2017 - 13:56,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c69.0.400.400/20347676_256083341550032_5968845870932688896_n.jpg,http://picbear.com/media/1567074800261481811_5474438277,November 06 2017 - 17:53,July 26 2017 - 03:44,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20393721_256350628190343_7254361970973868032_n.jpg,http://picbear.com/media/1566772228992719570_5474438277,November 06 2017 - 17:54,July 25 2017 - 17:43,<p>😐</p>,0,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20225803_1103889399712806_3041486334817468416_n.jpg,http://picbear.com/media/1566621664501589093_5474438277,November 06 2017 - 17:54,July 25 2017 - 12:44,,0,1
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c128.0.768.768/20225333_466275243745855_3030229904139485184_n.jpg,http://picbear.com/media/1566621010550910451_5474438277,November 06 2017 - 17:54,July 25 2017 - 12:43,,1,1
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c192.0.640.640/20393773_2013736502192108_2827846531141337088_n.jpg,http://picbear.com/media/1566620841646470152_5474438277,November 06 2017 - 17:54,July 25 2017 - 12:42,,0,1
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c177.0.630.630/20393667_1189168121229183_4549478042824605696_n.jpg,http://picbear.com/media/1566620623777378030_5474438277,November 06 2017 - 17:54,July 25 2017 - 12:42,,0,1
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c175.0.450.450/20225718_750583801790703_2844516574822400000_n.jpg,http://picbear.com/media/1566620353043389844_5474438277,November 06 2017 - 17:54,July 25 2017 - 12:42,,0,1
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c16.0.288.288/20214182_458415751201084_7372059979148165120_n.jpg,http://picbear.com/media/1566619950457547653_5474438277,November 06 2017 - 17:54,July 25 2017 - 12:41,<p>❤💝💕</p>,0,1
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c16.0.288.288/20346982_1390309831090072_6155101835007885312_n.jpg,http://picbear.com/media/1566619555639309933_5474438277,November 06 2017 - 17:54,July 25 2017 - 12:40,<p>⌛</p>,0,1
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c16.0.288.288/20346967_1463371463969615_3348263616703889408_n.jpg,http://picbear.com/media/1566618583810532935_5474438277,November 06 2017 - 17:54,July 25 2017 - 12:38,<p>😐</p>,0,1
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c16.0.288.288/20225718_158862178007770_7576463365459935232_n.jpg,http://picbear.com/media/1566618359188697778_5474438277,November 06 2017 - 17:54,July 25 2017 - 12:38,<p>💔</p>,1,1
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c16.0.288.288/20347537_155444771684996_355249093083136000_n.jpg,http://picbear.com/media/1566618131983392648_5474438277,November 06 2017 - 17:54,July 25 2017 - 12:37,,0,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c16.0.288.288/20347514_783729748472174_1850220199710556160_n.jpg,http://picbear.com/media/1566617287158208529_5474438277,November 06 2017 - 17:54,July 25 2017 - 12:35,<p>True</p>,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20214077_289916304750921_8057843450319470592_n.jpg,http://picbear.com/media/1565860050072524695_5474438277,November 06 2017 - 17:54,July 24 2017 - 11:31,,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19985129_2102145506678991_1601811192664293376_n.jpg,http://picbear.com/media/1564510650343629722_5474438277,November 06 2017 - 17:54,July 22 2017 - 14:50,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20184270_652981471574395_6350602136367136768_n.jpg,http://picbear.com/media/1564509484536877876_5474438277,November 06 2017 - 17:54,July 22 2017 - 14:48,,3,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20184241_1126870747457091_359851902160076800_n.jpg,http://picbear.com/media/1564509010916233175_5474438277,November 06 2017 - 17:54,July 22 2017 - 14:47,,4,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20066679_346952402410143_1745612251127087104_n.jpg,http://picbear.com/media/1564508319501851659_5474438277,November 06 2017 - 17:54,July 22 2017 - 14:45,,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20180995_117968055502832_6122153749310865408_n.jpg,http://picbear.com/media/1564508170243468920_5474438277,November 06 2017 - 17:54,July 22 2017 - 14:45,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20181006_582846022104996_7014343362928967680_n.jpg,http://picbear.com/media/1564507784702894257_5474438277,November 06 2017 - 17:54,July 22 2017 - 14:44,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c114.0.251.251/20213967_1990071774608899_6314549777157586944_n.jpg,http://picbear.com/media/1564507588980070301_5474438277,November 06 2017 - 17:54,July 22 2017 - 14:44,,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19985481_802986806546306_149188991856410624_n.jpg,http://picbear.com/media/1556588728825998826_5474438277,November 06 2017 - 17:54,July 11 2017 - 16:30,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c100.0.300.300/19227292_425308664534996_3130655044202921984_n.jpg,http://picbear.com/media/1542127739565024453_5474438277,November 06 2017 - 17:54,June 21 2017 - 17:39,,0,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19120298_287886241672494_6079146425004851200_n.jpg,http://picbear.com/media/1539218875295400768_5474438277,November 06 2017 - 17:54,June 17 2017 - 17:20,,0,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19122176_1597740150238290_693185851600928768_n.jpg,http://picbear.com/media/1539218400684625642_5474438277,November 06 2017 - 17:54,June 17 2017 - 17:19,,0,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18580865_1877984545560177_8975190156269060096_n.jpg,http://picbear.com/media/1539218153455660635_5474438277,November 06 2017 - 17:54,June 17 2017 - 17:18,,2,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19121857_1395870317165530_6711777133267517440_n.jpg,http://picbear.com/media/1539214936835504800_5474438277,November 06 2017 - 17:55,June 17 2017 - 17:12,,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19120291_1334474983273325_2664350556545351680_n.jpg,http://picbear.com/media/1538462119405543945_5474438277,November 06 2017 - 17:55,June 16 2017 - 16:16,,0,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19227655_1732998456998227_5481136584826814464_n.jpg,http://picbear.com/media/1538461705452695891_5474438277,November 06 2017 - 17:55,June 16 2017 - 16:15,,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19121645_718699738336268_5882643854372372480_n.jpg,http://picbear.com/media/1538461318075235454_5474438277,November 06 2017 - 17:55,June 16 2017 - 16:15,,0,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19227969_140642029836360_1334020033298300928_n.jpg,http://picbear.com/media/1538460729136374775_5474438277,November 06 2017 - 17:55,June 16 2017 - 16:13,,0,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19228073_310510366029054_9146604040514174976_n.jpg,http://picbear.com/media/1538234771166919993_5474438277,November 06 2017 - 17:55,June 16 2017 - 08:44,,0,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19121112_1869972956661742_8322667861025751040_n.jpg,http://picbear.com/media/1538234129153088604_5474438277,November 06 2017 - 17:55,June 16 2017 - 08:43,,1,0
November 06 2017 - 17:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19052213_1517167235013957_6663126818935013376_n.jpg,http://picbear.com/media/1538233864324769914_5474438277,November 06 2017 - 17:55,June 16 2017 - 08:43,,1,0
