user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22711109_376252706152782_862488467362283520_n.jpg,http://picbear.com/media/1631235996446115853_4007925037,November 06 2017 - 17:55,October 22 2017 - 16:21,<p>✏️</p>,28,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580361_1752712091408064_4479252819274104832_n.jpg,http://picbear.com/media/1627878200795445730_4007925037,November 06 2017 - 17:55,October 18 2017 - 01:10,"<p>🏙️ <a href=""http://picbear.com/tag/яяяйя"" title=""posts tagged as яяяйя"">#яяяйя</a></p>",35,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22220866_529989310688876_7280793126699008000_n.jpg,http://picbear.com/media/1619485604423339794_4007925037,November 06 2017 - 17:55,October 06 2017 - 11:15,<p>✏️</p>,34,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20759478_538075989918202_6811912848369778688_n.jpg,http://picbear.com/media/1579720100360140470_4007925037,November 06 2017 - 17:56,August 12 2017 - 14:28,"<p>Для <a href=""http://picbear.com/o_krpv"" title=""o_krpv instagram profile"">@o_krpv</a> ✏️</p>",71,3
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.28.1080.1080/20184824_286922651776974_4611916756955430912_n.jpg,http://picbear.com/media/1564651585945184104_4007925037,November 06 2017 - 17:56,July 22 2017 - 19:30,<p>✏️</p>,65,2
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.67.540.540/20181381_674247699447210_8415827454022647808_n.jpg,http://picbear.com/media/1563206147140446909_4007925037,November 06 2017 - 17:56,July 20 2017 - 19:38,<p>🐈</p>,47,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.81.1080.1080/19428979_841702185979023_1323816453723389952_n.jpg,http://picbear.com/media/1545748199845686857_4007925037,November 06 2017 - 17:56,June 26 2017 - 17:32,,41,3
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18512542_216835112166055_7896299877661933568_n.jpg,http://picbear.com/media/1519085605999536587_4007925037,November 06 2017 - 17:56,May 20 2017 - 22:38,,51,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.719.719/18382191_1865311323733681_5055941123239837696_n.jpg,http://picbear.com/media/1513929843220249771_4007925037,November 06 2017 - 17:56,May 13 2017 - 19:55,"<p><a href=""http://picbear.com/tag/убилвремя"" title=""posts tagged as убилвремя"">#убилвремя</a>✏️🖋️🙌</p>",50,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18013690_229758254169458_8426632994738929664_n.jpg,http://picbear.com/media/1499558971625856304_4007925037,November 06 2017 - 17:56,April 24 2017 - 00:03,"<p><a href=""http://picbear.com/tag/работадляvape"" title=""posts tagged as работадляvape"">#работадляvape</a>🕯️☠️</p>",44,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c119.0.721.721/17932609_1447381862003040_5735295045548900352_n.jpg,http://picbear.com/media/1493681874869098871_4007925037,November 06 2017 - 17:56,April 15 2017 - 21:26,"<p><a href=""http://picbear.com/tag/вечервпровинции"" title=""posts tagged as вечервпровинции"">#вечервпровинции</a>🚜</p>",48,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/17662941_938387802930545_6844504683709464576_n.jpg,http://picbear.com/media/1486446855750600710_4007925037,November 06 2017 - 17:56,April 05 2017 - 21:51,"<p><a href=""http://picbear.com/tag/вечерсвладимиромсоловьевым"" title=""posts tagged as вечерсвладимиромсоловьевым"">#вечерсвладимиромсоловьевым</a>📽️📺</p>",39,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/17495163_119184918623646_6963717621338341376_n.jpg,http://picbear.com/media/1485711270568044108_4007925037,November 06 2017 - 17:56,April 04 2017 - 21:30,"<p><a href=""http://picbear.com/tag/студвесна"" title=""posts tagged as студвесна"">#студвесна</a><a href=""http://picbear.com/tag/ИЭАУ"" title=""posts tagged as ИЭАУ"">#ИЭАУ</a>🎓</p>",39,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16788653_391861144507887_2328479269275041792_n.jpg,http://picbear.com/media/1457378223372405425_4007925037,November 06 2017 - 17:56,February 24 2017 - 19:17,"<p><a href=""http://picbear.com/tag/убилвремя"" title=""posts tagged as убилвремя"">#убилвремя</a>🖌️🖋️✏️🙌</p>",51,1
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.95.1080.1080/16465296_731400003682275_3827420205584220160_n.jpg,http://picbear.com/media/1444253084653050656_4007925037,November 06 2017 - 17:56,February 06 2017 - 16:40,"<p><a href=""http://picbear.com/tag/убилвремя"" title=""posts tagged as убилвремя"">#убилвремя</a>🖌️🖋️✏️🙌</p>",75,1
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16229110_1713782745601203_4619509151033196544_n.jpg,http://picbear.com/media/1435095437660096918_4007925037,November 06 2017 - 17:56,January 25 2017 - 01:25,,60,1
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16229276_486177948173141_4702464021993881600_n.jpg,http://picbear.com/media/1434045411714244563_4007925037,November 06 2017 - 17:56,January 23 2017 - 14:39,"<p><a href=""http://picbear.com/tag/убилвремя"" title=""posts tagged as убилвремя"">#убилвремя</a>🖌️🖋️✏️🙌</p>",40,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15801834_700058540167811_5548905989027135488_n.jpg,http://picbear.com/media/1425583065694027453_4007925037,November 06 2017 - 17:56,January 11 2017 - 22:26,"<p><a href=""http://picbear.com/tag/Новаяработа"" title=""posts tagged as Новаяработа"">#Новаяработа</a><a href=""http://picbear.com/tag/убилвремя"" title=""posts tagged as убилвремя"">#убилвремя</a>🖋️✏️✏️🖌️</p>",43,2
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15803793_1538412952842778_3070236665508265984_n.jpg,http://picbear.com/media/1419824767699081282_4007925037,November 06 2017 - 17:56,January 03 2017 - 23:45,"<p><a href=""http://picbear.com/tag/стараяработа"" title=""posts tagged as стараяработа"">#стараяработа</a><a href=""http://picbear.com/tag/убилвремя"" title=""posts tagged as убилвремя"">#убилвремя</a>✏️🖍️🖋️🙌</p>",29,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c46.0.987.987/15251843_1035816643231509_250327749326012416_n.jpg,http://picbear.com/media/1403018758657757909_4007925037,November 06 2017 - 17:56,December 11 2016 - 19:14,"<p><a href=""http://picbear.com/tag/Студнаука"" title=""posts tagged as Студнаука"">#Студнаука</a></p>",36,0
November 06 2017 - 17:55,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.37.1080.1080/15306510_1222991814406563_6291763025737154560_n.jpg,http://picbear.com/media/1403011224303608288_4007925037,November 06 2017 - 17:56,December 11 2016 - 18:59,"<p><a href=""http://picbear.com/tag/студенческаянаука"" title=""posts tagged as студенческаянаука"">#студенческаянаука</a><a href=""http://picbear.com/tag/награждение"" title=""posts tagged as награждение"">#награждение</a></p>",30,0
