user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637237_137735516859052_757690397756489728_n.jpg,http://picbear.com/media/1626844354125893737_5657036749,October 25 2017 - 15:34,October 16 2017 - 14:56,"<p>🙏🎶 workplace  <a href=""http://picbear.com/tag/trap"" title=""posts tagged as trap"">#trap</a> <a href=""http://picbear.com/tag/dubstep"" title=""posts tagged as dubstep"">#dubstep</a> <a href=""http://picbear.com/tag/studio"" title=""posts tagged as studio"">#studio</a> <a href=""http://picbear.com/tag/secondhome"" title=""posts tagged as secondhome"">#secondhome</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/passion"" title=""posts tagged as passion"">#passion</a> <a href=""http://picbear.com/tag/music"" title=""posts tagged as music"">#music</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instamusic"" title=""posts tagged as instamusic"">#instamusic</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/student"" title=""posts tagged as student"">#student</a> <a href=""http://picbear.com/tag/bass"" title=""posts tagged as bass"">#bass</a> <a href=""http://picbear.com/tag/skrillex"" title=""posts tagged as skrillex"">#skrillex</a> <a href=""http://picbear.com/tag/kayzo"" title=""posts tagged as kayzo"">#kayzo</a> <a href=""http://picbear.com/tag/diplo"" title=""posts tagged as diplo"">#diplo</a> <a href=""http://picbear.com/tag/work"" title=""posts tagged as work"">#work</a> <a href=""http://picbear.com/tag/workforyourdreams"" title=""posts tagged as workforyourdreams"">#workforyourdreams</a></p>",97,14
October 25 2017 - 15:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22278337_122408068473732_9184355626224975872_n.jpg,http://picbear.com/media/1621391276303981984_5657036749,October 25 2017 - 15:34,October 09 2017 - 02:22,"<p>🦅🦅🦅 ""Fly"", Out now on SoundCloud!!!!🔥🔥 Link in Bio 🔥  <a href=""http://picbear.com/tag/new"" title=""posts tagged as new"">#new</a> <a href=""http://picbear.com/tag/music"" title=""posts tagged as music"">#music</a> <a href=""http://picbear.com/tag/trap"" title=""posts tagged as trap"">#trap</a> <a href=""http://picbear.com/tag/futurebass"" title=""posts tagged as futurebass"">#futurebass</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instamusic"" title=""posts tagged as instamusic"">#instamusic</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/listen"" title=""posts tagged as listen"">#listen</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/melody"" title=""posts tagged as melody"">#melody</a> <a href=""http://picbear.com/tag/goodvibes"" title=""posts tagged as goodvibes"">#goodvibes</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/dubstep"" title=""posts tagged as dubstep"">#dubstep</a> <a href=""http://picbear.com/tag/label"" title=""posts tagged as label"">#label</a> <a href=""http://picbear.com/tag/producer"" title=""posts tagged as producer"">#producer</a></p>",911,1
October 25 2017 - 15:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22220526_1464028970346330_3632840680788721664_n.jpg,http://picbear.com/media/1620553124115101259_5657036749,October 25 2017 - 15:34,October 07 2017 - 22:36,"<p>Tomorrow 🦅🦅🦅🔥🔥 <a href=""http://picbear.com/tag/new"" title=""posts tagged as new"">#new</a> <a href=""http://picbear.com/tag/music"" title=""posts tagged as music"">#music</a> <a href=""http://picbear.com/tag/release"" title=""posts tagged as release"">#release</a> <a href=""http://picbear.com/tag/tomorrow"" title=""posts tagged as tomorrow"">#tomorrow</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/passion"" title=""posts tagged as passion"">#passion</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a> <a href=""http://picbear.com/tag/instamusic"" title=""posts tagged as instamusic"">#instamusic</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/trap"" title=""posts tagged as trap"">#trap</a> <a href=""http://picbear.com/tag/trapmusic"" title=""posts tagged as trapmusic"">#trapmusic</a> <a href=""http://picbear.com/tag/dubstep"" title=""posts tagged as dubstep"">#dubstep</a> <a href=""http://picbear.com/tag/bass"" title=""posts tagged as bass"">#bass</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/genre"" title=""posts tagged as genre"">#genre</a></p>",48,4
October 25 2017 - 15:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22280622_376009892830925_4492525775752265728_n.jpg,http://picbear.com/media/1619196026437431871_5657036749,October 25 2017 - 15:34,October 06 2017 - 01:40,"<p>""Fly"" is coming soon! 🙌🦅🔥🔥🔥 <a href=""http://picbear.com/tag/new"" title=""posts tagged as new"">#new</a> <a href=""http://picbear.com/tag/soon"" title=""posts tagged as soon"">#soon</a> <a href=""http://picbear.com/tag/ableton"" title=""posts tagged as ableton"">#ableton</a> <a href=""http://picbear.com/tag/producer"" title=""posts tagged as producer"">#producer</a> <a href=""http://picbear.com/tag/basshead"" title=""posts tagged as basshead"">#basshead</a> <a href=""http://picbear.com/tag/dubstep"" title=""posts tagged as dubstep"">#dubstep</a> <a href=""http://picbear.com/tag/trapmusic"" title=""posts tagged as trapmusic"">#trapmusic</a> <a href=""http://picbear.com/tag/trap"" title=""posts tagged as trap"">#trap</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instamusic"" title=""posts tagged as instamusic"">#instamusic</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/cover"" title=""posts tagged as cover"">#cover</a> <a href=""http://picbear.com/tag/newmusic"" title=""posts tagged as newmusic"">#newmusic</a> <a href=""http://picbear.com/tag/futurebass"" title=""posts tagged as futurebass"">#futurebass</a> <a href=""http://picbear.com/tag/work"" title=""posts tagged as work"">#work</a> <a href=""http://picbear.com/tag/workhard"" title=""posts tagged as workhard"">#workhard</a> <a href=""http://picbear.com/tag/musicislife"" title=""posts tagged as musicislife"">#musicislife</a> <a href=""http://picbear.com/tag/producerlife"" title=""posts tagged as producerlife"">#producerlife</a> <a href=""http://picbear.com/tag/passion"" title=""posts tagged as passion"">#passion</a> <a href=""http://picbear.com/tag/fly"" title=""posts tagged as fly"">#fly</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/bassmusic"" title=""posts tagged as bassmusic"">#bassmusic</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a></p>",508,3
October 25 2017 - 15:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980844_136012553692077_6561000407965892608_n.jpg,http://picbear.com/media/1613246568575000288_5657036749,October 25 2017 - 15:34,September 27 2017 - 20:39,"<p>Almost finished 😱  <a href=""http://picbear.com/tag/trapmusic"" title=""posts tagged as trapmusic"">#trapmusic</a> <a href=""http://picbear.com/tag/musicislife"" title=""posts tagged as musicislife"">#musicislife</a> <a href=""http://picbear.com/tag/music"" title=""posts tagged as music"">#music</a> <a href=""http://picbear.com/tag/bass"" title=""posts tagged as bass"">#bass</a> <a href=""http://picbear.com/tag/skrillex"" title=""posts tagged as skrillex"">#skrillex</a> <a href=""http://picbear.com/tag/diplo"" title=""posts tagged as diplo"">#diplo</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/tagsforlikes"" title=""posts tagged as tagsforlikes"">#tagsforlikes</a> <a href=""http://picbear.com/tag/tagsforlikesapp"" title=""posts tagged as tagsforlikesapp"">#tagsforlikesapp</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/swag"" title=""posts tagged as swag"">#swag</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/tflers"" title=""posts tagged as tflers"">#tflers</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a></p>",11,0
October 25 2017 - 15:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879575_1647659258639688_8592560311666475008_n.jpg,http://picbear.com/media/1610810873554084329_5657036749,October 25 2017 - 15:34,September 24 2017 - 12:00,"<p><a href=""http://picbear.com/tag/music"" title=""posts tagged as music"">#music</a> <a href=""http://picbear.com/tag/genre"" title=""posts tagged as genre"">#genre</a> <a href=""http://picbear.com/tag/song"" title=""posts tagged as song"">#song</a> <a href=""http://picbear.com/tag/songs"" title=""posts tagged as songs"">#songs</a> <a href=""http://picbear.com/tag/tagsforlikes"" title=""posts tagged as tagsforlikes"">#tagsforlikes</a> <a href=""http://picbear.com/tag/melody"" title=""posts tagged as melody"">#melody</a> <a href=""http://picbear.com/tag/hiphop"" title=""posts tagged as hiphop"">#hiphop</a> <a href=""http://picbear.com/tag/rnb"" title=""posts tagged as rnb"">#rnb</a> <a href=""http://picbear.com/tag/pop"" title=""posts tagged as pop"">#pop</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/rap"" title=""posts tagged as rap"">#rap</a> <a href=""http://picbear.com/tag/dubstep"" title=""posts tagged as dubstep"">#dubstep</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beat"" title=""posts tagged as beat"">#beat</a> <a href=""http://picbear.com/tag/beats"" title=""posts tagged as beats"">#beats</a> <a href=""http://picbear.com/tag/jam"" title=""posts tagged as jam"">#jam</a> <a href=""http://picbear.com/tag/myjam"" title=""posts tagged as myjam"">#myjam</a> <a href=""http://picbear.com/tag/party"" title=""posts tagged as party"">#party</a> <a href=""http://picbear.com/tag/partymusic"" title=""posts tagged as partymusic"">#partymusic</a> <a href=""http://picbear.com/tag/newsong"" title=""posts tagged as newsong"">#newsong</a> <a href=""http://picbear.com/tag/lovethissong"" title=""posts tagged as lovethissong"">#lovethissong</a> <a href=""http://picbear.com/tag/remix"" title=""posts tagged as remix"">#remix</a> <a href=""http://picbear.com/tag/favoritesong"" title=""posts tagged as favoritesong"">#favoritesong</a> <a href=""http://picbear.com/tag/bestsong"" title=""posts tagged as bestsong"">#bestsong</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/bumpin"" title=""posts tagged as bumpin"">#bumpin</a> <a href=""http://picbear.com/tag/apple"" title=""posts tagged as apple"">#apple</a> <a href=""http://picbear.com/tag/work"" title=""posts tagged as work"">#work</a> <a href=""http://picbear.com/tag/goodmusic"" title=""posts tagged as goodmusic"">#goodmusic</a> <a href=""http://picbear.com/tag/instamusic"" title=""posts tagged as instamusic"">#instamusic</a></p>",46,1
October 25 2017 - 15:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980455_270260720153368_347931040041402368_n.jpg,http://picbear.com/media/1610180987348961871_5657036749,October 25 2017 - 15:34,September 23 2017 - 15:09,"<p><a href=""http://picbear.com/tag/music"" title=""posts tagged as music"">#music</a> <a href=""http://picbear.com/tag/genre"" title=""posts tagged as genre"">#genre</a> <a href=""http://picbear.com/tag/song"" title=""posts tagged as song"">#song</a> <a href=""http://picbear.com/tag/songs"" title=""posts tagged as songs"">#songs</a> <a href=""http://picbear.com/tag/tagsforlikes"" title=""posts tagged as tagsforlikes"">#tagsforlikes</a> <a href=""http://picbear.com/tag/melody"" title=""posts tagged as melody"">#melody</a> <a href=""http://picbear.com/tag/hiphop"" title=""posts tagged as hiphop"">#hiphop</a> <a href=""http://picbear.com/tag/rnb"" title=""posts tagged as rnb"">#rnb</a> <a href=""http://picbear.com/tag/pop"" title=""posts tagged as pop"">#pop</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/rap"" title=""posts tagged as rap"">#rap</a> <a href=""http://picbear.com/tag/dubstep"" title=""posts tagged as dubstep"">#dubstep</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beat"" title=""posts tagged as beat"">#beat</a> <a href=""http://picbear.com/tag/beats"" title=""posts tagged as beats"">#beats</a> <a href=""http://picbear.com/tag/jam"" title=""posts tagged as jam"">#jam</a> <a href=""http://picbear.com/tag/myjam"" title=""posts tagged as myjam"">#myjam</a> <a href=""http://picbear.com/tag/party"" title=""posts tagged as party"">#party</a> <a href=""http://picbear.com/tag/partymusic"" title=""posts tagged as partymusic"">#partymusic</a> <a href=""http://picbear.com/tag/newsong"" title=""posts tagged as newsong"">#newsong</a> <a href=""http://picbear.com/tag/lovethissong"" title=""posts tagged as lovethissong"">#lovethissong</a> <a href=""http://picbear.com/tag/remix"" title=""posts tagged as remix"">#remix</a> <a href=""http://picbear.com/tag/favoritesong"" title=""posts tagged as favoritesong"">#favoritesong</a> <a href=""http://picbear.com/tag/bestsong"" title=""posts tagged as bestsong"">#bestsong</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/bumpin"" title=""posts tagged as bumpin"">#bumpin</a> <a href=""http://picbear.com/tag/repeat"" title=""posts tagged as repeat"">#repeat</a> <a href=""http://picbear.com/tag/listentothis"" title=""posts tagged as listentothis"">#listentothis</a> <a href=""http://picbear.com/tag/goodmusic"" title=""posts tagged as goodmusic"">#goodmusic</a> <a href=""http://picbear.com/tag/instamusic"" title=""posts tagged as instamusic"">#instamusic</a></p>",60,2
October 25 2017 - 15:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827835_699627713560075_4522554301595254784_n.jpg,http://picbear.com/media/1609615261210986695_5657036749,October 25 2017 - 15:34,September 22 2017 - 20:25,"<p><a href=""http://picbear.com/tag/music"" title=""posts tagged as music"">#music</a> <a href=""http://picbear.com/tag/genre"" title=""posts tagged as genre"">#genre</a> <a href=""http://picbear.com/tag/song"" title=""posts tagged as song"">#song</a> <a href=""http://picbear.com/tag/songs"" title=""posts tagged as songs"">#songs</a> <a href=""http://picbear.com/tag/tagsforlikes"" title=""posts tagged as tagsforlikes"">#tagsforlikes</a> <a href=""http://picbear.com/tag/melody"" title=""posts tagged as melody"">#melody</a> <a href=""http://picbear.com/tag/hiphop"" title=""posts tagged as hiphop"">#hiphop</a> <a href=""http://picbear.com/tag/rnb"" title=""posts tagged as rnb"">#rnb</a> <a href=""http://picbear.com/tag/pop"" title=""posts tagged as pop"">#pop</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/rap"" title=""posts tagged as rap"">#rap</a> <a href=""http://picbear.com/tag/dubstep"" title=""posts tagged as dubstep"">#dubstep</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beat"" title=""posts tagged as beat"">#beat</a> <a href=""http://picbear.com/tag/beats"" title=""posts tagged as beats"">#beats</a> <a href=""http://picbear.com/tag/jam"" title=""posts tagged as jam"">#jam</a> <a href=""http://picbear.com/tag/myjam"" title=""posts tagged as myjam"">#myjam</a> <a href=""http://picbear.com/tag/party"" title=""posts tagged as party"">#party</a> <a href=""http://picbear.com/tag/partymusic"" title=""posts tagged as partymusic"">#partymusic</a> <a href=""http://picbear.com/tag/newsong"" title=""posts tagged as newsong"">#newsong</a> <a href=""http://picbear.com/tag/lovethissong"" title=""posts tagged as lovethissong"">#lovethissong</a> <a href=""http://picbear.com/tag/remix"" title=""posts tagged as remix"">#remix</a> <a href=""http://picbear.com/tag/favoritesong"" title=""posts tagged as favoritesong"">#favoritesong</a> <a href=""http://picbear.com/tag/bestsong"" title=""posts tagged as bestsong"">#bestsong</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/bumpin"" title=""posts tagged as bumpin"">#bumpin</a> <a href=""http://picbear.com/tag/apple"" title=""posts tagged as apple"">#apple</a> <a href=""http://picbear.com/tag/listentothis"" title=""posts tagged as listentothis"">#listentothis</a> <a href=""http://picbear.com/tag/goodmusic"" title=""posts tagged as goodmusic"">#goodmusic</a> <a href=""http://picbear.com/tag/instamusic"" title=""posts tagged as instamusic"">#instamusic</a></p>",18,0
October 25 2017 - 15:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980521_845413375627682_3343288047415328768_n.jpg,http://picbear.com/media/1609543523152168728_5657036749,October 25 2017 - 15:34,September 22 2017 - 18:02,"<p><a href=""http://picbear.com/tag/music"" title=""posts tagged as music"">#music</a> <a href=""http://picbear.com/tag/genre"" title=""posts tagged as genre"">#genre</a> <a href=""http://picbear.com/tag/song"" title=""posts tagged as song"">#song</a> <a href=""http://picbear.com/tag/songs"" title=""posts tagged as songs"">#songs</a> <a href=""http://picbear.com/tag/tagsforlikes"" title=""posts tagged as tagsforlikes"">#tagsforlikes</a> <a href=""http://picbear.com/tag/melody"" title=""posts tagged as melody"">#melody</a> <a href=""http://picbear.com/tag/hiphop"" title=""posts tagged as hiphop"">#hiphop</a> <a href=""http://picbear.com/tag/rnb"" title=""posts tagged as rnb"">#rnb</a> <a href=""http://picbear.com/tag/pop"" title=""posts tagged as pop"">#pop</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/rap"" title=""posts tagged as rap"">#rap</a> <a href=""http://picbear.com/tag/dubstep"" title=""posts tagged as dubstep"">#dubstep</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beat"" title=""posts tagged as beat"">#beat</a> <a href=""http://picbear.com/tag/beats"" title=""posts tagged as beats"">#beats</a> <a href=""http://picbear.com/tag/jam"" title=""posts tagged as jam"">#jam</a> <a href=""http://picbear.com/tag/myjam"" title=""posts tagged as myjam"">#myjam</a> <a href=""http://picbear.com/tag/party"" title=""posts tagged as party"">#party</a> <a href=""http://picbear.com/tag/partymusic"" title=""posts tagged as partymusic"">#partymusic</a> <a href=""http://picbear.com/tag/newsong"" title=""posts tagged as newsong"">#newsong</a> <a href=""http://picbear.com/tag/lovethissong"" title=""posts tagged as lovethissong"">#lovethissong</a> <a href=""http://picbear.com/tag/remix"" title=""posts tagged as remix"">#remix</a> <a href=""http://picbear.com/tag/favoritesong"" title=""posts tagged as favoritesong"">#favoritesong</a> <a href=""http://picbear.com/tag/bestsong"" title=""posts tagged as bestsong"">#bestsong</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/bumpin"" title=""posts tagged as bumpin"">#bumpin</a> <a href=""http://picbear.com/tag/repeat"" title=""posts tagged as repeat"">#repeat</a> <a href=""http://picbear.com/tag/listentothis"" title=""posts tagged as listentothis"">#listentothis</a> <a href=""http://picbear.com/tag/goodmusic"" title=""posts tagged as goodmusic"">#goodmusic</a> <a href=""http://picbear.com/tag/instamusic"" title=""posts tagged as instamusic"">#instamusic</a></p>",21,1
October 25 2017 - 15:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21371784_275963239587262_1045354379391008768_n.jpg,http://picbear.com/media/1596703432688093457_5657036749,October 25 2017 - 15:34,September 05 2017 - 00:51,"<p>New music, soon!!🔥🙌 <a href=""http://picbear.com/tag/new"" title=""posts tagged as new"">#new</a> <a href=""http://picbear.com/tag/music"" title=""posts tagged as music"">#music</a> <a href=""http://picbear.com/tag/comingsoon"" title=""posts tagged as comingsoon"">#comingsoon</a> <a href=""http://picbear.com/tag/trap"" title=""posts tagged as trap"">#trap</a> <a href=""http://picbear.com/tag/trapmusic"" title=""posts tagged as trapmusic"">#trapmusic</a> <a href=""http://picbear.com/tag/bass"" title=""posts tagged as bass"">#bass</a> <a href=""http://picbear.com/tag/dubstep"" title=""posts tagged as dubstep"">#dubstep</a> <a href=""http://picbear.com/tag/producer"" title=""posts tagged as producer"">#producer</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/mood"" title=""posts tagged as mood"">#mood</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/work"" title=""posts tagged as work"">#work</a> <a href=""http://picbear.com/tag/basshead"" title=""posts tagged as basshead"">#basshead</a> <a href=""http://picbear.com/tag/ableton"" title=""posts tagged as ableton"">#ableton</a> <a href=""http://picbear.com/tag/heavy"" title=""posts tagged as heavy"">#heavy</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/goodvibes"" title=""posts tagged as goodvibes"">#goodvibes</a> <a href=""http://picbear.com/tag/release"" title=""posts tagged as release"">#release</a> <a href=""http://picbear.com/tag/passion"" title=""posts tagged as passion"">#passion</a> <a href=""http://picbear.com/tag/bassmusic"" title=""posts tagged as bassmusic"">#bassmusic</a> <a href=""http://picbear.com/tag/drop"" title=""posts tagged as drop"">#drop</a></p>",61,6
