user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164289_1608193195906240_8471119355457830912_n.jpg,http://picbear.com/media/1640428559754661593_1682989415,November 07 2017 - 03:08,November 04 2017 - 08:45,,14,3
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857538_125385688179862_7135693111212113920_n.jpg,http://picbear.com/media/1637519594527930096_1682989415,November 07 2017 - 03:08,October 31 2017 - 08:26,,24,4
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101093_547373275655046_58968298951278592_n.jpg,http://picbear.com/media/1636106133927538701_1682989415,November 07 2017 - 03:08,October 29 2017 - 09:37,,25,3
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101091_893821607442794_2590904352335986688_n.jpg,http://picbear.com/media/1636100428197644048_1682989415,November 07 2017 - 03:08,October 29 2017 - 09:26,,20,1
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582634_139498833273085_9151462748037578752_n.jpg,http://picbear.com/media/1630307947144563701_1682989415,November 07 2017 - 03:08,October 21 2017 - 09:37,,35,9
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710740_124138791605844_7985747124266467328_n.jpg,http://picbear.com/media/1630307539005893111_1682989415,November 07 2017 - 03:08,October 21 2017 - 09:37,,21,4
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22221187_141297519943597_7110525736728920064_n.jpg,http://picbear.com/media/1619410712106660686_1682989415,November 07 2017 - 03:08,October 06 2017 - 08:47,,58,14
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21911294_125353671520052_6176102382544355328_n.jpg,http://picbear.com/media/1612223484447832132_1682989415,November 07 2017 - 03:08,September 26 2017 - 10:47,,43,14
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c157.0.416.416/21980315_164909234088024_2530915135363481600_n.jpg,http://picbear.com/media/1612206687434820272_1682989415,November 07 2017 - 03:08,September 26 2017 - 10:13,,39,7
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21826975_1912963682359198_5278527605786542080_n.jpg,http://picbear.com/media/1604964002730727253_1682989415,November 07 2017 - 03:08,September 16 2017 - 10:24,,31,7
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576812_1649422668421439_2223789480089747456_n.jpg,http://picbear.com/media/1604962479401356765_1682989415,November 07 2017 - 03:08,September 16 2017 - 10:20,,23,4
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21689215_1389642917800491_8180250756989845504_n.jpg,http://picbear.com/media/1604960702048362935_1682989415,November 07 2017 - 03:08,September 16 2017 - 10:17,,15,2
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21819547_777608539109655_6389623284345864192_n.jpg,http://picbear.com/media/1604959076915000313_1682989415,November 07 2017 - 03:08,September 16 2017 - 10:14,,13,2
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21819868_1946359605615147_8071444915961200640_n.jpg,http://picbear.com/media/1604958345982007632_1682989415,November 07 2017 - 03:08,September 16 2017 - 10:12,,12,2
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576793_352295091861810_8097951920808787968_n.jpg,http://picbear.com/media/1604956714473344897_1682989415,November 07 2017 - 03:08,September 16 2017 - 10:09,,16,1
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21568843_1756915571275975_7692767051156291584_n.jpg,http://picbear.com/media/1602674736608741005_1682989415,November 07 2017 - 03:08,September 13 2017 - 06:35,,21,0
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21296380_1880044542312056_2475351718980747264_n.jpg,http://picbear.com/media/1596671048970802335_1682989415,November 07 2017 - 03:08,September 04 2017 - 23:47,,34,5
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21433532_135261580422921_2581799382445719552_n.jpg,http://picbear.com/media/1596670523214766399_1682989415,November 07 2017 - 03:08,September 04 2017 - 23:46,,31,3
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21371640_347953295656298_2343875485785653248_n.jpg,http://picbear.com/media/1596670008800131427_1682989415,November 07 2017 - 03:08,September 04 2017 - 23:45,,18,1
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21373468_140151806502423_7518686683710095360_n.jpg,http://picbear.com/media/1596668302322473336_1682989415,November 07 2017 - 03:08,September 04 2017 - 23:41,,16,1
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21373774_1232166816928505_7546547114357030912_n.jpg,http://picbear.com/media/1596667829448289071_1682989415,November 07 2017 - 03:08,September 04 2017 - 23:40,,13,2
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21372406_510268952640793_2804021845039251456_n.jpg,http://picbear.com/media/1596667418574247110_1682989415,November 07 2017 - 03:08,September 04 2017 - 23:40,,12,2
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21371792_1268702316609836_6080871335410532352_n.jpg,http://picbear.com/media/1596666703696925173_1682989415,November 07 2017 - 03:08,September 04 2017 - 23:38,,19,0
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21435839_114674882548011_1333832875803410432_n.jpg,http://picbear.com/media/1596665943571817782_1682989415,November 07 2017 - 03:08,September 04 2017 - 23:37,,8,1
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21224239_169809613582519_6408608581687443456_n.jpg,http://picbear.com/media/1594830367730143066_1682989415,November 07 2017 - 03:08,September 02 2017 - 10:50,,42,10
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21294380_322330218229586_5581392924085583872_n.jpg,http://picbear.com/media/1594822292402967425_1682989415,November 07 2017 - 03:08,September 02 2017 - 10:34,,34,6
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21224995_476976582686627_7508891383726342144_n.jpg,http://picbear.com/media/1594819218514920355_1682989415,November 07 2017 - 03:09,September 02 2017 - 10:28,,23,3
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21294321_714375398750675_617498889938796544_n.jpg,http://picbear.com/media/1594809490061907507_1682989415,November 07 2017 - 03:09,September 02 2017 - 10:08,,17,3
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21148086_215778128956413_2539824598342434816_n.jpg,http://picbear.com/media/1593368074894780819_1682989415,November 07 2017 - 03:09,August 31 2017 - 10:24,,37,4
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21294982_271387416710102_9178420720156278784_n.jpg,http://picbear.com/media/1593367189535931468_1682989415,November 07 2017 - 03:09,August 31 2017 - 10:23,,26,3
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21148108_340691739676803_4062995184630104064_n.jpg,http://picbear.com/media/1593357853132628268_1682989415,November 07 2017 - 03:09,August 31 2017 - 10:04,,21,7
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.2.632.632/21149176_462098890837912_6983584349048274944_n.jpg,http://picbear.com/media/1593354264897363888_1682989415,November 07 2017 - 03:09,August 31 2017 - 09:57,,9,3
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c26.0.268.268/21147667_415443092190819_6027148123535572992_n.jpg,http://picbear.com/media/1592664764009336295_1682989415,November 07 2017 - 03:09,August 30 2017 - 11:07,,17,4
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21147490_1517157274989786_2070684856743886848_n.jpg,http://picbear.com/media/1592663630448189472_1682989415,November 07 2017 - 03:09,August 30 2017 - 11:05,,9,1
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21147853_1167746663324859_2916822151682064384_n.jpg,http://picbear.com/media/1592655364783750218_1682989415,November 07 2017 - 03:09,August 30 2017 - 10:48,,9,4
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21149638_275155959653231_4873897216411959296_n.jpg,http://picbear.com/media/1592653860563689005_1682989415,November 07 2017 - 03:09,August 30 2017 - 10:45,,13,4
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21148091_1434864389942135_4688997100497666048_n.jpg,http://picbear.com/media/1592652657159157069_1682989415,November 07 2017 - 03:09,August 30 2017 - 10:43,,10,2
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c93.0.540.540/21148081_114862659217534_3959073271172825088_n.jpg,http://picbear.com/media/1592606795758472386_1682989415,November 07 2017 - 03:09,August 30 2017 - 09:12,,9,0
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21147337_1380542708728903_8539485923321053184_n.jpg,http://picbear.com/media/1592602857936180582_1682989415,November 07 2017 - 03:09,August 30 2017 - 09:04,,11,2
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21147811_1746404685659395_8322130732415713280_n.jpg,http://picbear.com/media/1592598458564243130_1682989415,November 07 2017 - 03:09,August 30 2017 - 08:55,,7,0
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042648_111918262857265_5250970580219330560_n.jpg,http://picbear.com/media/1589687561676003526_1682989415,November 07 2017 - 03:09,August 26 2017 - 08:32,,44,7
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042651_266104113877854_5653779254920347648_n.jpg,http://picbear.com/media/1589682805276484803_1682989415,November 07 2017 - 03:09,August 26 2017 - 08:22,,31,7
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042216_111285762920450_9059513326500839424_n.jpg,http://picbear.com/media/1589680781575260607_1682989415,November 07 2017 - 03:09,August 26 2017 - 08:18,,21,4
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20987576_224587434734835_5746840287007735808_n.jpg,http://picbear.com/media/1589679803085962164_1682989415,November 07 2017 - 03:09,August 26 2017 - 08:17,,25,9
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21148902_1061969703938948_5623114056010301440_n.jpg,http://picbear.com/media/1589676214473021445_1682989415,November 07 2017 - 03:09,August 26 2017 - 08:09,,15,5
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21040870_114600452594707_3859927808025296896_n.jpg,http://picbear.com/media/1588303379691847124_1682989415,November 07 2017 - 03:09,August 24 2017 - 10:42,,30,5
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c64.0.428.428/21041694_1263893447054532_2371971748791844864_n.jpg,http://picbear.com/media/1588296516636168059_1682989415,November 07 2017 - 03:09,August 24 2017 - 10:28,,20,2
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c116.0.640.640/20987408_1701189530190396_6853825359742238720_n.jpg,http://picbear.com/media/1588295166976067391_1682989415,November 07 2017 - 03:09,August 24 2017 - 10:26,,11,2
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042828_196312610906640_5278166197173485568_n.jpg,http://picbear.com/media/1588291304852801316_1682989415,November 07 2017 - 03:09,August 24 2017 - 10:18,,13,2
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042175_337878306657422_9025565402482081792_n.jpg,http://picbear.com/media/1588289732399856552_1682989415,November 07 2017 - 03:09,August 24 2017 - 10:15,,14,1
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905497_256640418158598_3531679108452843520_n.jpg,http://picbear.com/media/1586345878075425823_1682989415,November 07 2017 - 03:09,August 21 2017 - 17:53,,30,6
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20968743_1470731366336964_5760702452869365760_n.jpg,http://picbear.com/media/1586153338046835658_1682989415,November 07 2017 - 03:09,August 21 2017 - 11:30,,27,5
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20969402_232973223892926_4240789092469571584_n.jpg,http://picbear.com/media/1586152642581065668_1682989415,November 07 2017 - 03:09,August 21 2017 - 11:29,,16,1
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041757_1661439227231658_4458066780690055168_n.jpg,http://picbear.com/media/1586151521300990558_1682989415,November 07 2017 - 03:09,August 21 2017 - 11:26,,12,2
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905711_254525761720893_5768893337754927104_n.jpg,http://picbear.com/media/1586148217833541600_1682989415,November 07 2017 - 03:09,August 21 2017 - 11:20,,13,3
November 07 2017 - 03:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20968648_138734223399501_2324855772871131136_n.jpg,http://picbear.com/media/1586146300717708174_1682989415,November 07 2017 - 03:09,August 21 2017 - 11:16,,10,0
