user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860677_289269508251018_5781353372888072192_n.jpg,http://picbear.com/media/1638324037514002335_4200126853,November 07 2017 - 02:41,November 01 2017 - 11:04,,4,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101443_939460469544069_247166314093740032_n.jpg,http://picbear.com/media/1638188412538291633_4200126853,November 07 2017 - 02:41,November 01 2017 - 06:34,,3,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857569_302953263520605_8078252714003267584_n.jpg,http://picbear.com/media/1636971780835002681_4200126853,November 07 2017 - 02:41,October 30 2017 - 14:17,,5,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c124.0.551.551/22802094_126182714762556_3762830915428941824_n.jpg,http://picbear.com/media/1632562470034022084_4200126853,November 07 2017 - 02:41,October 24 2017 - 12:17,,10,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.53.1080.1080/22710310_181444772429104_39368421854412800_n.jpg,http://picbear.com/media/1631316829450353201_4200126853,November 07 2017 - 02:41,October 22 2017 - 19:02,<p>Каждому нужна такая пальма за окном 😂</p>,11,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.1079.1079/22500042_125271158135028_1878980017984110592_n.jpg,http://picbear.com/media/1626748675055309620_4200126853,November 07 2017 - 02:41,October 16 2017 - 11:46,,8,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c155.0.686.686/22280556_348457028930550_71841527118168064_n.jpg,http://picbear.com/media/1621323931334154410_4200126853,November 07 2017 - 02:41,October 09 2017 - 00:08,,7,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c10.0.300.300/22280157_1947614472159495_6947122387397640192_n.jpg,http://picbear.com/media/1621323040816265820_4200126853,November 07 2017 - 02:41,October 09 2017 - 00:06,,8,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c111.0.277.277/22159178_155765398351338_8759588956992962560_n.jpg,http://picbear.com/media/1618782226730713788_4200126853,November 07 2017 - 02:41,October 05 2017 - 11:58,,8,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c139.0.307.307/21980941_283526485469141_1709693796112924672_n.jpg,http://picbear.com/media/1613398327083354817_4200126853,November 07 2017 - 02:41,September 28 2017 - 01:41,,10,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980249_2023291811223764_5691239285366194176_n.jpg,http://picbear.com/media/1613396782589428991_4200126853,November 07 2017 - 02:41,September 28 2017 - 01:38,,9,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c80.0.444.444/21981114_2015168188770163_224600757784018944_n.jpg,http://picbear.com/media/1612978210377638995_4200126853,November 07 2017 - 02:41,September 27 2017 - 11:46,,8,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c54.0.428.428/21909940_1871114693203602_456242311290945536_n.jpg,http://picbear.com/media/1610388299799680883_4200126853,November 07 2017 - 02:41,September 23 2017 - 22:01,,11,1
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.11.543.543/21980462_615532835503670_2773270983006486528_n.jpg,http://picbear.com/media/1610122130626887898_4200126853,November 07 2017 - 02:41,September 23 2017 - 13:12,,18,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879288_302965976850415_9084442880054919168_n.jpg,http://picbear.com/media/1609977390807790344_4200126853,November 07 2017 - 02:41,September 23 2017 - 08:24,,9,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576425_1946065868742381_4040107613147365376_n.jpg,http://picbear.com/media/1609782352953956475_4200126853,November 07 2017 - 02:41,September 23 2017 - 01:57,,9,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c59.0.481.481/21879079_857916251042250_2663107206462832640_n.jpg,http://picbear.com/media/1609778259044785432_4200126853,November 07 2017 - 02:41,September 23 2017 - 01:49,,6,1
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c21.0.278.278/21879532_1906853236308026_7735766335283527680_n.jpg,http://picbear.com/media/1609767518514439109_4200126853,November 07 2017 - 02:42,September 23 2017 - 01:27,,13,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c104.0.640.640/21827898_440506993052146_502155138023030784_n.jpg,http://picbear.com/media/1609598518522217109_4200126853,November 07 2017 - 02:42,September 22 2017 - 19:51,,8,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c133.0.292.292/21820512_134310637191169_7788937858609315840_n.jpg,http://picbear.com/media/1607273526560192534_4200126853,November 07 2017 - 02:42,September 19 2017 - 14:52,,7,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.108.1080.1080/21879378_117658148907186_6402688411651538944_n.jpg,http://picbear.com/media/1607132622155162792_4200126853,November 07 2017 - 02:42,September 19 2017 - 10:12,,9,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c121.0.550.550/21690694_118275012191270_2794579883425005568_n.jpg,http://picbear.com/media/1606820347380899146_4200126853,November 07 2017 - 02:42,September 18 2017 - 23:52,,6,0
November 07 2017 - 02:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c10.0.300.300/21820010_138202563463550_4294676728577523712_n.jpg,http://picbear.com/media/1606820087845764969_4200126853,November 07 2017 - 02:42,September 18 2017 - 23:51,,13,0
