user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.899.899/19986010_318332428610735_5014275224594546688_n.jpg,http://picbear.com/media/1558827409997617116_315458904,November 06 2017 - 20:24,July 14 2017 - 18:38,"<p>Ну вот и все, кончилась беззаботная студенческая жизнь, впереди суровые рабочие будни😔 Но сначала отдохнем как следует😃😃 <a href=""http://picbear.com/tag/девочкасталаникем"" title=""posts tagged as девочкасталаникем"">#девочкасталаникем</a> <a href=""http://picbear.com/tag/учиться4годаоказалосьлегчечемзабратьдиплом"" title=""posts tagged as учиться4годаоказалосьлегчечемзабратьдиплом"">#учиться4годаоказалосьлегчечемзабратьдиплом</a> <a href=""http://picbear.com/tag/гдекнопкарестарта"" title=""posts tagged as гдекнопкарестарта"">#гдекнопкарестарта</a> <a href=""http://picbear.com/tag/изацикливания"" title=""posts tagged as изацикливания"">#изацикливания</a></p>",43,4
November 06 2017 - 20:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18513805_109121129672298_494949501455302656_n.jpg,http://picbear.com/media/1519103539409820372_315458904,November 06 2017 - 20:24,May 20 2017 - 23:14,"<p><a href=""http://picbear.com/tag/шикарныйвечерсубботы"" title=""posts tagged as шикарныйвечерсубботы"">#шикарныйвечерсубботы</a> <a href=""http://picbear.com/tag/слюбимым"" title=""posts tagged as слюбимым"">#слюбимым</a> <a href=""http://picbear.com/tag/культурнопроводимвремя"" title=""posts tagged as культурнопроводимвремя"">#культурнопроводимвремя</a> <a href=""http://picbear.com/tag/дышимсвежимвоздухом"" title=""posts tagged as дышимсвежимвоздухом"">#дышимсвежимвоздухом</a> <a href=""http://picbear.com/tag/смотримрыцарскийтурнир"" title=""posts tagged as смотримрыцарскийтурнир"">#смотримрыцарскийтурнир</a></p>",77,3
November 06 2017 - 20:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18380419_411843025863588_6246210181688983552_n.jpg,http://picbear.com/media/1513039546320603601_315458904,November 06 2017 - 20:24,May 12 2017 - 14:26,"<p>Спасибо за твою поддержку, родной😘😘 <a href=""http://picbear.com/tag/положительныеэмоции"" title=""posts tagged as положительныеэмоции"">#положительныеэмоции</a> <a href=""http://picbear.com/tag/лучшеелекарство"" title=""posts tagged as лучшеелекарство"">#лучшеелекарство</a></p>",56,1
November 06 2017 - 20:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.900.900/18013327_1824341444552235_8551967145527869440_n.jpg,http://picbear.com/media/1501490813623740166_315458904,November 06 2017 - 20:24,April 26 2017 - 16:01,"<p><a href=""http://picbear.com/tag/ахэтадевушка"" title=""posts tagged as ахэтадевушка"">#ахэтадевушка</a> <a href=""http://picbear.com/tag/двабездонныхокеанаглаз"" title=""posts tagged as двабездонныхокеанаглаз"">#двабездонныхокеанаглаз</a> <a href=""http://picbear.com/tag/неудержалась"" title=""posts tagged as неудержалась"">#неудержалась</a> <a href=""http://picbear.com/tag/минутамимимишности"" title=""posts tagged as минутамимимишности"">#минутамимимишности</a> <a href=""http://picbear.com/tag/поканиктоневидет"" title=""posts tagged as поканиктоневидет"">#поканиктоневидет</a></p>",50,0
November 06 2017 - 20:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18013499_1168123446650361_7595385251904356352_n.jpg,http://picbear.com/media/1497019941756122568_315458904,November 06 2017 - 20:24,April 20 2017 - 11:58,"<p>Жизнерадостное апрельское фото😆🐶 <a href=""http://picbear.com/tag/собакалучшийдругчеловека"" title=""posts tagged as собакалучшийдругчеловека"">#собакалучшийдругчеловека</a> <a href=""http://picbear.com/tag/мояшоколадка"" title=""posts tagged as мояшоколадка"">#мояшоколадка</a> <a href=""http://picbear.com/tag/вышлинаразведку"" title=""posts tagged as вышлинаразведку"">#вышлинаразведку</a> <a href=""http://picbear.com/tag/морозимсвоипопы"" title=""posts tagged as морозимсвоипопы"">#морозимсвоипопы</a></p>",56,0
November 06 2017 - 20:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c28.0.720.720/17334141_283144975441720_2336674105530515456_n.jpg,http://picbear.com/media/1491977788956902317_315458904,November 06 2017 - 20:24,April 13 2017 - 13:00,"<p>Настюша, выздоравливай скорее😚🙏 <a href=""http://picbear.com/tag/скучашки"" title=""posts tagged as скучашки"">#скучашки</a> <a href=""http://picbear.com/tag/мыждемтебя"" title=""posts tagged as мыждемтебя"">#мыждемтебя</a> <a href=""http://picbear.com/tag/нашакрасотка"" title=""posts tagged as нашакрасотка"">#нашакрасотка</a></p>",56,1
November 06 2017 - 20:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17883046_441452382874737_7088766272766214144_n.jpg,http://picbear.com/media/1491164654608483991_315458904,November 06 2017 - 20:25,April 12 2017 - 10:05,"<p>Мои красотки любимые😙 <a href=""http://picbear.com/tag/завамихотьнакрайсвета"" title=""posts tagged as завамихотьнакрайсвета"">#завамихотьнакрайсвета</a> <a href=""http://picbear.com/tag/вместенавсегда"" title=""posts tagged as вместенавсегда"">#вместенавсегда</a> <a href=""http://picbear.com/tag/безфильтра"" title=""posts tagged as безфильтра"">#безфильтра</a> <a href=""http://picbear.com/tag/безфотошопа"" title=""posts tagged as безфотошопа"">#безфотошопа</a> <a href=""http://picbear.com/tag/всенатуральное"" title=""posts tagged as всенатуральное"">#всенатуральное</a> <a href=""http://picbear.com/tag/всеестественное"" title=""posts tagged as всеестественное"">#всеестественное</a></p>",45,2
November 06 2017 - 20:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c80.0.480.480/17818022_1902519226660550_1692362310288408576_n.jpg,http://picbear.com/media/1489374347260657426_315458904,November 06 2017 - 20:25,April 09 2017 - 22:47,"<p>Кто самый счастливый человек на Земле?😃💐 <a href=""http://picbear.com/tag/шикарныйдень"" title=""posts tagged as шикарныйдень"">#шикарныйдень</a> <a href=""http://picbear.com/tag/смоимлюбимым"" title=""posts tagged as смоимлюбимым"">#смоимлюбимым</a></p>",38,0
November 06 2017 - 20:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c61.0.957.957/17819034_1898145297131736_149567558863814656_n.jpg,http://picbear.com/media/1488979899058203712_315458904,November 06 2017 - 20:25,April 09 2017 - 09:44,"<p>Отличное место для съемок триллера типа ""Приют"" или ""Экстрасенс""😁 <a href=""http://picbear.com/tag/влучшихтрадицияхжанра"" title=""posts tagged as влучшихтрадицияхжанра"">#влучшихтрадицияхжанра</a> <a href=""http://picbear.com/tag/очаровательныйпейзаж"" title=""posts tagged as очаровательныйпейзаж"">#очаровательныйпейзаж</a> <a href=""http://picbear.com/tag/безфильтра"" title=""posts tagged as безфильтра"">#безфильтра</a></p>",29,2
November 06 2017 - 20:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.103.822.822/17495258_273048036487963_6988230962496667648_n.jpg,http://picbear.com/media/1486315294418723296_315458904,November 06 2017 - 20:25,April 05 2017 - 17:30,"<p><a href=""http://picbear.com/tag/вообщеничегоинтересного"" title=""posts tagged as вообщеничегоинтересного"">#вообщеничегоинтересного</a> <a href=""http://picbear.com/tag/гдевсе"" title=""posts tagged as гдевсе"">#гдевсе</a> <a href=""http://picbear.com/tag/наулицетакаяхорошаяпогода"" title=""posts tagged as наулицетакаяхорошаяпогода"">#наулицетакаяхорошаяпогода</a> <a href=""http://picbear.com/tag/была"" title=""posts tagged as была"">#была</a> <a href=""http://picbear.com/tag/вчера"" title=""posts tagged as вчера"">#вчера</a> ☀️#ждемлета</p>",40,0
