user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.63.508.508/23421883_1944312792252603_8771071448979603456_n.jpg,http://picbear.com/media/1642270213462145930_5784003943,November 06 2017 - 20:35,November 06 2017 - 21:44,,24,0
November 06 2017 - 20:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23164468_144274602991679_7766618262191734784_n.jpg,http://picbear.com/media/1641982612050165090_5784003943,November 06 2017 - 20:35,November 06 2017 - 12:13,"<p><a href=""http://picbear.com/tag/روحانی"" title=""posts tagged as روحانی"">#روحانی</a></p>",59,1
November 06 2017 - 20:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161193_137059013535993_3572364324330536960_n.jpg,http://picbear.com/media/1641494442066032367_5784003943,November 06 2017 - 20:35,November 05 2017 - 20:03,"<p><a href=""http://picbear.com/tag/عشق"" title=""posts tagged as عشق"">#عشق</a></p>",63,0
November 06 2017 - 20:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23347833_142780979784731_7463089998510686208_n.jpg,http://picbear.com/media/1641310843287025482_5784003943,November 06 2017 - 20:35,November 05 2017 - 13:58,"<p><a href=""http://picbear.com/tag/مرتضیپاشایی"" title=""posts tagged as مرتضیپاشایی"">#مرتضیپاشایی</a></p>",66,2
November 06 2017 - 20:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161839_1842083296102216_4750707632988225536_n.jpg,http://picbear.com/media/1641279358760791868_5784003943,November 06 2017 - 20:35,November 05 2017 - 12:56,"<p><a href=""http://picbear.com/tag/غروبتوتنگ"" title=""posts tagged as غروبتوتنگ"">#غروبتوتنگ</a></p>",49,0
November 06 2017 - 20:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23348029_309425642872992_7978655497605611520_n.jpg,http://picbear.com/media/1641063844574897805_5784003943,November 06 2017 - 20:35,November 05 2017 - 05:47,<p>شارژ گوشی رو نگاه کنید لطفا😂😂😂😂</p>,48,0
November 06 2017 - 20:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.3.480.480/23161513_125377818154261_2657516584972582912_n.jpg,http://picbear.com/media/1640760125996115571_5784003943,November 06 2017 - 20:35,November 04 2017 - 19:44,,68,0
November 06 2017 - 20:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.27.360.360/23164256_836382826530556_1036680830375690240_n.jpg,http://picbear.com/media/1640748716826317013_5784003943,November 06 2017 - 20:35,November 04 2017 - 19:21,"<p><a href=""http://picbear.com/tag/خودم"" title=""posts tagged as خودم"">#خودم</a></p>",65,0
November 06 2017 - 20:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.3.480.480/23164370_618647044996447_8547738793174630400_n.jpg,http://picbear.com/media/1640741924352423549_5784003943,November 06 2017 - 20:35,November 04 2017 - 19:08,,71,3
November 06 2017 - 20:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101426_126623224771696_1178606298095157248_n.jpg,http://picbear.com/media/1640659444589107021_5784003943,November 06 2017 - 20:35,November 04 2017 - 16:24,"<p><a href=""http://picbear.com/tag/غروب"" title=""posts tagged as غروب"">#غروب</a></p>",63,1
November 06 2017 - 20:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c48.0.223.223/23101408_524665001227730_6727621216082853888_n.jpg,http://picbear.com/media/1640643363736447095_5784003943,November 06 2017 - 20:35,November 04 2017 - 15:52,"<p><a href=""http://picbear.com/tag/چشم"" title=""posts tagged as چشم"">#چشم</a></p>",58,0
