user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c78.0.313.313/23099418_1885537331461912_8278027448419876864_n.jpg,http://picbear.com/media/1639483876580797923_1775208616,November 07 2017 - 05:01,November 03 2017 - 01:28,"<p>Os papás mais babados ❤️😍 Hoje fui ao médico , disseram me que sou Grande como o papá e muito mexida 😍😇😍😇😍 É a melhor coisa do mundo ver os meus papás todos babados a ouvirem o meu coração a bater com muita força ❤️❤️❤️..... Haaa , e já agora em princípio sou uma princesa 👑 A mamã está toda contente e já vê saias , o papá anda muito preocupado e anda a ver gás pimenta na net 😂😍😂😍 Tão passados os meus papás ❤️ Amo-vos muito meus pais babados ❤👸🤴️❤️ <a href=""http://picbear.com/tag/amelhorcoisadomundo"" title=""posts tagged as amelhorcoisadomundo"">#amelhorcoisadomundo</a> <a href=""http://picbear.com/tag/amelhorsensacãodomundo"" title=""posts tagged as amelhorsensacãodomundo"">#amelhorsensacãodomundo</a></p>",54,0
November 07 2017 - 05:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098519_125483111473253_836830328441012224_n.jpg,http://picbear.com/media/1636928953242825912_1775208616,November 07 2017 - 05:02,October 30 2017 - 12:52,"<p>Campanha da azeitona 2k17 🌱 <a href=""http://picbear.com/tag/pellencmaxi5000"" title=""posts tagged as pellencmaxi5000"">#pellencmaxi5000</a> <a href=""http://picbear.com/tag/kodiak700"" title=""posts tagged as kodiak700"">#kodiak700</a></p>",30,0
November 07 2017 - 05:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21980941_1957599404462097_1858626674774507520_n.jpg,http://picbear.com/media/1613534493696005858_1775208616,November 07 2017 - 05:02,September 28 2017 - 06:12,"<p>""Just be careful  Loves me simple  Promise me no promises"" ❤ <a href=""http://picbear.com/tag/ourmoments"" title=""posts tagged as ourmoments"">#ourmoments</a>❤️</p>",80,0
November 07 2017 - 05:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21224738_1475484242533458_4920042074457243648_n.jpg,http://picbear.com/media/1593101196876817937_1775208616,November 07 2017 - 05:02,August 31 2017 - 01:34,"<p>Feira'd Barrancos 2k17 🐂🎉 <a href=""http://picbear.com/tag/aguentacoracao"" title=""posts tagged as aguentacoracao"">#aguentacoracao</a></p>",42,0
November 07 2017 - 05:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21149481_729322750585887_6382671609194348544_n.jpg,http://picbear.com/media/1592612590324274729_1775208616,November 07 2017 - 05:02,August 30 2017 - 09:23,"<p>Fizes-te a diferença ❤ <a href=""http://picbear.com/tag/fbarrancos2k17"" title=""posts tagged as fbarrancos2k17"">#fbarrancos2k17</a></p>",68,2
November 07 2017 - 05:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c119.0.481.481/20968785_2034647253421328_1715778008129732608_n.jpg,http://picbear.com/media/1587116988526080461_1775208616,November 07 2017 - 05:02,August 22 2017 - 19:25,<p>Apenas vive 💭</p>,79,1
November 07 2017 - 05:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/20688336_493008784366499_740866035900481536_n.jpg,http://picbear.com/media/1577176185359977967_1775208616,November 07 2017 - 05:02,August 09 2017 - 02:14,"<p>Para ser louco,  cntg a meu lado pfv!! ❤👑💏</p>",83,1
November 07 2017 - 05:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/19429317_1799310713717364_4306712304977707008_n.jpg,http://picbear.com/media/1547315564485397431_1775208616,November 07 2017 - 05:02,June 28 2017 - 21:26,<p>💎 Quem tudo quer tudo perde 💎</p>,98,0
November 07 2017 - 05:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19122425_159954997878641_264453656244387840_n.jpg,http://picbear.com/media/1538120843242314867_1775208616,November 07 2017 - 05:02,June 16 2017 - 04:58,"<p>Viste a foto certo?? Não gostas-te?? Então passa para baixo e não Voltes a ver pff 🙏😉 <a href=""http://picbear.com/tag/book17"" title=""posts tagged as book17"">#book17</a> <a href=""http://picbear.com/tag/newstart"" title=""posts tagged as newstart"">#newstart</a></p>",146,4
November 07 2017 - 05:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/18947359_1321628111225987_7965315986314231808_n.jpg,http://picbear.com/media/1533438439319881366_1775208616,November 07 2017 - 05:02,June 09 2017 - 17:55,"<p>"" Eu não forço mais as coisas.  O que flui, flui.  O que termina, termina.  E o que tiver que ser,  será.  E se não for,  tudo bem,  porque só  tenho espaço e energia na minha vida ,  para pessoas e coisas que me façam feliz ""  <a href=""http://picbear.com/tag/book17"" title=""posts tagged as book17"">#book17</a></p>",141,14
