user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 21:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164315_1914786558838959_6554971794300731392_n.jpg,http://picbear.com/media/1641511335262923798_1930144113,November 06 2017 - 21:15,November 05 2017 - 20:37,<p>farti scivolare addosso questo mondo infame.</p>,17,1
November 06 2017 - 21:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22711133_292568014567148_1110448573016702976_n.jpg,http://picbear.com/media/1632117526414307102_1930144113,November 06 2017 - 21:15,October 23 2017 - 21:33,<p>good good.</p>,36,5
November 06 2017 - 21:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22499851_255386154985262_1317694587728297984_n.jpg,http://picbear.com/media/1626929399672497611_1930144113,November 06 2017 - 21:15,October 16 2017 - 17:45,<p>.♡.</p>,33,0
November 06 2017 - 21:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22277933_1918256465095322_4931827473307402240_n.jpg,http://picbear.com/media/1621320784391490117_1930144113,November 06 2017 - 21:15,October 09 2017 - 00:02,<p>♥</p>,27,0
November 06 2017 - 21:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980817_2060084577546114_6383838964125532160_n.jpg,http://picbear.com/media/1613813517740023639_1930144113,November 06 2017 - 21:15,September 28 2017 - 15:26,<p>di nuovo insieme. 👭❤</p>,28,1
November 06 2017 - 21:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21910861_160151407900299_8831138323255787520_n.jpg,http://picbear.com/media/1612505342868774693_1930144113,November 06 2017 - 21:15,September 26 2017 - 20:07,"<p>e c'avrei scommesso su noi due, e invece ognuno per le sue.</p>",27,1
November 06 2017 - 21:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.2.480.480/21372139_261133871073371_7478772891203403776_n.jpg,http://picbear.com/media/1597471799889623814_1930144113,November 06 2017 - 21:15,September 06 2017 - 02:18,<p>belli e felici.</p>,12,1
November 06 2017 - 21:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21294785_130174477619017_7533273745562009600_n.jpg,http://picbear.com/media/1595972489553155676_1930144113,November 06 2017 - 21:15,September 04 2017 - 00:39,"<p>Non so cosa vuoi da me,  ma di sicuro non vuoi me. ♥</p>",25,2
November 06 2017 - 21:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c209.0.477.477/21042148_124669711438516_6727413494284550144_n.jpg,http://picbear.com/media/1590930729986808052_1930144113,November 06 2017 - 21:16,August 28 2017 - 01:42,"<p>allora si, vada per l'amore.</p>",5,0
November 06 2017 - 21:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.473.473/20986976_112423239447840_8134669235445039104_n.jpg,http://picbear.com/media/1587968791455091403_1930144113,November 06 2017 - 21:16,August 23 2017 - 23:37,<p>è una rosa senza spine.🌹</p>,21,1
