user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101923_471446099895926_7144241771168399360_n.jpg,http://picbear.com/media/1640067621222914690_6300584952,November 06 2017 - 19:47,November 03 2017 - 20:48,"<p>The New Bilou Box😍 <a href=""http://picbear.com/tag/biloubox"" title=""posts tagged as biloubox"">#biloubox</a> <a href=""http://picbear.com/tag/loveit"" title=""posts tagged as loveit"">#loveit</a></p>",1,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101917_488808951491010_654210891700502528_n.jpg,http://picbear.com/media/1639487379580282501_6300584952,November 06 2017 - 19:47,November 03 2017 - 01:35,<p>Ey wozu gibt es Audios😛Ich würde never so viel schreiben dan mache ich lieber Mathe😨😨😨😨😨😨Nein Spaß Mathe macht doch keiner heut zu Tage  mehr frei willig😲😃😀😁😂</p>,1,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161646_124450291558693_6831609005748518912_n.jpg,http://picbear.com/media/1639485960269614748_6300584952,November 06 2017 - 19:47,November 03 2017 - 01:32,<p>Das ist hart😩😩Mein Beileid Handy süchtiger😫😥😭😭</p>,1,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101254_483491902030073_1095015621650808832_n.jpg,http://picbear.com/media/1639485162286692676_6300584952,November 06 2017 - 19:47,November 03 2017 - 01:31,<p>Ja also Glück brauchen die zu 100% 💪😂😂😂😂</p>,1,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098670_1833060750100116_4471533264099606528_n.jpg,http://picbear.com/media/1639484484126441939_6300584952,November 06 2017 - 19:47,November 03 2017 - 01:30,<p>Wer kennt es😟😂👆#ich</p>,1,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164176_189899684906680_3222552604009562112_n.jpg,http://picbear.com/media/1639483859695055337_6300584952,November 06 2017 - 19:47,November 03 2017 - 01:28,<p>Alles klar👍👍👍😑😂</p>,1,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101264_815786168593097_7562351550329257984_n.jpg,http://picbear.com/media/1639483511282709328_6300584952,November 06 2017 - 19:47,November 03 2017 - 01:28,<p>Oha Knall hart😂😂😂Ich feiere den Kellner💖👍😂</p>,1,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101378_297158070786924_8826631833115426816_n.jpg,http://picbear.com/media/1639482917092469793_6300584952,November 06 2017 - 19:47,November 03 2017 - 01:26,<p>Würde ich auch so machen genau so😂😂😂👍</p>,1,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23099132_2002373453312510_8138764933438373888_n.jpg,http://picbear.com/media/1639482375087695701_6300584952,November 06 2017 - 19:47,November 03 2017 - 01:25,<p>Wie gemein😮😮😮😮</p>,1,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.361.361/23101138_187371335142737_4050551796790198272_n.jpg,http://picbear.com/media/1639481612118534597_6300584952,November 06 2017 - 19:47,November 03 2017 - 01:24,<p>Ja kenne ich auch nicht😂😂</p>,1,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860885_1475811855859706_8982570456271814656_n.jpg,http://picbear.com/media/1638567450333107007_6300584952,November 06 2017 - 19:47,November 01 2017 - 19:08,<p>The Light is Strong💪And the DARK are Stronger💪💪💪💪</p>,1,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860837_139938830064031_1529071729618452480_n.jpg,http://picbear.com/media/1637580840676536641_6300584952,November 06 2017 - 19:47,October 31 2017 - 10:27,<p>Good or Evil?😇😡On which side since you......?💖🌌</p>,1,0
