user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857523_141524509813235_3210045805272498176_n.jpg,http://picbear.com/media/1635611842279726295_3147038877,November 07 2017 - 05:07,October 28 2017 - 17:15,<p>Thà Cô Đơn còn hơn Yêu một Người ☺️</p>,23,1
November 07 2017 - 05:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c120.0.720.720/22069198_341614359582756_5148903117676347392_n.jpg,http://picbear.com/media/1614545833854869062_3147038877,November 07 2017 - 05:07,September 29 2017 - 15:41,,19,0
November 07 2017 - 05:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980212_902297309924327_5399252891594653696_n.jpg,http://picbear.com/media/1610975794484505592_3147038877,November 07 2017 - 05:08,September 24 2017 - 17:28,<p>Ganh tị muôn đời là ganh tị 😌</p>,24,1
November 07 2017 - 05:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042765_740010242852164_5407688246018703360_n.jpg,http://picbear.com/media/1590651770416289135_3147038877,November 07 2017 - 05:08,August 27 2017 - 16:28,<p>Ai thấu 🤔🤔🤔🤔</p>,15,1
November 07 2017 - 05:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21042788_1585624308148510_2427667596196184064_n.jpg,http://picbear.com/media/1589621874302677199_3147038877,November 07 2017 - 05:08,August 26 2017 - 06:21,,19,0
November 07 2017 - 05:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.65.526.526/20687834_2043908989228918_2375336975927345152_n.jpg,http://picbear.com/media/1578674904474211722_3147038877,November 07 2017 - 05:08,August 11 2017 - 03:52,,27,0
November 07 2017 - 05:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20065250_457034188005129_3532977227958321152_n.jpg,http://picbear.com/media/1557015775905092625_3147038877,November 07 2017 - 05:08,July 12 2017 - 06:39,<p>Tuyệt vời...☺️</p>,11,0
November 07 2017 - 05:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.67.540.540/19228747_107500506534400_8607384417058422784_n.jpg,http://picbear.com/media/1540714827872240925_3147038877,November 07 2017 - 05:08,June 19 2017 - 18:52,,20,0
November 07 2017 - 05:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/19050635_1781303055513611_2656391200461815808_n.jpg,http://picbear.com/media/1535667814462050386_3147038877,November 07 2017 - 05:08,June 12 2017 - 19:44,<p>Luôn đặt nụ cười nằm hàng đầu dù biết cười rất xấu. 😂</p>,22,0
November 07 2017 - 05:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/18444632_810705785751324_8977159948530089984_n.jpg,http://picbear.com/media/1514222628892582715_3147038877,November 07 2017 - 05:08,May 14 2017 - 05:37,<p>Ngày càng thêm già. 😣😣😣</p>,24,1
