user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22071481_519977311681792_7980153217126236160_n.jpg,http://picbear.com/media/1616856115471791133_1947015986,November 07 2017 - 05:06,October 02 2017 - 20:11,<p>Teringin  punya  pasal  biar pun  terkejut Sr 15 4 keping comel je.....life Saudi  arabia</p>,28,5
November 07 2017 - 05:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/21879200_466955403676742_5492914729477210112_n.jpg,http://picbear.com/media/1606040288896111999_1947015986,November 07 2017 - 05:06,September 17 2017 - 22:02,"<p>Hasil tangkapan hari ni bersama cik Ayu <a href=""http://picbear.com/ayushuhadadaud"" title=""ayushuhadadaud instagram profile"">@ayushuhadadaud</a> 😏🤣😁</p>",40,0
November 07 2017 - 05:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21372164_268325040331083_5984575273826254848_n.jpg,http://picbear.com/media/1598556093868353725_1947015986,November 07 2017 - 05:06,September 07 2017 - 14:12,<p>Bila  dia  nak  baju  ala ala princesse...#anak perempuan😍😍😍😍</p>,48,0
November 07 2017 - 05:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20399063_318747395202772_4880560050717851648_n.jpg,http://picbear.com/media/1569397910373437896_1947015986,November 07 2017 - 05:06,July 29 2017 - 08:40,"<p>Happy Birthday 🍦🍦🍦🍦🎂🎂🎂🎂Buchu  ibu semoga  diberkahti  selalu....sayang kamu 💐💐💐😍😍😍😍# <a href=""http://picbear.com/tag/nur"" title=""posts tagged as nur"">#nur</a> Qisya Adelia turn 4</p>",51,7
November 07 2017 - 05:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19985186_1927913130756362_9165997316799201280_n.jpg,http://picbear.com/media/1558877897690601645_1947015986,November 07 2017 - 05:06,July 14 2017 - 20:19,<p>Ring ria Raya 2017</p>,44,1
November 07 2017 - 05:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19765004_148393039045363_8382728142527135744_n.jpg,http://picbear.com/media/1552231448760424573_1947015986,November 07 2017 - 05:06,July 05 2017 - 16:13,<p>Mlm  mlm  tak de keje 😍😍😍</p>,34,3
November 07 2017 - 05:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19761138_1450041091697867_8175080883380813824_n.jpg,http://picbear.com/media/1551975600360307127_1947015986,November 07 2017 - 05:06,July 05 2017 - 07:45,<p>Hasil  kolam  belakang  umah# kg life</p>,29,1
November 07 2017 - 05:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19534244_180283932509144_4655502785154908160_n.jpg,http://picbear.com/media/1550010938286671992_1947015986,November 07 2017 - 05:07,July 02 2017 - 14:42,"<p>Lama tak tengok  ayam  kg bertelur  setelah  riuh  sekmpung <a href=""http://picbear.com/tag/kampung"" title=""posts tagged as kampung"">#kampung</a> life</p>",22,0
November 07 2017 - 05:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19428645_646909708837261_7954108629932572672_n.jpg,http://picbear.com/media/1546445337010302692_1947015986,November 07 2017 - 05:07,June 27 2017 - 16:37,<p>Outing  beach😉😉😉</p>,43,0
November 07 2017 - 05:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19428954_114321865851163_3293540321694056448_n.jpg,http://picbear.com/media/1546220750502779164_1947015986,November 07 2017 - 05:07,June 27 2017 - 09:11,<p>Day 2 Raya saya sini</p>,32,0
