user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 12:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22499710_281233125728519_6561721764903124992_n.jpg,http://picbear.com/media/1626344180639791649_1449607967,October 18 2017 - 12:01,October 15 2017 - 22:22,"<p>Танцующий лес🌲🌲 Просто чудесный город❤❤ Спасибо организаторам и волонтерам Калининграда за то, КАК они стараются сделать наше пребывание здесь запоминающимся☄ Куршская коса, заповедник, чемпионат по сбору янтаря, флэшмобы и ПОТРЯСАЮЩЕЕ открытие💕 Завтра последний день, который, надеюсь, принесет не менее позитивные эмоции🌝 <a href=""http://picbear.com/tag/ВФМС2017"" title=""posts tagged as ВФМС2017"">#ВФМС2017</a> <a href=""http://picbear.com/tag/ЯФестиваль"" title=""posts tagged as ЯФестиваль"">#ЯФестиваль</a> <a href=""http://picbear.com/tag/МыБудущее"" title=""posts tagged as МыБудущее"">#МыБудущее</a> <a href=""http://picbear.com/tag/ВФМСКалининград"" title=""posts tagged as ВФМСКалининград"">#ВФМСКалининград</a> <a href=""http://picbear.com/tag/Калининград"" title=""posts tagged as Калининград"">#Калининград</a> <a href=""http://picbear.com/tag/wfys2017"" title=""posts tagged as wfys2017"">#wfys2017</a> <a href=""http://picbear.com/tag/imfest"" title=""posts tagged as imfest"">#imfest</a> <a href=""http://picbear.com/tag/wearefuture"" title=""posts tagged as wearefuture"">#wearefuture</a> <a href=""http://picbear.com/tag/wfyskaliningrad"" title=""posts tagged as wfyskaliningrad"">#wfyskaliningrad</a> <a href=""http://picbear.com/tag/kaliningrad"" title=""posts tagged as kaliningrad"">#kaliningrad</a> <a href=""http://picbear.com/tag/molod39"" title=""posts tagged as molod39"">#molod39</a></p>",62,2
October 18 2017 - 12:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22427290_1850784175215042_4191812111514468352_n.jpg,http://picbear.com/media/1625640112640339285_1449607967,October 18 2017 - 12:01,October 14 2017 - 23:03,"<p>Для меня Международный Фестиваль Молодежи и Студентов начался с Калининграда, самой западной точки России🇷🇺 Крутая программа, участники с 80 стран мира(если я правильно поняла🤔), музей Янтаря и могила Канта☄ Уникальный город, эдакий КёльноКишинев с питерской погодой🌫, где все говорят по русски😀 Кстати, иностранцев очень удивила традиция вешать замки на мост🤓 <a href=""http://picbear.com/tag/ВФМС2017"" title=""posts tagged as ВФМС2017"">#ВФМС2017</a> <a href=""http://picbear.com/tag/ЯФестиваль"" title=""posts tagged as ЯФестиваль"">#ЯФестиваль</a> <a href=""http://picbear.com/tag/МыБудущее"" title=""posts tagged as МыБудущее"">#МыБудущее</a> <a href=""http://picbear.com/tag/Региональнаяпрограмма"" title=""posts tagged as Региональнаяпрограмма"">#Региональнаяпрограмма</a> <a href=""http://picbear.com/tag/Калининград"" title=""posts tagged as Калининград"">#Калининград</a> <a href=""http://picbear.com/tag/ВФМСКалининград"" title=""posts tagged as ВФМСКалининград"">#ВФМСКалининград</a> <a href=""http://picbear.com/tag/wfys2017"" title=""posts tagged as wfys2017"">#wfys2017</a> <a href=""http://picbear.com/tag/imfest"" title=""posts tagged as imfest"">#imfest</a> <a href=""http://picbear.com/tag/wearefuture"" title=""posts tagged as wearefuture"">#wearefuture</a> <a href=""http://picbear.com/tag/regionalprogram"" title=""posts tagged as regionalprogram"">#regionalprogram</a> <a href=""http://picbear.com/tag/kaliningrad"" title=""posts tagged as kaliningrad"">#kaliningrad</a> <a href=""http://picbear.com/tag/molod39"" title=""posts tagged as molod39"">#molod39</a></p>",76,3
October 18 2017 - 12:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22069313_1153578534775293_6711197974107521024_n.jpg,http://picbear.com/media/1615289648279350776_1449607967,October 18 2017 - 12:01,September 30 2017 - 16:19,"<p>Bb, Israel❤❤ <a href=""http://picbear.com/tag/israel"" title=""posts tagged as israel"">#israel</a> <a href=""http://picbear.com/tag/israelinstagram"" title=""posts tagged as israelinstagram"">#israelinstagram</a> <a href=""http://picbear.com/tag/topisraelphoto"" title=""posts tagged as topisraelphoto"">#topisraelphoto</a> <a href=""http://picbear.com/tag/enjoytobeinisrael"" title=""posts tagged as enjoytobeinisrael"">#enjoytobeinisrael</a> <a href=""http://picbear.com/tag/beinisrael"" title=""posts tagged as beinisrael"">#beinisrael</a> <a href=""http://picbear.com/tag/appfortype"" title=""posts tagged as appfortype"">#appfortype</a> <a href=""http://picbear.com/tag/seasunsalt"" title=""posts tagged as seasunsalt"">#seasunsalt</a></p>",131,1
October 18 2017 - 12:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21985340_121180795268459_5275458963322699776_n.jpg,http://picbear.com/media/1611721458462909981_1449607967,October 18 2017 - 12:02,September 25 2017 - 18:09,"<p>На этой фотографии Оксана смотрит в светлое будущее😀 Как бы между прочим, хотела поделиться радостной вестью - мне выпала честь представлять свою страну, Молдову, на Всемирном Фестивале Молодежи и Студентов в Сочи🎓🎓 Меньше месяца осталось до этого грандиозного события, открытие которого, кстати, я буду смотреть в Калининграде, так как участвую еще и в региональной программе🏅 Представьте только, целых 25000 человек соберутся в Олимпийском парке👫💃🕺 <a href=""http://picbear.com/tag/израиль"" title=""posts tagged as израиль"">#израиль</a> <a href=""http://picbear.com/tag/израиль2017"" title=""posts tagged as израиль2017"">#израиль2017</a> <a href=""http://picbear.com/tag/israelinstagram"" title=""posts tagged as israelinstagram"">#israelinstagram</a> <a href=""http://picbear.com/tag/israel"" title=""posts tagged as israel"">#israel</a> <a href=""http://picbear.com/tag/eilat"" title=""posts tagged as eilat"">#eilat</a> <a href=""http://picbear.com/tag/ЯЕдуНаФестиваль"" title=""posts tagged as ЯЕдуНаФестиваль"">#ЯЕдуНаФестиваль</a> <a href=""http://picbear.com/tag/ВФМС2017"" title=""posts tagged as ВФМС2017"">#ВФМС2017</a> <a href=""http://picbear.com/tag/ЯФестиваль"" title=""posts tagged as ЯФестиваль"">#ЯФестиваль</a> <a href=""http://picbear.com/tag/МыБудущее"" title=""posts tagged as МыБудущее"">#МыБудущее</a></p>",156,1
October 18 2017 - 12:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21879257_287102018437335_187061257558294528_n.jpg,http://picbear.com/media/1607888948758926497_1449607967,October 18 2017 - 12:02,September 20 2017 - 11:15,"<p>Если у каждой страны есть свой цвет, то у Израиля он голубой💙💙 Сегодня израильтяне празднуют Новый, 5778 год, который называется Рош ха-Шана.  Повсюду слышится фраза ""Шана това"", пахнет свежеиспеченным хлебушком🍞, девчата раздают яблоки в меду🍏🍎 <a href=""http://picbear.com/tag/израиль"" title=""posts tagged as израиль"">#израиль</a> <a href=""http://picbear.com/tag/израиль2017"" title=""posts tagged as израиль2017"">#израиль2017</a> <a href=""http://picbear.com/tag/enjoytobeinisrael"" title=""posts tagged as enjoytobeinisrael"">#enjoytobeinisrael</a> <a href=""http://picbear.com/tag/israel"" title=""posts tagged as israel"">#israel</a> <a href=""http://picbear.com/tag/israelinstagram"" title=""posts tagged as israelinstagram"">#israelinstagram</a> <a href=""http://picbear.com/tag/israeloftheday"" title=""posts tagged as israeloftheday"">#israeloftheday</a> <a href=""http://picbear.com/tag/beinisrael"" title=""posts tagged as beinisrael"">#beinisrael</a></p>",110,0
October 18 2017 - 12:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21568642_272742166552022_3663384198980304896_n.jpg,http://picbear.com/media/1602122447561139068_1449607967,October 18 2017 - 12:02,September 12 2017 - 12:18,"<p>Тот момент, когда насыщенное на события и путешествия лето переходит в не менее насыщенную осень🍁🍁🍁 <a href=""http://picbear.com/tag/spain"" title=""posts tagged as spain"">#spain</a> <a href=""http://picbear.com/tag/spain2017"" title=""posts tagged as spain2017"">#spain2017</a> <a href=""http://picbear.com/tag/españa2017"" title=""posts tagged as españa2017"">#españa2017</a> <a href=""http://picbear.com/tag/españa"" title=""posts tagged as españa"">#españa</a> <a href=""http://picbear.com/tag/valencia"" title=""posts tagged as valencia"">#valencia</a> <a href=""http://picbear.com/tag/topvalenciaphoto"" title=""posts tagged as topvalenciaphoto"">#topvalenciaphoto</a> <a href=""http://picbear.com/tag/latergram"" title=""posts tagged as latergram"">#latergram</a></p>",98,4
October 18 2017 - 12:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21295061_209539882913638_5180439791220555776_n.jpg,http://picbear.com/media/1594179561385228917_1449607967,October 18 2017 - 12:02,September 01 2017 - 13:17,"<p>🎶Alexiane - A Million on My Soul <a href=""http://picbear.com/tag/latergram"" title=""posts tagged as latergram"">#latergram</a> <a href=""http://picbear.com/tag/españa2017"" title=""posts tagged as españa2017"">#españa2017</a> <a href=""http://picbear.com/tag/españa"" title=""posts tagged as españa"">#españa</a> <a href=""http://picbear.com/tag/valencia"" title=""posts tagged as valencia"">#valencia</a> <a href=""http://picbear.com/tag/spain"" title=""posts tagged as spain"">#spain</a> <a href=""http://picbear.com/tag/spain2017"" title=""posts tagged as spain2017"">#spain2017</a> <a href=""http://picbear.com/tag/appfortype"" title=""posts tagged as appfortype"">#appfortype</a> <a href=""http://picbear.com/tag/topvalenciaphoto"" title=""posts tagged as topvalenciaphoto"">#topvalenciaphoto</a></p>",152,1
October 18 2017 - 12:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21147943_888300007995360_3460504448021823488_n.jpg,http://picbear.com/media/1592879135868096981_1449607967,October 18 2017 - 12:02,August 30 2017 - 18:13,"<p>Лето, не кончайся..🌴🌴 <a href=""http://picbear.com/tag/испания"" title=""posts tagged as испания"">#испания</a> <a href=""http://picbear.com/tag/spain"" title=""posts tagged as spain"">#spain</a> <a href=""http://picbear.com/tag/spain2017"" title=""posts tagged as spain2017"">#spain2017</a> <a href=""http://picbear.com/tag/españa2017"" title=""posts tagged as españa2017"">#españa2017</a> <a href=""http://picbear.com/tag/españa"" title=""posts tagged as españa"">#españa</a> <a href=""http://picbear.com/tag/bancodevalencia"" title=""posts tagged as bancodevalencia"">#bancodevalencia</a> <a href=""http://picbear.com/tag/valencia"" title=""posts tagged as valencia"">#valencia</a> <a href=""http://picbear.com/tag/topvalenciaphoto"" title=""posts tagged as topvalenciaphoto"">#topvalenciaphoto</a> <a href=""http://picbear.com/tag/latergram"" title=""posts tagged as latergram"">#latergram</a></p>",147,1
October 18 2017 - 12:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21147218_1540065116055378_3008082995471974400_n.jpg,http://picbear.com/media/1590071226994141088_1449607967,October 18 2017 - 12:02,August 26 2017 - 21:14,"<p>🌞🌞 <a href=""http://picbear.com/tag/latergram"" title=""posts tagged as latergram"">#latergram</a> <a href=""http://picbear.com/tag/valencia"" title=""posts tagged as valencia"">#valencia</a> <a href=""http://picbear.com/tag/spain"" title=""posts tagged as spain"">#spain</a> <a href=""http://picbear.com/tag/spain2017"" title=""posts tagged as spain2017"">#spain2017</a> <a href=""http://picbear.com/tag/españa2017"" title=""posts tagged as españa2017"">#españa2017</a> <a href=""http://picbear.com/tag/españa"" title=""posts tagged as españa"">#españa</a> <a href=""http://picbear.com/tag/topvalenciaphoto"" title=""posts tagged as topvalenciaphoto"">#topvalenciaphoto</a> <a href=""http://picbear.com/tag/испания"" title=""posts tagged as испания"">#испания</a> <a href=""http://picbear.com/tag/appfortype"" title=""posts tagged as appfortype"">#appfortype</a></p>",195,2
October 18 2017 - 12:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/20986672_316242655507808_213197589548367872_n.jpg,http://picbear.com/media/1587688995801720682_1449607967,October 18 2017 - 12:02,August 23 2017 - 14:21,"<p>Одно из самых фотографируемых мест в Валенсии😊 <a href=""http://picbear.com/tag/latergram"" title=""posts tagged as latergram"">#latergram</a> <a href=""http://picbear.com/tag/испания"" title=""posts tagged as испания"">#испания</a> <a href=""http://picbear.com/tag/spain"" title=""posts tagged as spain"">#spain</a> <a href=""http://picbear.com/tag/spain2017"" title=""posts tagged as spain2017"">#spain2017</a> <a href=""http://picbear.com/tag/españa2017"" title=""posts tagged as españa2017"">#españa2017</a> <a href=""http://picbear.com/tag/españa"" title=""posts tagged as españa"">#españa</a> <a href=""http://picbear.com/tag/valencia"" title=""posts tagged as valencia"">#valencia</a> <a href=""http://picbear.com/tag/topvalenciaphoto"" title=""posts tagged as topvalenciaphoto"">#topvalenciaphoto</a> <a href=""http://picbear.com/tag/bancodevalencia"" title=""posts tagged as bancodevalencia"">#bancodevalencia</a></p>",199,3
