user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 06:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22708899_1506691966086326_7059012749384220672_n.jpg,http://picbear.com/media/1632273863877285207_200330660,November 07 2017 - 06:44,October 24 2017 - 02:43,<p>Essa aqui é a última só pra deixar claro que eu sou um anjo meeeesmo ❤👼</p>,234,14
November 07 2017 - 06:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639102_1973942616221215_1269460743489585152_n.jpg,http://picbear.com/media/1631556438202432130_200330660,November 07 2017 - 06:44,October 23 2017 - 02:58,<p>A melhor diabinha ❤❤😍</p>,165,7
November 07 2017 - 06:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22638694_1887930011525525_7981139156933804032_n.jpg,http://picbear.com/media/1629421743406747534_200330660,November 07 2017 - 06:44,October 20 2017 - 04:17,"<p>Secrets ❤  <a href=""http://picbear.com/tag/angel"" title=""posts tagged as angel"">#angel</a></p>",288,34
November 07 2017 - 06:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c175.0.729.729/22581796_1149949915137893_4398341811580436480_n.jpg,http://picbear.com/media/1626470576787812157_200330660,November 07 2017 - 06:44,October 16 2017 - 02:33,"<p>Perdoa minha branquitude e não desiste de mim... ❤ <a href=""http://picbear.com/tag/vemverao"" title=""posts tagged as vemverao"">#vemverao</a></p>",234,14
November 07 2017 - 06:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c216.0.648.648/22430039_170745770170839_3121873506824880128_n.jpg,http://picbear.com/media/1626182533505861029_200330660,November 07 2017 - 06:44,October 15 2017 - 17:01,<p>A única marquinha que conseguimos foi no seu coração 🌊🌴❤</p>,227,1
November 07 2017 - 06:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c204.0.672.672/22352324_145265942757136_5856516159561531392_n.jpg,http://picbear.com/media/1624257242407626958_200330660,November 07 2017 - 06:44,October 13 2017 - 01:16,"<p>""Ver na vida algum motivo pra sonhar  ter um sonho azul  azul da cor do mar"" ❤🌊🌴 eu amo esse lugar <a href=""http://picbear.com/tag/capixabadagema"" title=""posts tagged as capixabadagema"">#capixabadagema</a></p>",144,6
November 07 2017 - 06:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22426838_503776339982582_5467107778529067008_n.jpg,http://picbear.com/media/1622785927246812242_200330660,November 07 2017 - 06:44,October 11 2017 - 00:32,"<p>A amizade é séria, nós não somos 💅🍻❤ kkkk <a href=""http://picbear.com/tag/apredileta7anos"" title=""posts tagged as apredileta7anos"">#apredileta7anos</a></p>",192,4
November 07 2017 - 06:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.742.742/22430123_1686465244698429_1063547130712424448_n.jpg,http://picbear.com/media/1622134162671338788_200330660,November 07 2017 - 06:44,October 10 2017 - 02:58,<p>Hoje é o aniversário de uma pessoinha muito especial pra mim ❤❤❤ minha prima linda fazendo 14 aninhos 🎉🎉🎁🎊🎈 te desejo toda a felicidade do mundoooo e que você continue sendo essa garota divertida e loka que você é 😍❤ Te amo primaaa ❤ Feliz Aniversáriooo 🎉🎉🎁🎈🎂</p>,163,3
November 07 2017 - 06:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.960.960/22344900_157055301550786_6349477469115908096_n.jpg,http://picbear.com/media/1621153204774251257_200330660,November 07 2017 - 06:44,October 08 2017 - 18:29,"<p>Juro que eu tentei tirar uma foto descente... essa foi a que chegou mais perto kkkk VII Aniversário da Apredileta 🎉❤🍻 <a href=""http://picbear.com/tag/apredileta7anos"" title=""posts tagged as apredileta7anos"">#apredileta7anos</a></p>",215,6
November 07 2017 - 06:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22280225_1395146010608797_3879602894294482944_n.jpg,http://picbear.com/media/1619884907610157346_200330660,November 07 2017 - 06:44,October 07 2017 - 00:29,"<p>O que dizer da melhor estação chegandooo??! 😍🏖🌴🌺🍌❤ Pra quem quiser divar nesse verão a <a href=""http://picbear.com/uelita_boutique"" title=""uelita_boutique instagram profile"">@uelita_boutique</a> está cheiaaa de novidades ❤❤ <a href=""http://picbear.com/tag/vemverao"" title=""posts tagged as vemverao"">#vemverao</a></p>",209,15
