user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22636892_126279858035126_1447119853780467712_n.jpg,http://picbear.com/media/1628390169570788766_2960213724,October 25 2017 - 15:47,October 18 2017 - 18:07,"<p>Sol🌞 <a href=""http://picbear.com/tag/instachile"" title=""posts tagged as instachile"">#instachile</a> <a href=""http://picbear.com/tag/sol"" title=""posts tagged as sol"">#sol</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/live"" title=""posts tagged as live"">#live</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/chilegram"" title=""posts tagged as chilegram"">#chilegram</a> <a href=""http://picbear.com/tag/instaparis"" title=""posts tagged as instaparis"">#instaparis</a> <a href=""http://picbear.com/tag/eeuu"" title=""posts tagged as eeuu"">#eeuu</a>🇺🇸 <a href=""http://picbear.com/tag/alemania"" title=""posts tagged as alemania"">#alemania</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a> <a href=""http://picbear.com/tag/chile"" title=""posts tagged as chile"">#chile</a> <a href=""http://picbear.com/tag/chilean"" title=""posts tagged as chilean"">#chilean</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/alone"" title=""posts tagged as alone"">#alone</a> <a href=""http://picbear.com/tag/newyork"" title=""posts tagged as newyork"">#newyork</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/australia"" title=""posts tagged as australia"">#australia</a> <a href=""http://picbear.com/tag/inglaterra"" title=""posts tagged as inglaterra"">#inglaterra</a> <a href=""http://picbear.com/tag/mexico"" title=""posts tagged as mexico"">#mexico</a></p>",14,2
October 25 2017 - 15:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/21909610_127415014648886_4672118626348695552_n.jpg,http://picbear.com/media/1611065625361398768_2960213724,October 25 2017 - 15:47,September 24 2017 - 20:26,"<p>Pasando el rato, en casa! <a href=""http://picbear.com/tag/instachile"" title=""posts tagged as instachile"">#instachile</a> <a href=""http://picbear.com/tag/chile"" title=""posts tagged as chile"">#chile</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/mylive"" title=""posts tagged as mylive"">#mylive</a> <a href=""http://picbear.com/tag/argentina"" title=""posts tagged as argentina"">#argentina</a> <a href=""http://picbear.com/tag/paris"" title=""posts tagged as paris"">#paris</a> <a href=""http://picbear.com/tag/francia"" title=""posts tagged as francia"">#francia</a> <a href=""http://picbear.com/tag/eeuu"" title=""posts tagged as eeuu"">#eeuu</a>🇺🇸 <a href=""http://picbear.com/tag/mexico"" title=""posts tagged as mexico"">#mexico</a> <a href=""http://picbear.com/tag/alemania"" title=""posts tagged as alemania"">#alemania</a> <a href=""http://picbear.com/tag/inglaterra"" title=""posts tagged as inglaterra"">#inglaterra</a> <a href=""http://picbear.com/tag/diasoliado"" title=""posts tagged as diasoliado"">#diasoliado</a> <a href=""http://picbear.com/tag/chilegram"" title=""posts tagged as chilegram"">#chilegram</a> <a href=""http://picbear.com/tag/men"" title=""posts tagged as men"">#men</a></p>",30,0
October 25 2017 - 15:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21819784_178923166008552_6794850343462109184_n.jpg,http://picbear.com/media/1606858056908638444_2960213724,October 25 2017 - 15:47,September 19 2017 - 01:07,"<p>Tomando ponche de huevo, hace caleta que no lo tomaba.#chile <a href=""http://picbear.com/tag/feriado"" title=""posts tagged as feriado"">#feriado</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a></p>",6,2
October 25 2017 - 15:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20836921_697609950426212_4845389787596587008_n.jpg,http://picbear.com/media/1582108669028412275_2960213724,October 25 2017 - 15:47,August 15 2017 - 21:34,"<p>Dia feriado fome, aburrido!  <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/chilean"" title=""posts tagged as chilean"">#chilean</a> <a href=""http://picbear.com/tag/instaargentina"" title=""posts tagged as instaargentina"">#instaargentina</a> <a href=""http://picbear.com/tag/instaparis"" title=""posts tagged as instaparis"">#instaparis</a> <a href=""http://picbear.com/tag/eeuu"" title=""posts tagged as eeuu"">#eeuu</a>🇺🇸 <a href=""http://picbear.com/tag/alemania"" title=""posts tagged as alemania"">#alemania</a> <a href=""http://picbear.com/tag/francia"" title=""posts tagged as francia"">#francia</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/mylive"" title=""posts tagged as mylive"">#mylive</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/aburrido"" title=""posts tagged as aburrido"">#aburrido</a> <a href=""http://picbear.com/tag/chilegram"" title=""posts tagged as chilegram"">#chilegram</a> <a href=""http://picbear.com/tag/futuroactor"" title=""posts tagged as futuroactor"">#futuroactor</a> <a href=""http://picbear.com/tag/actor"" title=""posts tagged as actor"">#actor</a> <a href=""http://picbear.com/tag/chile"" title=""posts tagged as chile"">#chile</a></p>",23,2
October 25 2017 - 15:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20583204_114542119201012_5820607226489864192_n.jpg,http://picbear.com/media/1570494609946224524_2960213724,October 25 2017 - 15:47,July 30 2017 - 20:59,"<p>En puerto montt, dia soliado! <a href=""http://picbear.com/tag/instachile"" title=""posts tagged as instachile"">#instachile</a> <a href=""http://picbear.com/tag/chile"" title=""posts tagged as chile"">#chile</a> <a href=""http://picbear.com/tag/chilean"" title=""posts tagged as chilean"">#chilean</a> <a href=""http://picbear.com/tag/mylive"" title=""posts tagged as mylive"">#mylive</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/sol"" title=""posts tagged as sol"">#sol</a> <a href=""http://picbear.com/tag/paris"" title=""posts tagged as paris"">#paris</a> <a href=""http://picbear.com/tag/mexico"" title=""posts tagged as mexico"">#mexico</a> <a href=""http://picbear.com/tag/argentina"" title=""posts tagged as argentina"">#argentina</a> <a href=""http://picbear.com/tag/inglaterra"" title=""posts tagged as inglaterra"">#inglaterra</a> <a href=""http://picbear.com/tag/alemania"" title=""posts tagged as alemania"">#alemania</a> <a href=""http://picbear.com/tag/eeuu"" title=""posts tagged as eeuu"">#eeuu</a>🇺🇸 <a href=""http://picbear.com/tag/paris"" title=""posts tagged as paris"">#paris</a> <a href=""http://picbear.com/tag/francia"" title=""posts tagged as francia"">#francia</a></p>",23,0
October 25 2017 - 15:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20214522_1584453174959656_8201182460495527936_n.jpg,http://picbear.com/media/1563959671218423719_2960213724,October 25 2017 - 15:47,July 21 2017 - 20:35,"<p>Relajado mirando tv ,buena tv. <a href=""http://picbear.com/tag/instachile"" title=""posts tagged as instachile"">#instachile</a> <a href=""http://picbear.com/tag/chile"" title=""posts tagged as chile"">#chile</a> <a href=""http://picbear.com/tag/chilegram"" title=""posts tagged as chilegram"">#chilegram</a> <a href=""http://picbear.com/tag/francia"" title=""posts tagged as francia"">#francia</a> <a href=""http://picbear.com/tag/eeuu"" title=""posts tagged as eeuu"">#eeuu</a>🇺🇸 <a href=""http://picbear.com/tag/chilean"" title=""posts tagged as chilean"">#chilean</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/mylive"" title=""posts tagged as mylive"">#mylive</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/alemania"" title=""posts tagged as alemania"">#alemania</a> <a href=""http://picbear.com/tag/etc"" title=""posts tagged as etc"">#etc</a></p>",19,0
October 25 2017 - 15:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20184925_136574216933177_8760637697812332544_n.jpg,http://picbear.com/media/1563955693315390683_2960213724,October 25 2017 - 15:47,July 21 2017 - 20:27,"<p>Foto Casual!! <a href=""http://picbear.com/tag/instachile"" title=""posts tagged as instachile"">#instachile</a> <a href=""http://picbear.com/tag/chilean"" title=""posts tagged as chilean"">#chilean</a> <a href=""http://picbear.com/tag/chile"" title=""posts tagged as chile"">#chile</a> <a href=""http://picbear.com/tag/casual"" title=""posts tagged as casual"">#casual</a> <a href=""http://picbear.com/tag/mylive"" title=""posts tagged as mylive"">#mylive</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/eeuu"" title=""posts tagged as eeuu"">#eeuu</a>🇺🇸 <a href=""http://picbear.com/tag/francia"" title=""posts tagged as francia"">#francia</a> <a href=""http://picbear.com/tag/alemania"" title=""posts tagged as alemania"">#alemania</a> <a href=""http://picbear.com/tag/argentina"" title=""posts tagged as argentina"">#argentina</a> <a href=""http://picbear.com/tag/inglaterra"" title=""posts tagged as inglaterra"">#inglaterra</a> <a href=""http://picbear.com/tag/paris"" title=""posts tagged as paris"">#paris</a></p>",16,2
October 25 2017 - 15:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19985926_1400795066669194_8461768073488105472_n.jpg,http://picbear.com/media/1560522010508015876_2960213724,October 25 2017 - 15:47,July 17 2017 - 02:45,"<p>Aburrido!! <a href=""http://picbear.com/tag/instachile"" title=""posts tagged as instachile"">#instachile</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/chilegram"" title=""posts tagged as chilegram"">#chilegram</a> <a href=""http://picbear.com/tag/chilean"" title=""posts tagged as chilean"">#chilean</a> <a href=""http://picbear.com/tag/inglaterra"" title=""posts tagged as inglaterra"">#inglaterra</a> <a href=""http://picbear.com/tag/argentina"" title=""posts tagged as argentina"">#argentina</a> <a href=""http://picbear.com/tag/francia"" title=""posts tagged as francia"">#francia</a> <a href=""http://picbear.com/tag/alemania"" title=""posts tagged as alemania"">#alemania</a> <a href=""http://picbear.com/tag/eeuu"" title=""posts tagged as eeuu"">#eeuu</a>🇺🇸 <a href=""http://picbear.com/tag/australia"" title=""posts tagged as australia"">#australia</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/liker"" title=""posts tagged as liker"">#liker</a> <a href=""http://picbear.com/tag/live"" title=""posts tagged as live"">#live</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/paris"" title=""posts tagged as paris"">#paris</a> <a href=""http://picbear.com/tag/aburrido"" title=""posts tagged as aburrido"">#aburrido</a> <a href=""http://picbear.com/tag/frio"" title=""posts tagged as frio"">#frio</a></p>",20,0
October 25 2017 - 15:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/19931693_1062621243882546_741068367514828800_n.jpg,http://picbear.com/media/1554547884039516570_2960213724,October 25 2017 - 15:47,July 08 2017 - 20:56,"<p>Sábado aburrido! <a href=""http://picbear.com/tag/instachile"" title=""posts tagged as instachile"">#instachile</a> <a href=""http://picbear.com/tag/chile"" title=""posts tagged as chile"">#chile</a> <a href=""http://picbear.com/tag/chilegram"" title=""posts tagged as chilegram"">#chilegram</a> <a href=""http://picbear.com/tag/paris"" title=""posts tagged as paris"">#paris</a> <a href=""http://picbear.com/tag/eeuu"" title=""posts tagged as eeuu"">#eeuu</a>🇺🇸 <a href=""http://picbear.com/tag/alemania"" title=""posts tagged as alemania"">#alemania</a> <a href=""http://picbear.com/tag/francia"" title=""posts tagged as francia"">#francia</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/live"" title=""posts tagged as live"">#live</a> <a href=""http://picbear.com/tag/inglaterra"" title=""posts tagged as inglaterra"">#inglaterra</a> <a href=""http://picbear.com/tag/argentina"" title=""posts tagged as argentina"">#argentina</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a> <a href=""http://picbear.com/tag/osorno"" title=""posts tagged as osorno"">#osorno</a> <a href=""http://picbear.com/tag/aburrido"" title=""posts tagged as aburrido"">#aburrido</a> <a href=""http://picbear.com/tag/sabado"" title=""posts tagged as sabado"">#sabado</a></p>",38,0
October 25 2017 - 15:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/19624373_823263491155307_3085574277190123520_n.jpg,http://picbear.com/media/1552488203699795043_2960213724,October 25 2017 - 15:47,July 06 2017 - 00:43,"<p>Todo mojado! Te odio clima. <a href=""http://picbear.com/tag/instachile"" title=""posts tagged as instachile"">#instachile</a> <a href=""http://picbear.com/tag/instaeuropa"" title=""posts tagged as instaeuropa"">#instaeuropa</a> <a href=""http://picbear.com/tag/eeuu"" title=""posts tagged as eeuu"">#eeuu</a>🇺🇸 <a href=""http://picbear.com/tag/chilean"" title=""posts tagged as chilean"">#chilean</a> <a href=""http://picbear.com/tag/chile"" title=""posts tagged as chile"">#chile</a> <a href=""http://picbear.com/tag/francia"" title=""posts tagged as francia"">#francia</a> <a href=""http://picbear.com/tag/alemania"" title=""posts tagged as alemania"">#alemania</a> <a href=""http://picbear.com/tag/italia"" title=""posts tagged as italia"">#italia</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/live"" title=""posts tagged as live"">#live</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/lluviendo"" title=""posts tagged as lluviendo"">#lluviendo</a></p>",18,0
