user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22430118_155116115090703_6314274942200315904_n.jpg,http://picbear.com/media/1626936980264012087_1950921162,October 25 2017 - 16:38,October 16 2017 - 18:00,"<p>romantic,lovely,traveling and crazy parties ...,</p>",150,2
October 25 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c129.0.458.458/21981000_1298807973564901_6572497743359508480_n.jpg,http://picbear.com/media/1614577191714454667_1950921162,October 25 2017 - 16:38,September 29 2017 - 16:43,<p>Syukuri opo sing mbok duwe ojok iri karo arek 👌</p>,146,2
October 25 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/20759999_121157181864931_6562097888074137600_n.jpg,http://picbear.com/media/1580225241380466996_1950921162,October 25 2017 - 16:38,August 13 2017 - 07:12,"<p>Jadilah pahlawan masa kini dengan sebuah karya bukan sekedar bicara !  <a href=""http://picbear.com/tag/jokosamudrocustomday"" title=""posts tagged as jokosamudrocustomday"">#jokosamudrocustomday</a></p>",237,2
October 25 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/20398301_182606285612773_2217270995339706368_n.jpg,http://picbear.com/media/1567849882617973453_1950921162,October 25 2017 - 16:38,July 27 2017 - 05:24,"<p>Jangan biarkan rasa takut hentikan dirimu untuk lakukan hal yang kau suka 👌  <a href=""http://picbear.com/tag/mbolangjatim"" title=""posts tagged as mbolangjatim"">#mbolangjatim</a> <a href=""http://picbear.com/tag/telukbidadari"" title=""posts tagged as telukbidadari"">#telukbidadari</a> <a href=""http://picbear.com/tag/malanghitz"" title=""posts tagged as malanghitz"">#malanghitz</a> <a href=""http://picbear.com/tag/jawatimurhitz"" title=""posts tagged as jawatimurhitz"">#jawatimurhitz</a></p>",223,0
October 25 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/20184981_498068710537207_217875079516651520_n.jpg,http://picbear.com/media/1565691881551494873_1950921162,October 25 2017 - 16:38,July 24 2017 - 05:57,"<p>Karena bahagia bergantung bagaimana caramu bersyukur 👌  <a href=""http://picbear.com/tag/telukbidadari"" title=""posts tagged as telukbidadari"">#telukbidadari</a> <a href=""http://picbear.com/tag/pesonaindonesia"" title=""posts tagged as pesonaindonesia"">#pesonaindonesia</a> <a href=""http://picbear.com/tag/jawatimurhitz"" title=""posts tagged as jawatimurhitz"">#jawatimurhitz</a></p>",232,2
October 25 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/20181295_118666388759488_7804194600351956992_n.jpg,http://picbear.com/media/1564521413851044214_1950921162,October 25 2017 - 16:39,July 22 2017 - 15:11,<p>I Will something just like this 👌</p>,268,3
October 25 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/19425183_1542795575757896_4240345628506324992_n.jpg,http://picbear.com/media/1545777074702420480_1950921162,October 25 2017 - 16:39,June 26 2017 - 18:30,<p>Keep strong 👌</p>,222,0
October 25 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/17934597_289886208122898_8731954128093184000_n.jpg,http://picbear.com/media/1494191931177354304_1950921162,October 25 2017 - 16:39,April 16 2017 - 14:19,<p>Relaxx 🍻</p>,196,2
October 25 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c92.0.535.535/17438641_270803076701027_5826887821591314432_n.jpg,http://picbear.com/media/1483437081108104543_1950921162,October 25 2017 - 16:39,April 01 2017 - 18:11,<p>Senyumin aza 😁</p>,176,0
October 25 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/17439379_1251608218226913_1395441213842128896_n.jpg,http://picbear.com/media/1477990219991312773_1950921162,October 25 2017 - 16:39,March 25 2017 - 05:49,<p>Berdiri tegak menantang ....</p>,166,0
