user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 19:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19228520_1318760078243008_4906761339793309696_n.jpg,http://picbear.com/media/1537810743548957375_2130909882,November 06 2017 - 19:48,June 15 2017 - 18:42,"<p>Iftar 🕌🍽🍹 <a href=""http://picbear.com/tag/foodlover"" title=""posts tagged as foodlover"">#foodlover</a> <a href=""http://picbear.com/tag/iftar"" title=""posts tagged as iftar"">#iftar</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/instamoments"" title=""posts tagged as instamoments"">#instamoments</a> <a href=""http://picbear.com/tag/travelblog"" title=""posts tagged as travelblog"">#travelblog</a> <a href=""http://picbear.com/tag/instalife"" title=""posts tagged as instalife"">#instalife</a></p>",85,3
November 06 2017 - 19:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18299604_229866904171782_4677881566221828096_n.jpg,http://picbear.com/media/1522924449228542471_2130909882,November 06 2017 - 19:48,May 26 2017 - 05:46,"<p>Yummy_food 😋 <a href=""http://picbear.com/tag/foodlover"" title=""posts tagged as foodlover"">#foodlover</a> <a href=""http://picbear.com/tag/foodgram"" title=""posts tagged as foodgram"">#foodgram</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/instalife"" title=""posts tagged as instalife"">#instalife</a> <a href=""http://picbear.com/tag/deshifood"" title=""posts tagged as deshifood"">#deshifood</a> <a href=""http://picbear.com/tag/chilekotha"" title=""posts tagged as chilekotha"">#chilekotha</a> <a href=""http://picbear.com/tag/instamoments"" title=""posts tagged as instamoments"">#instamoments</a></p>",51,0
November 06 2017 - 19:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17333346_279917209080361_2241986534968393728_n.jpg,http://picbear.com/media/1482559616729871115_2130909882,November 06 2017 - 19:48,March 31 2017 - 13:08,"<p>Lalon Shah Majar, Kushtia 🇧🇩 <a href=""http://picbear.com/tag/bangladesh"" title=""posts tagged as bangladesh"">#bangladesh</a> <a href=""http://picbear.com/tag/naturalbangladesh"" title=""posts tagged as naturalbangladesh"">#naturalbangladesh</a> <a href=""http://picbear.com/tag/bangladeshinsta"" title=""posts tagged as bangladeshinsta"">#bangladeshinsta</a> <a href=""http://picbear.com/tag/travelblog"" title=""posts tagged as travelblog"">#travelblog</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/lalon"" title=""posts tagged as lalon"">#lalon</a> <a href=""http://picbear.com/tag/instamusic"" title=""posts tagged as instamusic"">#instamusic</a> <a href=""http://picbear.com/tag/folkmusiccenter"" title=""posts tagged as folkmusiccenter"">#folkmusiccenter</a></p>",78,0
November 06 2017 - 19:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17596796_270433623381340_3682537768845574144_n.jpg,http://picbear.com/media/1482452597528139921_2130909882,November 06 2017 - 19:48,March 31 2017 - 09:35,"<p>Ravindranath Tagore Kuthi Bari, Kushtia, 🇧🇩 <a href=""http://picbear.com/tag/bangladesh"" title=""posts tagged as bangladesh"">#bangladesh</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/naturebangladesh"" title=""posts tagged as naturebangladesh"">#naturebangladesh</a> <a href=""http://picbear.com/tag/rabindranathtagore"" title=""posts tagged as rabindranathtagore"">#rabindranathtagore</a> <a href=""http://picbear.com/tag/nobelprize"" title=""posts tagged as nobelprize"">#nobelprize</a> <a href=""http://picbear.com/tag/travelblog"" title=""posts tagged as travelblog"">#travelblog</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/poetsociety"" title=""posts tagged as poetsociety"">#poetsociety</a></p>",39,2
November 06 2017 - 19:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17661759_198948763935854_4206758382956183552_n.jpg,http://picbear.com/media/1482449882186211106_2130909882,November 06 2017 - 19:48,March 31 2017 - 09:30,"<p>Mughal historic mosque 🕌 <a href=""http://picbear.com/tag/bangladesh"" title=""posts tagged as bangladesh"">#bangladesh</a> <a href=""http://picbear.com/tag/naturebangladesh"" title=""posts tagged as naturebangladesh"">#naturebangladesh</a> <a href=""http://picbear.com/tag/historical"" title=""posts tagged as historical"">#historical</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/travelblogger"" title=""posts tagged as travelblogger"">#travelblogger</a> <a href=""http://picbear.com/tag/interiordesign"" title=""posts tagged as interiordesign"">#interiordesign</a> <a href=""http://picbear.com/tag/mughalarchitecture"" title=""posts tagged as mughalarchitecture"">#mughalarchitecture</a> <a href=""http://picbear.com/tag/mosque"" title=""posts tagged as mosque"">#mosque</a></p>",26,0
November 06 2017 - 19:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16465074_759192214246671_7771257174763765760_n.jpg,http://picbear.com/media/1442785487719136729_2130909882,November 06 2017 - 19:48,February 04 2017 - 16:04,"<p>My son Aayat who enjoyed the beauty of river padma 🌊🏖 <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/kidslove"" title=""posts tagged as kidslove"">#kidslove</a> <a href=""http://picbear.com/tag/funtimes"" title=""posts tagged as funtimes"">#funtimes</a> <a href=""http://picbear.com/tag/instalife"" title=""posts tagged as instalife"">#instalife</a> <a href=""http://picbear.com/tag/beautifulbangladesh"" title=""posts tagged as beautifulbangladesh"">#beautifulbangladesh</a> <a href=""http://picbear.com/tag/naturebangladesh"" title=""posts tagged as naturebangladesh"">#naturebangladesh</a> <a href=""http://picbear.com/tag/naturelovers"" title=""posts tagged as naturelovers"">#naturelovers</a> <a href=""http://picbear.com/tag/river"" title=""posts tagged as river"">#river</a> <a href=""http://picbear.com/tag/travelworld"" title=""posts tagged as travelworld"">#travelworld</a> <a href=""http://picbear.com/tag/kidsfuntime"" title=""posts tagged as kidsfuntime"">#kidsfuntime</a> <a href=""http://picbear.com/tag/travelblog"" title=""posts tagged as travelblog"">#travelblog</a></p>",93,2
November 06 2017 - 19:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16464328_1427231307328979_8503799332116365312_n.jpg,http://picbear.com/media/1442068477674607104_2130909882,November 06 2017 - 19:48,February 03 2017 - 16:19,"<p><a href=""http://picbear.com/tag/kidslove"" title=""posts tagged as kidslove"">#kidslove</a> <a href=""http://picbear.com/tag/kidsfuntime"" title=""posts tagged as kidsfuntime"">#kidsfuntime</a> <a href=""http://picbear.com/tag/beautifulbangladesh"" title=""posts tagged as beautifulbangladesh"">#beautifulbangladesh</a> <a href=""http://picbear.com/tag/naturalbangladesh"" title=""posts tagged as naturalbangladesh"">#naturalbangladesh</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/naturelovers"" title=""posts tagged as naturelovers"">#naturelovers</a></p>",38,0
November 06 2017 - 19:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16230815_1096678083811487_3683033884812902400_n.jpg,http://picbear.com/media/1442066633422302147_2130909882,November 06 2017 - 19:48,February 03 2017 - 16:16,"<p>Haunted_house 😱😱 <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/instalife"" title=""posts tagged as instalife"">#instalife</a> <a href=""http://picbear.com/tag/beautifulbangladesh"" title=""posts tagged as beautifulbangladesh"">#beautifulbangladesh</a> <a href=""http://picbear.com/tag/naturalbangladesh"" title=""posts tagged as naturalbangladesh"">#naturalbangladesh</a> <a href=""http://picbear.com/tag/heritage"" title=""posts tagged as heritage"">#heritage</a></p>",27,0
November 06 2017 - 19:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16110376_177120162766859_7866397696871890944_n.jpg,http://picbear.com/media/1426956212575234616_2130909882,November 06 2017 - 19:48,January 13 2017 - 19:54,"<p>Looking for unlock potential 🤔💡🚪🗝 <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/instalife"" title=""posts tagged as instalife"">#instalife</a></p>",24,2
November 06 2017 - 19:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14723073_1127207500692351_215204155319386112_n.jpg,http://picbear.com/media/1360979600361328826_2130909882,November 06 2017 - 19:48,October 14 2016 - 19:10,"<p>Looking for beautiful nature 🇧🇩#naturebangladesh <a href=""http://picbear.com/tag/bangladesh"" title=""posts tagged as bangladesh"">#bangladesh</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/kidslove"" title=""posts tagged as kidslove"">#kidslove</a> <a href=""http://picbear.com/tag/kidsfuntime"" title=""posts tagged as kidsfuntime"">#kidsfuntime</a> <a href=""http://picbear.com/tag/travelworld"" title=""posts tagged as travelworld"">#travelworld</a> <a href=""http://picbear.com/tag/travelblog"" title=""posts tagged as travelblog"">#travelblog</a> <a href=""http://picbear.com/tag/beautifulbangladesh"" title=""posts tagged as beautifulbangladesh"">#beautifulbangladesh</a></p>",68,6
