user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22499946_108255596562544_6474215594408280064_n.jpg,http://picbear.com/media/1625574041883306984_3428403512,October 18 2017 - 17:02,October 14 2017 - 20:52,<p>WE ARE ON THE STAGE FOR A WHILE..TO ACT WHATEVER DECIDED..!!!</p>,10,0
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22344541_1410286639083848_959750595940450304_n.jpg,http://picbear.com/media/1624867305249830617_3428403512,October 18 2017 - 17:02,October 13 2017 - 21:28,<p>It is natural phenomenon that peaks have sloppy ways..</p>,15,0
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22071412_893988484085295_4920379985304223744_n.jpg,http://picbear.com/media/1614720936417481978_3428403512,October 18 2017 - 17:02,September 29 2017 - 21:29,<p>WE SHOULD NOT RUN FOR EVERYTHING..WE MUST WALK FOR SOMETHING... Words : Rajesh Dua</p>,13,1
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21577230_1964444670500392_6488886786079588352_n.jpg,http://picbear.com/media/1603848233418548757_3428403512,October 18 2017 - 17:02,September 14 2017 - 21:27,"<p>Once Trust and Distrust playing the game 'chor-sepaee',Trust as usual did his turn honestly but when the turn of Distrust came he went home without informing Trust..</p>",14,0
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21147429_458265411226805_617110294182756352_n.jpg,http://picbear.com/media/1591505265378621291_3428403512,October 18 2017 - 17:02,August 28 2017 - 20:43,,15,0
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20180867_115717222403158_4116326137141919744_n.jpg,http://picbear.com/media/1563212196434715195_3428403512,October 18 2017 - 17:02,July 20 2017 - 19:50,,12,0
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19121220_105724090041208_8793589017619726336_n.jpg,http://picbear.com/media/1537883654402833646_3428403512,October 18 2017 - 17:02,June 15 2017 - 21:07,,17,0
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18380773_427138084313875_1133400835296854016_n.jpg,http://picbear.com/media/1509189954860613978_3428403512,October 18 2017 - 17:02,May 07 2017 - 06:58,,20,0
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18299217_117767145456991_1001122396700147712_n.jpg,http://picbear.com/media/1506718492283258956_3428403512,October 18 2017 - 17:02,May 03 2017 - 21:07,,10,1
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18160898_151921268675888_8505424569216008192_n.jpg,http://picbear.com/media/1504141284515586925_3428403512,October 18 2017 - 17:03,April 30 2017 - 07:47,,12,0
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/e35/18095909_1877534249202524_8309943350396452864_n.jpg,http://picbear.com/media/1498734824335885962_3428403512,October 18 2017 - 17:03,April 22 2017 - 20:45,,10,0
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17932331_198717957302914_175249461839134720_n.jpg,http://picbear.com/media/1495804108321239629_3428403512,October 18 2017 - 17:03,April 18 2017 - 19:42,,10,0
October 18 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17883053_1894540064120025_3593900866605678592_n.jpg,http://picbear.com/media/1491825056967057543_3428403512,October 18 2017 - 17:03,April 13 2017 - 07:57,,17,0
