user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.52.731.731/22861162_337994003340655_6284582905570131968_n.jpg,http://picbear.com/media/1638772063454330510_4013234646,November 06 2017 - 17:06,November 02 2017 - 01:54,<p>زن ها که قصدشان رفتن نیست! ولی امان از روزی که صدایِ بمی جلوشان را نگیرد... ريــحان💙❤️</p>,465,195
November 06 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.100.799.799/22857647_495276397517963_2246960351910297600_n.jpg,http://picbear.com/media/1637321714059035545_4013234646,November 06 2017 - 17:06,October 31 2017 - 01:53,<p>امروز سوار يه تاكسى شدم صد متر جلو تر يه خانمى كنار خيابون ايستاده بود، راننده ى تاكسى بوق زد و خانم رو سوار كرد چند ثانيه گذشت راننده تاكسى : چقدر رنگِ رژتون قشنگه خانم مسافر: ممنون راننده تاكسى : لباتون رو برجسته كرده خانم مسافر سايه بون جلوىِ صندلى راننده رو داد پايينُ لباشو رو به آينه غنچه كرد. خانم مسافر: واقعاً؟؟! راننده تاكسى خنديد با دستِ راست دستِ چپِ خانم مسافر رو گرفت و نگاه كرد  راننده تاكسى: با رنگِ لاكتون سِت كردين؟! واقعاً كه باسليقه اين تبريك ميگم.  خانم مسافر: واى ممنونم... چه دقتى معلومه كه آدمِ خوش ذوقى هستين تلفنِ همراه من زنگ خورد و</p>,522,171
November 06 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.100.799.799/22858276_1675401595843650_8654454149066260480_n.jpg,http://picbear.com/media/1637300172407432184_4013234646,November 06 2017 - 17:06,October 31 2017 - 01:10,"<p>كاش مى شد باز كوچك مى شديم  لااقل يك روز كودك مى شديم  اولين روز دبستان بازگرد كودكى ها شاد و خندان بازگرد بازگرد إى خاطرات كودكى  بر سوار اسب هاى چوبكى خاطرات كودكى زيباترند  يادگاران كهن ماناترند  درس هاى سال اول ساده بود آب را بابا به سارا داده بود. <a href=""http://picbear.com/tag/خاطرات"" title=""posts tagged as خاطرات"">#خاطرات</a> <a href=""http://picbear.com/tag/اول"" title=""posts tagged as اول"">#اول</a>_دبستان <a href=""http://picbear.com/tag/هفت"" title=""posts tagged as هفت"">#هفت</a>_سالگى_ريحان</p>",339,33
November 06 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22709181_1425642827533334_7476320293078695936_n.jpg,http://picbear.com/media/1632960726471980468_4013234646,November 06 2017 - 17:06,October 25 2017 - 01:28,"<p>Ya çok güzel 👌💞 Wooh  maşallah😍❤️ <a href=""http://picbear.com/hamide_66"" title=""hamide_66 instagram profile"">@hamide_66</a>  @67srkan</p>",284,14
November 06 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22637493_125467004803159_8290466287889416192_n.jpg,http://picbear.com/media/1630891311253410137_4013234646,November 06 2017 - 17:06,October 22 2017 - 04:56,<p>موندگاری  یه رابطه  اونجاست که  مشتاق هم باشید  نه محتاج هم... ريــحـــان💙</p>,338,23
November 06 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.634.634/22637108_501624036879628_2507606880424034304_n.jpg,http://picbear.com/media/1630714176484073396_4013234646,November 06 2017 - 17:06,October 21 2017 - 23:05,,223,4
November 06 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639118_1374551989322428_7358672669165748224_n.jpg,http://picbear.com/media/1628582743682578473_4013234646,November 06 2017 - 17:06,October 19 2017 - 00:30,<p>خُــــــــــــدايــا مـــرسى نــــهالــو  آفــريدى😍😍🙏 💚💜💛💙❤️❤️❤️❤️💞💞💞💞🎀🎀🎀🎀👸👸👸😘😘😘😘😘😘 Ok?? Ok?? حالا همه باهم 🙂😜😍</p>,243,21
November 06 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580370_1557776677650094_7321176900297031680_n.jpg,http://picbear.com/media/1628544403750823318_4013234646,November 06 2017 - 17:06,October 18 2017 - 23:14,"<p>هوووراااااااا😜👌😍😍😍😍 بععله 🤓❤️❤️ <a href=""http://picbear.com/tag/barcelona"" title=""posts tagged as barcelona"">#barcelona</a>💙❤</p>",295,11
November 06 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.22.842.842/22500282_619525795104486_5708112399395979264_n.jpg,http://picbear.com/media/1625695088204383027_4013234646,November 06 2017 - 17:06,October 15 2017 - 00:52,"<p>. عارفی سی سال، مرتب ذکر می گفت؛ استغفر الله  مریدی به او گفت؛ چرا این همه استغفار میکنی، ما که از تو گناهی ندیدیم! جواب داد؛ سی سال استغفار من به خاطر یک الحمدالله نابجاست! *روزی خبر آوردند بازار بصره آتش گرفته پرسیدم؛حجره من چه؟ گفتند حجره شما نسوخته، گفتم؛ الحمدالله...! معنی آن این بود که مال من نسوزد، مال مردم ارتباطی به من ندارد! آن الحمدالله از روی خود خواهی بود نه ""خدا خواهی"" *چقدر از این الحمدلله ها گفتیم و فکر کردیم  که شاکر هستیم🙏</p>",469,97
November 06 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/c0.76.612.612/22344631_115209339235929_5168166956531974144_n.jpg,http://picbear.com/media/1622858602044022821_4013234646,November 06 2017 - 17:06,October 11 2017 - 02:57,<p>بـَــــه بـَـــه😍👸 نـــفـسيم😌😘 جـــــانا نهــالم💛💜💚💞💙❤️ عــــروسكمون😍😘💋😜</p>,309,29
