user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.1.1080.1080/23098639_325540874587782_5803045693627039744_n.jpg,http://picbear.com/media/1638492067170746004_4076820958,November 07 2017 - 03:16,November 01 2017 - 16:38,<p>Hello friends 😎</p>,94,10
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c52.0.976.976/22709430_162150917703205_3560235547140030464_n.jpg,http://picbear.com/media/1630575466949846227_4076820958,November 07 2017 - 03:16,October 21 2017 - 18:29,<p>I love you Allah انا احبك الله 😊</p>,79,7
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22430484_299266967256731_4027910790789988352_n.jpg,http://picbear.com/media/1626420534260777306_4076820958,November 07 2017 - 03:16,October 16 2017 - 00:54,<p>All eyes on me 😎😎</p>,61,2
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22280229_824628207715061_6613575755471257600_n.jpg,http://picbear.com/media/1622120327951881785_4076820958,November 07 2017 - 03:16,October 10 2017 - 02:30,<p>Helly luv 😎😎</p>,89,0
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/22221196_848065405369965_969496645534220288_n.jpg,http://picbear.com/media/1617358949755916237_4076820958,November 07 2017 - 03:16,October 03 2017 - 12:50,<p>Hello friends سلاف هه فالان</p>,101,1
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.2.1080.1080/22157177_1891879587738978_6122275043482271744_n.jpg,http://picbear.com/media/1616872123710645879_4076820958,November 07 2017 - 03:16,October 02 2017 - 20:43,<p>Slav hevalan hello friends</p>,103,1
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.449.449/22069650_134564077175326_3501207062812033024_n.jpg,http://picbear.com/media/1615985880789498051_4076820958,November 07 2017 - 03:16,October 01 2017 - 15:22,<p>Good luck Catalonia</p>,81,2
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.75.768.768/21576550_1827256207587576_5375787135909494784_n.jpg,http://picbear.com/media/1600887134032645239_4076820958,November 07 2017 - 03:16,September 10 2017 - 19:23,<p>I feel you touch me in the pouring rain</p>,95,0
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.40.320.320/21372223_1919845044941857_5791557497923829760_n.jpg,http://picbear.com/media/1598237442819917524_4076820958,November 07 2017 - 03:16,September 07 2017 - 03:39,<p>This style beautiful</p>,65,0
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.55.722.722/21433551_145016479431408_7763450066680938496_n.jpg,http://picbear.com/media/1597479241103175576_4076820958,November 07 2017 - 03:16,September 06 2017 - 02:33,<p>ئه زو هه فالي خو يي عه زيزي يونان</p>,84,3
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041009_112434229439697_6417521506410037248_n.jpg,http://picbear.com/media/1587340910755097056_4076820958,November 07 2017 - 03:16,August 23 2017 - 02:50,<p>Hm</p>,75,2
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.72.576.576/20347466_108504816457257_2079624302889533440_n.jpg,http://picbear.com/media/1566096420459658647_4076820958,November 07 2017 - 03:16,July 24 2017 - 19:21,,115,7
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19986018_1656641017687815_1599823949951139840_n.jpg,http://picbear.com/media/1560459497569335709_4076820958,November 07 2017 - 03:16,July 17 2017 - 00:41,,101,4
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/18380721_132084687338156_2059010658891988992_n.jpg,http://picbear.com/media/1513362335736823889_4076820958,November 07 2017 - 03:16,May 13 2017 - 01:07,<p>😊</p>,115,7
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.19.690.690/18380652_137204990156366_1969552082163728384_n.jpg,http://picbear.com/media/1510069276618176148_4076820958,November 07 2017 - 03:16,May 08 2017 - 12:05,,104,1
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c132.0.455.455/18298430_415445372172068_5322465121224622080_n.jpg,http://picbear.com/media/1507515115955366477_4076820958,November 07 2017 - 03:16,May 04 2017 - 23:30,<p>ياخودي تو مه بهيدايه ت بيني به رئ مه بدي ريكا راست 😊</p>,104,4
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18299620_203152116862693_6823509685270740992_n.jpg,http://picbear.com/media/1506093513405427362_4076820958,November 07 2017 - 03:16,May 03 2017 - 00:25,<p>😒</p>,113,1
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.2.720.720/18160926_1345999385487062_7995258698710646784_n.jpg,http://picbear.com/media/1504472673673017543_4076820958,November 07 2017 - 03:16,April 30 2017 - 18:45,<p>به ري 8 هه يفه سالونيك يونان راستي روزه كا كه له ك خوش بي ازو هه فاليت خو ييت خوشتفي 😊😊</p>,141,2
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.72.720.720/18096157_452779798403509_1402552292409868288_n.jpg,http://picbear.com/media/1501630813602455554_4076820958,November 07 2017 - 03:16,April 26 2017 - 20:39,<p>شه فه كا خوش 😊</p>,113,0
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c90.0.540.540/18095880_118875208670773_6562984974914420736_n.jpg,http://picbear.com/media/1501483556412403485_4076820958,November 07 2017 - 03:16,April 26 2017 - 15:46,<p>Nice day 😊</p>,122,1
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18095067_1314047902035364_7749783914536763392_n.jpg,http://picbear.com/media/1498713564608611489_4076820958,November 07 2017 - 03:16,April 22 2017 - 20:03,"<p>Me and my best friend <a href=""http://picbear.com/doskidashti"" title=""doskidashti instagram profile"">@doskidashti</a></p>",108,0
November 07 2017 - 03:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17933897_1700412546640632_4791726086788481024_n.jpg,http://picbear.com/media/1492415218012938285_4076820958,November 07 2017 - 03:16,April 14 2017 - 03:29,<p>Life is better with friends !</p>,141,1
