user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164806_362315494213550_7709425820548202496_n.jpg,http://picbear.com/media/1642157350370193241_3909185704,November 06 2017 - 19:27,November 06 2017 - 18:00,<p>Having part of ma present</p>,1,0
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23280075_520229075005377_2903203922782978048_n.jpg,http://picbear.com/media/1640845027525472383_3909185704,November 06 2017 - 19:27,November 04 2017 - 22:33,<p>Mie  n ma nigga  sam</p>,1,0
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161830_188943818343878_4286402302283087872_n.jpg,http://picbear.com/media/1639310592132789171_3909185704,November 06 2017 - 19:27,November 02 2017 - 19:44,<p>Keep it real</p>,8,0
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098472_157217224889480_2079268151316447232_n.jpg,http://picbear.com/media/1636097416738177448_3909185704,November 06 2017 - 19:27,October 29 2017 - 09:20,<p>Chilling with ma nigga</p>,7,1
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794232_154414998627639_8695326183136428032_n.jpg,http://picbear.com/media/1636096317838867759_3909185704,November 06 2017 - 19:27,October 29 2017 - 09:18,<p>Real men r born on feb</p>,7,0
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793938_360241241087975_3564524402697568256_n.jpg,http://picbear.com/media/1635023780602269458_3909185704,November 06 2017 - 19:27,October 27 2017 - 21:47,<p>We still retain aur  culture</p>,6,0
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22427194_158871958039628_7919257508651204608_n.jpg,http://picbear.com/media/1624446829613499732_3909185704,November 06 2017 - 19:27,October 13 2017 - 07:32,<p>Air max</p>,6,0
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22157696_1918109345095782_2275741176868896768_n.jpg,http://picbear.com/media/1618370127439304964_3909185704,November 06 2017 - 19:27,October 04 2017 - 22:19,,1,1
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22157820_296934594125115_1401292913509400576_n.jpg,http://picbear.com/media/1618369087218204617_3909185704,November 06 2017 - 19:27,October 04 2017 - 22:17,<p>Second had good</p>,0,0
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827511_314282922314757_6191109990414024704_n.jpg,http://picbear.com/media/1608782214976127801_3909185704,November 06 2017 - 19:27,September 21 2017 - 16:50,,2,0
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21911120_281687082332699_2333321883555987456_n.jpg,http://picbear.com/media/1608781882342725229_3909185704,November 06 2017 - 19:27,September 21 2017 - 16:49,<p>Black zoom</p>,2,0
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21878890_832869596872890_5616975448232689664_n.jpg,http://picbear.com/media/1608081805517201513_3909185704,November 06 2017 - 19:27,September 20 2017 - 17:38,<p>Nubalas</p>,1,0
November 06 2017 - 19:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21820057_247725952417883_4134456392394211328_n.jpg,http://picbear.com/media/1608081192427218490_3909185704,November 06 2017 - 19:27,September 20 2017 - 17:37,<p>Zoom perfect move</p>,2,0
