user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c163.0.753.753/22352030_173828103181189_3390096800030392320_n.jpg,http://picbear.com/media/1621695935381009717_1435980122,October 25 2017 - 16:40,October 09 2017 - 12:27,"<p>Autunno pantesco. Ottobre 2017 <a href=""http://picbear.com/tag/pantelleria"" title=""posts tagged as pantelleria"">#pantelleria</a> <a href=""http://picbear.com/tag/balatadeiturchi"" title=""posts tagged as balatadeiturchi"">#balatadeiturchi</a></p>",20,0
October 25 2017 - 16:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21296589_672161476321139_8945627234945728512_n.jpg,http://picbear.com/media/1596320300198544022_1435980122,October 25 2017 - 16:40,September 04 2017 - 12:10,"<p>Festeggiamenti in casa Traversa: super Dodò campione italiano per la seconda volta.🏆🐯💖 <a href=""http://picbear.com/tag/fratellino"" title=""posts tagged as fratellino"">#fratellino</a> <a href=""http://picbear.com/tag/cucciolino"" title=""posts tagged as cucciolino"">#cucciolino</a> <a href=""http://picbear.com/tag/campioneitaliano"" title=""posts tagged as campioneitaliano"">#campioneitaliano</a> <a href=""http://picbear.com/tag/familyaffair"" title=""posts tagged as familyaffair"">#familyaffair</a> <a href=""http://picbear.com/tag/extremeteam"" title=""posts tagged as extremeteam"">#extremeteam</a></p>",18,0
October 25 2017 - 16:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c136.0.808.808/20905800_1466420453437220_3190562304609484800_n.jpg,http://picbear.com/media/1585794884673287127_1435980122,October 25 2017 - 16:40,August 20 2017 - 23:38,"<p>Manca la foto della nostra ultima tapppa: Abbazia (bellissima) causa cellulare baracca. Compenso con un momento indimenticabile della dogana in Albania, con vista dalla Qubo.  <a href=""http://picbear.com/tag/tourbalcani2017"" title=""posts tagged as tourbalcani2017"">#tourbalcani2017</a> <a href=""http://picbear.com/tag/schiappeinviaggio"" title=""posts tagged as schiappeinviaggio"">#schiappeinviaggio</a> <a href=""http://picbear.com/tag/miraccomando"" title=""posts tagged as miraccomando"">#miraccomando</a> <a href=""http://picbear.com/tag/ciaosara"" title=""posts tagged as ciaosara"">#ciaosara</a> <a href=""http://picbear.com/tag/doganacaprina"" title=""posts tagged as doganacaprina"">#doganacaprina</a></p>",15,0
October 25 2017 - 16:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c144.0.791.791/20905504_1852288661753859_686212126087315456_n.jpg,http://picbear.com/media/1584967237454161873_1435980122,October 25 2017 - 16:40,August 19 2017 - 20:14,"<p>Tappa n. 10: Scutari. Ultimo saluto all'Albania 💕 <a href=""http://picbear.com/tag/tourbalcani2017"" title=""posts tagged as tourbalcani2017"">#tourbalcani2017</a> <a href=""http://picbear.com/tag/schiappeinviaggio"" title=""posts tagged as schiappeinviaggio"">#schiappeinviaggio</a> <a href=""http://picbear.com/tag/miraccomando"" title=""posts tagged as miraccomando"">#miraccomando</a> <a href=""http://picbear.com/tag/scutari"" title=""posts tagged as scutari"">#scutari</a> <a href=""http://picbear.com/tag/poverarozafa"" title=""posts tagged as poverarozafa"">#poverarozafa</a></p>",11,0
October 25 2017 - 16:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c231.0.618.618/20838683_160176041225437_8035159069444538368_n.jpg,http://picbear.com/media/1584796268144034224_1435980122,October 25 2017 - 16:40,August 19 2017 - 14:34,"<p>Tappa n.9: Kruja  <a href=""http://picbear.com/tag/tourbalcani2017"" title=""posts tagged as tourbalcani2017"">#tourbalcani2017</a> <a href=""http://picbear.com/tag/schiappeinviaggio"" title=""posts tagged as schiappeinviaggio"">#schiappeinviaggio</a> <a href=""http://picbear.com/tag/miraccomando"" title=""posts tagged as miraccomando"">#miraccomando</a> <a href=""http://picbear.com/tag/skanderbeg"" title=""posts tagged as skanderbeg"">#skanderbeg</a> <a href=""http://picbear.com/tag/kruja"" title=""posts tagged as kruja"">#kruja</a></p>",10,0
October 25 2017 - 16:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c116.0.847.847/20837839_1445059932213832_6122476696491786240_n.jpg,http://picbear.com/media/1584004252434855417_1435980122,October 25 2017 - 16:40,August 18 2017 - 12:20,"<p>Tappa n.8: Llogara National Park. Cerbiattini.  Foto rubata a Marta.  <a href=""http://picbear.com/tag/tourbalcani2017"" title=""posts tagged as tourbalcani2017"">#tourbalcani2017</a> <a href=""http://picbear.com/tag/schiappeinviaggio"" title=""posts tagged as schiappeinviaggio"">#schiappeinviaggio</a> <a href=""http://picbear.com/tag/miraccomando"" title=""posts tagged as miraccomando"">#miraccomando</a> <a href=""http://picbear.com/tag/blueeye"" title=""posts tagged as blueeye"">#blueeye</a> <a href=""http://picbear.com/tag/bambi"" title=""posts tagged as bambi"">#bambi</a> <a href=""http://picbear.com/tag/llogaranationalpark"" title=""posts tagged as llogaranationalpark"">#llogaranationalpark</a></p>",20,1
October 25 2017 - 16:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c178.0.723.723/20838905_339001369891144_5340139598842429440_n.jpg,http://picbear.com/media/1583252852109203583_1435980122,October 25 2017 - 16:40,August 17 2017 - 11:27,"<p>Tappa n. 7: Ksamil <a href=""http://picbear.com/tag/tourbalcani2017"" title=""posts tagged as tourbalcani2017"">#tourbalcani2017</a> <a href=""http://picbear.com/tag/schiappeinviaggio"" title=""posts tagged as schiappeinviaggio"">#schiappeinviaggio</a> <a href=""http://picbear.com/tag/piccini"" title=""posts tagged as piccini"">#piccini</a> <a href=""http://picbear.com/tag/miraccomando"" title=""posts tagged as miraccomando"">#miraccomando</a> <a href=""http://picbear.com/tag/ksamil"" title=""posts tagged as ksamil"">#ksamil</a></p>",13,1
October 25 2017 - 16:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c192.0.696.696/20838373_1582366505118716_6470709299071942656_n.jpg,http://picbear.com/media/1583251146604520132_1435980122,October 25 2017 - 16:40,August 17 2017 - 11:24,"<p>Tappa n. 6: Parco nazionale di Butrinto <a href=""http://picbear.com/tag/tourbalcani2017"" title=""posts tagged as tourbalcani2017"">#tourbalcani2017</a> <a href=""http://picbear.com/tag/schiappeinviaggio"" title=""posts tagged as schiappeinviaggio"">#schiappeinviaggio</a> <a href=""http://picbear.com/tag/piccini"" title=""posts tagged as piccini"">#piccini</a> <a href=""http://picbear.com/tag/miraccomando"" title=""posts tagged as miraccomando"">#miraccomando</a> <a href=""http://picbear.com/tag/butrinto"" title=""posts tagged as butrinto"">#butrinto</a></p>",10,0
October 25 2017 - 16:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c234.0.612.612/20837175_119763825279014_9206125200540696576_n.jpg,http://picbear.com/media/1582150530926660447_1435980122,October 25 2017 - 16:40,August 15 2017 - 22:57,"<p>Tappa n.5: Gjirokastër  <a href=""http://picbear.com/tag/tourbalcani2017"" title=""posts tagged as tourbalcani2017"">#tourbalcani2017</a> <a href=""http://picbear.com/tag/schiappeinviaggio"" title=""posts tagged as schiappeinviaggio"">#schiappeinviaggio</a> <a href=""http://picbear.com/tag/miraccomando"" title=""posts tagged as miraccomando"">#miraccomando</a> <a href=""http://picbear.com/tag/perditempo"" title=""posts tagged as perditempo"">#perditempo</a> <a href=""http://picbear.com/tag/gjirokastër"" title=""posts tagged as gjirokastër"">#gjirokastër</a></p>",14,0
October 25 2017 - 16:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c23.0.1034.1034/20766358_1918920581697564_567591644837183488_n.jpg,http://picbear.com/media/1581100371836969861_1435980122,October 25 2017 - 16:40,August 14 2017 - 12:11,"<p>Tappa n.4: Berat  <a href=""http://picbear.com/tag/tourbalcani2017"" title=""posts tagged as tourbalcani2017"">#tourbalcani2017</a> <a href=""http://picbear.com/tag/schiappeinviaggio"" title=""posts tagged as schiappeinviaggio"">#schiappeinviaggio</a> <a href=""http://picbear.com/tag/miraccomando"" title=""posts tagged as miraccomando"">#miraccomando</a> <a href=""http://picbear.com/tag/scivolascivola"" title=""posts tagged as scivolascivola"">#scivolascivola</a> <a href=""http://picbear.com/tag/berat"" title=""posts tagged as berat"">#berat</a> <a href=""http://picbear.com/tag/albania"" title=""posts tagged as albania"">#albania</a></p>",22,0
