user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c47.0.986.986/22157551_150425152118542_106155421005250560_n.jpg,http://picbear.com/media/1617447623115247573_2010507789,November 07 2017 - 02:06,October 03 2017 - 15:46,,187,0
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21910781_131207317434306_7755500872490024960_n.jpg,http://picbear.com/media/1610103716668983928_2010507789,November 07 2017 - 02:06,September 23 2017 - 12:35,<p>Hobbies</p>,147,2
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21827774_138787283404530_8891011790859665408_n.jpg,http://picbear.com/media/1608718505452325365_2010507789,November 07 2017 - 02:06,September 21 2017 - 14:43,,179,2
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20987063_1376840112432469_6550095696454746112_n.jpg,http://picbear.com/media/1585958049306457920_2010507789,November 07 2017 - 02:06,August 21 2017 - 05:02,<p>☀️</p>,191,5
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20225868_1586687004706744_1712409491049283584_n.jpg,http://picbear.com/media/1565119171469454651_2010507789,November 07 2017 - 02:06,July 23 2017 - 10:59,,186,2
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18722889_1662883990687577_5889349393538088960_n.jpg,http://picbear.com/media/1525080506117400447_2010507789,November 07 2017 - 02:06,May 29 2017 - 05:09,<p>Jadilah agen muslim yang terbaik selalu tersenyum dan sebarkan kedamaian</p>,237,13
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/18095771_413398645712106_2549572228484169728_n.jpg,http://picbear.com/media/1501395051438167433_2010507789,November 07 2017 - 02:06,April 26 2017 - 12:50,,193,2
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/18160591_1971748309711207_6386537878624665600_n.jpg,http://picbear.com/media/1501386505594319115_2010507789,November 07 2017 - 02:06,April 26 2017 - 12:34,<p>🏝</p>,195,2
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.74.1080.1080/18096542_1033754486756477_5703457196012994560_n.jpg,http://picbear.com/media/1498971376277658941_2010507789,November 07 2017 - 02:06,April 23 2017 - 04:35,,170,2
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17931839_1887248754819955_3802538953232351232_n.jpg,http://picbear.com/media/1496124011518702897_2010507789,November 07 2017 - 02:06,April 19 2017 - 06:18,,189,2
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/17932114_292500451173499_216929903243689984_n.jpg,http://picbear.com/media/1492703365271061137_2010507789,November 07 2017 - 02:06,April 14 2017 - 13:02,,185,2
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.31.1080.1080/17818340_411385042553852_1154450152186970112_n.jpg,http://picbear.com/media/1488283565723594401_2010507789,November 07 2017 - 02:06,April 08 2017 - 10:40,<p>☕️</p>,176,0
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17495127_1901769700068041_6716374822743441408_n.jpg,http://picbear.com/media/1479081764378032206_2010507789,November 07 2017 - 02:06,March 26 2017 - 17:58,<p>Late</p>,157,0
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/17437708_1749026568744239_6449476243480903680_n.jpg,http://picbear.com/media/1474481471480784649_2010507789,November 07 2017 - 02:06,March 20 2017 - 09:38,<p>Buta yang paling buruk ialah buta hati (HR.Asysyihaab)</p>,187,3
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/17332598_253138711813908_34435312612540416_n.jpg,http://picbear.com/media/1472349086412777784_2010507789,November 07 2017 - 02:06,March 17 2017 - 11:01,<p>👣👣</p>,188,0
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16789574_1834289270161358_3914637187341090816_n.jpg,http://picbear.com/media/1452019336683372576_2010507789,November 07 2017 - 02:06,February 17 2017 - 09:50,,195,5
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16465363_294894314260446_2370699025427988480_n.jpg,http://picbear.com/media/1450720899056548099_2010507789,November 07 2017 - 02:06,February 15 2017 - 14:50,<p>🐥🐥</p>,181,1
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/16465398_355589014827410_351062762689921024_n.jpg,http://picbear.com/media/1444555994125407002_2010507789,November 07 2017 - 02:06,February 07 2017 - 02:41,,205,15
November 07 2017 - 02:06,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c85.0.909.909/16464862_1747726035543611_6039465874992136192_n.jpg,http://picbear.com/media/1442070177565970973_2010507789,November 07 2017 - 02:06,February 03 2017 - 16:23,,183,3
