user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23164591_135939333647445_4376360757370028032_n.jpg,http://picbear.com/media/1642274790779946155_1702666232,November 06 2017 - 20:58,November 06 2017 - 21:53,"<p><a href=""http://picbear.com/tag/lost"" title=""posts tagged as lost"">#lost</a> <a href=""http://picbear.com/tag/urbex"" title=""posts tagged as urbex"">#urbex</a> <a href=""http://picbear.com/tag/verlassen"" title=""posts tagged as verlassen"">#verlassen</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_urbex <a href=""http://picbear.com/tag/tv"" title=""posts tagged as tv"">#tv</a>_urbex <a href=""http://picbear.com/tag/urbexworld"" title=""posts tagged as urbexworld"">#urbexworld</a> <a href=""http://picbear.com/tag/urbxtreme"" title=""posts tagged as urbxtreme"">#urbxtreme</a> <a href=""http://picbear.com/tag/rotten"" title=""posts tagged as rotten"">#rotten</a> <a href=""http://picbear.com/tag/urbanexplorer"" title=""posts tagged as urbanexplorer"">#urbanexplorer</a> <a href=""http://picbear.com/tag/grimelords"" title=""posts tagged as grimelords"">#grimelords</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_captures_decay <a href=""http://picbear.com/tag/decay"" title=""posts tagged as decay"">#decay</a>_of_today <a href=""http://picbear.com/tag/discarded"" title=""posts tagged as discarded"">#discarded</a>_butnot_forgotten  <a href=""http://picbear.com/tag/grime"" title=""posts tagged as grime"">#grime</a>_lords <a href=""http://picbear.com/tag/kings"" title=""posts tagged as kings"">#kings</a>_abandoned  <a href=""http://picbear.com/tag/kingsday"" title=""posts tagged as kingsday"">#kingsday</a> <a href=""http://picbear.com/tag/jj"" title=""posts tagged as jj"">#jj</a>_abandoned <a href=""http://picbear.com/tag/urbendecay"" title=""posts tagged as urbendecay"">#urbendecay</a> <a href=""http://picbear.com/tag/loves"" title=""posts tagged as loves"">#loves</a>_vintage <a href=""http://picbear.com/tag/ruinenland"" title=""posts tagged as ruinenland"">#ruinenland</a> <a href=""http://picbear.com/tag/urban"" title=""posts tagged as urban"">#urban</a> <a href=""http://picbear.com/tag/abandoned"" title=""posts tagged as abandoned"">#abandoned</a> <a href=""http://picbear.com/tag/all"" title=""posts tagged as all"">#all</a>_is_abandoned <a href=""http://picbear.com/tag/lostplaces"" title=""posts tagged as lostplaces"">#lostplaces</a> <a href=""http://picbear.com/tag/verlasseneorte"" title=""posts tagged as verlasseneorte"">#verlasseneorte</a> <a href=""http://picbear.com/tag/urbanexploring"" title=""posts tagged as urbanexploring"">#urbanexploring</a> <a href=""http://picbear.com/tag/decay"" title=""posts tagged as decay"">#decay</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a> <a href=""http://picbear.com/tag/urbanart"" title=""posts tagged as urbanart"">#urbanart</a> <a href=""http://picbear.com/tag/graffiti"" title=""posts tagged as graffiti"">#graffiti</a></p>",37,0
November 06 2017 - 20:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/23279727_128163964565947_1853730845848764416_n.jpg,http://picbear.com/media/1641513008385836125_1702666232,November 06 2017 - 20:58,November 05 2017 - 20:40,"<p><a href=""http://picbear.com/tag/lostplace"" title=""posts tagged as lostplace"">#lostplace</a> <a href=""http://picbear.com/tag/lost"" title=""posts tagged as lost"">#lost</a> <a href=""http://picbear.com/tag/urbanexploration"" title=""posts tagged as urbanexploration"">#urbanexploration</a> <a href=""http://picbear.com/tag/urbexworld"" title=""posts tagged as urbexworld"">#urbexworld</a> <a href=""http://picbear.com/tag/lost"" title=""posts tagged as lost"">#lost</a> <a href=""http://picbear.com/tag/urbex"" title=""posts tagged as urbex"">#urbex</a> <a href=""http://picbear.com/tag/verlassen"" title=""posts tagged as verlassen"">#verlassen</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_urbex <a href=""http://picbear.com/tag/tv"" title=""posts tagged as tv"">#tv</a>_urbex <a href=""http://picbear.com/tag/urbexworld"" title=""posts tagged as urbexworld"">#urbexworld</a> <a href=""http://picbear.com/tag/urbxtreme"" title=""posts tagged as urbxtreme"">#urbxtreme</a> <a href=""http://picbear.com/tag/loves"" title=""posts tagged as loves"">#loves</a>_vintage <a href=""http://picbear.com/tag/ruinenland"" title=""posts tagged as ruinenland"">#ruinenland</a> <a href=""http://picbear.com/tag/urban"" title=""posts tagged as urban"">#urban</a> <a href=""http://picbear.com/tag/abandoned"" title=""posts tagged as abandoned"">#abandoned</a> <a href=""http://picbear.com/tag/all"" title=""posts tagged as all"">#all</a>_is_abandoned  <a href=""http://picbear.com/tag/lostplaces"" title=""posts tagged as lostplaces"">#lostplaces</a> <a href=""http://picbear.com/tag/teddy"" title=""posts tagged as teddy"">#teddy</a> <a href=""http://picbear.com/tag/verlasseneorte"" title=""posts tagged as verlasseneorte"">#verlasseneorte</a> <a href=""http://picbear.com/tag/urbanexploring"" title=""posts tagged as urbanexploring"">#urbanexploring</a> <a href=""http://picbear.com/tag/explore"" title=""posts tagged as explore"">#explore</a> <a href=""http://picbear.com/tag/decay"" title=""posts tagged as decay"">#decay</a> <a href=""http://picbear.com/tag/photoofday"" title=""posts tagged as photoofday"">#photoofday</a> <a href=""http://picbear.com/tag/urbanart"" title=""posts tagged as urbanart"">#urbanart</a> <a href=""http://picbear.com/tag/canon"" title=""posts tagged as canon"">#canon</a> <a href=""http://picbear.com/tag/graffiti"" title=""posts tagged as graffiti"">#graffiti</a> <a href=""http://picbear.com/tag/berlin"" title=""posts tagged as berlin"">#berlin</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/photographerlife"" title=""posts tagged as photographerlife"">#photographerlife</a></p>",63,3
November 06 2017 - 20:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/23101267_156352644964735_217619069401038848_n.jpg,http://picbear.com/media/1638932833601099278_1702666232,November 06 2017 - 20:58,November 02 2017 - 07:14,"<p><a href=""http://picbear.com/tag/instatravel"" title=""posts tagged as instatravel"">#instatravel</a> <a href=""http://picbear.com/tag/travellife"" title=""posts tagged as travellife"">#travellife</a> <a href=""http://picbear.com/tag/traveling"" title=""posts tagged as traveling"">#traveling</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a>_shooters <a href=""http://picbear.com/tag/naturephotography"" title=""posts tagged as naturephotography"">#naturephotography</a> <a href=""http://picbear.com/tag/natureporn"" title=""posts tagged as natureporn"">#natureporn</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/landscapelovers"" title=""posts tagged as landscapelovers"">#landscapelovers</a> <a href=""http://picbear.com/tag/landscapehunter"" title=""posts tagged as landscapehunter"">#landscapehunter</a> <a href=""http://picbear.com/tag/earth"" title=""posts tagged as earth"">#earth</a>_shotz <a href=""http://picbear.com/tag/photoofday"" title=""posts tagged as photoofday"">#photoofday</a> <a href=""http://picbear.com/tag/nicephoto"" title=""posts tagged as nicephoto"">#nicephoto</a> <a href=""http://picbear.com/tag/nicepic"" title=""posts tagged as nicepic"">#nicepic</a> <a href=""http://picbear.com/tag/iceland"" title=""posts tagged as iceland"">#iceland</a> <a href=""http://picbear.com/tag/holiday"" title=""posts tagged as holiday"">#holiday</a> <a href=""http://picbear.com/tag/canon750d"" title=""posts tagged as canon750d"">#canon750d</a> <a href=""http://picbear.com/tag/sunsets"" title=""posts tagged as sunsets"">#sunsets</a> <a href=""http://picbear.com/tag/sunset"" title=""posts tagged as sunset"">#sunset</a> <a href=""http://picbear.com/tag/diamondbeach"" title=""posts tagged as diamondbeach"">#diamondbeach</a> <a href=""http://picbear.com/tag/ice"" title=""posts tagged as ice"">#ice</a> <a href=""http://picbear.com/tag/blackbeach"" title=""posts tagged as blackbeach"">#blackbeach</a> <a href=""http://picbear.com/tag/2017"" title=""posts tagged as 2017"">#2017</a> <a href=""http://picbear.com/tag/globaldestination"" title=""posts tagged as globaldestination"">#globaldestination</a> <a href=""http://picbear.com/tag/beautifuldestinations"" title=""posts tagged as beautifuldestinations"">#beautifuldestinations</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/photographerlife"" title=""posts tagged as photographerlife"">#photographerlife</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a></p>",111,8
November 06 2017 - 20:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22802541_1507976379309373_8974085413371117568_n.jpg,http://picbear.com/media/1635368694124919269_1702666232,November 06 2017 - 20:58,October 28 2017 - 09:12,"<p><a href=""http://picbear.com/tag/jokulsarlonglacierlagoon"" title=""posts tagged as jokulsarlonglacierlagoon"">#jokulsarlonglacierlagoon</a> <a href=""http://picbear.com/tag/iceland"" title=""posts tagged as iceland"">#iceland</a> <a href=""http://picbear.com/tag/photographerlife"" title=""posts tagged as photographerlife"">#photographerlife</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a> <a href=""http://picbear.com/tag/travellife"" title=""posts tagged as travellife"">#travellife</a> <a href=""http://picbear.com/tag/traveling"" title=""posts tagged as traveling"">#traveling</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/landscapelovers"" title=""posts tagged as landscapelovers"">#landscapelovers</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/landscapehunter"" title=""posts tagged as landscapehunter"">#landscapehunter</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a>_shooters <a href=""http://picbear.com/tag/naturephotography"" title=""posts tagged as naturephotography"">#naturephotography</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/canon750d"" title=""posts tagged as canon750d"">#canon750d</a> <a href=""http://picbear.com/tag/earth"" title=""posts tagged as earth"">#earth</a>_shotz <a href=""http://picbear.com/tag/beautifuldestinations"" title=""posts tagged as beautifuldestinations"">#beautifuldestinations</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/splendid"" title=""posts tagged as splendid"">#splendid</a>_reflections <a href=""http://picbear.com/tag/photoofday"" title=""posts tagged as photoofday"">#photoofday</a> <a href=""http://picbear.com/tag/nicepic"" title=""posts tagged as nicepic"">#nicepic</a> <a href=""http://picbear.com/tag/icelandisniceland"" title=""posts tagged as icelandisniceland"">#icelandisniceland</a> <a href=""http://picbear.com/tag/wonderful"" title=""posts tagged as wonderful"">#wonderful</a> <a href=""http://picbear.com/tag/outdoorsmen"" title=""posts tagged as outdoorsmen"">#outdoorsmen</a> <a href=""http://picbear.com/tag/globaldestination"" title=""posts tagged as globaldestination"">#globaldestination</a> <a href=""http://picbear.com/tag/holidays"" title=""posts tagged as holidays"">#holidays</a> <a href=""http://picbear.com/tag/dreamworldimages"" title=""posts tagged as dreamworldimages"">#dreamworldimages</a> <a href=""http://picbear.com/tag/saschaflohrphotography"" title=""posts tagged as saschaflohrphotography"">#saschaflohrphotography</a></p>",141,8
November 06 2017 - 20:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22793868_139906483306294_3262316643891544064_n.jpg,http://picbear.com/media/1633106221341235408_1702666232,November 06 2017 - 20:58,October 25 2017 - 06:17,"<p><a href=""http://picbear.com/tag/travelphotography"" title=""posts tagged as travelphotography"">#travelphotography</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/iceland"" title=""posts tagged as iceland"">#iceland</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a>_shooters <a href=""http://picbear.com/tag/naturephotography"" title=""posts tagged as naturephotography"">#naturephotography</a> <a href=""http://picbear.com/tag/street"" title=""posts tagged as street"">#street</a> <a href=""http://picbear.com/tag/holiday"" title=""posts tagged as holiday"">#holiday</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/landscapelovers"" title=""posts tagged as landscapelovers"">#landscapelovers</a> <a href=""http://picbear.com/tag/landscapehunter"" title=""posts tagged as landscapehunter"">#landscapehunter</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/nicepic"" title=""posts tagged as nicepic"">#nicepic</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/travellife"" title=""posts tagged as travellife"">#travellife</a> <a href=""http://picbear.com/tag/traveling"" title=""posts tagged as traveling"">#traveling</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a> <a href=""http://picbear.com/tag/2017"" title=""posts tagged as 2017"">#2017</a> <a href=""http://picbear.com/tag/canon750d"" title=""posts tagged as canon750d"">#canon750d</a> <a href=""http://picbear.com/tag/beautifuldestinations"" title=""posts tagged as beautifuldestinations"">#beautifuldestinations</a> <a href=""http://picbear.com/tag/globaldestination"" title=""posts tagged as globaldestination"">#globaldestination</a> <a href=""http://picbear.com/tag/reisen"" title=""posts tagged as reisen"">#reisen</a> <a href=""http://picbear.com/tag/hobby"" title=""posts tagged as hobby"">#hobby</a> <a href=""http://picbear.com/tag/wonderful"" title=""posts tagged as wonderful"">#wonderful</a></p>",167,12
November 06 2017 - 20:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22710474_536825106661727_3988542111237537792_n.jpg,http://picbear.com/media/1632012678585538512_1702666232,November 06 2017 - 20:58,October 23 2017 - 18:04,"<p><a href=""http://picbear.com/tag/reykjavik"" title=""posts tagged as reykjavik"">#reykjavik</a> <a href=""http://picbear.com/tag/stadt"" title=""posts tagged as stadt"">#stadt</a> <a href=""http://picbear.com/tag/hauptstadt"" title=""posts tagged as hauptstadt"">#hauptstadt</a> <a href=""http://picbear.com/tag/photographerlife"" title=""posts tagged as photographerlife"">#photographerlife</a> <a href=""http://picbear.com/tag/photographie"" title=""posts tagged as photographie"">#photographie</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/hobby"" title=""posts tagged as hobby"">#hobby</a> <a href=""http://picbear.com/tag/holidays"" title=""posts tagged as holidays"">#holidays</a> <a href=""http://picbear.com/tag/2017"" title=""posts tagged as 2017"">#2017</a> <a href=""http://picbear.com/tag/canon"" title=""posts tagged as canon"">#canon</a> <a href=""http://picbear.com/tag/canon750d"" title=""posts tagged as canon750d"">#canon750d</a> <a href=""http://picbear.com/tag/architecture"" title=""posts tagged as architecture"">#architecture</a> <a href=""http://picbear.com/tag/travellife"" title=""posts tagged as travellife"">#travellife</a> <a href=""http://picbear.com/tag/traveling"" title=""posts tagged as traveling"">#traveling</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/splendid"" title=""posts tagged as splendid"">#splendid</a>_reflections <a href=""http://picbear.com/tag/spiegelung"" title=""posts tagged as spiegelung"">#spiegelung</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/photoofday"" title=""posts tagged as photoofday"">#photoofday</a> <a href=""http://picbear.com/tag/photooftheweek"" title=""posts tagged as photooftheweek"">#photooftheweek</a> <a href=""http://picbear.com/tag/nicephoto"" title=""posts tagged as nicephoto"">#nicephoto</a> <a href=""http://picbear.com/tag/nicepic"" title=""posts tagged as nicepic"">#nicepic</a> <a href=""http://picbear.com/tag/tokina"" title=""posts tagged as tokina"">#tokina</a> <a href=""http://picbear.com/tag/fotograf"" title=""posts tagged as fotograf"">#fotograf</a> <a href=""http://picbear.com/tag/fotografie"" title=""posts tagged as fotografie"">#fotografie</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a>_shooters <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a></p>",95,2
November 06 2017 - 20:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22637339_370131376768041_8596893096149516288_n.jpg,http://picbear.com/media/1629521045105312137_1702666232,November 06 2017 - 20:58,October 20 2017 - 07:34,"<p><a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a>_shooters <a href=""http://picbear.com/tag/naturephotography"" title=""posts tagged as naturephotography"">#naturephotography</a> <a href=""http://picbear.com/tag/iceland"" title=""posts tagged as iceland"">#iceland</a> <a href=""http://picbear.com/tag/ice"" title=""posts tagged as ice"">#ice</a> <a href=""http://picbear.com/tag/landscapelovers"" title=""posts tagged as landscapelovers"">#landscapelovers</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/nicepic"" title=""posts tagged as nicepic"">#nicepic</a> <a href=""http://picbear.com/tag/travellife"" title=""posts tagged as travellife"">#travellife</a> <a href=""http://picbear.com/tag/earth"" title=""posts tagged as earth"">#earth</a>_shotz <a href=""http://picbear.com/tag/traveling"" title=""posts tagged as traveling"">#traveling</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/globaldestination"" title=""posts tagged as globaldestination"">#globaldestination</a> <a href=""http://picbear.com/tag/enchanting"" title=""posts tagged as enchanting"">#enchanting</a>_sunsets <a href=""http://picbear.com/tag/sunsetsuperstar"" title=""posts tagged as sunsetsuperstar"">#sunsetsuperstar</a> <a href=""http://picbear.com/tag/photographerlife"" title=""posts tagged as photographerlife"">#photographerlife</a> <a href=""http://picbear.com/tag/photographie"" title=""posts tagged as photographie"">#photographie</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a> <a href=""http://picbear.com/tag/canon"" title=""posts tagged as canon"">#canon</a>📸 <a href=""http://picbear.com/tag/canon750d"" title=""posts tagged as canon750d"">#canon750d</a> <a href=""http://picbear.com/tag/holidays"" title=""posts tagged as holidays"">#holidays</a> <a href=""http://picbear.com/tag/beautifuldestinations"" title=""posts tagged as beautifuldestinations"">#beautifuldestinations</a> <a href=""http://picbear.com/tag/landscapehunter"" title=""posts tagged as landscapehunter"">#landscapehunter</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/wonderful"" title=""posts tagged as wonderful"">#wonderful</a> <a href=""http://picbear.com/tag/diamondbeach"" title=""posts tagged as diamondbeach"">#diamondbeach</a></p>",125,9
November 06 2017 - 20:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22638680_491910347836956_6888519568688414720_n.jpg,http://picbear.com/media/1629109611607126941_1702666232,November 06 2017 - 20:58,October 19 2017 - 17:57,"<p><a href=""http://picbear.com/tag/sunvoyager"" title=""posts tagged as sunvoyager"">#sunvoyager</a> <a href=""http://picbear.com/tag/reykjavik"" title=""posts tagged as reykjavik"">#reykjavik</a> <a href=""http://picbear.com/tag/iceland"" title=""posts tagged as iceland"">#iceland</a> <a href=""http://picbear.com/tag/holidays"" title=""posts tagged as holidays"">#holidays</a> <a href=""http://picbear.com/tag/2017"" title=""posts tagged as 2017"">#2017</a> <a href=""http://picbear.com/tag/canoneos"" title=""posts tagged as canoneos"">#canoneos</a> <a href=""http://picbear.com/tag/canonshot"" title=""posts tagged as canonshot"">#canonshot</a> <a href=""http://picbear.com/tag/skulptur"" title=""posts tagged as skulptur"">#skulptur</a> <a href=""http://picbear.com/tag/colorful"" title=""posts tagged as colorful"">#colorful</a> <a href=""http://picbear.com/tag/travellife"" title=""posts tagged as travellife"">#travellife</a> <a href=""http://picbear.com/tag/traveling"" title=""posts tagged as traveling"">#traveling</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/globaldestination"" title=""posts tagged as globaldestination"">#globaldestination</a> <a href=""http://picbear.com/tag/beautifuldestinations"" title=""posts tagged as beautifuldestinations"">#beautifuldestinations</a> <a href=""http://picbear.com/tag/reisen"" title=""posts tagged as reisen"">#reisen</a> <a href=""http://picbear.com/tag/photographerlife"" title=""posts tagged as photographerlife"">#photographerlife</a> <a href=""http://picbear.com/tag/photoofday"" title=""posts tagged as photoofday"">#photoofday</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a> <a href=""http://picbear.com/tag/germany"" title=""posts tagged as germany"">#germany</a> <a href=""http://picbear.com/tag/nicepic"" title=""posts tagged as nicepic"">#nicepic</a> <a href=""http://picbear.com/tag/photooftheweek"" title=""posts tagged as photooftheweek"">#photooftheweek</a> <a href=""http://picbear.com/tag/tokina"" title=""posts tagged as tokina"">#tokina</a> <a href=""http://picbear.com/tag/landscapelovers"" title=""posts tagged as landscapelovers"">#landscapelovers</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a></p>",91,3
November 06 2017 - 20:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22580473_126751428025242_4764526501284544512_n.jpg,http://picbear.com/media/1628068858336460262_1702666232,November 06 2017 - 20:58,October 18 2017 - 07:29,"<p><a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a> <a href=""http://picbear.com/tag/yellow"" title=""posts tagged as yellow"">#yellow</a> <a href=""http://picbear.com/tag/red"" title=""posts tagged as red"">#red</a> <a href=""http://picbear.com/tag/green"" title=""posts tagged as green"">#green</a> <a href=""http://picbear.com/tag/water"" title=""posts tagged as water"">#water</a> <a href=""http://picbear.com/tag/splendid"" title=""posts tagged as splendid"">#splendid</a>_reflections <a href=""http://picbear.com/tag/photographerlife"" title=""posts tagged as photographerlife"">#photographerlife</a> <a href=""http://picbear.com/tag/photoofday"" title=""posts tagged as photoofday"">#photoofday</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a>_shooters <a href=""http://picbear.com/tag/naturelovers"" title=""posts tagged as naturelovers"">#naturelovers</a> <a href=""http://picbear.com/tag/beautifuldestinations"" title=""posts tagged as beautifuldestinations"">#beautifuldestinations</a> <a href=""http://picbear.com/tag/herbst"" title=""posts tagged as herbst"">#herbst</a> <a href=""http://picbear.com/tag/outdoorsmen"" title=""posts tagged as outdoorsmen"">#outdoorsmen</a> <a href=""http://picbear.com/tag/spiegelung"" title=""posts tagged as spiegelung"">#spiegelung</a> <a href=""http://picbear.com/tag/farben"" title=""posts tagged as farben"">#farben</a> <a href=""http://picbear.com/tag/colours"" title=""posts tagged as colours"">#colours</a> <a href=""http://picbear.com/tag/colorful"" title=""posts tagged as colorful"">#colorful</a> <a href=""http://picbear.com/tag/sonntag"" title=""posts tagged as sonntag"">#sonntag</a> <a href=""http://picbear.com/tag/naturephotography"" title=""posts tagged as naturephotography"">#naturephotography</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/canonshot"" title=""posts tagged as canonshot"">#canonshot</a> <a href=""http://picbear.com/tag/canon750d"" title=""posts tagged as canon750d"">#canon750d</a> <a href=""http://picbear.com/tag/landscapelovers"" title=""posts tagged as landscapelovers"">#landscapelovers</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/landscapehunter"" title=""posts tagged as landscapehunter"">#landscapehunter</a></p>",123,6
November 06 2017 - 20:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22500206_1897717417143089_2635627090874990592_n.jpg,http://picbear.com/media/1627330261878808356_1702666232,November 06 2017 - 20:58,October 17 2017 - 07:01,"<p><a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/natur"" title=""posts tagged as natur"">#natur</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/iceland"" title=""posts tagged as iceland"">#iceland</a> <a href=""http://picbear.com/tag/clouds"" title=""posts tagged as clouds"">#clouds</a> <a href=""http://picbear.com/tag/himmel"" title=""posts tagged as himmel"">#himmel</a> <a href=""http://picbear.com/tag/beautifuldestinations"" title=""posts tagged as beautifuldestinations"">#beautifuldestinations</a> <a href=""http://picbear.com/tag/sonne"" title=""posts tagged as sonne"">#sonne</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/wolken"" title=""posts tagged as wolken"">#wolken</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/canonshot"" title=""posts tagged as canonshot"">#canonshot</a> <a href=""http://picbear.com/tag/travellife"" title=""posts tagged as travellife"">#travellife</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/sunset"" title=""posts tagged as sunset"">#sunset</a> <a href=""http://picbear.com/tag/naturelovers"" title=""posts tagged as naturelovers"">#naturelovers</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a>_lovers  <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/trees"" title=""posts tagged as trees"">#trees</a> <a href=""http://picbear.com/tag/view"" title=""posts tagged as view"">#view</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/traveling"" title=""posts tagged as traveling"">#traveling</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a>_shooters <a href=""http://picbear.com/tag/landscapelovers"" title=""posts tagged as landscapelovers"">#landscapelovers</a> <a href=""http://picbear.com/tag/secretlagoon"" title=""posts tagged as secretlagoon"">#secretlagoon</a></p>",124,4
