user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580806_176849012865724_1335278441536159744_n.jpg,http://picbear.com/media/1628977992612809406_2009915585,November 07 2017 - 02:59,October 19 2017 - 13:35,,63,0
November 07 2017 - 02:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042835_274390743057599_904052128606060544_n.jpg,http://picbear.com/media/1591477539251850046_2009915585,November 07 2017 - 02:59,August 28 2017 - 19:48,,67,3
November 07 2017 - 02:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19622736_469159670107086_4241756331989532672_n.jpg,http://picbear.com/media/1549936608627107965_2009915585,November 07 2017 - 02:59,July 02 2017 - 12:14,,48,1
November 07 2017 - 02:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18251711_214504775718576_7241585194887544832_n.jpg,http://picbear.com/media/1506795154941757279_2009915585,November 07 2017 - 02:59,May 03 2017 - 23:40,,56,1
November 07 2017 - 02:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17076409_1223657574408311_3969981757960224768_n.jpg,http://picbear.com/media/1466948038262425539_2009915585,November 07 2017 - 02:59,March 10 2017 - 00:10,,51,2
November 07 2017 - 02:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15803349_749823175182356_7531409729755545600_n.jpg,http://picbear.com/media/1422000816521157812_2009915585,November 07 2017 - 02:59,January 06 2017 - 23:48,,49,1
November 07 2017 - 02:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15057345_554104398132120_4156964181393801216_n.jpg,http://picbear.com/media/1387821889506737454_2009915585,November 07 2017 - 02:59,November 20 2016 - 20:01,,58,0
November 07 2017 - 02:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14705151_1221729541252789_2537024571723218944_n.jpg,http://picbear.com/media/1370436775898444992_2009915585,November 07 2017 - 02:59,October 27 2016 - 20:20,,53,0
November 07 2017 - 02:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c112.0.856.856/14295441_965117823611464_2106709062_n.jpg,http://picbear.com/media/1337937516841473760_2009915585,November 07 2017 - 02:59,September 13 2016 - 00:10,,37,1
November 07 2017 - 02:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14156507_567420113449269_1343512597_n.jpg,http://picbear.com/media/1334162275736541087_2009915585,November 07 2017 - 02:59,September 07 2016 - 19:09,,34,0
November 07 2017 - 02:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14269134_1613734685591321_965434254_n.jpg,http://picbear.com/media/1333439980516737511_2009915585,November 07 2017 - 02:59,September 06 2016 - 19:14,,31,0
