username,media_scrape_dt,media_url,medadata_scrape,likes,comments
royalbeauty_makeup,2017-10-18 10:28:49.125822,http://picbear.com/media/1627546750159835720_1923278482,2017-10-18 10:28:55.106913,"['ururuinone', 'stefania_c_acampora_agnelli', 'm1linda', 'olinto_04.19', 'mile.ef', 'oneluvwhit', 'bangilera', 'beautyandtheblondie', 'danilofiglia.photography', 'fiorella.battistini', 'lelelachelle', 'cheri.glitter', 'crimesofbeauty', 'letansummer', 'avolpatri']","['emmybeautyblog', 'royalbeauty_makeup', 'beautyandtheblondie', 'enhanceyourcurves', 'enzacastro_comedincanto']"
royalbeauty_makeup,2017-10-18 10:28:49.125822,http://picbear.com/media/1627425061572792986_1923278482,2017-10-18 10:28:56.970507,"['glamorousbyjuanita', 'annachribeiro', 'm1linda', 'emmybeautyblog', 'oneluvwhit', 'contempoaesthetics', 'fra_dany__08', 'paola.lib', 'fiorella.battistini', 'sonia.greco.2771', 'sheribaby_rn', 'gaiabengala', 'cheri.glitter', 'lelelachelle', 'professione_lashmaker']",['sarcasm.co.in']
royalbeauty_makeup,2017-10-18 10:28:49.125822,http://picbear.com/media/1626334560274615097_1923278482,2017-10-18 10:28:59.227031,"['mentacarmen', 'keziap86', 'specialeditionz', 'l.iii.schen', 'annachribeiro', 'm1linda', 'dinairofficial', 'alyna992', 'stepugliese', 'vittoriaandthehydepark', 'paola.lib', 'francyb22', 'carta4640', 'lelelachelle', 'avolpatri']","['vittoriaandthehydepark', 'sameway.co', 'royalbeauty_makeup', 'stickerdollzlashes']"
royalbeauty_makeup,2017-10-18 10:28:49.125822,http://picbear.com/media/1625982630578990671_1923278482,2017-10-18 10:29:01.802854,"['inesmichel21', 'aradhillspugs', 'annachribeiro', 'm1linda', 'alana_waves', 'continentalt', 'aliswan_', 'rq._.v8', 'bangilera', 'goldenliz1', 'fra_dany__08', 'ihssanmakrmi', 'danilofiglia.photography', 'hebibenin__metbexi', 'fh_4443']","['kellymulderx', 'glamorousbyjuanita', 'tm_photography2', 'royalbeauty_makeup']"
royalbeauty_makeup,2017-10-18 10:28:49.125822,http://picbear.com/media/1625517433385033133_1923278482,2017-10-18 10:29:04.879868,"['glamorousbyjuanita', 'binagraham', 'simplyflawlessmakeup', 'l.iii.schen', 'm1linda', 'annachribeiro', 'lucia_cocca', 'smilelenka', 'paola.lib', 'murilofreitasfotografia', 'pamylash', 'cheriglow.cosmetics', 'karmenkamma', 'klmpromakeupartists', 'lemonadedolls']","['itshirli', 'iltempodiunoscatto', 'royalbeauty_makeup']"
royalbeauty_makeup,2017-10-18 10:28:49.125822,http://picbear.com/media/1624897190388192169_1923278482,2017-10-18 10:29:07.116661,"['vanesasvanity', 'keziap86', 'annachribeiro', 'l.iii.schen', 'binagraham', 'anamoniquebeauty', 'schoenwild', 'avolpatri', 'qvsbeauty', 'nancy8782', 'murilofreitasfotografia', 'cheriglow.cosmetics', 'beenigma', 'klmpromakeupartists', 'lashbarbyignatius']","['schoenwild', 'icylooksempires', 'emmybeautyblog', 'innostetic', 'royalbeauty_makeup', 'adm4d', 'alessandro_ni']"
royalbeauty_makeup,2017-10-18 10:28:49.125822,http://picbear.com/media/1624520040384504533_1923278482,2017-10-18 10:29:10.351770,"['carinhascristina', 'keziap86', 'annachribeiro', 'luciapalumbo84', 'desy8969', 'joaopedro_aassis', 'danessa_myricks', 'murilofreitasfotografia', 'pamylash', 'ritadipsy', 'mirkoscarcella', '__salvatorerusso__', 'beenigma', 'klmpromakeupartists', 'avolpatri']","['marigeny', 'royalbeauty_makeup']"
royalbeauty_makeup,2017-10-18 10:28:49.125822,http://picbear.com/media/1623786925890344949_1923278482,2017-10-18 10:29:12.405827,"['stefania_c_acampora_agnelli', 'keziap86', 'annachribeiro', 'luciapalumbo84', 'pinkparty.cz', 'mattia21292', 'parabotanica', 'dlmake', 'murilofreitasfotografia', 'fedemete', 'amoracj', 'beenigma', 'beautybymskaren', 'gabry0730', 'makeuphall']","['brandambassadorswanted_', 'royalbeauty_makeup', 'adm4d', 'anastasiiam', 'madamcosmeticsofficial', 'alexalovej']"
royalbeauty_makeup,2017-10-18 10:28:49.125822,http://picbear.com/media/1623741500210546715_1923278482,2017-10-18 10:29:14.530980,"['stefania_c_acampora_agnelli', 'keziap86', 'luciapalumbo84', 'pr_kr89', '_benni92', 'pose_lashes', 'pinkparty.cz', 'mattia21292', 'murilofreitasfotografia', 'marilenamidoloianno', 'cheri.glitter', 'beenigma', '_esthertitti_', 'gabry0730', 'makeuphall']","['antonioparentereal', 'royalbeauty_makeup', 'adm4d', 'sinful_lashes', '_esthertitti_']"
royalbeauty_makeup,2017-10-18 10:28:49.125822,http://picbear.com/media/1623114803194909774_1923278482,2017-10-18 10:29:16.836540,"['keziap86', 'luciapalumbo84', 'stefaniaruta', 'classyliv', 'l.iii.schen', 'piermad90', 'cetinkaya_79_', 'lorenabarranco13', 'danilofiglia.photography', 'tamarapastaccini', 'murilofreitasfotografia', 'katia.scala.5', 'ti_mal_lilo', 'madamcosmeticsofficial', 'meysamua']","['persefone_fashion', 'velix87', 'emmybeautyblog', 'royalbeauty_makeup', 'leles3', 'nancy8782']"
ashwin_roy_,2017-10-18 10:29:16.844131,http://picbear.com/media/1628187114851866994_3257550254,2017-10-18 10:29:19.529877,"['hey_im_amar', 'he_calls_me_bubbley', 'arjun_arju5050', 'paduaazzfabious', 'fredlinmonish', 'k_a.r_t.h.i_k', 'ashwin_roy_', '___bu__van__esh__war___', '_born_2_be_beast_', 'nishanth.r7059', 'ppl_call_me_flemming', 'dboss973', 'the_poet_emperor', 'jenish_de_rollins', 'sujayns']",[]
ashwin_roy_,2017-10-18 10:29:16.844131,http://picbear.com/media/1615924413568169615_3257550254,2017-10-18 10:29:21.372124,"['he_calls_me_bubbley', 'muki__muthu__819k', 'sujith7300', 'sadashiba333', 'ajinlittle', 'yaamirukka_bayamen', 'jabinrandy', 'sahil_chauhan22', 'sujayns', 'nishanth.r7059', 'vimalsvimal_', 'vickyrohit_', '__nishad_nichu__', 'thirshik_', 'wallbreaker7_0.5']","['k_a.r_t.h.i_k', 'ashwin_roy_', 'ppl_call_me_flemming']"
ashwin_roy_,2017-10-18 10:29:16.844131,http://picbear.com/media/1615877353770930566_3257550254,2017-10-18 10:29:23.146856,"['he_calls_me_bubbley', 'hey_im_amar', 'sujith7300', 'she_calls_me_baby3', 'samir9784', 'p_i_c_ahil', 'yaamirukka_bayamen', 'ashwin_roy_', 'sahil_chauhan22', 'sidhartheradi', '_wasi_07', 'j.akish', 'nishanth.r7059', 'anton_luke_', 'the_poet_emperor']",['k_a.r_t.h.i_k']
ashwin_roy_,2017-10-18 10:29:16.844131,http://picbear.com/media/1614249318223346295_3257550254,2017-10-18 10:29:24.279794,"['he_calls_me_bubbley', 'muki__muthu__819k', 'sadashiba333', 'samir9784', 'ajinlittle', 'jabinrandy', 'sidhartheradi', 'franklin_pop_zil', 'akash_melvin', 'nishanth.r7059', 'anton_luke_', 'vimalsvimal_', 'the_poet_emperor', 'clindunshiju', 'thirshik_']","['ashwin_roy_', 'shaju__isaac', 'pafa_daryl', 'ppl_call_me_flemming']"
ashwin_roy_,2017-10-18 10:29:16.844131,http://picbear.com/media/1565237135093685618_3257550254,2017-10-18 10:29:28.408281,"['muki__muthu__819k', 'huang011520', 'x.hdz.x', 'dhavalprajapati7671', '_neiskusstvenno_', 'badtwyntattoo', 'karabin_676', 'balial_official', 'ranashahidking', 'christos_dus', 'nishanth.r7059', 'giu_lia_d', '_dil_ka_king', 'the_perfect_shubh', 'mrtekahh']","['k_a.r_t.h.i_k', 'ppl_call_me_flemming']"
____leisure____,2017-10-18 10:29:31.021414,http://picbear.com/media/1595373271174738668_5516615122,2017-10-18 10:29:35.024120,[],[]
____leisure____,2017-10-18 10:29:31.021414,http://picbear.com/media/1595372791253998533_5516615122,2017-10-18 10:29:36.800208,[],[]
____leisure____,2017-10-18 10:29:31.021414,http://picbear.com/media/1527533044196953416_5516615122,2017-10-18 10:29:37.993482,"['_rasha_15', 'uj_2.4.1']",[]
____leisure____,2017-10-18 10:29:31.021414,http://picbear.com/media/1527532290824431960_5516615122,2017-10-18 10:29:41.679863,['_rasha_15'],[]
____leisure____,2017-10-18 10:29:31.021414,http://picbear.com/media/1527532156967363895_5516615122,2017-10-18 10:29:43.021715,['_rasha_15'],[]
____leisure____,2017-10-18 10:29:31.021414,http://picbear.com/media/1527531935432553046_5516615122,2017-10-18 10:29:44.352475,"['_rasha_15', 'uj_2.4.1']",[]
____leisure____,2017-10-18 10:29:31.021414,http://picbear.com/media/1526166230279865852_5516615122,2017-10-18 10:29:45.953159,"['_rasha_15', 'uj_2.4.1']",[]
____leisure____,2017-10-18 10:29:31.021414,http://picbear.com/media/1526163745473531323_5516615122,2017-10-18 10:29:47.625450,[],[]
