user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857623_1338659532928198_8519683852048793600_n.jpg,http://picbear.com/media/1637723887768655049_4665456773,November 07 2017 - 02:50,October 31 2017 - 15:12,<p>اینم از اولین عکس فوتبالیست در یونان</p>,129,28
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22280937_182302845670435_6616683933109059584_n.jpg,http://picbear.com/media/1621314319811559556_4665456773,November 07 2017 - 02:50,October 08 2017 - 23:49,<p>I had a great day with my family (uncle and his family) 👌👌👌</p>,138,34
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069351_1671476862925670_7087342598481772544_n.jpg,http://picbear.com/media/1613915861559447738_4665456773,November 07 2017 - 02:50,September 28 2017 - 18:49,<p>A beautiful day! 😉</p>,143,11
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980549_1825785477734525_8357571179044667392_n.jpg,http://picbear.com/media/1613203217206613902_4665456773,November 07 2017 - 02:50,September 27 2017 - 19:13,<p>Today in the classroom 😉😉</p>,125,10
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576530_117553018945988_309580409472024576_n.jpg,http://picbear.com/media/1601331582425997052_4665456773,November 07 2017 - 02:50,September 11 2017 - 10:07,<p>Have fun with good friends. Everywhere is empty😉</p>,128,8
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21372548_508586869503883_3261138122045390848_n.jpg,http://picbear.com/media/1596125836897914854_4665456773,November 07 2017 - 02:50,September 04 2017 - 05:44,<p>....</p>,139,10
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21149273_134276573851610_522186457469681664_n.jpg,http://picbear.com/media/1594224372986295100_4665456773,November 07 2017 - 02:50,September 01 2017 - 14:46,<p>یه روز عالی با معلمم، همکلاسی هام 😉😉😉</p>,120,6
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20837487_165398507341588_521314935590879232_n.jpg,http://picbear.com/media/1579683251630721637_4665456773,November 07 2017 - 02:50,August 12 2017 - 13:15,<p>Ok...</p>,147,11
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20479372_1110078012459580_6376170179759439872_n.jpg,http://picbear.com/media/1570325588178403013_4665456773,November 07 2017 - 02:50,July 30 2017 - 15:23,<p>قدر آیینه بدانید چو هست نه آنکه ٱفتادو شکست 😢</p>,142,13
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20347740_270650410079193_1105458972069986304_n.jpg,http://picbear.com/media/1567333270638955687_4665456773,November 07 2017 - 02:50,July 26 2017 - 12:18,<p>یاد روزای ورزشیم بخیر😧</p>,125,12
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20184698_197175034151267_5801614215387021312_n.jpg,http://picbear.com/media/1565264135993957591_4665456773,November 07 2017 - 02:50,July 23 2017 - 15:47,<p>سلامتی رفیقی که رو بازی میکنه❤️😍</p>,121,14
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19984283_158561964692141_8493656676652548096_n.jpg,http://picbear.com/media/1559500998778851973_4665456773,November 07 2017 - 02:50,July 15 2017 - 16:57,<p>بدون شرح... 😳</p>,127,3
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19955295_1918990561692849_5757159723325456384_n.jpg,http://picbear.com/media/1558201951225077889_4665456773,November 07 2017 - 02:51,July 13 2017 - 21:56,<p>یروز عالی جای همه خالی😉</p>,128,18
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19761886_1437771669635047_7704481797794430976_n.jpg,http://picbear.com/media/1553088692692150780_4665456773,November 07 2017 - 02:51,July 06 2017 - 20:37,<p>یه روز عالی</p>,128,14
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18949469_438621273161089_6183591306564993024_n.jpg,http://picbear.com/media/1533166363375719047_4665456773,November 07 2017 - 02:51,June 09 2017 - 08:54,<p>من دادا محمد داخل زمین فوتبال. چه روز خوبی بود 🙏🙏🙏</p>,130,6
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18812556_130888807483198_4809948709607440384_n.jpg,http://picbear.com/media/1528492542743991178_4665456773,November 07 2017 - 02:51,June 02 2017 - 22:08,<p>من و دوست کوچکم. الهی قربونش برم من.(پاشا) 😍😘😘😘😘😘😘😘😘</p>,155,5
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c42.0.540.540/18723247_1907945719484479_4762167310108590080_n.jpg,http://picbear.com/media/1525047915990905586_4665456773,November 07 2017 - 02:51,May 29 2017 - 04:05,<p>آخ یاد قدیما بخیر.........</p>,135,21
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18581371_1918995448349366_753368711468941312_n.jpg,http://picbear.com/media/1522117256364211212_4665456773,November 07 2017 - 02:51,May 25 2017 - 03:02,<p>داش محمد این روزا گذراست. خودت خوب می دونی. رفیق بخند😂😂😂</p>,145,6
November 07 2017 - 02:50,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18380423_2008515029377176_7050175931482112000_n.jpg,http://picbear.com/media/1513127872650677857_4665456773,November 07 2017 - 02:51,May 12 2017 - 17:22,<p>با بهترینا❤️</p>,126,5
