user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13249853_1598323907149978_1192823440_n.jpg,http://picbear.com/media/1256119275800316538_1521726617,November 07 2017 - 04:22,May 23 2016 - 02:51,,10,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13277639_249351958775867_15572528_n.jpg,http://picbear.com/media/1256118984237468276_1521726617,November 07 2017 - 04:22,May 23 2016 - 02:51,,7,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13285310_888315821276752_1048877255_n.jpg,http://picbear.com/media/1256118531101641316_1521726617,November 07 2017 - 04:22,May 23 2016 - 02:50,,4,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13267393_857314214397293_158491741_n.jpg,http://picbear.com/media/1256118067563940440_1521726617,November 07 2017 - 04:22,May 23 2016 - 02:49,,4,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13167490_1721491128106556_1318347397_n.jpg,http://picbear.com/media/1256115514046499343_1521726617,November 07 2017 - 04:22,May 23 2016 - 02:44,,4,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13277761_1021949477881695_1273612891_n.jpg,http://picbear.com/media/1256111669295794570_1521726617,November 07 2017 - 04:22,May 23 2016 - 02:36,,5,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13248987_1113930745315534_51972690_n.jpg,http://picbear.com/media/1256103068003027018_1521726617,November 07 2017 - 04:22,May 23 2016 - 02:19,,7,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13109136_1074685055944530_598773673_n.jpg,http://picbear.com/media/1255819530569599523_1521726617,November 07 2017 - 04:22,May 22 2016 - 16:56,,5,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13259593_961298260649337_734938204_n.jpg,http://picbear.com/media/1255819130273614356_1521726617,November 07 2017 - 04:22,May 22 2016 - 16:55,,6,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13116730_124950851254074_1540251204_n.jpg,http://picbear.com/media/1255817589848361428_1521726617,November 07 2017 - 04:22,May 22 2016 - 16:52,,5,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13285420_203261443400664_26285920_n.jpg,http://picbear.com/media/1255816680347093414_1521726617,November 07 2017 - 04:22,May 22 2016 - 16:50,,1,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13277731_981679495280820_1167121925_n.jpg,http://picbear.com/media/1255814230412183858_1521726617,November 07 2017 - 04:22,May 22 2016 - 16:45,<p>Off parasite.</p>,2,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13151376_1555817704718517_130800375_n.jpg,http://picbear.com/media/1240721043230377990_1521726617,November 07 2017 - 04:22,May 01 2016 - 20:58,,6,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/1172858_929038093861467_390248546_n.jpg,http://picbear.com/media/1210060872745568586_1521726617,November 07 2017 - 04:22,March 20 2016 - 12:41,<p>Little ray of sunshine xo</p>,4,0
November 07 2017 - 04:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/11428695_1639503366287415_1380070852_n.jpg,http://picbear.com/media/1052133917254568448_1521726617,November 07 2017 - 04:22,August 15 2015 - 16:09,<p>My girl. Not a baby anymore xo</p>,3,0
