user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.85.683.683/23161406_297345404103928_4231152457167667200_n.jpg,http://picbear.com/media/1641667885075364799_2010759425,November 07 2017 - 04:01,November 06 2017 - 01:48,,29,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.55.440.440/23161771_188289985076267_6939766358255075328_n.jpg,http://picbear.com/media/1641660882936584397_2010759425,November 07 2017 - 04:01,November 06 2017 - 01:34,,25,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.63.507.507/23348240_1943887309267031_4583848595920257024_n.jpg,http://picbear.com/media/1641657328633110515_2010759425,November 07 2017 - 04:01,November 06 2017 - 01:27,,21,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c190.0.644.644/23161185_142356569729904_211101950450597888_n.jpg,http://picbear.com/media/1641386079017067001_2010759425,November 07 2017 - 04:01,November 05 2017 - 16:28,,29,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c67.0.268.268/22858362_1775061042506273_7382059264308674560_n.jpg,http://picbear.com/media/1637255369976985332_2010759425,November 07 2017 - 04:01,October 30 2017 - 23:41,<p>প্রিয় দাদার সাথে....💜💜💜</p>,37,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860274_141241499832508_6201982841857769472_n.jpg,http://picbear.com/media/1636606721853261096_2010759425,November 07 2017 - 04:01,October 30 2017 - 02:12,,34,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.62.501.501/23101190_155293008542004_5105034824226177024_n.jpg,http://picbear.com/media/1636588978202528467_2010759425,November 07 2017 - 04:01,October 30 2017 - 01:37,,33,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c220.0.584.584/22802714_546498379024084_6123254184356610048_n.jpg,http://picbear.com/media/1635114186903545263_2010759425,November 07 2017 - 04:01,October 28 2017 - 00:47,<p>Di vai.. ✌</p>,38,2
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.40.320.320/22802349_121673855194701_7812370053420023808_n.jpg,http://picbear.com/media/1634968172494184228_2010759425,November 07 2017 - 04:02,October 27 2017 - 19:56,,33,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.40.320.320/22710855_126080854765227_5759269737678766080_n.jpg,http://picbear.com/media/1634297969766702783_2010759425,November 07 2017 - 04:02,October 26 2017 - 21:45,<p>কালী  পুজোতে</p>,34,2
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c171.0.683.683/22708725_148876402390701_5444886214740017152_n.jpg,http://picbear.com/media/1632261955342674939_2010759425,November 07 2017 - 04:02,October 24 2017 - 02:20,,27,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.85.683.683/22639122_510753085957052_1331873507428007936_n.jpg,http://picbear.com/media/1632206104946956481_2010759425,November 07 2017 - 04:02,October 24 2017 - 00:29,,26,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.85.683.683/22711060_446891695712732_2493377542103236608_n.jpg,http://picbear.com/media/1632203904120195543_2010759425,November 07 2017 - 04:02,October 24 2017 - 00:24,<p>অনন্যা....Closeup smile💜💜💜💜</p>,38,2
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.85.681.681/22711107_1895233707171867_1808790515676610560_n.jpg,http://picbear.com/media/1632193697239298947_2010759425,November 07 2017 - 04:02,October 24 2017 - 00:04,<p>Turjo  ভাই♥♥</p>,38,4
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c171.0.683.683/22638944_370390003382980_7669903557260214272_n.jpg,http://picbear.com/media/1632192444107067631_2010759425,November 07 2017 - 04:02,October 24 2017 - 00:02,,25,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709554_142294326406779_5555937803973427200_n.jpg,http://picbear.com/media/1630724017790265414_2010759425,November 07 2017 - 04:02,October 21 2017 - 23:24,,31,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c142.0.683.683/22637541_495159554187465_4393953437335683072_n.jpg,http://picbear.com/media/1630601329692315454_2010759425,November 07 2017 - 04:02,October 21 2017 - 19:20,,23,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c98.0.683.683/22637519_1594445587265758_920556717261979648_n.jpg,http://picbear.com/media/1630600812643741781_2010759425,November 07 2017 - 04:02,October 21 2017 - 19:19,,25,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c77.0.683.683/22639323_1467737563261353_1451542471799472128_n.jpg,http://picbear.com/media/1630597785111210406_2010759425,November 07 2017 - 04:02,October 21 2017 - 19:13,<p>বিয়ের Party With Aunty..... ...♥♥</p>,36,2
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.63.897.897/22639490_832453916914029_7792197180441231360_n.jpg,http://picbear.com/media/1630596015332910837_2010759425,November 07 2017 - 04:02,October 21 2017 - 19:10,<p>আদরের ছোট বোন.... Dipti♥♥</p>,36,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c162.0.683.683/22638684_1089405101194136_1727788450381299712_n.jpg,http://picbear.com/media/1630594450974858806_2010759425,November 07 2017 - 04:02,October 21 2017 - 19:07,,28,0
November 07 2017 - 04:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c40.0.683.683/22639493_1834452170108885_447508954856030208_n.jpg,http://picbear.com/media/1630592892413491807_2010759425,November 07 2017 - 04:02,October 21 2017 - 19:04,,25,0
