user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/22280278_1934762080176705_7712882749530439680_n.jpg,http://picbear.com/media/1619677971864697453_5371663509,October 18 2017 - 17:11,October 06 2017 - 17:38,,16,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/21984620_147675879067592_8101810802895355904_n.jpg,http://picbear.com/media/1610903172267039684_5371663509,October 18 2017 - 17:11,September 24 2017 - 15:04,<p>My clean India 🇮🇳🇮🇳🇮🇳🇮🇳</p>,16,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21688612_1594479160616184_4497713572259823616_n.jpg,http://picbear.com/media/1603733949455437587_5371663509,October 18 2017 - 17:11,September 14 2017 - 17:40,,15,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21569181_121528971902938_2522315738958528512_n.jpg,http://picbear.com/media/1603733658630792496_5371663509,October 18 2017 - 17:11,September 14 2017 - 17:39,,6,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21576758_1730498537254543_1724005275683258368_n.jpg,http://picbear.com/media/1603335528844100015_5371663509,October 18 2017 - 17:11,September 14 2017 - 04:28,,21,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21576481_685950901594562_8394682844693135360_n.jpg,http://picbear.com/media/1603334036695356720_5371663509,October 18 2017 - 17:11,September 14 2017 - 04:25,,18,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21569292_892853430869607_242992589429538816_n.jpg,http://picbear.com/media/1603022466580996048_5371663509,October 18 2017 - 17:11,September 13 2017 - 18:06,<p>Me &amp; golu</p>,17,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21576796_275069552992716_9035292077478379520_n.jpg,http://picbear.com/media/1603002130179081447_5371663509,October 18 2017 - 17:11,September 13 2017 - 17:26,,13,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21576902_714103082114204_9134863017266118656_n.jpg,http://picbear.com/media/1603001651432924479_5371663509,October 18 2017 - 17:11,September 13 2017 - 17:25,,13,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/21688766_118223892216714_7025595271006388224_n.jpg,http://picbear.com/media/1602639205199275269_5371663509,October 18 2017 - 17:11,September 13 2017 - 05:25,,9,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/21480244_1593796094011305_1144944320114065408_n.jpg,http://picbear.com/media/1602169877932873951_5371663509,October 18 2017 - 17:11,September 12 2017 - 13:52,,19,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/19122045_1695676194073076_2790311098249641984_n.jpg,http://picbear.com/media/1537420060237681707_5371663509,October 18 2017 - 17:11,June 15 2017 - 05:46,,15,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19120838_140849146475381_4815756029377642496_n.jpg,http://picbear.com/media/1536193298619154717_5371663509,October 18 2017 - 17:11,June 13 2017 - 13:08,,14,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/18094746_1399686576720810_116615487437144064_n.jpg,http://picbear.com/media/1499856848168577183_5371663509,October 18 2017 - 17:11,April 24 2017 - 09:54,,8,0
