user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18013119_117661788789350_1043784659038633984_n.jpg,http://picbear.com/media/1499934817025624892_3920867661,October 23 2017 - 12:11,April 24 2017 - 12:29,<p>Ketchup and Mustard</p>,14,1
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17126813_171656493343433_1570533625907118080_n.jpg,http://picbear.com/media/1470695756939571561_3920867661,October 23 2017 - 12:12,March 15 2017 - 04:16,"<p>My <a href=""http://picbear.com/tag/grandchild"" title=""posts tagged as grandchild"">#grandchild</a>#  Try to be a <a href=""http://picbear.com/tag/swimmer"" title=""posts tagged as swimmer"">#swimmer</a>#</p>",12,2
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17334121_1285096188205086_9041918563476045824_n.jpg,http://picbear.com/media/1470384218324301904_3920867661,October 23 2017 - 12:12,March 14 2017 - 17:57,"<p>My <a href=""http://picbear.com/tag/activity"" title=""posts tagged as activity"">#activity</a> <a href=""http://picbear.com/tag/orchid"" title=""posts tagged as orchid"">#orchid</a> <a href=""http://picbear.com/tag/vandahibrida"" title=""posts tagged as vandahibrida"">#vandahibrida</a> <a href=""http://picbear.com/tag/multicolor"" title=""posts tagged as multicolor"">#multicolor</a> <a href=""http://picbear.com/tag/home"" title=""posts tagged as home"">#home</a> <a href=""http://picbear.com/tag/hobby"" title=""posts tagged as hobby"">#hobby</a></p>",6,0
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/17076189_1386363921426908_7600387376975708160_n.jpg,http://picbear.com/media/1461494286138662181_3920867661,October 23 2017 - 12:12,March 02 2017 - 11:35,,11,3
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16906997_1210793352361417_4057275928869339136_n.jpg,http://picbear.com/media/1456265906862553219_3920867661,October 23 2017 - 12:12,February 23 2017 - 06:27,"<p>Wow <a href=""http://picbear.com/tag/breakfast"" title=""posts tagged as breakfast"">#breakfast</a># ku pagi ini#bakm#i bakso# pangsit</p>",5,1
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16230153_1795055874150376_4808873679293251584_n.jpg,http://picbear.com/media/1447429935530309941_3920867661,October 23 2017 - 12:12,February 11 2017 - 01:51,"<p>A beautiful <a href=""http://picbear.com/tag/gift"" title=""posts tagged as gift"">#gift</a> <a href=""http://picbear.com/tag/katespade"" title=""posts tagged as katespade"">#katespade</a> <a href=""http://picbear.com/tag/stripssandal"" title=""posts tagged as stripssandal"">#stripssandal</a> from my <a href=""http://picbear.com/tag/bestfriend"" title=""posts tagged as bestfriend"">#bestfriend</a> <a href=""http://picbear.com/tag/diana"" title=""posts tagged as diana"">#diana</a> at <a href=""http://picbear.com/tag/la"" title=""posts tagged as la"">#la</a> <a href=""http://picbear.com/tag/california"" title=""posts tagged as california"">#california</a></p>",10,1
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16230224_405160529817206_3886199732132904960_n.jpg,http://picbear.com/media/1440603705829217839_3920867661,October 23 2017 - 12:12,February 01 2017 - 15:49,<p>Happy birthday dear Patrika.. 🌱</p>,11,1
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16230850_150439242127086_4774872729608257536_n.jpg,http://picbear.com/media/1440573958189374830_3920867661,October 23 2017 - 12:12,February 01 2017 - 14:50,"<p>Patrika's birthday at Bandar Djakarta with my lovely daughters <a href=""http://picbear.com/tag/seafood"" title=""posts tagged as seafood"">#seafood</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/ancol"" title=""posts tagged as ancol"">#ancol</a> <a href=""http://picbear.com/tag/birthday"" title=""posts tagged as birthday"">#birthday</a> <a href=""http://picbear.com/tag/girls"" title=""posts tagged as girls"">#girls</a> <a href=""http://picbear.com/tag/bandardjakarta"" title=""posts tagged as bandardjakarta"">#bandardjakarta</a></p>",10,1
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c103.0.874.874/16110618_1562982267052282_9184576078306344960_n.jpg,http://picbear.com/media/1434570579361362740_3920867661,October 23 2017 - 12:12,January 24 2017 - 08:02,"<p>Family trip to Bedugul <a href=""http://picbear.com/tag/bali"" title=""posts tagged as bali"">#bali</a> <a href=""http://picbear.com/tag/bedugul"" title=""posts tagged as bedugul"">#bedugul</a> <a href=""http://picbear.com/tag/mountain"" title=""posts tagged as mountain"">#mountain</a> <a href=""http://picbear.com/tag/lake"" title=""posts tagged as lake"">#lake</a></p>",10,2
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15876717_714254648740735_8812689458739544064_n.jpg,http://picbear.com/media/1427507594478269098_3920867661,October 23 2017 - 12:12,January 14 2017 - 14:09,"<p>Too many cute things to buy :/// <a href=""http://picbear.com/tag/colorful"" title=""posts tagged as colorful"">#colorful</a> <a href=""http://picbear.com/tag/katespade"" title=""posts tagged as katespade"">#katespade</a> <a href=""http://picbear.com/tag/red"" title=""posts tagged as red"">#red</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a></p>",8,2
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15803402_1340144079364463_4725724671515820032_n.jpg,http://picbear.com/media/1426839808777331351_3920867661,October 23 2017 - 12:12,January 13 2017 - 16:03,"<p>Belanjes-belanjes <a href=""http://picbear.com/tag/louisvuitton"" title=""posts tagged as louisvuitton"">#louisvuitton</a> <a href=""http://picbear.com/tag/paris"" title=""posts tagged as paris"">#paris</a> <a href=""http://picbear.com/tag/louis"" title=""posts tagged as louis"">#louis</a> <a href=""http://picbear.com/tag/vuitton"" title=""posts tagged as vuitton"">#vuitton</a> <a href=""http://picbear.com/tag/bag"" title=""posts tagged as bag"">#bag</a> <a href=""http://picbear.com/tag/singapore"" title=""posts tagged as singapore"">#singapore</a> <a href=""http://picbear.com/tag/mama"" title=""posts tagged as mama"">#mama</a></p>",8,0
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c217.0.645.645/15625249_448398948882078_600467708227616768_n.jpg,http://picbear.com/media/1423747145828039397_3920867661,October 23 2017 - 12:12,January 09 2017 - 09:38,<p>Made by me</p>,7,3
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14566820_1276292009075783_1667234058662313984_n.jpg,http://picbear.com/media/1418534370352814587_3920867661,October 23 2017 - 12:12,January 02 2017 - 05:01,<p>Masih libur...santai sambil jemur...😎matahari pagi.</p>,6,1
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c211.0.657.657/15624299_1049220471874049_5693656080643522560_n.jpg,http://picbear.com/media/1412862680205486659_3920867661,October 23 2017 - 12:12,December 25 2016 - 09:12,<p>Sweetttt 🍬</p>,8,0
October 23 2017 - 12:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/21819778_1788715064492007_7464415240734638080_n.jpg,http://picbear.com/media/1606283763368962635_3920867661,October 23 2017 - 12:12,September 18 2017 - 06:06,"<p><a href=""http://picbear.com/tag/multifunction"" title=""posts tagged as multifunction"">#multifunction</a>  re bread maker <a href=""http://picbear.com/tag/cheese"" title=""posts tagged as cheese"">#cheese</a> <a href=""http://picbear.com/tag/macaroni"" title=""posts tagged as macaroni"">#macaroni</a> ...nyamii nyami</p>",13,4
