user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 19:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.101.809.809/23347574_524198924604856_5673243505539940352_n.jpg,http://picbear.com/media/1641924088186570348_1268865757,November 06 2017 - 19:54,November 06 2017 - 10:17,"<p>We are growing older with ages, but become wiser with experiences.  credit to Cambodian <a href=""http://picbear.com/haziqhusaini_"" title=""haziqhusaini_ instagram profile"">@haziqhusaini_</a>  Followed ig @istanbul.da dan page FB RedahIstanbul untuk mengikuti perkembangan  <a href=""http://picbear.com/tag/teamredahistanbul"" title=""posts tagged as teamredahistanbul"">#teamredahistanbul</a></p>",210,11
November 06 2017 - 19:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22860761_1971145353132455_242744237240614912_n.jpg,http://picbear.com/media/1637626193509691564_1268865757,November 06 2017 - 19:54,October 31 2017 - 11:57,"<p>Tebrikler Arkadaşlar.  So what's next guys?  <a href=""http://picbear.com/tag/gradontime"" title=""posts tagged as gradontime"">#gradontime</a> <a href=""http://picbear.com/tag/diploma"" title=""posts tagged as diploma"">#diploma</a> <a href=""http://picbear.com/tag/convocation"" title=""posts tagged as convocation"">#convocation</a> <a href=""http://picbear.com/tag/ktd"" title=""posts tagged as ktd"">#ktd</a> <a href=""http://picbear.com/tag/utm"" title=""posts tagged as utm"">#utm</a> <a href=""http://picbear.com/tag/ktdians"" title=""posts tagged as ktdians"">#ktdians</a> <a href=""http://picbear.com/tag/wearektdians"" title=""posts tagged as wearektdians"">#wearektdians</a> <a href=""http://picbear.com/tag/istanbul"" title=""posts tagged as istanbul"">#istanbul</a> <a href=""http://picbear.com/tag/turkey"" title=""posts tagged as turkey"">#turkey</a> <a href=""http://picbear.com/tag/abamtakkonvo"" title=""posts tagged as abamtakkonvo"">#abamtakkonvo</a></p>",244,17
November 06 2017 - 19:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.96.768.768/22710558_140643463243781_3566610360939053056_n.jpg,http://picbear.com/media/1632565189243444956_1268865757,November 06 2017 - 19:54,October 24 2017 - 12:22,"<p>Demam selsema ni mengidam Yong Tau Fu lah.  Follow ig @istanbul.da Follow page fb Redah lstanbul  <a href=""http://picbear.com/tag/fever"" title=""posts tagged as fever"">#fever</a> <a href=""http://picbear.com/tag/homesick"" title=""posts tagged as homesick"">#homesick</a> <a href=""http://picbear.com/tag/ngade"" title=""posts tagged as ngade"">#ngade</a> <a href=""http://picbear.com/tag/teamredahistanbul"" title=""posts tagged as teamredahistanbul"">#teamredahistanbul</a></p>",204,6
November 06 2017 - 19:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c128.0.768.768/22581837_492114044496098_261042906750517248_n.jpg,http://picbear.com/media/1629635299296881791_1268865757,November 06 2017 - 19:54,October 20 2017 - 11:21,"<p>""Keep striving, work hard and let your actions do the talking."" Terima kasih untuk pengalaman berharga ini. Moga berjumpa lagi!  <a href=""http://picbear.com/tag/yicam"" title=""posts tagged as yicam"">#yicam</a> <a href=""http://picbear.com/tag/vsco"" title=""posts tagged as vsco"">#vsco</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/huawei"" title=""posts tagged as huawei"">#huawei</a> <a href=""http://picbear.com/tag/honor"" title=""posts tagged as honor"">#honor</a> <a href=""http://picbear.com/tag/anakmalaysia"" title=""posts tagged as anakmalaysia"">#anakmalaysia</a> <a href=""http://picbear.com/tag/anakperantau"" title=""posts tagged as anakperantau"">#anakperantau</a> <a href=""http://picbear.com/tag/istanbul"" title=""posts tagged as istanbul"">#istanbul</a> <a href=""http://picbear.com/tag/turkey"" title=""posts tagged as turkey"">#turkey</a> <a href=""http://picbear.com/tag/teamredahistanbul"" title=""posts tagged as teamredahistanbul"">#teamredahistanbul</a> <a href=""http://picbear.com/tag/cuticutiistanbul"" title=""posts tagged as cuticutiistanbul"">#cuticutiistanbul</a> <a href=""http://picbear.com/tag/struggle"" title=""posts tagged as struggle"">#struggle</a> <a href=""http://picbear.com/tag/bestrong"" title=""posts tagged as bestrong"">#bestrong</a></p>",205,5
November 06 2017 - 19:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22500031_1465597516869585_4814148886975217664_n.jpg,http://picbear.com/media/1626749963923111785_1268865757,November 06 2017 - 19:54,October 16 2017 - 11:48,"<p>Begitulah kehidupan, ada naik turun nya, ada masam manis nya, ada suka duka nya, ada saya dan awak chia chia. Valid lagi ke 'chia chia' ni? hmmm  Apa pun, kembali fokus study sebelum next project.  Follow ig @istanbul.da  Follow fb Redah Istanbul  <a href=""http://picbear.com/tag/vsco"" title=""posts tagged as vsco"">#vsco</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/anakmalaysia"" title=""posts tagged as anakmalaysia"">#anakmalaysia</a> <a href=""http://picbear.com/tag/anakperantau"" title=""posts tagged as anakperantau"">#anakperantau</a> <a href=""http://picbear.com/tag/istanbul"" title=""posts tagged as istanbul"">#istanbul</a> <a href=""http://picbear.com/tag/turkey"" title=""posts tagged as turkey"">#turkey</a> <a href=""http://picbear.com/tag/struggle"" title=""posts tagged as struggle"">#struggle</a> <a href=""http://picbear.com/tag/bestrong"" title=""posts tagged as bestrong"">#bestrong</a> <a href=""http://picbear.com/tag/faith"" title=""posts tagged as faith"">#faith</a> <a href=""http://picbear.com/tag/teamredahistanbul"" title=""posts tagged as teamredahistanbul"">#teamredahistanbul</a></p>",212,2
November 06 2017 - 19:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22352105_1416013985112481_6851237023471108096_n.jpg,http://picbear.com/media/1624566799205205200_1268865757,November 06 2017 - 19:54,October 13 2017 - 11:31,"<p>Ayam golek pun tak datang bergolek, inikan pulak kejayaan. Nak berjaya kena usaha, nak ayam golek pm lah tepi.  cc cameraman kemboja <a href=""http://picbear.com/haziqhusaini_"" title=""haziqhusaini_ instagram profile"">@haziqhusaini_</a>  follow ig @istanbul.da  <a href=""http://picbear.com/tag/vsco"" title=""posts tagged as vsco"">#vsco</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/underarmour"" title=""posts tagged as underarmour"">#underarmour</a> <a href=""http://picbear.com/tag/anakmalaysia"" title=""posts tagged as anakmalaysia"">#anakmalaysia</a> <a href=""http://picbear.com/tag/anakperantau"" title=""posts tagged as anakperantau"">#anakperantau</a> <a href=""http://picbear.com/tag/istanbul"" title=""posts tagged as istanbul"">#istanbul</a> <a href=""http://picbear.com/tag/turkey"" title=""posts tagged as turkey"">#turkey</a> <a href=""http://picbear.com/tag/struggle"" title=""posts tagged as struggle"">#struggle</a> <a href=""http://picbear.com/tag/bestrong"" title=""posts tagged as bestrong"">#bestrong</a> <a href=""http://picbear.com/tag/faith"" title=""posts tagged as faith"">#faith</a></p>",245,9
November 06 2017 - 19:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.1080.1080/22280798_1536329109794764_3799767715778920448_n.jpg,http://picbear.com/media/1621610170981745065_1268865757,November 06 2017 - 19:54,October 09 2017 - 09:36,"<p>Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence. It's cloudy day with a shining heart :) <a href=""http://picbear.com/tag/vsco"" title=""posts tagged as vsco"">#vsco</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/anakmalaysia"" title=""posts tagged as anakmalaysia"">#anakmalaysia</a> <a href=""http://picbear.com/tag/anakperantau"" title=""posts tagged as anakperantau"">#anakperantau</a> <a href=""http://picbear.com/tag/istanbul"" title=""posts tagged as istanbul"">#istanbul</a> <a href=""http://picbear.com/tag/turkiye"" title=""posts tagged as turkiye"">#turkiye</a> <a href=""http://picbear.com/tag/struggle"" title=""posts tagged as struggle"">#struggle</a> <a href=""http://picbear.com/tag/bestrong"" title=""posts tagged as bestrong"">#bestrong</a> <a href=""http://picbear.com/tag/faith"" title=""posts tagged as faith"">#faith</a> <a href=""http://picbear.com/tag/happyautumn"" title=""posts tagged as happyautumn"">#happyautumn</a> <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a></p>",217,5
November 06 2017 - 19:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c130.0.780.780/22221357_306442996431030_4350502966894002176_n.jpg,http://picbear.com/media/1619654503307684118_1268865757,November 06 2017 - 19:54,October 06 2017 - 16:51,"<p>""Learn to love without condition. Talk without bad intention. Give without any reason. Care for people without any expectation."" Thanks god for these men.  <a href=""http://picbear.com/tag/vsco"" title=""posts tagged as vsco"">#vsco</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/huawei"" title=""posts tagged as huawei"">#huawei</a> <a href=""http://picbear.com/tag/honor"" title=""posts tagged as honor"">#honor</a> <a href=""http://picbear.com/tag/anakmalaysia"" title=""posts tagged as anakmalaysia"">#anakmalaysia</a> <a href=""http://picbear.com/tag/anakperantau"" title=""posts tagged as anakperantau"">#anakperantau</a> <a href=""http://picbear.com/tag/istanbul"" title=""posts tagged as istanbul"">#istanbul</a> <a href=""http://picbear.com/tag/turkiye"" title=""posts tagged as turkiye"">#turkiye</a> <a href=""http://picbear.com/tag/friendship"" title=""posts tagged as friendship"">#friendship</a> <a href=""http://picbear.com/tag/housemates"" title=""posts tagged as housemates"">#housemates</a> <a href=""http://picbear.com/tag/struggle"" title=""posts tagged as struggle"">#struggle</a> <a href=""http://picbear.com/tag/bestrong"" title=""posts tagged as bestrong"">#bestrong</a> <a href=""http://picbear.com/tag/faith"" title=""posts tagged as faith"">#faith</a></p>",186,2
November 06 2017 - 19:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c128.0.768.768/22071568_1424954560958979_3202296404370259968_n.jpg,http://picbear.com/media/1616600164712379316_1268865757,November 06 2017 - 19:54,October 02 2017 - 11:42,"<p>Happiness is found when you stop comparing yourself to other people. Happy autumn!  <a href=""http://picbear.com/tag/yicam"" title=""posts tagged as yicam"">#yicam</a> <a href=""http://picbear.com/tag/vsco"" title=""posts tagged as vsco"">#vsco</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/huawei"" title=""posts tagged as huawei"">#huawei</a> <a href=""http://picbear.com/tag/honor"" title=""posts tagged as honor"">#honor</a> <a href=""http://picbear.com/tag/underarmour"" title=""posts tagged as underarmour"">#underarmour</a> <a href=""http://picbear.com/tag/anakmalaysia"" title=""posts tagged as anakmalaysia"">#anakmalaysia</a> <a href=""http://picbear.com/tag/anakperantau"" title=""posts tagged as anakperantau"">#anakperantau</a> <a href=""http://picbear.com/tag/istanbul"" title=""posts tagged as istanbul"">#istanbul</a> <a href=""http://picbear.com/tag/turkiye"" title=""posts tagged as turkiye"">#turkiye</a> <a href=""http://picbear.com/tag/bestrong"" title=""posts tagged as bestrong"">#bestrong</a> <a href=""http://picbear.com/tag/struggle"" title=""posts tagged as struggle"">#struggle</a> <a href=""http://picbear.com/tag/faith"" title=""posts tagged as faith"">#faith</a> <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a></p>",213,7
November 06 2017 - 19:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22069550_134159180552611_4847370360225529856_n.jpg,http://picbear.com/media/1615211884280299774_1268865757,November 06 2017 - 19:54,September 30 2017 - 13:44,"<p>It's autumn!  <a href=""http://picbear.com/tag/vsco"" title=""posts tagged as vsco"">#vsco</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/huawei"" title=""posts tagged as huawei"">#huawei</a> <a href=""http://picbear.com/tag/honor"" title=""posts tagged as honor"">#honor</a> <a href=""http://picbear.com/tag/anakmalaysia"" title=""posts tagged as anakmalaysia"">#anakmalaysia</a> <a href=""http://picbear.com/tag/anakperantau"" title=""posts tagged as anakperantau"">#anakperantau</a> <a href=""http://picbear.com/tag/istanbul"" title=""posts tagged as istanbul"">#istanbul</a> <a href=""http://picbear.com/tag/turkiye"" title=""posts tagged as turkiye"">#turkiye</a> <a href=""http://picbear.com/tag/simit"" title=""posts tagged as simit"">#simit</a> <a href=""http://picbear.com/tag/simitforlife"" title=""posts tagged as simitforlife"">#simitforlife</a> <a href=""http://picbear.com/tag/struggle"" title=""posts tagged as struggle"">#struggle</a> <a href=""http://picbear.com/tag/bestrong"" title=""posts tagged as bestrong"">#bestrong</a> <a href=""http://picbear.com/tag/faith"" title=""posts tagged as faith"">#faith</a></p>",180,2
