user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.104.921.921/23279526_184146725495469_2933438997898199040_n.jpg,http://picbear.com/media/1642439503362842550_4463727071,November 07 2017 - 02:14,November 07 2017 - 03:21,"<p>🔴Chartres, France 🇫🇷</p>",106,2
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.88.898.898/23280107_286220368532820_5913536467505774592_n.jpg,http://picbear.com/media/1642356514662531058_4463727071,November 07 2017 - 02:14,November 07 2017 - 00:36,"<p>🔴Cinque Terre, Italy 🇮🇹</p>",156,3
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.114.934.934/23163992_184938358734715_5320842843357446144_n.jpg,http://picbear.com/media/1641048064821134756_4463727071,November 07 2017 - 02:14,November 05 2017 - 05:16,<p>🔴Northern Lights In Iceland 🇮🇸</p>,385,8
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161343_142962629664359_9078647358559879168_n.jpg,http://picbear.com/media/1640924435923867914_4463727071,November 07 2017 - 02:14,November 05 2017 - 01:10,"<p>🔴Genova, Italy 🇮🇹</p>",326,6
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.106.923.923/23164504_143928959563986_4403719595966332928_n.jpg,http://picbear.com/media/1640818728868263703_4463727071,November 07 2017 - 02:14,November 04 2017 - 21:40,"<p>🔴Saint Petersburg, Russia 🇷🇺</p>",395,6
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.931.931/23101007_141691546582425_6727160069739249664_n.jpg,http://picbear.com/media/1640165009654857853_4463727071,November 07 2017 - 02:14,November 04 2017 - 00:02,"<p>🔴Tropea, Italy 🇮🇹</p>",409,5
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.900.900/23099272_1426606150789834_8167990205907730432_n.jpg,http://picbear.com/media/1640102905442907048_4463727071,November 07 2017 - 02:14,November 03 2017 - 21:58,"<p>🔴Barcelona, Spain 🇪🇸</p>",330,4
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.113.932.932/23101619_303911300091272_5233273519663480832_n.jpg,http://picbear.com/media/1639524063959449177_4463727071,November 07 2017 - 02:14,November 03 2017 - 02:48,"<p>🔴Rio de Janeiro, Brazil 🇧🇷</p>",405,5
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.114.934.934/23099295_1971440393127068_6742774406163988480_n.jpg,http://picbear.com/media/1638856364828749933_4463727071,November 07 2017 - 02:14,November 02 2017 - 04:42,"<p>🔴Budapest, Hungary 🇭🇺</p>",378,7
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161670_388293154924946_7818143335574405120_n.jpg,http://picbear.com/media/1638731811221822668_4463727071,November 07 2017 - 02:14,November 02 2017 - 00:34,"<p>🔴Moscow, Russia 🇷🇺</p>",323,5
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.108.926.926/23099224_956973131110350_2809789745599610880_n.jpg,http://picbear.com/media/1638669947033764177_4463727071,November 07 2017 - 02:14,November 01 2017 - 22:31,"<p>🔴Lisbon, Portugal 🇵🇹</p>",352,6
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.113.933.933/22860179_143370436293970_1017542194111709184_n.jpg,http://picbear.com/media/1637353906465959392_4463727071,November 07 2017 - 02:15,October 31 2017 - 02:56,"<p>🔴Hallstatt, Austria 🇦🇹</p>",324,5
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.91.902.902/22860730_223927968144632_7232908136883945472_n.jpg,http://picbear.com/media/1637298379635723599_4463727071,November 07 2017 - 02:15,October 31 2017 - 01:06,"<p>🔴Venice, Italy 🇮🇹</p>",363,3
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.113.933.933/22794192_1893694110946584_6434004585869737984_n.jpg,http://picbear.com/media/1635226469577901983_4463727071,November 07 2017 - 02:15,October 28 2017 - 04:30,"<p>🔴Paris, France 🇫🇷</p>",419,6
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.63.861.861/22794172_2181830185377609_5628610067960954880_n.jpg,http://picbear.com/media/1635135775513459457_4463727071,November 07 2017 - 02:15,October 28 2017 - 01:29,"<p>🔴Kotor, Montenegro 🇲🇪</p>",374,6
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.70.871.871/22711039_353533835105037_1576930124996018176_n.jpg,http://picbear.com/media/1635060783144609672_4463727071,November 07 2017 - 02:15,October 27 2017 - 23:00,"<p>🔴Positano, Italy 🇮🇹</p>",304,8
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.107.925.925/22710707_129881311103040_724148773348966400_n.jpg,http://picbear.com/media/1634526871582509009_4463727071,November 07 2017 - 02:15,October 27 2017 - 05:20,"<p>🔴Santorini, Greece 🇬🇷</p>",412,4
November 07 2017 - 02:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.115.935.935/22861155_1958433604419067_684386846590894080_n.jpg,http://picbear.com/media/1634470801715546338_4463727071,November 07 2017 - 02:15,October 27 2017 - 03:28,"<p>🔴Paris, France 🇫🇷</p>",304,4
