user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22580489_1492207380833259_8486998618350288896_n.jpg,http://picbear.com/media/1629260915647820957_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:57,,8,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22582527_152341945366897_999079074599010304_n.jpg,http://picbear.com/media/1629260649594812355_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:57,,8,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22639384_528288760841538_1048905840603430912_n.jpg,http://picbear.com/media/1629260359189474923_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:56,,8,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22580877_143294272872849_4819547635096485888_n.jpg,http://picbear.com/media/1629260137780712298_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:56,,9,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22582385_1951917291799344_6060809092199350272_n.jpg,http://picbear.com/media/1629259848339953341_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:55,,9,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22636827_822210157959020_5388544859520892928_n.jpg,http://picbear.com/media/1629259658338087862_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:55,,9,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22580269_125445151500297_7309219281848238080_n.jpg,http://picbear.com/media/1629259401831163438_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:54,,10,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/c236.0.607.607/22637484_1607062495983784_9179315301714493440_n.jpg,http://picbear.com/media/1629259085513700510_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:53,,7,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22582163_1705497249481039_1710494932067680256_n.jpg,http://picbear.com/media/1629258662375478252_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:53,,8,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22582610_1956516457954989_3457324295322075136_n.jpg,http://picbear.com/media/1629258415322500221_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:52,,8,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/c236.0.607.607/22637196_2004016293200907_1621280124798238720_n.jpg,http://picbear.com/media/1629257779776324027_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:51,,8,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22637078_289004588257564_5162268136778498048_n.jpg,http://picbear.com/media/1629257211104251179_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:50,,9,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22580544_181364092422220_3055704106791337984_n.jpg,http://picbear.com/media/1629256889275439586_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:49,,9,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22582502_436690086727844_8531716774159187968_n.jpg,http://picbear.com/media/1629255979497200888_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:47,,9,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22582395_157774451487931_7130186512167075840_n.jpg,http://picbear.com/media/1629255804963864357_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:47,,9,0
October 25 2017 - 16:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22582196_478286685889727_4934489348008574976_n.jpg,http://picbear.com/media/1629255501413777496_6032615967,October 25 2017 - 16:40,October 19 2017 - 22:46,,9,0
