user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23164541_144885059574661_6984036596219641856_n.jpg,http://picbear.com/media/1642279887027071120_2006375876,November 06 2017 - 20:38,November 06 2017 - 22:04,"<p><a href=""http://picbear.com/tag/elsol"" title=""posts tagged as elsol"">#elsol</a> <a href=""http://picbear.com/tag/sol"" title=""posts tagged as sol"">#sol</a> <a href=""http://picbear.com/tag/calor"" title=""posts tagged as calor"">#calor</a> <a href=""http://picbear.com/tag/veroño"" title=""posts tagged as veroño"">#veroño</a> <a href=""http://picbear.com/tag/nollueve"" title=""posts tagged as nollueve"">#nollueve</a> <a href=""http://picbear.com/tag/sequia"" title=""posts tagged as sequia"">#sequia</a></p>",5,0
November 06 2017 - 20:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.1080.1080/23279316_496680530709080_3802218170714947584_n.jpg,http://picbear.com/media/1642275551811242341_2006375876,November 06 2017 - 20:38,November 06 2017 - 21:55,"<p><a href=""http://picbear.com/tag/depaseo"" title=""posts tagged as depaseo"">#depaseo</a> <a href=""http://picbear.com/tag/otoño"" title=""posts tagged as otoño"">#otoño</a> <a href=""http://picbear.com/tag/coloresdeotoño"" title=""posts tagged as coloresdeotoño"">#coloresdeotoño</a> <a href=""http://picbear.com/tag/colors"" title=""posts tagged as colors"">#colors</a> <a href=""http://picbear.com/tag/colores"" title=""posts tagged as colores"">#colores</a> <a href=""http://picbear.com/tag/lalupe"" title=""posts tagged as lalupe"">#lalupe</a> <a href=""http://picbear.com/tag/paseo"" title=""posts tagged as paseo"">#paseo</a></p>",12,0
November 06 2017 - 20:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23421429_387729221630523_2289452224306216960_n.jpg,http://picbear.com/media/1642267411598433758_2006375876,November 06 2017 - 20:38,November 06 2017 - 21:39,"<p><a href=""http://picbear.com/tag/unpalo"" title=""posts tagged as unpalo"">#unpalo</a> <a href=""http://picbear.com/tag/pedazopalo"" title=""posts tagged as pedazopalo"">#pedazopalo</a> <a href=""http://picbear.com/tag/vayapalo"" title=""posts tagged as vayapalo"">#vayapalo</a> <a href=""http://picbear.com/tag/elpalodelupe"" title=""posts tagged as elpalodelupe"">#elpalodelupe</a> <a href=""http://picbear.com/tag/elpalohastalapuerta"" title=""posts tagged as elpalohastalapuerta"">#elpalohastalapuerta</a> <a href=""http://picbear.com/tag/lalupe"" title=""posts tagged as lalupe"">#lalupe</a> <a href=""http://picbear.com/tag/vespolinamiao"" title=""posts tagged as vespolinamiao"">#vespolinamiao</a> <a href=""http://picbear.com/tag/perretes"" title=""posts tagged as perretes"">#perretes</a> <a href=""http://picbear.com/tag/perrunos"" title=""posts tagged as perrunos"">#perrunos</a> <a href=""http://picbear.com/tag/muerodeamor"" title=""posts tagged as muerodeamor"">#muerodeamor</a></p>",6,0
November 06 2017 - 20:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164379_292535897921277_5470044728705679360_n.jpg,http://picbear.com/media/1640027248898063544_2006375876,November 06 2017 - 20:38,November 03 2017 - 19:28,"<p><a href=""http://picbear.com/tag/lalupe"" title=""posts tagged as lalupe"">#lalupe</a> <a href=""http://picbear.com/tag/vespolinamiao"" title=""posts tagged as vespolinamiao"">#vespolinamiao</a> <a href=""http://picbear.com/tag/mejoramigo"" title=""posts tagged as mejoramigo"">#mejoramigo</a> <a href=""http://picbear.com/tag/pequeñaja"" title=""posts tagged as pequeñaja"">#pequeñaja</a> <a href=""http://picbear.com/tag/ochokilosdeamor"" title=""posts tagged as ochokilosdeamor"">#ochokilosdeamor</a> <a href=""http://picbear.com/tag/perretes"" title=""posts tagged as perretes"">#perretes</a> <a href=""http://picbear.com/tag/perrunos"" title=""posts tagged as perrunos"">#perrunos</a> <a href=""http://picbear.com/tag/unpalo"" title=""posts tagged as unpalo"">#unpalo</a> <a href=""http://picbear.com/tag/elpalodelupe"" title=""posts tagged as elpalodelupe"">#elpalodelupe</a></p>",14,1
November 06 2017 - 20:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22858376_147734205843215_5187507099776581632_n.jpg,http://picbear.com/media/1637356721238325536_2006375876,November 06 2017 - 20:38,October 31 2017 - 03:02,"<p><a href=""http://picbear.com/tag/lañupe"" title=""posts tagged as lañupe"">#lañupe</a> <a href=""http://picbear.com/tag/vespolinamiao"" title=""posts tagged as vespolinamiao"">#vespolinamiao</a> <a href=""http://picbear.com/tag/perrunos"" title=""posts tagged as perrunos"">#perrunos</a> <a href=""http://picbear.com/tag/perretes"" title=""posts tagged as perretes"">#perretes</a> <a href=""http://picbear.com/tag/mejoramigo"" title=""posts tagged as mejoramigo"">#mejoramigo</a> <a href=""http://picbear.com/tag/muerodeamor"" title=""posts tagged as muerodeamor"">#muerodeamor</a> <a href=""http://picbear.com/tag/vivocomodios"" title=""posts tagged as vivocomodios"">#vivocomodios</a> <a href=""http://picbear.com/tag/lamore"" title=""posts tagged as lamore"">#lamore</a></p>",16,0
November 06 2017 - 20:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c141.0.567.567/22858119_1016293968512462_8500386907585249280_n.jpg,http://picbear.com/media/1637353916951770091_2006375876,November 06 2017 - 20:38,October 31 2017 - 02:56,"<p><a href=""http://picbear.com/tag/lalupe"" title=""posts tagged as lalupe"">#lalupe</a> <a href=""http://picbear.com/tag/vespolinamiao"" title=""posts tagged as vespolinamiao"">#vespolinamiao</a> <a href=""http://picbear.com/tag/perretes"" title=""posts tagged as perretes"">#perretes</a> <a href=""http://picbear.com/tag/perrunos"" title=""posts tagged as perrunos"">#perrunos</a> <a href=""http://picbear.com/tag/muerodeamor"" title=""posts tagged as muerodeamor"">#muerodeamor</a> <a href=""http://picbear.com/tag/michica"" title=""posts tagged as michica"">#michica</a></p>",15,1
November 06 2017 - 20:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22861153_162895157631783_6850205831888109568_n.jpg,http://picbear.com/media/1636301877086014774_2006375876,November 06 2017 - 20:39,October 29 2017 - 16:06,"<p><a href=""http://picbear.com/tag/palencia"" title=""posts tagged as palencia"">#palencia</a> <a href=""http://picbear.com/tag/luna"" title=""posts tagged as luna"">#luna</a> <a href=""http://picbear.com/tag/reflejos"" title=""posts tagged as reflejos"">#reflejos</a></p>",12,0
November 06 2017 - 20:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.108.1080.1080/22860908_1872642763065475_5471903590551388160_n.jpg,http://picbear.com/media/1636300598435804851_2006375876,November 06 2017 - 20:39,October 29 2017 - 16:04,"<p><a href=""http://picbear.com/tag/palencia"" title=""posts tagged as palencia"">#palencia</a> <a href=""http://picbear.com/tag/sabadonoche"" title=""posts tagged as sabadonoche"">#sabadonoche</a> <a href=""http://picbear.com/tag/edificios"" title=""posts tagged as edificios"">#edificios</a></p>",12,0
November 06 2017 - 20:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c45.0.497.497/22802570_491955977841301_8038430348465405952_n.jpg,http://picbear.com/media/1636299464942016711_2006375876,November 06 2017 - 20:39,October 29 2017 - 16:01,,11,0
November 06 2017 - 20:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793679_171762906737624_7739116199321010176_n.jpg,http://picbear.com/media/1634385811527411067_2006375876,November 06 2017 - 20:39,October 27 2017 - 00:39,,11,0
