user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.20.1024.1024/23164453_1463951436976099_1401414486853681152_n.jpg,http://picbear.com/media/1641905350528886777_3094413636,November 06 2017 - 16:56,November 06 2017 - 09:39,"<p><a href=""http://picbear.com/tag/justinbieber"" title=""posts tagged as justinbieber"">#justinbieber</a></p>",6,0
November 06 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22858105_153831462024420_4304887205869912064_n.jpg,http://picbear.com/media/1637155149171867725_3094413636,November 06 2017 - 16:56,October 30 2017 - 20:22,"<p><a href=""http://picbear.com/tag/justinbieber"" title=""posts tagged as justinbieber"">#justinbieber</a> <a href=""http://picbear.com/tag/purposetourmerch"" title=""posts tagged as purposetourmerch"">#purposetourmerch</a> <a href=""http://picbear.com/tag/purposetour"" title=""posts tagged as purposetour"">#purposetour</a> <a href=""http://picbear.com/tag/company"" title=""posts tagged as company"">#company</a> <a href=""http://picbear.com/tag/bieber"" title=""posts tagged as bieber"">#bieber</a> <a href=""http://picbear.com/tag/6"" title=""posts tagged as 6"">#6</a> <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/c4c"" title=""posts tagged as c4c"">#c4c</a> <a href=""http://picbear.com/tag/f4f"" title=""posts tagged as f4f"">#f4f</a> <a href=""http://picbear.com/tag/monday"" title=""posts tagged as monday"">#monday</a> <a href=""http://picbear.com/tag/night"" title=""posts tagged as night"">#night</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instcool"" title=""posts tagged as instcool"">#instcool</a> <a href=""http://picbear.com/tag/instaart"" title=""posts tagged as instaart"">#instaart</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a></p>",19,0
November 06 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802606_137346933583113_7221588952438800384_n.jpg,http://picbear.com/media/1634688863296589288_3094413636,November 06 2017 - 16:56,October 27 2017 - 10:41,<p>Hum to aise he ravenge kisi pa badle jaande ho badal liyo</p>,21,0
November 06 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802088_206383779902185_673160588058165248_n.jpg,http://picbear.com/media/1633353909757518621_3094413636,November 06 2017 - 16:56,October 25 2017 - 14:29,"<p><a href=""http://picbear.com/tag/justinbieber"" title=""posts tagged as justinbieber"">#justinbieber</a> <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/c4c"" title=""posts tagged as c4c"">#c4c</a> <a href=""http://picbear.com/tag/f4f"" title=""posts tagged as f4f"">#f4f</a> <a href=""http://picbear.com/tag/fff"" title=""posts tagged as fff"">#fff</a> <a href=""http://picbear.com/tag/company"" title=""posts tagged as company"">#company</a> <a href=""http://picbear.com/tag/song"" title=""posts tagged as song"">#song</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/justinbieber"" title=""justinbieber instagram profile"">@justinbieber</a> <a href=""http://picbear.com/justinbieber_iiv"" title=""justinbieber_iiv instagram profile"">@justinbieber_iiv</a></p>",20,0
November 06 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22639573_136232060462855_7106789437303947264_n.jpg,http://picbear.com/media/1632641038702552549_3094413636,November 06 2017 - 16:56,October 24 2017 - 14:53,<p>Center mein te aan lag re</p>,28,0
November 06 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22638971_1963714607174047_1640966154644094976_n.jpg,http://picbear.com/media/1631035131933618696_3094413636,November 06 2017 - 16:56,October 22 2017 - 09:42,"<p><a href=""http://picbear.com/tag/justinbieber"" title=""posts tagged as justinbieber"">#justinbieber</a> <a href=""http://picbear.com/tag/cap"" title=""posts tagged as cap"">#cap</a> <a href=""http://picbear.com/tag/white"" title=""posts tagged as white"">#white</a> <a href=""http://picbear.com/tag/life"" title=""posts tagged as life"">#life</a> <a href=""http://picbear.com/tag/is"" title=""posts tagged as is"">#is</a> <a href=""http://picbear.com/tag/a"" title=""posts tagged as a"">#a</a> <a href=""http://picbear.com/tag/worth"" title=""posts tagged as worth"">#worth</a> <a href=""http://picbear.com/tag/of"" title=""posts tagged as of"">#of</a> <a href=""http://picbear.com/tag/living"" title=""posts tagged as living"">#living</a> <a href=""http://picbear.com/tag/so"" title=""posts tagged as so"">#so</a> <a href=""http://picbear.com/tag/live"" title=""posts tagged as live"">#live</a> <a href=""http://picbear.com/tag/another"" title=""posts tagged as another"">#another</a> <a href=""http://picbear.com/tag/day"" title=""posts tagged as day"">#day</a> <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/c4c"" title=""posts tagged as c4c"">#c4c</a> <a href=""http://picbear.com/tag/s4s"" title=""posts tagged as s4s"">#s4s</a> <a href=""http://picbear.com/tag/f4f"" title=""posts tagged as f4f"">#f4f</a> <a href=""http://picbear.com/tag/goodafternoon"" title=""posts tagged as goodafternoon"">#goodafternoon</a> <a href=""http://picbear.com/tag/hair"" title=""posts tagged as hair"">#hair</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/swag"" title=""posts tagged as swag"">#swag</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instacomment"" title=""posts tagged as instacomment"">#instacomment</a> <a href=""http://picbear.com/tag/instalove"" title=""posts tagged as instalove"">#instalove</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/instame"" title=""posts tagged as instame"">#instame</a> <a href=""http://picbear.com/tag/instalove"" title=""posts tagged as instalove"">#instalove</a> follow <a href=""http://picbear.com/vikrant09499"" title=""vikrant09499 instagram profile"">@vikrant09499</a> and <a href=""http://picbear.com/justinbieber_iiv"" title=""justinbieber_iiv instagram profile"">@justinbieber_iiv</a></p>",23,1
November 06 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22582154_155349921729984_3646520937605496832_n.jpg,http://picbear.com/media/1628896129160049917_3094413636,November 06 2017 - 16:57,October 19 2017 - 10:52,"<p><a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/diwali"" title=""posts tagged as diwali"">#diwali</a> <a href=""http://picbear.com/tag/justinbieber"" title=""posts tagged as justinbieber"">#justinbieber</a> <a href=""http://picbear.com/tag/vikrant"" title=""posts tagged as vikrant"">#vikrant</a> <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/c4c"" title=""posts tagged as c4c"">#c4c</a> <a href=""http://picbear.com/tag/f4f"" title=""posts tagged as f4f"">#f4f</a> <a href=""http://picbear.com/tag/fff"" title=""posts tagged as fff"">#fff</a></p>",106,3
November 06 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.114.912.912/22580143_147043322702749_2432420187962605568_n.jpg,http://picbear.com/media/1628390201499104753_3094413636,November 06 2017 - 16:57,October 18 2017 - 18:07,"<p><a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/diwali"" title=""posts tagged as diwali"">#diwali</a> <a href=""http://picbear.com/tag/from"" title=""posts tagged as from"">#from</a> <a href=""http://picbear.com/tag/justinbieber"" title=""posts tagged as justinbieber"">#justinbieber</a> <a href=""http://picbear.com/tag/and"" title=""posts tagged as and"">#and</a> <a href=""http://picbear.com/tag/from"" title=""posts tagged as from"">#from</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> ,  <a href=""http://picbear.com/tag/my"" title=""posts tagged as my"">#my</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/and"" title=""posts tagged as and"">#and</a> <a href=""http://picbear.com/tag/beliebers"" title=""posts tagged as beliebers"">#beliebers</a></p>",29,0
November 06 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580076_352716171835922_8730105926356303872_n.jpg,http://picbear.com/media/1626679767104692774_3094413636,November 06 2017 - 16:57,October 16 2017 - 09:29,"<p><a href=""http://picbear.com/tag/justinbieber"" title=""posts tagged as justinbieber"">#justinbieber</a> <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/c4c"" title=""posts tagged as c4c"">#c4c</a> <a href=""http://picbear.com/tag/f4f"" title=""posts tagged as f4f"">#f4f</a> <a href=""http://picbear.com/tag/fff"" title=""posts tagged as fff"">#fff</a> <a href=""http://picbear.com/tag/there"" title=""posts tagged as there"">#there</a> <a href=""http://picbear.com/tag/is"" title=""posts tagged as is"">#is</a> <a href=""http://picbear.com/tag/no"" title=""posts tagged as no"">#no</a> <a href=""http://picbear.com/tag/success"" title=""posts tagged as success"">#success</a> <a href=""http://picbear.com/tag/without"" title=""posts tagged as without"">#without</a> <a href=""http://picbear.com/tag/struggle"" title=""posts tagged as struggle"">#struggle</a></p>",37,0
November 06 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22352376_120661745276812_4213525022326652928_n.jpg,http://picbear.com/media/1624794223026154115_3094413636,November 06 2017 - 16:57,October 13 2017 - 19:03,"<p><a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/c4c"" title=""posts tagged as c4c"">#c4c</a> <a href=""http://picbear.com/tag/f4f"" title=""posts tagged as f4f"">#f4f</a> <a href=""http://picbear.com/tag/fff"" title=""posts tagged as fff"">#fff</a> <a href=""http://picbear.com/tag/like"" title=""posts tagged as like"">#like</a> <a href=""http://picbear.com/tag/comment"" title=""posts tagged as comment"">#comment</a> <a href=""http://picbear.com/tag/share"" title=""posts tagged as share"">#share</a> <a href=""http://picbear.com/tag/justinbieber"" title=""posts tagged as justinbieber"">#justinbieber</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/forever"" title=""posts tagged as forever"">#forever</a></p>",34,3
