user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 17:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22861077_754927544677727_5414915765444804608_n.jpg,http://picbear.com/media/1638846750462425651_214454694,November 06 2017 - 17:30,November 02 2017 - 04:22,"<p>I still remember playing the initial few notes of ‘One’ - B F# B D - the first riff I ever played on the guitar. Then I turned on distortion to attempt the heavy bit of ‘Fade to Black’ 😮 - hooked ever since. Amazing performance tonight <a href=""http://picbear.com/tag/metinantwerp"" title=""posts tagged as metinantwerp"">#metinantwerp</a> <a href=""http://picbear.com/tag/oldschoolmetal"" title=""posts tagged as oldschoolmetal"">#oldschoolmetal</a> <a href=""http://picbear.com/tag/metallica"" title=""posts tagged as metallica"">#metallica</a> <a href=""http://picbear.com/tag/whereitstarted"" title=""posts tagged as whereitstarted"">#whereitstarted</a></p>",63,2
November 06 2017 - 17:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860315_1785048841796040_3899821229502103552_n.jpg,http://picbear.com/media/1637275706077413312_214454694,November 06 2017 - 17:30,October 31 2017 - 00:21,"<p>Pas mal pour commencer la semaine <a href=""http://picbear.com/tag/paris"" title=""posts tagged as paris"">#paris</a> toujours magnifique  <a href=""http://picbear.com/tag/seine"" title=""posts tagged as seine"">#seine</a> <a href=""http://picbear.com/tag/cafeaulait"" title=""posts tagged as cafeaulait"">#cafeaulait</a> <a href=""http://picbear.com/tag/tcb"" title=""posts tagged as tcb"">#tcb</a></p>",135,0
November 06 2017 - 17:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794401_1441883315867428_3317633649410572288_n.jpg,http://picbear.com/media/1635261742602665541_214454694,November 06 2017 - 17:30,October 28 2017 - 05:40,"<p>The team 👊🏻 <a href=""http://picbear.com/tag/sports"" title=""posts tagged as sports"">#sports</a> <a href=""http://picbear.com/tag/tech"" title=""posts tagged as tech"">#tech</a> <a href=""http://picbear.com/tag/ai"" title=""posts tagged as ai"">#ai</a> <a href=""http://picbear.com/tag/coding"" title=""posts tagged as coding"">#coding</a> <a href=""http://picbear.com/tag/elevateyourarena"" title=""posts tagged as elevateyourarena"">#elevateyourarena</a></p>",141,2
November 06 2017 - 17:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639082_292952251111201_8421062452220788736_n.jpg,http://picbear.com/media/1629334310867617379_214454694,November 06 2017 - 17:30,October 20 2017 - 01:23,"<p>Can’t get much better than this after a long and intense day <a href=""http://picbear.com/tag/errejota"" title=""posts tagged as errejota"">#errejota</a> <a href=""http://picbear.com/tag/pordosol"" title=""posts tagged as pordosol"">#pordosol</a> <a href=""http://picbear.com/tag/retafinal"" title=""posts tagged as retafinal"">#retafinal</a></p>",239,5
November 06 2017 - 17:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22580730_123742688299177_1363341388481036288_n.jpg,http://picbear.com/media/1628033831697035294_214454694,November 06 2017 - 17:30,October 18 2017 - 06:19,"<p>Fantastic entrepreneurial event during these last two days <a href=""http://picbear.com/blastubr"" title=""blastubr instagram profile"">@blastubr</a> in <a href=""http://picbear.com/tag/saopaulo"" title=""posts tagged as saopaulo"">#saopaulo</a>  Loads of interesting topics, innovative technologies and great young companies all around Absolutely wonderful to have been a part of it <a href=""http://picbear.com/tag/blastubr"" title=""posts tagged as blastubr"">#blastubr</a> <a href=""http://picbear.com/tag/entrepreneurship"" title=""posts tagged as entrepreneurship"">#entrepreneurship</a> <a href=""http://picbear.com/tag/tech"" title=""posts tagged as tech"">#tech</a> <a href=""http://picbear.com/tag/brasil"" title=""posts tagged as brasil"">#brasil</a></p>",142,10
November 06 2017 - 17:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22637276_568526053479583_3583057835119869952_n.jpg,http://picbear.com/media/1627615361666718242_214454694,November 06 2017 - 17:30,October 17 2017 - 16:28,"<p>Excited to be presenting Keemotion today at the BlastU entrepreneurial tech festival and talking about the future of sports production in conjuction with artificial intelligence. Check it out at www.blastu.com.br  Contente de ser um dos palestrantes hoje na BlastU, falando sobre a tecnologia da Keemotion e discutindo sobre o futuro da filmagem e produção de eventos esportivos com a integração de inteligencia artificial. BlastU é o festival de empreendedorismo e tecnologia que acontecerá nos dias 16 e 17 de outubro de 2017 (segunda e terça- feira) no Pavilhão da Bienal em São Paulo.  <a href=""http://picbear.com/tag/blastubr"" title=""posts tagged as blastubr"">#blastubr</a> <a href=""http://picbear.com/tag/elevateyourarena"" title=""posts tagged as elevateyourarena"">#elevateyourarena</a> <a href=""http://picbear.com/tag/sports"" title=""posts tagged as sports"">#sports</a> <a href=""http://picbear.com/tag/ai"" title=""posts tagged as ai"">#ai</a> <a href=""http://picbear.com/tag/tech"" title=""posts tagged as tech"">#tech</a></p>",80,4
November 06 2017 - 17:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580523_193456241197663_3719503727728525312_n.jpg,http://picbear.com/media/1625978598116451762_214454694,November 06 2017 - 17:30,October 15 2017 - 10:16,"<p>Live Jazz night in a beautiful NYC classic setting <a href=""http://picbear.com/tag/nyc"" title=""posts tagged as nyc"">#nyc</a> <a href=""http://picbear.com/tag/jazz"" title=""posts tagged as jazz"">#jazz</a> <a href=""http://picbear.com/tag/ues"" title=""posts tagged as ues"">#ues</a></p>",184,2
November 06 2017 - 17:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22500292_898401570336541_8791431423618711552_n.jpg,http://picbear.com/media/1625580999093805999_214454694,November 06 2017 - 17:30,October 14 2017 - 21:06,"<p>Saturday early afternoon Perry and West 4th <a href=""http://picbear.com/tag/hungry"" title=""posts tagged as hungry"">#hungry</a> <a href=""http://picbear.com/tag/brunchtime"" title=""posts tagged as brunchtime"">#brunchtime</a></p>",127,3
November 06 2017 - 17:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/21909915_1666333076745057_1519787101246193664_n.jpg,http://picbear.com/media/1609806421172368927_214454694,November 06 2017 - 17:30,September 23 2017 - 02:45,"<p>It doesn't stop! 🎥🏀👊🏻 <a href=""http://picbear.com/tag/pacers"" title=""posts tagged as pacers"">#pacers</a> <a href=""http://picbear.com/tag/nba"" title=""posts tagged as nba"">#nba</a> <a href=""http://picbear.com/tag/basketball"" title=""posts tagged as basketball"">#basketball</a> <a href=""http://picbear.com/tag/elevateyourarena"" title=""posts tagged as elevateyourarena"">#elevateyourarena</a></p>",199,4
November 06 2017 - 17:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/21879527_117249635660357_9128405087259983872_n.jpg,http://picbear.com/media/1608467791468276342_214454694,November 06 2017 - 17:30,September 21 2017 - 06:25,"<p>🎥🏀👊🏻 <a href=""http://picbear.com/tag/lakers"" title=""posts tagged as lakers"">#lakers</a> <a href=""http://picbear.com/tag/basketball"" title=""posts tagged as basketball"">#basketball</a> <a href=""http://picbear.com/tag/elevateyourarena"" title=""posts tagged as elevateyourarena"">#elevateyourarena</a></p>",189,7
