user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.15.669.669/23417146_1748966972078439_7520231759540125696_n.jpg,http://picbear.com/media/1642315471059183045_6122088094,November 06 2017 - 20:51,November 06 2017 - 23:14,"<p>Bella ❤️🍑🔥💦 <a href=""http://picbear.com/lamussaa__"" title=""lamussaa__ instagram profile"">@lamussaa__</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a></p>",40,1
November 06 2017 - 20:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161720_187250511842000_3579412640541179904_n.jpg,http://picbear.com/media/1642287221280964645_6122088094,November 06 2017 - 20:51,November 06 2017 - 22:18,"<p><a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/realkathyconk1"" title=""realkathyconk1 instagram profile"">@realkathyconk1</a> (@get_repost) ・・・ Get my snapchat premium  now via paypal !😈✨</p>",64,1
November 06 2017 - 20:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.37.1080.1080/23164852_160226441383277_7307819590661177344_n.jpg,http://picbear.com/media/1642216805862685869_6122088094,November 06 2017 - 20:51,November 06 2017 - 19:58,"<p>Hola mis amores 😍😘❤️🍑💦🔥 <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a></p>",125,7
November 06 2017 - 20:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164224_1484224158358477_3720126364842459136_n.jpg,http://picbear.com/media/1642158510565125655_6122088094,November 06 2017 - 20:51,November 06 2017 - 18:02,"<p><a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/realkathyconk1"" title=""realkathyconk1 instagram profile"">@realkathyconk1</a> (@get_repost) ・・・ Compañame a estar sola 😩😈</p>",117,6
November 06 2017 - 20:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/23279734_142649996369619_8968543741623140352_n.jpg,http://picbear.com/media/1642155928450895688_6122088094,November 06 2017 - 20:51,November 06 2017 - 17:57,"<p><a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/lareyna91"" title=""lareyna91 instagram profile"">@lareyna91</a> (@get_repost) ・・・ Sigan a <a href=""http://picbear.com/lareyna91"" title=""lareyna91 instagram profile"">@lareyna91</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a></p>",115,3
November 06 2017 - 20:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279442_1556523167727069_6989666512365682688_n.jpg,http://picbear.com/media/1641807829194861383_6122088094,November 06 2017 - 20:51,November 06 2017 - 06:26,"<p><a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/iamcardib"" title=""iamcardib instagram profile"">@iamcardib</a> (@get_repost) ・・・ BLOODY MOVES.... Fit <a href=""http://picbear.com/crocheted_maniwear"" title=""crocheted_maniwear instagram profile"">@crocheted_maniwear</a></p>",92,1
November 06 2017 - 20:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23348003_188638728370777_6331800478942232576_n.jpg,http://picbear.com/media/1641621707810547594_6122088094,November 06 2017 - 20:51,November 06 2017 - 00:16,"<p><a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/belasbrasileiraz"" title=""belasbrasileiraz instagram profile"">@belasbrasileiraz</a> (@get_repost) <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a></p>",160,1
November 06 2017 - 20:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.91.788.788/23347621_283122615426097_3596691710584815616_n.jpg,http://picbear.com/media/1641351826863155384_6122088094,November 06 2017 - 20:51,November 05 2017 - 15:20,"<p>Me siento solita 💦🔥 <a href=""http://picbear.com/imgeisha"" title=""imgeisha instagram profile"">@imgeisha</a></p>",137,1
November 06 2017 - 20:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.5.620.620/23348169_545897929084975_596034065027563520_n.jpg,http://picbear.com/media/1641349948242707821_6122088094,November 06 2017 - 20:51,November 05 2017 - 15:16,"<p><a href=""http://picbear.com/tag/goodmorning"" title=""posts tagged as goodmorning"">#goodmorning</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/yaquilcia21"" title=""yaquilcia21 instagram profile"">@yaquilcia21</a></p>",171,6
November 06 2017 - 20:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164405_2055087461405238_1677124513646510080_n.jpg,http://picbear.com/media/1641083323476198065_6122088094,November 06 2017 - 20:51,November 05 2017 - 06:26,"<p><a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/realyulissa"" title=""realyulissa instagram profile"">@realyulissa</a> (@get_repost) ・・・ Mi amiga @yanett.333 dice que quiere transmitir en vivo y amiguitos nuevos 😈</p>",222,4
