user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22638962_1679844652046848_7047393359609987072_n.jpg,http://picbear.com/media/1629471478600565125_6179121878,October 25 2017 - 14:46,October 20 2017 - 05:55,,1,0
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580489_130119237743063_3775245780391034880_n.jpg,http://picbear.com/media/1629471383171659587_6179121878,October 25 2017 - 14:46,October 20 2017 - 05:55,,1,0
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639319_888048524667089_1413762895786803200_n.jpg,http://picbear.com/media/1629471074554984726_6179121878,October 25 2017 - 14:46,October 20 2017 - 05:55,,1,0
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580810_124011818282360_1905400157118136320_n.jpg,http://picbear.com/media/1629470958490108516_6179121878,October 25 2017 - 14:46,October 20 2017 - 05:54,,1,0
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22638668_387135981704887_3512441649286348800_n.jpg,http://picbear.com/media/1629071843679553163_6179121878,October 25 2017 - 14:46,October 19 2017 - 16:41,,2,0
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637555_539885703023852_269350296918949888_n.jpg,http://picbear.com/media/1629069216585669082_6179121878,October 25 2017 - 14:46,October 19 2017 - 16:36,,1,0
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22638672_1310793972381485_857971682185314304_n.jpg,http://picbear.com/media/1629068899739526561_6179121878,October 25 2017 - 14:46,October 19 2017 - 16:36,,1,1
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582515_156549034939485_6552490308225990656_n.jpg,http://picbear.com/media/1629068784975001094_6179121878,October 25 2017 - 14:46,October 19 2017 - 16:35,,1,0
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582635_1493754800713822_4883831084925583360_n.jpg,http://picbear.com/media/1629068351107945242_6179121878,October 25 2017 - 14:46,October 19 2017 - 16:35,,1,0
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582728_491831711182826_6602366380454969344_n.jpg,http://picbear.com/media/1629067870432389563_6179121878,October 25 2017 - 14:46,October 19 2017 - 16:34,,1,0
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582462_1715680755171156_2815602696071938048_n.jpg,http://picbear.com/media/1627626595705459253_6179121878,October 25 2017 - 14:46,October 17 2017 - 16:50,,1,0
October 25 2017 - 14:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22427473_152171645383497_5563221084959932416_n.jpg,http://picbear.com/media/1626219957165617071_6179121878,October 25 2017 - 14:46,October 15 2017 - 18:15,,2,0
