user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 11:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.59.480.480/23161621_114321396005537_2117201246640144384_n.jpg,http://picbear.com/media/1641319526232564411_5914023006,November 08 2017 - 11:57,November 05 2017 - 14:15,,341,0
November 08 2017 - 11:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.60.480.480/23101036_362287940896929_5410041978291224576_n.jpg,http://picbear.com/media/1638391977160476135_5914023006,November 08 2017 - 11:57,November 01 2017 - 13:19,,361,0
November 08 2017 - 11:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.60.480.480/22802010_1570965476306347_1998202082418491392_n.jpg,http://picbear.com/media/1636127276875823246_5914023006,November 08 2017 - 11:57,October 29 2017 - 10:19,"<p>📌 📍 📌 📍 -Hi, Please Like My Photos and Follow me :)😉 📌 📍 <a href=""http://picbear.com/tag/likeme"" title=""posts tagged as likeme"">#likeme</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/likemyphotos"" title=""posts tagged as likemyphotos"">#likemyphotos</a> <a href=""http://picbear.com/tag/likeandfollow"" title=""posts tagged as likeandfollow"">#likeandfollow</a> <a href=""http://picbear.com/tag/likemypicturespls"" title=""posts tagged as likemypicturespls"">#likemypicturespls</a> 📌 -Please, Tag your 3 friends and write your comment 😉 📍📌 👑 Follow me 👑☟☟ <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a></p>",628,7
November 08 2017 - 11:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22709054_1755479171128788_9186016094941347840_n.jpg,http://picbear.com/media/1632675835687395454_5914023006,November 08 2017 - 11:57,October 24 2017 - 16:02,"<p>📌 📍 📌 📍 -Hi, Please Like My Photos and Follow me :)😉 📌 📍 <a href=""http://picbear.com/tag/likeme"" title=""posts tagged as likeme"">#likeme</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/likemyphotos"" title=""posts tagged as likemyphotos"">#likemyphotos</a> <a href=""http://picbear.com/tag/likeandfollow"" title=""posts tagged as likeandfollow"">#likeandfollow</a> <a href=""http://picbear.com/tag/likemypicturespls"" title=""posts tagged as likemypicturespls"">#likemypicturespls</a> 📌 -Please, Tag your 3 friends and write your comment 😉 📍📌 👑 Follow me 👑☟☟ <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a></p>",534,15
November 08 2017 - 11:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.60.480.480/22500272_160286064556537_1057093255155417088_n.jpg,http://picbear.com/media/1625575741951389125_5914023006,November 08 2017 - 11:57,October 14 2017 - 20:55,"<p>📌 📍 📌 📍 -Hi, Please Like My Photos and Follow me :)😉 📌 📍 <a href=""http://picbear.com/tag/likeme"" title=""posts tagged as likeme"">#likeme</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/likemyphotos"" title=""posts tagged as likemyphotos"">#likemyphotos</a> <a href=""http://picbear.com/tag/likeandfollow"" title=""posts tagged as likeandfollow"">#likeandfollow</a> <a href=""http://picbear.com/tag/likemypicturespls"" title=""posts tagged as likemypicturespls"">#likemypicturespls</a> 📌 -Please, Tag your 3 friends and write your comment 😉 📍📌 👑 Follow me 👑☟☟ <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a></p>",421,19
November 08 2017 - 11:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.60.480.480/22352421_287982221703345_8497736908468649984_n.jpg,http://picbear.com/media/1623927728875001058_5914023006,November 08 2017 - 11:57,October 12 2017 - 14:21,<p>☠Düşüncələr...☠</p>,416,0
November 08 2017 - 11:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.60.480.480/22430138_501058696928423_1927823511355654144_n.jpg,http://picbear.com/media/1623910848739193001_5914023006,November 08 2017 - 11:57,October 12 2017 - 13:48,"<p>📌 📍 📌 📍 -Hi, Please Like My Photos and Follow me :)😉 📌 📍 <a href=""http://picbear.com/tag/likeme"" title=""posts tagged as likeme"">#likeme</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/likemyphotos"" title=""posts tagged as likemyphotos"">#likemyphotos</a> <a href=""http://picbear.com/tag/likeandfollow"" title=""posts tagged as likeandfollow"">#likeandfollow</a> <a href=""http://picbear.com/tag/likemypicturespls"" title=""posts tagged as likemypicturespls"">#likemypicturespls</a> 📌 -Please, Tag your 3 friends 😉 📍📌 👑 Follow me 👑☟☟ <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a></p>",386,0
November 08 2017 - 11:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.60.480.480/22351837_1985918491643560_7890900107338448896_n.jpg,http://picbear.com/media/1623910415182384597_5914023006,November 08 2017 - 11:57,October 12 2017 - 13:47,"<p>🕀Həyatda İnstagram Kimidi, Sevgimə qarşılıq verməyən UNF <a href=""http://picbear.com/tag/1"" title=""posts tagged as 1"">#1</a>้3!🕀 📌 📍 📌 📍 ⬆This is my Photo :)☜ Hi, Please Like in my photos and follow me :) 📿 Please, Tag your 3 friends and write your comment 😉 💢 <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/likeme"" title=""posts tagged as likeme"">#likeme</a> <a href=""http://picbear.com/tag/likemyphotos"" title=""posts tagged as likemyphotos"">#likemyphotos</a> <a href=""http://picbear.com/tag/followandlikemyphotos"" title=""posts tagged as followandlikemyphotos"">#followandlikemyphotos</a> <a href=""http://picbear.com/tag/likemephotospls"" title=""posts tagged as likemephotospls"">#likemephotospls</a> 😉 📌 👑Follow me: 👑 <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a></p>",253,21
November 08 2017 - 11:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.60.480.480/22280703_1757327401228090_6415478424827068416_n.jpg,http://picbear.com/media/1621798824274113993_5914023006,November 08 2017 - 11:57,October 09 2017 - 15:51,"<p>- Ən doğrusunu Kəpənəklər edir... ""Həýāt qıśā, Đəýməž qıžā. <a href=""http://picbear.com/tag/1"" title=""posts tagged as 1"">#1</a>̤̈2! 📌 📍 📌 📍 -Hi, Please Like My Photos and Follow me :)😉 📌 📍 <a href=""http://picbear.com/tag/likeme"" title=""posts tagged as likeme"">#likeme</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/likemyphotos"" title=""posts tagged as likemyphotos"">#likemyphotos</a> <a href=""http://picbear.com/tag/likeandfollow"" title=""posts tagged as likeandfollow"">#likeandfollow</a> <a href=""http://picbear.com/tag/likemypicturespls"" title=""posts tagged as likemypicturespls"">#likemypicturespls</a> 📌 -Please, Tag your 3 friends and write your comment 😉 📍📌 👑 Follow me 👑☟☟ <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a></p>",336,27
November 08 2017 - 11:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.60.480.480/22221465_1733963903574481_5494652773892882432_n.jpg,http://picbear.com/media/1619538536581725957_5914023006,November 08 2017 - 11:57,October 06 2017 - 13:01,"<p>🕀 Hamı ćõõł õłūb ģēđīb <a href=""http://picbear.com/tag/0"" title=""posts tagged as 0"">#0</a> 🕉 📌 📍 📌 📍 Hi, Please Like in my photos and follow me 😉 :) ☟ <a href=""http://picbear.com/tag/likeme"" title=""posts tagged as likeme"">#likeme</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/likemeandfollow"" title=""posts tagged as likemeandfollow"">#likemeandfollow</a> <a href=""http://picbear.com/tag/likeandfollowmepls"" title=""posts tagged as likeandfollowmepls"">#likeandfollowmepls</a> <a href=""http://picbear.com/tag/like"" title=""posts tagged as like"">#like</a> 📌 👑 Follow me: 👑 <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> <a href=""http://picbear.com/abdullakhx"" title=""abdullakhx instagram profile"">@abdullakhx</a> @abdullakhx.</p>",139,0
