user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.94.750.750/23347497_145399476093129_6289474594147401728_n.jpg,http://picbear.com/media/1642888735174180740_5739207566,November 08 2017 - 12:19,November 07 2017 - 18:13,<p>☁☉🌝🌞</p>,37,3
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101698_187015565208997_3698838191936110592_n.jpg,http://picbear.com/media/1637880129693664048_5739207566,November 08 2017 - 12:19,October 31 2017 - 20:22,,118,12
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098648_1945885105676670_6135078031754002432_n.jpg,http://picbear.com/media/1637821412491068436_5739207566,November 08 2017 - 12:19,October 31 2017 - 18:25,<p>хорошый денёк был</p>,55,4
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22861020_184343365474422_5222160639677431808_n.jpg,http://picbear.com/media/1637697328293659178_5739207566,November 08 2017 - 12:19,October 31 2017 - 14:19,"<p>саня приезжай, смотри как понастроили</p>",32,4
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.94.750.750/22794497_2395137930712105_3811856317845340160_n.jpg,http://picbear.com/media/1635603677790943842_5739207566,November 08 2017 - 12:19,October 28 2017 - 16:59,,76,20
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.94.750.750/22860409_545104655831467_5117706923369562112_n.jpg,http://picbear.com/media/1634822529414378750_5739207566,November 08 2017 - 12:19,October 27 2017 - 15:07,<p>🌞</p>,74,8
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.94.750.750/22793631_366382213801259_2946584496926883840_n.jpg,http://picbear.com/media/1633388424038575356_5739207566,November 08 2017 - 12:19,October 25 2017 - 15:38,<p>первая черно белая фото</p>,75,14
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.93.750.750/22639450_1967125120223147_7552498689193803776_n.jpg,http://picbear.com/media/1631247584008629902_5739207566,November 08 2017 - 12:19,October 22 2017 - 16:44,<p>🏡🏡🏡🏡🏡</p>,109,4
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.94.750.750/22637182_151888905549687_7414309091402579968_n.jpg,http://picbear.com/media/1628438295494993421_5739207566,November 08 2017 - 12:19,October 18 2017 - 19:43,,88,7
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500026_131868654131924_8531327718841647104_n.jpg,http://picbear.com/media/1626916197840607235_5739207566,November 08 2017 - 12:19,October 16 2017 - 17:19,<p>🌳☁🌳</p>,119,3
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22427129_530061224013355_5445684838138904576_n.jpg,http://picbear.com/media/1624730767753822568_5739207566,November 08 2017 - 12:19,October 13 2017 - 16:57,<p>и ешё разок🐸👶</p>,89,2
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22351610_1960814757522581_8970668187066564608_n.jpg,http://picbear.com/media/1624071903412843720_5739207566,November 08 2017 - 12:19,October 12 2017 - 19:07,<p>to return time🙈</p>,86,3
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344130_2106017926082376_1888658237159374848_n.jpg,http://picbear.com/media/1623210465085426339_5739207566,November 08 2017 - 12:19,October 11 2017 - 14:36,,76,5
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.94.750.750/22344124_518478561826405_6852386214985596928_n.jpg,http://picbear.com/media/1621227281326014609_5739207566,November 08 2017 - 12:19,October 08 2017 - 20:56,,74,3
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22221173_503762186646041_5331767255883579392_n.jpg,http://picbear.com/media/1620327937731430381_5739207566,November 08 2017 - 12:19,October 07 2017 - 15:09,,109,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.94.750.750/22221464_283866725443475_7293022118361432064_n.jpg,http://picbear.com/media/1620241770587403933_5739207566,November 08 2017 - 12:19,October 07 2017 - 12:18,<p>good mood to you all🕵😎</p>,51,2
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.93.750.750/22221089_245604092632051_7205537362573524992_n.jpg,http://picbear.com/media/1619636368992881086_5739207566,November 08 2017 - 12:19,October 06 2017 - 16:15,,50,6
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22220536_124171081667067_1345426955335368704_n.jpg,http://picbear.com/media/1619072245993291061_5739207566,November 08 2017 - 12:19,October 05 2017 - 21:34,,63,3
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.93.750.750/22157907_150335442233214_6992681158500679680_n.jpg,http://picbear.com/media/1618918601213780830_5739207566,November 08 2017 - 12:19,October 05 2017 - 16:29,<p>☕</p>,43,3
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20184777_1604393776278625_6857160638070784000_n.jpg,http://picbear.com/media/1617517067242438447_5739207566,November 08 2017 - 12:19,October 03 2017 - 18:04,,68,7
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.93.750.750/21984898_149315829005658_8002925966953283584_n.jpg,http://picbear.com/media/1614976501032039019_5739207566,November 08 2017 - 12:19,September 30 2017 - 05:57,,96,9
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21910991_1921368577890067_7690143092426407936_n.jpg,http://picbear.com/media/1610649943874180217_5739207566,November 08 2017 - 12:19,September 24 2017 - 06:40,<p>🌞</p>,137,11
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.93.750.750/21909883_1319709658151738_4897732146011045888_n.jpg,http://picbear.com/media/1609557318244976293_5739207566,November 08 2017 - 12:20,September 22 2017 - 18:30,,77,3
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.94.750.750/21909196_402690916795694_1051410450782093312_n.jpg,http://picbear.com/media/1609554185770802406_5739207566,November 08 2017 - 12:20,September 22 2017 - 18:23,,38,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.93.750.750/21820480_134316820522220_327544239036563456_n.jpg,http://picbear.com/media/1604143529643151922_5739207566,November 08 2017 - 12:20,September 15 2017 - 07:13,,70,5
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21690275_481573148876632_1136026262905552896_n.jpg,http://picbear.com/media/1603455518681054311_5739207566,November 08 2017 - 12:20,September 14 2017 - 08:26,<p>בוקר טוב!!!🌞</p>,68,1
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21480328_229194034276536_3882007826872139776_n.jpg,http://picbear.com/media/1602107821025690735_5739207566,November 08 2017 - 12:20,September 12 2017 - 11:49,<p>на шхуне открыли фалафель</p>,29,2
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21688603_168686510350919_7577516981067186176_n.jpg,http://picbear.com/media/1601959362285082936_5739207566,November 08 2017 - 12:20,September 12 2017 - 06:54,<p>בוקר</p>,26,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576469_1398620953587531_3017310032627761152_n.jpg,http://picbear.com/media/1601956516097595972_5739207566,November 08 2017 - 12:20,September 12 2017 - 06:48,,22,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576559_1959108191030418_2750799443530874880_n.jpg,http://picbear.com/media/1601955232187466773_5739207566,November 08 2017 - 12:20,September 12 2017 - 06:46,<p>🌞🌥</p>,28,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21433455_176520369559866_4488176034738339840_n.jpg,http://picbear.com/media/1598217361609757171_5739207566,November 08 2017 - 12:20,September 07 2017 - 02:59,<p>good night😃</p>,48,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21224921_169759633580560_8270760393819815936_n.jpg,http://picbear.com/media/1594395377025331605_5739207566,November 08 2017 - 12:20,September 01 2017 - 20:26,<p>нацерет</p>,47,5
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21149256_114363245939300_6400534373883445248_n.jpg,http://picbear.com/media/1594147523270705416_5739207566,November 08 2017 - 12:20,September 01 2017 - 12:13,<p>September 1</p>,31,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21149504_113885455958323_1495591248365355008_n.jpg,http://picbear.com/media/1593568884967318632_5739207566,November 08 2017 - 12:20,August 31 2017 - 17:03,,20,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21295172_147945412460182_8355024834668789760_n.jpg,http://picbear.com/media/1593547383052351695_5739207566,November 08 2017 - 12:20,August 31 2017 - 16:21,,15,3
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21107293_1110833109046923_3189515706978795520_n.jpg,http://picbear.com/media/1593063528881001873_5739207566,November 08 2017 - 12:20,August 31 2017 - 00:19,,13,2
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.93.750.750/21107726_1563862750354294_7191410364733456384_n.jpg,http://picbear.com/media/1591500825909748666_5739207566,November 08 2017 - 12:20,August 28 2017 - 20:35,,18,1
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.93.750.750/21147652_113478839361546_2423073561737428992_n.jpg,http://picbear.com/media/1590782404624489007_5739207566,November 08 2017 - 12:20,August 27 2017 - 20:47,,14,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21107458_1617415631613122_769428320038158336_n.jpg,http://picbear.com/media/1590018478882178324_5739207566,November 08 2017 - 12:20,August 26 2017 - 19:29,,20,1
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.132.1080.1080/21042346_332826997175117_237723321687343104_n.jpg,http://picbear.com/media/1589046582845992891_5739207566,November 08 2017 - 12:20,August 25 2017 - 11:18,<p>🙄</p>,15,1
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21041645_302687110197613_2713391395074211840_n.jpg,http://picbear.com/media/1589045760628225427_5739207566,November 08 2017 - 12:20,August 25 2017 - 11:17,<p>😎</p>,12,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.93.750.750/20987229_265648127261643_5353265182107762688_n.jpg,http://picbear.com/media/1589044676375504299_5739207566,November 08 2017 - 12:20,August 25 2017 - 11:15,<p>😎</p>,8,1
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21147543_586954474808255_1972233988592369664_n.jpg,http://picbear.com/media/1588999744642170865_5739207566,November 08 2017 - 12:20,August 25 2017 - 09:45,<p>בוקר טוב !!!🙊🙉🙈</p>,5,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20968947_117943795528848_8622604466895454208_n.jpg,http://picbear.com/media/1586128044195984405_5739207566,November 08 2017 - 12:20,August 21 2017 - 10:40,<p>😞</p>,36,4
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20969082_666542303545014_2424393714425135104_n.jpg,http://picbear.com/media/1584777881296825674_5739207566,November 08 2017 - 12:20,August 19 2017 - 13:57,<p>הבטחתי לאחיין לעשות יום כיף</p>,24,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20902797_1919622835029904_7523007794472026112_n.jpg,http://picbear.com/media/1584349851961003034_5739207566,November 08 2017 - 12:20,August 18 2017 - 23:47,<p>🐚</p>,9,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20902402_468362803556815_1962291452834742272_n.jpg,http://picbear.com/media/1583547343840296904_5739207566,November 08 2017 - 12:20,August 17 2017 - 21:12,<p>🐭</p>,7,1
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20837243_474230526287354_6894115739276410880_n.jpg,http://picbear.com/media/1582800925676049135_5739207566,November 08 2017 - 12:20,August 16 2017 - 20:29,<p>💪</p>,8,0
November 08 2017 - 12:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20687286_345782142501482_1285324656168927232_n.jpg,http://picbear.com/media/1579580694010956728_5739207566,November 08 2017 - 12:20,August 12 2017 - 09:51,<p>🌊🏊🏄</p>,8,0
