user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980663_141645989786010_5886405872061513728_n.jpg,http://picbear.com/media/1611681992008403501_3293734433,November 08 2017 - 14:29,September 25 2017 - 16:51,<p>💌💌💌</p>,155,3
November 08 2017 - 14:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21689044_1942676079288854_8179352473169821696_n.jpg,http://picbear.com/media/1606560966412238884_3293734433,November 08 2017 - 14:29,September 18 2017 - 15:16,<p>💌💌💌</p>,167,4
November 08 2017 - 14:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21436224_356725624740166_942441688759009280_n.jpg,http://picbear.com/media/1600030324607029774_3293734433,November 08 2017 - 14:29,September 09 2017 - 15:01,<p>💌💌💌💌💌</p>,171,3
November 08 2017 - 14:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19984620_131538017436484_1905480919683170304_n.jpg,http://picbear.com/media/1555705064143562160_3293734433,November 08 2017 - 14:29,July 10 2017 - 11:15,<p>5d❤😍❤</p>,181,2
November 08 2017 - 14:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19764992_132776833975565_7939237967095136256_n.jpg,http://picbear.com/media/1554908602908387397_3293734433,November 08 2017 - 14:29,July 09 2017 - 08:52,<p>✌✌❤❤✌✌</p>,196,9
November 08 2017 - 14:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18809319_1071732239592975_2739862790347948032_n.jpg,http://picbear.com/media/1527277176436490200_3293734433,November 08 2017 - 14:29,June 01 2017 - 05:54,<p>❤❤❤</p>,224,2
November 08 2017 - 14:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18812091_1805699916123180_7366810103183310848_n.jpg,http://picbear.com/media/1525884354219072296_3293734433,November 08 2017 - 14:29,May 30 2017 - 07:46,<p>❤❤❤</p>,241,6
November 08 2017 - 14:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18646260_620697358139362_4215793190260703232_n.jpg,http://picbear.com/media/1524395525775786882_3293734433,November 08 2017 - 14:29,May 28 2017 - 06:28,<p>😍😍✌✌✌</p>,216,5
November 08 2017 - 14:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18444303_1155080434604145_5547994352153788416_n.jpg,http://picbear.com/media/1514987359715518675_3293734433,November 08 2017 - 14:29,May 15 2017 - 06:56,"<p><a href=""http://picbear.com/tag/arphotography"" title=""posts tagged as arphotography"">#arphotography</a> ❤❤❤</p>",265,8
November 08 2017 - 14:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18512447_217714392064697_2331092361737666560_n.jpg,http://picbear.com/media/1514342499082010179_3293734433,November 08 2017 - 14:29,May 14 2017 - 09:35,"<p><a href=""http://picbear.com/tag/arphotography"" title=""posts tagged as arphotography"">#arphotography</a> ✌❤✌❤</p>",219,4
