user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 12:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857822_2025698334384030_5445237427100712960_n.jpg,http://picbear.com/media/1637314113947122426_3242905513,November 08 2017 - 12:04,October 31 2017 - 01:37,"<p>Guilty pleasure 😋❤❤❤ I can't stop eating them lol <a href=""http://picbear.com/tag/sweetpotato"" title=""posts tagged as sweetpotato"">#sweetpotato</a> <a href=""http://picbear.com/tag/food"" title=""posts tagged as food"">#food</a> <a href=""http://picbear.com/tag/waffles"" title=""posts tagged as waffles"">#waffles</a> <a href=""http://picbear.com/tag/delicious"" title=""posts tagged as delicious"">#delicious</a> <a href=""http://picbear.com/tag/snack"" title=""posts tagged as snack"">#snack</a> <a href=""http://picbear.com/tag/snacks"" title=""posts tagged as snacks"">#snacks</a></p>",10,0
November 08 2017 - 12:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22708727_181942305702658_2197682564330684416_n.jpg,http://picbear.com/media/1630535124557522899_3242905513,November 08 2017 - 12:04,October 21 2017 - 17:09,"<p>Close enough 🤔😀 Acrylic  on canvas of "" Ariel The Little Mermaid "" painted by me. I saw a picture of it online so I decided to do a replica for my niece a few years back .  <a href=""http://picbear.com/tag/acryliconcanvas"" title=""posts tagged as acryliconcanvas"">#acryliconcanvas</a> <a href=""http://picbear.com/tag/oilpainting"" title=""posts tagged as oilpainting"">#oilpainting</a> <a href=""http://picbear.com/tag/disney"" title=""posts tagged as disney"">#disney</a> <a href=""http://picbear.com/tag/thelittlemermaid"" title=""posts tagged as thelittlemermaid"">#thelittlemermaid</a> <a href=""http://picbear.com/tag/canvas"" title=""posts tagged as canvas"">#canvas</a> <a href=""http://picbear.com/tag/art"" title=""posts tagged as art"">#art</a> <a href=""http://picbear.com/tag/oiloncanvas"" title=""posts tagged as oiloncanvas"">#oiloncanvas</a></p>",19,1
November 08 2017 - 12:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22426920_783159841844812_44252091727740928_n.jpg,http://picbear.com/media/1622037107349203000_3242905513,November 08 2017 - 12:04,October 09 2017 - 23:45,"<p>I am no vegetarian but sometimes I like to cook things that are quick and simple 😋 <a href=""http://picbear.com/tag/meal"" title=""posts tagged as meal"">#meal</a> <a href=""http://picbear.com/tag/lunch"" title=""posts tagged as lunch"">#lunch</a> <a href=""http://picbear.com/tag/healthylifestyle"" title=""posts tagged as healthylifestyle"">#healthylifestyle</a> <a href=""http://picbear.com/tag/delicious"" title=""posts tagged as delicious"">#delicious</a> <a href=""http://picbear.com/tag/food"" title=""posts tagged as food"">#food</a> <a href=""http://picbear.com/tag/quinoa"" title=""posts tagged as quinoa"">#quinoa</a> <a href=""http://picbear.com/tag/spinach"" title=""posts tagged as spinach"">#spinach</a> <a href=""http://picbear.com/tag/corn"" title=""posts tagged as corn"">#corn</a></p>",9,0
November 08 2017 - 12:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20184383_2363924567166426_6721817392416030720_n.jpg,http://picbear.com/media/1564611276738249374_3242905513,November 08 2017 - 12:04,July 22 2017 - 18:10,"<p>I missed painting a lot ! I can't believe its been 5 years since I painted this guy 😔  <a href=""http://picbear.com/tag/oiloncanvas"" title=""posts tagged as oiloncanvas"">#oiloncanvas</a> <a href=""http://picbear.com/tag/oilpainting"" title=""posts tagged as oilpainting"">#oilpainting</a> <a href=""http://picbear.com/tag/winniethepooh"" title=""posts tagged as winniethepooh"">#winniethepooh</a> <a href=""http://picbear.com/tag/cartoon"" title=""posts tagged as cartoon"">#cartoon</a><a href=""http://picbear.com/tag/painting"" title=""posts tagged as painting"">#painting</a> <a href=""http://picbear.com/tag/art"" title=""posts tagged as art"">#art</a> <a href=""http://picbear.com/tag/artwork"" title=""posts tagged as artwork"">#artwork</a></p>",26,1
November 08 2017 - 12:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19121851_1720410941304458_520797005484654592_n.jpg,http://picbear.com/media/1537704984694410804_3242905513,November 08 2017 - 12:04,June 15 2017 - 15:12,"<p>😇😇😇 <a href=""http://picbear.com/tag/angel"" title=""posts tagged as angel"">#angel</a> <a href=""http://picbear.com/tag/victoriassecret"" title=""posts tagged as victoriassecret"">#victoriassecret</a> <a href=""http://picbear.com/tag/fragrance"" title=""posts tagged as fragrance"">#fragrance</a> <a href=""http://picbear.com/tag/sale"" title=""posts tagged as sale"">#sale</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a></p>",10,0
November 08 2017 - 12:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18094673_247414639058650_7688901967136948224_n.jpg,http://picbear.com/media/1498854848849698026_3242905513,November 08 2017 - 12:04,April 23 2017 - 00:44,"<p>😍😍😍 <a href=""http://picbear.com/tag/starbucks"" title=""posts tagged as starbucks"">#starbucks</a> <a href=""http://picbear.com/tag/frappuccino"" title=""posts tagged as frappuccino"">#frappuccino</a></p>",10,2
November 08 2017 - 12:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17661783_1690121697946886_1508523296109363200_n.jpg,http://picbear.com/media/1483631186358022764_3242905513,November 08 2017 - 12:04,April 02 2017 - 00:37,"<p>Chicken skewer <a href=""http://picbear.com/tag/food"" title=""posts tagged as food"">#food</a> <a href=""http://picbear.com/tag/saturday"" title=""posts tagged as saturday"">#saturday</a> <a href=""http://picbear.com/tag/lunch"" title=""posts tagged as lunch"">#lunch</a> <a href=""http://picbear.com/tag/meal"" title=""posts tagged as meal"">#meal</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/cooking"" title=""posts tagged as cooking"">#cooking</a> <a href=""http://picbear.com/tag/homemade"" title=""posts tagged as homemade"">#homemade</a></p>",12,1
November 08 2017 - 12:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17438656_281268285650749_6001979327418204160_n.jpg,http://picbear.com/media/1483017536362494194_3242905513,November 08 2017 - 12:04,April 01 2017 - 04:18,"<p>❤❤❤Betsey Johnson  statement earrings  <a href=""http://picbear.com/tag/betseyjohnson"" title=""posts tagged as betseyjohnson"">#betseyjohnson</a> <a href=""http://picbear.com/tag/jewelry"" title=""posts tagged as jewelry"">#jewelry</a> <a href=""http://picbear.com/tag/earrings"" title=""posts tagged as earrings"">#earrings</a> <a href=""http://picbear.com/tag/frog"" title=""posts tagged as frog"">#frog</a> <a href=""http://picbear.com/tag/gold"" title=""posts tagged as gold"">#gold</a> <a href=""http://picbear.com/tag/spring"" title=""posts tagged as spring"">#spring</a></p>",12,0
November 08 2017 - 12:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17493582_1396981190323556_2193616102179733504_n.jpg,http://picbear.com/media/1479182841367322148_3242905513,November 08 2017 - 12:04,March 26 2017 - 21:19,"<p>Homemade Mongolian Chicken <a href=""http://picbear.com/tag/food"" title=""posts tagged as food"">#food</a> <a href=""http://picbear.com/tag/sunday"" title=""posts tagged as sunday"">#sunday</a> <a href=""http://picbear.com/tag/lunch"" title=""posts tagged as lunch"">#lunch</a> <a href=""http://picbear.com/tag/chicken"" title=""posts tagged as chicken"">#chicken</a> <a href=""http://picbear.com/tag/rice"" title=""posts tagged as rice"">#rice</a></p>",9,0
November 08 2017 - 12:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16790193_1407752565962927_7353142297476726784_n.jpg,http://picbear.com/media/1458348324801006194_3242905513,November 08 2017 - 12:04,February 26 2017 - 03:24,"<p>Ginger , Posie K , Mary Jo K.  I have been rocking ginger a lot lately 😗💋💋💋 <a href=""http://picbear.com/tag/kyliecosmetics"" title=""posts tagged as kyliecosmetics"">#kyliecosmetics</a> <a href=""http://picbear.com/tag/kylielipkit"" title=""posts tagged as kylielipkit"">#kylielipkit</a> <a href=""http://picbear.com/tag/makeuplover"" title=""posts tagged as makeuplover"">#makeuplover</a> <a href=""http://picbear.com/tag/mattelipstick"" title=""posts tagged as mattelipstick"">#mattelipstick</a></p>",13,3
