user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/22709342_134676207186495_1917148726623731712_n.jpg,http://picbear.com/media/1631960461809125822_1000706711,November 08 2017 - 14:36,October 23 2017 - 16:21,<p>Me gustaría verte sonreír cada mañana al despertar.</p>,120,0
November 08 2017 - 14:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.10.1080.1080/22710789_263418607514238_316065977592709120_n.jpg,http://picbear.com/media/1631294743329492324_1000706711,November 08 2017 - 14:36,October 22 2017 - 18:18,"<p><a href=""http://picbear.com/tag/torrepisa"" title=""posts tagged as torrepisa"">#torrepisa</a></p>",93,6
November 08 2017 - 14:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22582545_1527256147342788_9218701719481876480_n.jpg,http://picbear.com/media/1630428807164846287_1000706711,November 08 2017 - 14:36,October 21 2017 - 13:38,,103,0
November 08 2017 - 14:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22636906_510343186018881_1013376496741384192_n.jpg,http://picbear.com/media/1629297579527163688_1000706711,November 08 2017 - 14:36,October 20 2017 - 00:10,,93,2
November 08 2017 - 14:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22426868_1732066690429555_5569036419139108864_n.jpg,http://picbear.com/media/1625601321595763798_1000706711,November 08 2017 - 14:36,October 14 2017 - 21:46,"<p>Aveces no hay próxima vez, aveces no hay segundas oportunidades, aveces es ahora o nunca.</p>",83,0
November 08 2017 - 14:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22344580_119185752109943_546106968587108352_n.jpg,http://picbear.com/media/1624777198002823380_1000706711,November 08 2017 - 14:36,October 13 2017 - 18:29,,91,3
November 08 2017 - 14:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.44.830.830/22157457_1683114148425738_8719042236630695936_n.jpg,http://picbear.com/media/1616183646637460067_1000706711,November 08 2017 - 14:36,October 01 2017 - 21:55,"<p>Me temo que aveces me cansó de ser bueno como cuando no quieres besar sino acabar en los senos algo así más o menos tal vez un poco más obsceno cuando se trata de un lápiz y un papel y un lapicero Canserbero <a href=""http://picbear.com/tag/can"" title=""posts tagged as can"">#can</a> <a href=""http://picbear.com/tag/tyrone"" title=""posts tagged as tyrone"">#tyrone</a></p>",79,5
November 08 2017 - 14:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/21879153_144222376186305_733875272251604992_n.jpg,http://picbear.com/media/1608755784586287008_1000706711,November 08 2017 - 14:36,September 21 2017 - 15:57,"<p>Yeah, look at me.</p>",115,6
November 08 2017 - 14:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20065826_103473833651527_7906314525920460800_n.jpg,http://picbear.com/media/1559445583668600649_1000706711,November 08 2017 - 14:36,July 15 2017 - 15:07,<p>✏️👅❤️</p>,82,4
November 08 2017 - 14:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c194.0.691.691/19955726_135489623702735_6655231724152160256_n.jpg,http://picbear.com/media/1558694269854563419_1000706711,November 08 2017 - 14:36,July 14 2017 - 14:14,,98,3
November 08 2017 - 14:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/18812593_305783763211604_3822587688771387392_n.jpg,http://picbear.com/media/1529000824783745274_1000706711,November 08 2017 - 14:36,June 03 2017 - 14:58,,113,2
