user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23416709_884758541681824_1521676156711993344_n.jpg,http://picbear.com/media/1643503934831392480_6304200078,November 08 2017 - 12:05,November 08 2017 - 14:35,,1,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23421503_1541998529228609_8778726983371587584_n.jpg,http://picbear.com/media/1643503895321141811_6304200078,November 08 2017 - 12:05,November 08 2017 - 14:35,,1,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279699_299624173865644_1070758342147702784_n.jpg,http://picbear.com/media/1643502941444168624_6304200078,November 08 2017 - 12:05,November 08 2017 - 14:33,,1,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23347508_144241252867637_4105652786929074176_n.jpg,http://picbear.com/media/1643502217943504273_6304200078,November 08 2017 - 12:05,November 08 2017 - 14:32,,2,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23417273_148961012389297_3854014376793079808_n.jpg,http://picbear.com/media/1643501982391300836_6304200078,November 08 2017 - 12:05,November 08 2017 - 14:32,,2,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279767_189556971601185_1305216857329893376_n.jpg,http://picbear.com/media/1643500511314693846_6304200078,November 08 2017 - 12:05,November 08 2017 - 14:29,,2,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23421541_365432873880406_9194780697263341568_n.jpg,http://picbear.com/media/1643500472542526001_6304200078,November 08 2017 - 12:05,November 08 2017 - 14:29,,1,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279824_1224348444375318_6785995392208076800_n.jpg,http://picbear.com/media/1643500432252170830_6304200078,November 08 2017 - 12:05,November 08 2017 - 14:29,,2,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23280184_1362226223889324_1384433818252869632_n.jpg,http://picbear.com/media/1643500406180238959_6304200078,November 08 2017 - 12:06,November 08 2017 - 14:28,,2,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23280126_378728555889953_7260985167026585600_n.jpg,http://picbear.com/media/1643500374370648154_6304200078,November 08 2017 - 12:06,November 08 2017 - 14:28,,2,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279294_381751522247126_4395397194887200768_n.jpg,http://picbear.com/media/1643500332586980375_6304200078,November 08 2017 - 12:06,November 08 2017 - 14:28,,2,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279463_1595150510546852_2509381956047732736_n.jpg,http://picbear.com/media/1643500304988609067_6304200078,November 08 2017 - 12:06,November 08 2017 - 14:28,,2,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279542_189258414974771_4312695722702012416_n.jpg,http://picbear.com/media/1643466516925393654_6304200078,November 08 2017 - 12:06,November 08 2017 - 13:21,,4,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23348065_1692916717446235_4920375050386800640_n.jpg,http://picbear.com/media/1643466344262615058_6304200078,November 08 2017 - 12:06,November 08 2017 - 13:21,,3,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279438_1747799752181997_4645531683569795072_n.jpg,http://picbear.com/media/1643466165241495355_6304200078,November 08 2017 - 12:06,November 08 2017 - 13:20,,4,1
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23348167_502221646831856_60193975243374592_n.jpg,http://picbear.com/media/1643465411281597047_6304200078,November 08 2017 - 12:06,November 08 2017 - 13:19,<p>My friend</p>,4,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279582_415975435484190_3849994055475789824_n.jpg,http://picbear.com/media/1643465019852383531_6304200078,November 08 2017 - 12:06,November 08 2017 - 13:18,,5,0
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23280147_518968658464007_8133751366574145536_n.jpg,http://picbear.com/media/1642750927458014292_6304200078,November 08 2017 - 12:06,November 07 2017 - 13:39,,3,1
November 08 2017 - 12:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/23280090_1998076370460596_811971689091956736_n.jpg,http://picbear.com/media/1637626761134251360_6304200078,November 08 2017 - 12:06,October 31 2017 - 11:59,,2,0
