user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21820027_127640427964289_6432478768673062912_n.jpg,http://picbear.com/media/1607154138934962970_360125901,November 08 2017 - 12:26,September 19 2017 - 10:55,"<p>""There is a level of appreciation for brothers and sisters in the hood.""</p>",27,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21576589_478031499228222_7605212192912179200_n.jpg,http://picbear.com/media/1604207147183757308_360125901,November 08 2017 - 12:26,September 15 2017 - 09:20,"<p>""Niggas hate me, hoes love me. So i guess we even"". 🤷🏼‍♀️</p>",51,1
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20968939_181517035723907_9146195434505502720_n.jpg,http://picbear.com/media/1586619225328818503_360125901,November 08 2017 - 12:26,August 22 2017 - 02:56,"<p>Im a country boy that dresses up like a city boy. But girl dont be fooled, cause ill still take ya fishin, four wheelin, and go watch the sunset in the back of a truck.. then we can go to dinner or go see a movie.</p>",50,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/20837667_1881231395529879_4441338170834944000_n.jpg,http://picbear.com/media/1583141787844095065_360125901,November 08 2017 - 12:26,August 17 2017 - 07:47,<p>Best group of friends anyone could ask for. Love yall. ❤️😂</p>,68,2
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18161947_220072708488907_429249322303881216_n.jpg,http://picbear.com/media/1507696778601137277_360125901,November 08 2017 - 12:26,May 05 2017 - 05:31,"<p>""At times I wonder why I fool with you But this is new to me, this is new to you Initially, I didn't wanna fall for you Gather my attention it was all for you, so don't Take advantage, don't leave my heart damaged To understand that things go a little bit better when you plan it"" -Khalid</p>",81,7
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.100.799.799/17494214_619405808254475_4056261964400164864_n.jpg,http://picbear.com/media/1477016685331818257_360125901,November 08 2017 - 12:26,March 23 2017 - 21:35,"<p>""If you're gonna come at me, come at me respectfully, and I'll respond respectfully"" - Lance Reddick.  Pic creds:: @ steven</p>",55,2
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c127.0.466.466/14145350_1722188354701320_1256485339_n.jpg,http://picbear.com/media/1324278632461410773_360125901,November 08 2017 - 12:26,August 25 2016 - 03:52,<p>When we first talked to each other I knew we would always be friends. Our friendship has kept on growing And I'll be here for you to the end.  You listen when I have a problem And help dry the tears from my face. You take away my sorrow And put happiness in its place.  We can't forget the fun we've had Laughing 'til our faces turn blue. Talking of things only we find funny People think we're insane-If they only knew!  I guess this is my way of saying thanks For catching me when I fall. Thanks once again for being such good friends And being here with me through it all.</p>,50,7
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/13774667_1063063910397527_488254870_n.jpg,http://picbear.com/media/1296675619647646971_360125901,November 08 2017 - 12:26,July 18 2016 - 01:50,"<p>I dont care what people have to say about me anymore. im being me. and if u dont like it, then u can shove it down ur throat and just stop talking to me. simple as that. . <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/girl"" title=""posts tagged as girl"">#girl</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/family"" title=""posts tagged as family"">#family</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/nofilter"" title=""posts tagged as nofilter"">#nofilter</a> <a href=""http://picbear.com/tag/life"" title=""posts tagged as life"">#life</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a></p>",50,3
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/c0.90.720.720/23101384_160824127849443_848811719533789184_n.jpg,http://picbear.com/media/1637431075217471144_360125901,November 08 2017 - 12:26,October 31 2017 - 05:31,"<p>Sooo who down to play some <a href=""http://picbear.com/tag/fortnite"" title=""posts tagged as fortnite"">#fortnite</a> with me? . <a href=""http://picbear.com/tag/fortnitebattleroyale"" title=""posts tagged as fortnitebattleroyale"">#fortnitebattleroyale</a> <a href=""http://picbear.com/tag/fortniteclips"" title=""posts tagged as fortniteclips"">#fortniteclips</a> <a href=""http://picbear.com/tag/fortnitememes"" title=""posts tagged as fortnitememes"">#fortnitememes</a></p>",18,4
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/c0.80.640.640/21910143_1733893040240233_3580268936760918016_n.jpg,http://picbear.com/media/1609265641561774549_360125901,November 08 2017 - 12:26,September 22 2017 - 08:50,"<p>All cod players know the struggle 😂😂 . <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/girl"" title=""posts tagged as girl"">#girl</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/family"" title=""posts tagged as family"">#family</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/nofilter"" title=""posts tagged as nofilter"">#nofilter</a> <a href=""http://picbear.com/tag/life"" title=""posts tagged as life"">#life</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a></p>",47,2
