user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 11:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.132.1060.1060/22638939_123339941672305_5466898128290447360_n.jpg,http://picbear.com/media/1631144987559020065_104827729,November 08 2017 - 11:21,October 22 2017 - 13:20,"<p>🍂🙇🏼🙇🏻‍♀️ <a href=""http://picbear.com/tag/sunday"" title=""posts tagged as sunday"">#sunday</a> <a href=""http://picbear.com/tag/mood"" title=""posts tagged as mood"">#mood</a> <a href=""http://picbear.com/tag/sundayfunday"" title=""posts tagged as sundayfunday"">#sundayfunday</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/colorful"" title=""posts tagged as colorful"">#colorful</a> <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a></p>",247,20
November 08 2017 - 11:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.132.1060.1060/22637465_819331628240382_2686297135053275136_n.jpg,http://picbear.com/media/1630594424870086872_104827729,November 08 2017 - 11:21,October 21 2017 - 19:07,"<p>🥂to family... <a href=""http://picbear.com/tag/sisters"" title=""posts tagged as sisters"">#sisters</a> <a href=""http://picbear.com/tag/mother"" title=""posts tagged as mother"">#mother</a> <a href=""http://picbear.com/tag/alltogetheragain"" title=""posts tagged as alltogetheragain"">#alltogetheragain</a></p>",189,6
November 08 2017 - 11:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.132.1060.1060/22500194_1157771577689592_4639533431028449280_n.jpg,http://picbear.com/media/1628265156580379185_104827729,November 08 2017 - 11:21,October 18 2017 - 13:59,"<p>Hava yaz gibi mi demiştim🤔😂Bugün yağmurlu ama yinede güzel🍁🐿🌧🌫🤗 <a href=""http://picbear.com/tag/london"" title=""posts tagged as london"">#london</a> <a href=""http://picbear.com/tag/october"" title=""posts tagged as october"">#october</a> <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a> <a href=""http://picbear.com/tag/holiday"" title=""posts tagged as holiday"">#holiday</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/park"" title=""posts tagged as park"">#park</a></p>",218,15
November 08 2017 - 11:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22582515_505666953129871_571956882093113344_n.jpg,http://picbear.com/media/1626978919311638823_104827729,November 08 2017 - 11:21,October 16 2017 - 19:23,<p>Autumn like summer🍂🐿 lucky me😎</p>,165,8
November 08 2017 - 11:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c120.0.718.718/21373269_2064586470225525_3154293388853903360_n.jpg,http://picbear.com/media/1596986481486616278_104827729,November 08 2017 - 11:21,September 05 2017 - 10:14,"<p>366 gün olmuş😊💕🙏🏻Güzels 04.09.16 <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/anniversary"" title=""posts tagged as anniversary"">#anniversary</a> <a href=""http://picbear.com/tag/1year"" title=""posts tagged as 1year"">#1year</a></p>",476,33
November 08 2017 - 11:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21227417_101978797209570_2681154620385918976_n.jpg,http://picbear.com/media/1595052715595829007_104827729,November 08 2017 - 11:21,September 02 2017 - 18:12,"<p>Sun goes down🔆🙆🏽#özleniceksinyaz <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/breaktime"" title=""posts tagged as breaktime"">#breaktime</a> <a href=""http://picbear.com/tag/mood"" title=""posts tagged as mood"">#mood</a></p>",376,15
November 08 2017 - 11:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.719.719/21148959_1949050858644158_1031028623349383168_n.jpg,http://picbear.com/media/1594320685102880948_104827729,November 08 2017 - 11:21,September 01 2017 - 17:57,"<p>Öyle mi böyle mi şöyle mi poz versek?🙇🏻‍♀️🙇🏼‍♀️😂 <a href=""http://picbear.com/tag/holiday"" title=""posts tagged as holiday"">#holiday</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/natural"" title=""posts tagged as natural"">#natural</a> <a href=""http://picbear.com/tag/shot"" title=""posts tagged as shot"">#shot</a> <a href=""http://picbear.com/tag/green"" title=""posts tagged as green"">#green</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a></p>",268,13
November 08 2017 - 11:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21294960_281606992326088_4469166689874870272_n.jpg,http://picbear.com/media/1593476989646087183_104827729,November 08 2017 - 11:21,August 31 2017 - 14:01,"<p>⚓️💙 <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/myfavourite"" title=""posts tagged as myfavourite"">#myfavourite</a></p>",287,16
November 08 2017 - 11:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21147773_136214306995043_4811275991940857856_n.jpg,http://picbear.com/media/1592391178586465883_104827729,November 08 2017 - 11:21,August 30 2017 - 02:04,"<p>Bazı zaferler sonsuza dek kutlanır.30 Ağustos Zafer Bayramımız kutlu olsun🇹🇷 <a href=""http://picbear.com/tag/saygıylaminnetleatam"" title=""posts tagged as saygıylaminnetleatam"">#saygıylaminnetleatam</a>🙏🏻</p>",185,6
November 08 2017 - 11:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/21149540_126669354629793_2324129949167910912_n.jpg,http://picbear.com/media/1591591189430118597_104827729,November 08 2017 - 11:21,August 28 2017 - 23:34,"<p>Have sun🔆🎏 <a href=""http://picbear.com/tag/endoftheday"" title=""posts tagged as endoftheday"">#endoftheday</a></p>",216,9
