user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860599_123299295016677_7076741996424986624_n.jpg,http://picbear.com/media/1638517359855541868_4475072824,November 08 2017 - 14:24,November 01 2017 - 17:28,<p>Ingin kembali Syuting dengan SevenCoolKids. I miss you SCK💕</p>,37,0
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344176_341383826272909_3753291994927988736_n.jpg,http://picbear.com/media/1620190173205733109_4475072824,November 08 2017 - 14:24,October 07 2017 - 10:35,<p>😂😑😐😄</p>,29,3
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069218_384855245267492_3520119126666248192_n.jpg,http://picbear.com/media/1614533910992109994_4475072824,November 08 2017 - 14:24,September 29 2017 - 15:17,<p>Berpikir positive 🍂🍃</p>,37,0
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980699_1954012011554123_262292699283980288_n.jpg,http://picbear.com/media/1612885327045922500_4475072824,November 08 2017 - 14:24,September 27 2017 - 08:42,<p>Keluarga 💕</p>,45,0
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21819598_173973083162652_7087341662178902016_n.jpg,http://picbear.com/media/1605229488315268381_4475072824,November 08 2017 - 14:24,September 16 2017 - 19:11,<p>Ngayah Puspanjali ring Pura Desa😇</p>,41,0
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21436225_1959260974288001_8554251720236990464_n.jpg,http://picbear.com/media/1598683720850811729_4475072824,November 08 2017 - 14:24,September 07 2017 - 18:26,<p>Dayang. Ngayah ngigel ring Pura Desa. Karya ngusaba nini Ngusaba desa 😇</p>,43,2
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21294589_1606948222672197_7202631009743929344_n.jpg,http://picbear.com/media/1593477038591933226_4475072824,November 08 2017 - 14:24,August 31 2017 - 14:01,<p>Tersenyum sesuai dengan keinginan 😊</p>,37,7
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/20902405_113624859364619_2186093368176541696_n.jpg,http://picbear.com/media/1585330925334523885_4475072824,November 08 2017 - 14:24,August 20 2017 - 08:16,<p>Banyu Pinaruh 🙏</p>,36,1
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/20839024_1752041721760705_4591033457731174400_n.jpg,http://picbear.com/media/1583023546991556596_4475072824,November 08 2017 - 14:24,August 17 2017 - 03:52,<p>Dirgahayu Republik Indonesia yang ke 72th</p>,42,1
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20759456_1394684500650291_4826072815700541440_n.jpg,http://picbear.com/media/1579581778606361371_4475072824,November 08 2017 - 14:24,August 12 2017 - 09:54,<p>Gerak jalan gugus 4 saba. Dalam rangka Hari Kemerdekaan Indonesia yang ke 72</p>,48,0
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20687261_1136730049790225_441736535990075392_n.jpg,http://picbear.com/media/1576797830918568258_4475072824,November 08 2017 - 14:24,August 08 2017 - 13:42,<p>Menjelang malam⛅</p>,31,0
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20479242_1910899815837798_7427458464491765760_n.jpg,http://picbear.com/media/1572530090653337051_4475072824,November 08 2017 - 14:24,August 02 2017 - 16:23,<p>Smile</p>,31,1
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20394160_138834603378854_5386031229910908928_n.jpg,http://picbear.com/media/1569565680628519416_4475072824,November 08 2017 - 14:24,July 29 2017 - 14:13,<p>Tersenyumlah sebelum tersenyum itu dilarang😀</p>,36,0
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.347.347/20067288_1752326388398067_6932707901626646528_n.jpg,http://picbear.com/media/1560935854984292171_4475072824,November 08 2017 - 14:24,July 17 2017 - 16:27,<p>Syuting!</p>,43,0
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19933226_1919754084907749_7127075207793082368_n.jpg,http://picbear.com/media/1557745849394790298_4475072824,November 08 2017 - 14:24,July 13 2017 - 06:49,<p>🌺🌸</p>,32,0
November 08 2017 - 14:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c143.0.433.433/19436762_239775673191607_575173696633700352_n.jpg,http://picbear.com/media/1548364808653602080_4475072824,November 08 2017 - 14:24,June 30 2017 - 08:11,,47,2
