user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637534_566363693707062_6104473658170802176_n.jpg,http://picbear.com/media/1630997520652412352_2207320388,November 08 2017 - 11:37,October 22 2017 - 08:27,"<p><a href=""http://picbear.com/tag/tihar"" title=""posts tagged as tihar"">#tihar</a>_glimpse_2074 ✌✌ 😍😍</p>",67,2
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22581835_2394916387400324_1007296090065600512_n.jpg,http://picbear.com/media/1629070818128827169_2207320388,November 08 2017 - 11:37,October 19 2017 - 16:39,"<p><a href=""http://picbear.com/tag/tihar"" title=""posts tagged as tihar"">#tihar</a> <a href=""http://picbear.com/tag/jhilimili"" title=""posts tagged as jhilimili"">#jhilimili</a> ✌✌</p>",72,0
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22278094_1956022061351987_3759033309640785920_n.jpg,http://picbear.com/media/1618885251747361850_2207320388,November 08 2017 - 11:37,October 05 2017 - 15:23,"<p><a href=""http://picbear.com/tag/pokhara"" title=""posts tagged as pokhara"">#pokhara</a>_rangashala ✌✌ 2 month ago 😂😂</p>",84,2
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22157405_609610642566757_1643035487067176960_n.jpg,http://picbear.com/media/1616683474469941408_2207320388,November 08 2017 - 11:37,October 02 2017 - 14:28,"<p><a href=""http://picbear.com/tag/mirrorselfie"" title=""posts tagged as mirrorselfie"">#mirrorselfie</a> 📷 <a href=""http://picbear.com/tag/dasain074"" title=""posts tagged as dasain074"">#dasain074</a> ✌✌</p>",71,0
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22071143_121221135263515_1840506383846342656_n.jpg,http://picbear.com/media/1615720215126342306_2207320388,November 08 2017 - 11:37,October 01 2017 - 06:34,"<p><a href=""http://picbear.com/tag/dashain"" title=""posts tagged as dashain"">#dashain</a>  #2074.06.14</p>",70,0
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980674_341439442949837_7190327453154279424_n.jpg,http://picbear.com/media/1613846533000928746_2207320388,November 08 2017 - 11:37,September 28 2017 - 16:32,"<p><a href=""http://picbear.com/tag/banglamukhi"" title=""posts tagged as banglamukhi"">#banglamukhi</a> <a href=""http://picbear.com/tag/astami"" title=""posts tagged as astami"">#astami</a> <a href=""http://picbear.com/tag/8th"" title=""posts tagged as 8th"">#8th</a>_day_of_dasain ✌✌</p>",87,7
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879272_229173747613252_3298755167905644544_n.jpg,http://picbear.com/media/1607382447778428610_2207320388,November 08 2017 - 11:37,September 19 2017 - 18:29,<p>After a long time with best of the friend !!! ✌✌</p>,96,4
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21569115_1059251280844000_3499484793811238912_n.jpg,http://picbear.com/media/1603418970411877089_2207320388,November 08 2017 - 11:37,September 14 2017 - 07:14,"<p><a href=""http://picbear.com/tag/talbarahitemple"" title=""posts tagged as talbarahitemple"">#talbarahitemple</a> 🏠 <a href=""http://picbear.com/tag/fewaboating"" title=""posts tagged as fewaboating"">#fewaboating</a> 🚣</p>",82,0
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c55.0.970.970/21433983_274803346367206_5237427375808970752_n.jpg,http://picbear.com/media/1596475329860717706_2207320388,November 08 2017 - 11:37,September 04 2017 - 17:18,"<p><a href=""http://picbear.com/tag/brothers"" title=""posts tagged as brothers"">#brothers</a> ✌✌</p>",85,1
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042065_813069172197638_7187599534740996096_n.jpg,http://picbear.com/media/1589909622146611481_2207320388,November 08 2017 - 11:37,August 26 2017 - 15:53,"<p><a href=""http://picbear.com/tag/ghandruk"" title=""posts tagged as ghandruk"">#ghandruk</a>_trip</p>",80,1
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20987605_165037290734051_3697006306779987968_n.jpg,http://picbear.com/media/1588441395310825508_2207320388,November 08 2017 - 11:37,August 24 2017 - 15:16,"<p>P.C - <a href=""http://picbear.com/puspa_achrya"" title=""puspa_achrya instagram profile"">@puspa_achrya</a> 📷</p>",91,14
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20688745_233536167169622_4374830494882201600_n.jpg,http://picbear.com/media/1580874825386679473_2207320388,November 08 2017 - 11:37,August 14 2017 - 04:43,,99,9
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20687287_110634439637962_1469315308463325184_n.jpg,http://picbear.com/media/1579468569694252656_2207320388,November 08 2017 - 11:37,August 12 2017 - 06:09,"<p><a href=""http://picbear.com/tag/world"" title=""posts tagged as world"">#world</a>_peace_stupa 🙌</p>",78,1
