user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23416561_292762831216397_2099271441806524416_n.jpg,http://picbear.com/media/1641993340777686967_494735180,November 08 2017 - 11:56,November 06 2017 - 12:34,"<p><a href=""http://picbear.com/tag/blu"" title=""posts tagged as blu"">#blu</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/bluesky"" title=""posts tagged as bluesky"">#bluesky</a> <a href=""http://picbear.com/tag/blue"" title=""posts tagged as blue"">#blue</a> <a href=""http://picbear.com/tag/cloud"" title=""posts tagged as cloud"">#cloud</a> <a href=""http://picbear.com/tag/clouds"" title=""posts tagged as clouds"">#clouds</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instacool"" title=""posts tagged as instacool"">#instacool</a> <a href=""http://picbear.com/tag/universe"" title=""posts tagged as universe"">#universe</a> <a href=""http://picbear.com/tag/good"" title=""posts tagged as good"">#good</a> <a href=""http://picbear.com/tag/cool"" title=""posts tagged as cool"">#cool</a></p>",16,3
November 08 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101398_349777455468829_8603273424686546944_n.jpg,http://picbear.com/media/1636422720497213034_494735180,November 08 2017 - 11:56,October 29 2017 - 20:06,"<p><a href=""http://picbear.com/tag/sunset"" title=""posts tagged as sunset"">#sunset</a> <a href=""http://picbear.com/tag/red"" title=""posts tagged as red"">#red</a> <a href=""http://picbear.com/tag/blue"" title=""posts tagged as blue"">#blue</a> <a href=""http://picbear.com/tag/black"" title=""posts tagged as black"">#black</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/skyporn"" title=""posts tagged as skyporn"">#skyporn</a> <a href=""http://picbear.com/tag/skylovers"" title=""posts tagged as skylovers"">#skylovers</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instalove"" title=""posts tagged as instalove"">#instalove</a> <a href=""http://picbear.com/tag/instasky"" title=""posts tagged as instasky"">#instasky</a> <a href=""http://picbear.com/tag/instastyle"" title=""posts tagged as instastyle"">#instastyle</a></p>",21,0
November 08 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21985272_2022637097951435_38010121267183616_n.jpg,http://picbear.com/media/1615506291631774769_494735180,November 08 2017 - 11:56,September 30 2017 - 23:29,"<p><a href=""http://picbear.com/tag/gamesweek"" title=""posts tagged as gamesweek"">#gamesweek</a> <a href=""http://picbear.com/tag/yuno"" title=""posts tagged as yuno"">#yuno</a> <a href=""http://picbear.com/tag/yukki"" title=""posts tagged as yukki"">#yukki</a> <a href=""http://picbear.com/tag/cosplay"" title=""posts tagged as cosplay"">#cosplay</a> <a href=""http://picbear.com/tag/cosplayer"" title=""posts tagged as cosplayer"">#cosplayer</a> <a href=""http://picbear.com/tag/manga"" title=""posts tagged as manga"">#manga</a> <a href=""http://picbear.com/tag/mangagirl"" title=""posts tagged as mangagirl"">#mangagirl</a> <a href=""http://picbear.com/tag/anime"" title=""posts tagged as anime"">#anime</a> <a href=""http://picbear.com/tag/animegirl"" title=""posts tagged as animegirl"">#animegirl</a> <a href=""http://picbear.com/tag/animegirls"" title=""posts tagged as animegirls"">#animegirls</a></p>",36,0
November 08 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/21911069_123538464939079_3725879632449241088_n.jpg,http://picbear.com/media/1608767502850872785_494735180,November 08 2017 - 11:56,September 21 2017 - 16:20,"<p><a href=""http://picbear.com/tag/flowers"" title=""posts tagged as flowers"">#flowers</a> <a href=""http://picbear.com/tag/flower"" title=""posts tagged as flower"">#flower</a> <a href=""http://picbear.com/tag/purple"" title=""posts tagged as purple"">#purple</a> <a href=""http://picbear.com/tag/garden"" title=""posts tagged as garden"">#garden</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/purpleflowers"" title=""posts tagged as purpleflowers"">#purpleflowers</a> <a href=""http://picbear.com/tag/good"" title=""posts tagged as good"">#good</a> <a href=""http://picbear.com/tag/macro"" title=""posts tagged as macro"">#macro</a> <a href=""http://picbear.com/tag/macros"" title=""posts tagged as macros"">#macros</a> <a href=""http://picbear.com/tag/aster"" title=""posts tagged as aster"">#aster</a> <a href=""http://picbear.com/tag/astro"" title=""posts tagged as astro"">#astro</a> <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a> <a href=""http://picbear.com/tag/goodday"" title=""posts tagged as goodday"">#goodday</a> <a href=""http://picbear.com/tag/shot"" title=""posts tagged as shot"">#shot</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a></p>",25,0
November 08 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/17882942_206839516477847_6275704551039303680_n.jpg,http://picbear.com/media/1496350569140161678_494735180,November 08 2017 - 11:56,April 19 2017 - 13:48,"<p><a href=""http://picbear.com/tag/italy"" title=""posts tagged as italy"">#italy</a><a href=""http://picbear.com/tag/italy"" title=""posts tagged as italy"">#italy</a>🇮🇹<a href=""http://picbear.com/tag/animals"" title=""posts tagged as animals"">#animals</a><a href=""http://picbear.com/tag/animal"" title=""posts tagged as animal"">#animal</a><a href=""http://picbear.com/tag/wilderness"" title=""posts tagged as wilderness"">#wilderness</a><a href=""http://picbear.com/tag/green"" title=""posts tagged as green"">#green</a><a href=""http://picbear.com/tag/garden"" title=""posts tagged as garden"">#garden</a><a href=""http://picbear.com/tag/castle"" title=""posts tagged as castle"">#castle</a><a href=""http://picbear.com/tag/lol"" title=""posts tagged as lol"">#lol</a><a href=""http://picbear.com/tag/harrypotter"" title=""posts tagged as harrypotter"">#harrypotter</a><a href=""http://picbear.com/tag/owl"" title=""posts tagged as owl"">#owl</a><a href=""http://picbear.com/tag/yellow"" title=""posts tagged as yellow"">#yellow</a><a href=""http://picbear.com/tag/fly"" title=""posts tagged as fly"">#fly</a><a href=""http://picbear.com/tag/bird"" title=""posts tagged as bird"">#bird</a></p>",105,0
November 08 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16789228_1870317993186216_5282719824579919872_n.jpg,http://picbear.com/media/1452482871079992877_494735180,November 08 2017 - 11:56,February 18 2017 - 01:11,"<p><a href=""http://picbear.com/tag/flower"" title=""posts tagged as flower"">#flower</a> <a href=""http://picbear.com/tag/flowers"" title=""posts tagged as flowers"">#flowers</a> <a href=""http://picbear.com/tag/flowerpower"" title=""posts tagged as flowerpower"">#flowerpower</a> <a href=""http://picbear.com/tag/flowerporn"" title=""posts tagged as flowerporn"">#flowerporn</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/white"" title=""posts tagged as white"">#white</a> <a href=""http://picbear.com/tag/whiteflowers"" title=""posts tagged as whiteflowers"">#whiteflowers</a> <a href=""http://picbear.com/tag/blackandwhite"" title=""posts tagged as blackandwhite"">#blackandwhite</a> <a href=""http://picbear.com/tag/black"" title=""posts tagged as black"">#black</a> <a href=""http://picbear.com/tag/macro"" title=""posts tagged as macro"">#macro</a> <a href=""http://picbear.com/tag/macros"" title=""posts tagged as macros"">#macros</a> <a href=""http://picbear.com/tag/macromood"" title=""posts tagged as macromood"">#macromood</a> <a href=""http://picbear.com/tag/macrophotography"" title=""posts tagged as macrophotography"">#macrophotography</a> <a href=""http://picbear.com/tag/macroworld"" title=""posts tagged as macroworld"">#macroworld</a>_tr <a href=""http://picbear.com/tag/wallpaper"" title=""posts tagged as wallpaper"">#wallpaper</a> <a href=""http://picbear.com/tag/mood"" title=""posts tagged as mood"">#mood</a></p>",80,2
November 08 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/16110576_386381185062799_8331030351329624064_n.jpg,http://picbear.com/media/1437218518377823335_494735180,November 08 2017 - 11:56,January 27 2017 - 23:43,"<p><a href=""http://picbear.com/tag/polly"" title=""posts tagged as polly"">#polly</a><a href=""http://picbear.com/tag/wallpaper"" title=""posts tagged as wallpaper"">#wallpaper</a><a href=""http://picbear.com/tag/cat"" title=""posts tagged as cat"">#cat</a><a href=""http://picbear.com/tag/loveanimals"" title=""posts tagged as loveanimals"">#loveanimals</a><a href=""http://picbear.com/tag/sister"" title=""posts tagged as sister"">#sister</a><a href=""http://picbear.com/tag/sistersister"" title=""posts tagged as sistersister"">#sistersister</a><a href=""http://picbear.com/tag/mycat"" title=""posts tagged as mycat"">#mycat</a><a href=""http://picbear.com/tag/black"" title=""posts tagged as black"">#black</a><a href=""http://picbear.com/tag/blackcat"" title=""posts tagged as blackcat"">#blackcat</a><a href=""http://picbear.com/tag/glasses"" title=""posts tagged as glasses"">#glasses</a><a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a><a href=""http://picbear.com/tag/photos"" title=""posts tagged as photos"">#photos</a><a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a><a href=""http://picbear.com/tag/instastyle"" title=""posts tagged as instastyle"">#instastyle</a><a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a><a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a><a href=""http://picbear.com/tag/insta"" title=""posts tagged as insta"">#insta</a><a href=""http://picbear.com/tag/instapet"" title=""posts tagged as instapet"">#instapet</a></p>",152,2
November 08 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c138.0.803.803/14726403_365442823801299_7513125826343206912_n.jpg,http://picbear.com/media/1378223837279426122_494735180,November 08 2017 - 11:56,November 07 2016 - 14:11,"<p><a href=""http://picbear.com/tag/naturelover"" title=""posts tagged as naturelover"">#naturelover</a> <a href=""http://picbear.com/tag/natureshot"" title=""posts tagged as natureshot"">#natureshot</a> <a href=""http://picbear.com/tag/naturephotography"" title=""posts tagged as naturephotography"">#naturephotography</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a>_perfection <a href=""http://picbear.com/tag/naturelovers"" title=""posts tagged as naturelovers"">#naturelovers</a> <a href=""http://picbear.com/tag/macro"" title=""posts tagged as macro"">#macro</a> <a href=""http://picbear.com/tag/macros"" title=""posts tagged as macros"">#macros</a> <a href=""http://picbear.com/tag/macroshot"" title=""posts tagged as macroshot"">#macroshot</a> <a href=""http://picbear.com/tag/macrophotography"" title=""posts tagged as macrophotography"">#macrophotography</a> <a href=""http://picbear.com/tag/macro"" title=""posts tagged as macro"">#macro</a>_perfection <a href=""http://picbear.com/tag/macromood"" title=""posts tagged as macromood"">#macromood</a> <a href=""http://picbear.com/tag/flowers"" title=""posts tagged as flowers"">#flowers</a> <a href=""http://picbear.com/tag/flower"" title=""posts tagged as flower"">#flower</a> <a href=""http://picbear.com/tag/flowerlove"" title=""posts tagged as flowerlove"">#flowerlove</a> <a href=""http://picbear.com/tag/flowerporn"" title=""posts tagged as flowerporn"">#flowerporn</a> <a href=""http://picbear.com/tag/pic"" title=""posts tagged as pic"">#pic</a> <a href=""http://picbear.com/tag/picture"" title=""posts tagged as picture"">#picture</a> <a href=""http://picbear.com/tag/picsart"" title=""posts tagged as picsart"">#picsart</a> <a href=""http://picbear.com/tag/flowermagic"" title=""posts tagged as flowermagic"">#flowermagic</a> <a href=""http://picbear.com/tag/dandelion"" title=""posts tagged as dandelion"">#dandelion</a> <a href=""http://picbear.com/tag/dandelions"" title=""posts tagged as dandelions"">#dandelions</a></p>",168,6
November 08 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14701294_214701972290630_6375664941281574912_n.jpg,http://picbear.com/media/1377048266990238291_494735180,November 08 2017 - 11:56,November 05 2016 - 23:16,"<p><a href=""http://picbear.com/tag/bee"" title=""posts tagged as bee"">#bee</a> <a href=""http://picbear.com/tag/yellow"" title=""posts tagged as yellow"">#yellow</a> <a href=""http://picbear.com/tag/flowers"" title=""posts tagged as flowers"">#flowers</a> <a href=""http://picbear.com/tag/flower"" title=""posts tagged as flower"">#flower</a> <a href=""http://picbear.com/tag/macro"" title=""posts tagged as macro"">#macro</a> <a href=""http://picbear.com/tag/macros"" title=""posts tagged as macros"">#macros</a> <a href=""http://picbear.com/tag/macroshot"" title=""posts tagged as macroshot"">#macroshot</a> <a href=""http://picbear.com/tag/macrophotography"" title=""posts tagged as macrophotography"">#macrophotography</a> <a href=""http://picbear.com/tag/pink"" title=""posts tagged as pink"">#pink</a> <a href=""http://picbear.com/tag/pinkflower"" title=""posts tagged as pinkflower"">#pinkflower</a> <a href=""http://picbear.com/tag/pinkflowers"" title=""posts tagged as pinkflowers"">#pinkflowers</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/naturelovers"" title=""posts tagged as naturelovers"">#naturelovers</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a>_perfection <a href=""http://picbear.com/tag/naturephotography"" title=""posts tagged as naturephotography"">#naturephotography</a> <a href=""http://picbear.com/tag/natureshot"" title=""posts tagged as natureshot"">#natureshot</a> <a href=""http://picbear.com/tag/naturelover"" title=""posts tagged as naturelover"">#naturelover</a></p>",140,0
November 08 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/14719828_187800271675970_3935097354977280000_n.jpg,http://picbear.com/media/1375980952710795504_494735180,November 08 2017 - 11:56,November 04 2016 - 11:55,"<p><a href=""http://picbear.com/tag/yelloweyes"" title=""posts tagged as yelloweyes"">#yelloweyes</a> <a href=""http://picbear.com/tag/eyes"" title=""posts tagged as eyes"">#eyes</a> <a href=""http://picbear.com/tag/cat"" title=""posts tagged as cat"">#cat</a> <a href=""http://picbear.com/tag/cats"" title=""posts tagged as cats"">#cats</a> <a href=""http://picbear.com/tag/macro"" title=""posts tagged as macro"">#macro</a> <a href=""http://picbear.com/tag/macros"" title=""posts tagged as macros"">#macros</a> <a href=""http://picbear.com/tag/blackcat"" title=""posts tagged as blackcat"">#blackcat</a> <a href=""http://picbear.com/tag/blackcats"" title=""posts tagged as blackcats"">#blackcats</a> <a href=""http://picbear.com/tag/mycat"" title=""posts tagged as mycat"">#mycat</a> <a href=""http://picbear.com/tag/colours"" title=""posts tagged as colours"">#colours</a></p>",136,0
