user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21371663_461488417569861_7552856051947667456_n.jpg,http://picbear.com/media/1597538388599379970_4249918273,November 08 2017 - 14:26,September 06 2017 - 04:30,,28,1
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20479297_1957854854471944_4409139698664996864_n.jpg,http://picbear.com/media/1569336304536396148_4249918273,November 08 2017 - 14:26,July 29 2017 - 06:38,,27,0
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19955189_661713180705224_2476984442208387072_n.jpg,http://picbear.com/media/1554836559436917054_4249918273,November 08 2017 - 14:26,July 09 2017 - 06:29,"<p>Koi Toh Bataye Itna Mujhko,  Kyu Bewafa Ho Jaate Hain Sab,  Saya Bhi Nahi Hai Saath Rahta,  Gham Ke Badal Chhate Hain Jab</p>",31,2
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19436287_1862342617416431_3656664430587936768_n.jpg,http://picbear.com/media/1546427783847606776_4249918273,November 08 2017 - 14:26,June 27 2017 - 16:02,"<p>Lakhon The Log Teri Is Duniya Mein,  Fir Meri Hi Jholi Mein Gham Kyu Dale Hain,  Humko Bhi Dekho, Hain Nadan Kitne,  Humne Bhi Sab Ke Hi Jakham Paale Hain</p>",31,0
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19367562_1471447449588262_8118328160489046016_n.jpg,http://picbear.com/media/1541483225917386096_4249918273,November 08 2017 - 14:26,June 20 2017 - 20:19,<p>💕💕*मुझसे मौत ने पुछा मै आंऊगीं तो कैसे स्वागत करोगे..* *कहा मैने फूल बिछा कर पूछूंगा इतनी देर कैसे लगी....?💕💕</p>,26,2
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19120839_742461792545658_3502441895974404096_n.jpg,http://picbear.com/media/1539077079331992507_4249918273,November 08 2017 - 14:26,June 17 2017 - 12:38,<p>7380419623</p>,28,3
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18879468_361755520894261_3718194406948339712_n.jpg,http://picbear.com/media/1526126471230686611_4249918273,November 08 2017 - 14:26,May 30 2017 - 15:47,,28,1
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18443183_116279985614999_1868631487557926912_n.jpg,http://picbear.com/media/1514919123363409165_4249918273,November 08 2017 - 14:26,May 15 2017 - 04:40,<p>7380419623</p>,28,3
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18300047_705007999670381_4160267380611612672_n.jpg,http://picbear.com/media/1509453268165020578_4249918273,November 08 2017 - 14:26,May 07 2017 - 15:41,,21,2
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/18161346_159447764585949_8461157672735997952_n.jpg,http://picbear.com/media/1501612309121244455_4249918273,November 08 2017 - 14:26,April 26 2017 - 20:02,,22,0
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17881802_158696271324410_6806135808119013376_n.jpg,http://picbear.com/media/1494782781161924194_4249918273,November 08 2017 - 14:26,April 17 2017 - 09:53,,29,1
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17493484_448344165516314_7275160959990104064_n.jpg,http://picbear.com/media/1480274750373971955_4249918273,November 08 2017 - 14:26,March 28 2017 - 09:28,,24,3
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17265542_1842980089273590_4627765164802834432_n.jpg,http://picbear.com/media/1475125671612626902_4249918273,November 08 2017 - 14:26,March 21 2017 - 06:58,<p>Kya ho Rahe h friends</p>,17,0
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.93.1080.1080/16908281_1111877385589745_812356702845272064_n.jpg,http://picbear.com/media/1455608258944773785_4249918273,November 08 2017 - 14:26,February 22 2017 - 08:40,<p>Hi</p>,15,1
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16230433_249372518821866_2841207792147103744_n.jpg,http://picbear.com/media/1437915538813984357_4249918273,November 08 2017 - 14:26,January 28 2017 - 22:48,<p>Hi</p>,18,1
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15803742_1767014200285502_8640171866683604992_n.jpg,http://picbear.com/media/1427485315635113322_4249918273,November 08 2017 - 14:26,January 14 2017 - 13:25,,9,0
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/15801824_155595234927906_5085959311096545280_n.jpg,http://picbear.com/media/1423913263024205310_4249918273,November 08 2017 - 14:26,January 09 2017 - 15:08,<p>Happy republic day</p>,4,0
November 08 2017 - 14:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15876370_631829310357597_6502910206488346624_n.jpg,http://picbear.com/media/1419327353637031498_4249918273,November 08 2017 - 14:26,January 03 2017 - 07:17,<p>Good morning friends</p>,7,0
