user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161110_1756476334657540_6327186275317055488_n.jpg,http://picbear.com/media/1639825176702785997_900414468,November 08 2017 - 14:08,November 03 2017 - 12:46,"<p><a href=""http://picbear.com/tag/beautifulcreation"" title=""posts tagged as beautifulcreation"">#beautifulcreation</a> <a href=""http://picbear.com/tag/moon"" title=""posts tagged as moon"">#moon</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/clouds"" title=""posts tagged as clouds"">#clouds</a> <a href=""http://picbear.com/tag/mountain"" title=""posts tagged as mountain"">#mountain</a> <a href=""http://picbear.com/tag/trees"" title=""posts tagged as trees"">#trees</a> <a href=""http://picbear.com/tag/marabut"" title=""posts tagged as marabut"">#marabut</a> <a href=""http://picbear.com/tag/samar"" title=""posts tagged as samar"">#samar</a> <a href=""http://picbear.com/tag/philippines"" title=""posts tagged as philippines"">#philippines</a></p>",10,0
November 08 2017 - 14:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860234_326165044538230_1275398544366239744_n.jpg,http://picbear.com/media/1637506038882090218_900414468,November 08 2017 - 14:08,October 31 2017 - 07:59,"<p><a href=""http://picbear.com/tag/dustymorning"" title=""posts tagged as dustymorning"">#dustymorning</a> <a href=""http://picbear.com/tag/ardiyaindustrialarea"" title=""posts tagged as ardiyaindustrialarea"">#ardiyaindustrialarea</a> <a href=""http://picbear.com/tag/kuwait"" title=""posts tagged as kuwait"">#kuwait</a></p>",10,1
November 08 2017 - 14:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860503_136561683662361_4940458566570999808_n.jpg,http://picbear.com/media/1637466576881917620_900414468,November 08 2017 - 14:08,October 31 2017 - 06:40,"<p>Gloomy tuesday <a href=""http://picbear.com/tag/marabut"" title=""posts tagged as marabut"">#marabut</a> <a href=""http://picbear.com/tag/samar"" title=""posts tagged as samar"">#samar</a></p>",6,0
November 08 2017 - 14:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857764_284940905341508_7958152534915284992_n.jpg,http://picbear.com/media/1636731722204511755_900414468,November 08 2017 - 14:08,October 30 2017 - 06:20,"<p><a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/28birthday"" title=""posts tagged as 28birthday"">#28birthday</a> to my beba and #bestfriend...wish you good health and success in life...❤❤❤</p>",19,1
November 08 2017 - 14:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22858178_1746359732333609_609451225032687616_n.jpg,http://picbear.com/media/1634701672651359982_900414468,November 08 2017 - 14:08,October 27 2017 - 11:07,"<p>Morning walk at <a href=""http://picbear.com/tag/jleebalshuyoukhgarden"" title=""posts tagged as jleebalshuyoukhgarden"">#jleebalshuyoukhgarden</a> <a href=""http://picbear.com/tag/airplanelanding"" title=""posts tagged as airplanelanding"">#airplanelanding</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/kuwait"" title=""posts tagged as kuwait"">#kuwait</a></p>",10,0
November 08 2017 - 14:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22711126_1012076188934362_3821186670439432192_n.jpg,http://picbear.com/media/1634243987363442290_900414468,November 08 2017 - 14:08,October 26 2017 - 19:58,"<p>Wearing pink day for <a href=""http://picbear.com/tag/breastcancerawareness"" title=""posts tagged as breastcancerawareness"">#breastcancerawareness</a> #october26thursday....#kuwait</p>",16,2
November 08 2017 - 14:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580487_784867015036810_5163882894157938688_n.jpg,http://picbear.com/media/1628085817603717821_900414468,November 08 2017 - 14:08,October 18 2017 - 08:02,"<p><a href=""http://picbear.com/tag/marabut"" title=""posts tagged as marabut"">#marabut</a> <a href=""http://picbear.com/tag/seaside"" title=""posts tagged as seaside"">#seaside</a> <a href=""http://picbear.com/tag/samar"" title=""posts tagged as samar"">#samar</a> <a href=""http://picbear.com/tag/rocks"" title=""posts tagged as rocks"">#rocks</a> <a href=""http://picbear.com/tag/philippines"" title=""posts tagged as philippines"">#philippines</a></p>",7,0
November 08 2017 - 14:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500569_399817480440305_4026466285914161152_n.jpg,http://picbear.com/media/1627369672407973189_900414468,November 08 2017 - 14:08,October 17 2017 - 08:20,"<p><a href=""http://picbear.com/tag/marabut"" title=""posts tagged as marabut"">#marabut</a> <a href=""http://picbear.com/tag/samar"" title=""posts tagged as samar"">#samar</a> road to <a href=""http://picbear.com/tag/eastern"" title=""posts tagged as eastern"">#eastern</a> #samar..#philippines</p>",12,1
November 08 2017 - 14:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500280_136603273651332_1293714140342255616_n.jpg,http://picbear.com/media/1627367863362556884_900414468,November 08 2017 - 14:08,October 17 2017 - 08:16,"<p>Our <a href=""http://picbear.com/tag/mango"" title=""posts tagged as mango"">#mango</a> <a href=""http://picbear.com/tag/tree"" title=""posts tagged as tree"">#tree</a> on the road side. <a href=""http://picbear.com/tag/marabut"" title=""posts tagged as marabut"">#marabut</a> <a href=""http://picbear.com/tag/samar"" title=""posts tagged as samar"">#samar</a> <a href=""http://picbear.com/tag/philippines"" title=""posts tagged as philippines"">#philippines</a></p>",10,0
November 08 2017 - 14:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580491_1645233018937213_6686206538664640512_n.jpg,http://picbear.com/media/1626350272221337925_900414468,November 08 2017 - 14:09,October 15 2017 - 22:34,"<p><a href=""http://picbear.com/tag/vast"" title=""posts tagged as vast"">#vast</a> <a href=""http://picbear.com/tag/ocean"" title=""posts tagged as ocean"">#ocean</a> <a href=""http://picbear.com/tag/bluesea"" title=""posts tagged as bluesea"">#bluesea</a> <a href=""http://picbear.com/tag/marabut"" title=""posts tagged as marabut"">#marabut</a> <a href=""http://picbear.com/tag/samar"" title=""posts tagged as samar"">#samar</a> <a href=""http://picbear.com/tag/philippines"" title=""posts tagged as philippines"">#philippines</a> <a href=""http://picbear.com/tag/naturelover"" title=""posts tagged as naturelover"">#naturelover</a></p>",16,0
